Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
marinopyrrole a		0.055645531389017004	0.00014880952380952382	0.025000000000000005	0.7146855207469781
ql-xii-61		0.056195477556184356	0.00014880952380952382	0.025000000000000005	0.713318923431671
5-fluorouracil		0.04732163263923947	0.00014880952380952382	0.025000000000000005	0.7107677392555155
irinotecan		0.04517345180530206	0.00014880952380952382	0.025000000000000005	0.7094393608827876
topotecan		0.04489418183848638	0.00029761904761904765	0.025000000000000005	0.6895911894044049
snx-2112		0.06022172358485541	0.00029761904761904765	0.025000000000000005	0.6631371315286435
pha-793887		0.046605998141199124	0.00029761904761904765	0.025000000000000005	0.6554629325996483
hyperforin		0.044912282363323806	0.00029761904761904765	0.025000000000000005	0.6370807461852687
paclitaxel		0.04726408041123998	0.0004464285714285714	0.02727272727272727	0.6223213041590901
brd-k35604418		0.03012183387543794	0.0004464285714285714	0.02727272727272727	0.582528660672686
ml031			0.0004464285714285714	0.02727272727272727	0.5730460121298819
kin001-270			0.0005952380952380953	0.03076923076923077	0.5630038328246022
pf2341066			0.0005952380952380953	0.03076923076923077	0.5594767866100939
bms-345541			0.000744047619047619	0.03333333333333333	0.5542964036267253
thz-2-102-1			0.000744047619047619	0.03333333333333333	0.548590606171529
linifanib			0.0008928571428571428	0.03529411764705882	0.545779852230643
fedratinib			0.0008928571428571428	0.03529411764705882	0.5446651930831138
tpca-1			0.0011904761904761906	0.04	0.5431381612057408
i-bet-762			0.0011904761904761906	0.04	0.542170584474786
methotrexate			0.001488095238095238	0.04	0.5176479263131889
ouabain			0.001488095238095238	0.04	0.5147656792822727
ku-0063794			0.001488095238095238	0.04	0.5145897129908008
smer-3			0.001488095238095238	0.04	0.5129542423809883
brd-k51490254			0.001488095238095238	0.04	0.5041617484624146
nsc48300			0.001488095238095238	0.04	0.5005096914607694
repligen 136			0.0020833333333333333	0.05384615384615384	0.4913056087695467
axitinib			0.002380952380952381	0.05714285714285715	0.48762310973824236
erastin			0.002380952380952381	0.05714285714285715	0.48702798907612005
decitabine			0.0026785714285714286	0.06129032258064516	0.4841055560998273
parthenolide			0.0028273809523809523	0.06129032258064516	0.48151680194531926
ispinesib mesylate			0.0028273809523809523	0.06129032258064516	0.4814959883823465
aica ribonucleotide			0.0035714285714285713	0.06944444444444445	0.48055235631322724
sotrastaurin			0.0035714285714285713	0.06944444444444445	0.48044879019946723
pitstop2			0.003720238095238095	0.06944444444444445	0.47807933439996847
tae684			0.003720238095238095	0.06944444444444445	0.47804018425896605
byl-719			0.003720238095238095	0.06944444444444445	0.47758455422649204
quizartinib			0.003869047619047619	0.07027027027027027	0.4764004218520812
brd-a86708339			0.004613095238095238	0.0784313725490196	0.4743897212195447
pf-3758309			0.004761904761904762	0.0784313725490196	0.47368264054255355
fluorouracil			0.00505952380952381	0.0784313725490196	0.47160623678722624
raf265			0.005357142857142857	0.0784313725490196	0.4708489103275342
methylstat			0.005357142857142857	0.0784313725490196	0.4694396250041148
gdc-0941			0.005505952380952381	0.0784313725490196	0.46554381396208927
ml050			0.005505952380952381	0.0784313725490196	0.4629068059852898
avrainvillamide			0.005505952380952381	0.0784313725490196	0.45948370116366904
manumycin a			0.005505952380952381	0.0784313725490196	0.4564664690773033
at-7519			0.005505952380952381	0.0784313725490196	0.4535160021990219
barasertib			0.005654761904761905	0.0784313725490196	0.4528273440424652
cimetidine			0.005803571428571429	0.0784313725490196	0.4521112230244414
phloretin			0.005952380952380952	0.0784313725490196	0.4500291758563353
cal-101			0.005952380952380952	0.0784313725490196	0.4499627928765055
etp-46464			0.006101190476190476	0.07884615384615384	0.4470657465510751
sns-032			0.00625	0.07924528301886793	0.4453420851826426
alectinib			0.006398809523809524	0.07962962962962962	0.4450299629562728
kin001-266			0.006696428571428571	0.08181818181818182	0.4445781159453245
bleomycin a2			0.006845238095238095	0.08214285714285714	0.44408769573031426
rita			0.006994047619047619	0.0824561403508772	0.44340103657100155
ml311			0.007142857142857143	0.08275862068965517	0.4412938913197896
lrrk2-in-1			0.007886904761904762	0.08709677419354837	0.4293414094130278
rigosertib			0.008035714285714285	0.08709677419354837	0.4239100402699254
cct036477			0.008035714285714285	0.08709677419354837	0.42296665364088704
brd-k90370028			0.008035714285714285	0.08709677419354837	0.42260306633459926
bms-536924			0.008630952380952382	0.09206349206349207	0.4199359196439819
tivantinib			0.008928571428571428	0.09375	0.4174166928903522
ym-155			0.009375	0.0955223880597015	0.41657406225467114
at13387			0.009523809523809525	0.0955223880597015	0.41621597787543513
wz3105			0.009523809523809525	0.0955223880597015	0.41577477670548063
neuronal differentiation inducer iii			0.010267857142857143	0.10147058823529412	0.41157396974066623
cudc-101			0.011011904761904763	0.10724637681159421	0.40918197495479697
nvp-bez235			0.011904761904761904	0.10933333333333332	0.40610087779509785
hg-5-88-01			0.011904761904761904	0.10933333333333332	0.40583126357862037
