drug,ctrp_drug_name,ctrp_target,ctrp_target_description
cil55,CIL55,,screening hit
brd4132,BRD4132,,screening hit
brd6340,BRD6340,,screening hit
ml006,ML006,S1PR3,agonist of sphingosine 1-phosphate receptor 3
bax channel blocker,Bax channel blocker,BAX,inhibitor of BAX-mediated mitochondrial cytochrome c release
brd9876,BRD9876,,screening hit
tretinoin,tretinoin,RARA;RARB;RARG,agonist of retinoid acid receptors
betulinic acid,betulinic acid,,natural product; inhibitor of specificity protein 1 transcription factor in cells
phloretin,phloretin,SLC5A1,natural product; inhibitor of glucose uptake
thalidomide,thalidomide,CRBN,immunomodulatory drug; binder of cereblon
gossypol,gossypol,BCL2;BCL2L1;LDHA;LDHB;LDHC,inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members
chlorambucil,chlorambucil,,DNA alkylator
fluorouracil,fluorouracil,TYMS,pyrimidine analog; inhibitor of thymidylate synthase
isoliquiritigenin,isoliquiritigenin,,natural product
cimetidine,cimetidine,HRH2,inhibitor of histidine receptor H2
azacitidine,azacitidine,DNMT1,inhibitor of DNA methyltransferase
trifluoperazine,trifluoperazine,DRD2,antagonist of dopamine receptor D2
paclitaxel,paclitaxel,,inhibitor of microtubule assembly
tamoxifen,tamoxifen,ESR1;ESR2,modulator of estrogen receptors
carboplatin,carboplatin,,inducer of DNA damage
teniposide,teniposide,TOP2A;TOP2B,inhibitor of topoisomerase II
sildenafil,sildenafil,PDE5A,inhibitor of phosphodiesterase 5A
simvastatin,simvastatin,HMGCR,inhibitor of HMG-CoA reductase
parbendazole,parbendazole,,inhibitor of microtubule assembly
procarbazine,procarbazine,,inducer of DNA damage
curcumin,curcumin,,natural product; modulator of ROS; modulator of NF-kappa-B signaling
ciclopirox,ciclopirox,RRM1,substituted pyridone antimycotic; inhibitor of the iron-dependent enzyme ribonucleotide reductase
epigallocatechin-3-monogallate,epigallocatechin-3-monogallate,,natural product
myricetin,myricetin,,flavonoid antioxidant
methotrexate,methotrexate,DHFR,inhibitor of dihydrofolate reductase
lovastatin,lovastatin,HMGCR,inhibitor of HMG-CoA reductase
valdecoxib,valdecoxib,PTGS2,inhibitor of cyclooxygenase-2 (COX2)
cyclophosphamide,cyclophosphamide,,DNA alkylator
dacarbazine,dacarbazine,,DNA alkylator
niclosamide,niclosamide,STAT3,inhibitor of STAT3 signaling
prochlorperazine,prochlorperazine,DRD2,inhibitor of dopamine receptor D2
ifosfamide,ifosfamide,,DNA alkylator
doxorubicin,doxorubicin,TOP2A,inhibitor of topoisomerase II
ouabain,ouabain,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4,cardiac glycoside; inhibitor of the Na+/K+-ATPase
brd9647,BRD9647,,screening hit
piperlongumine,piperlongumine,,natural product; modulator of ROS levels
brd-k26531177,BRD-K26531177,,analog of the natural product piperlongumine
nsc23766,NSC23766,RAC1;TIAM1;TRIO,inhibitor of RAC1-GEF interaction; prevents Rac1 activation by Rac-specific guanine nucleotide exchange factors (GEFs) TrioN and Tiam1
pyrazolanthrone,pyrazolanthrone,MAPK10;MAPK8;MAPK9,inhibitor of Jun N-terminal kinase (JNK) 1/2/3
c6-ceramide,C6-ceramide,MAPK1;PPP2CA;UGCG,inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A
topotecan,topotecan,TOP1,inhibitor of topoisomerase I
n9-isopropylolomoucine,N9-isopropylolomoucine,CCNB1;CDK1;CDK5;CDK5R1,inhibitor of CDK1/cyclin B and CDK5/p35 complexes
importazole,importazole,KPNB1,inhibitor of importin
etoposide,etoposide,TOP2A,inhibitor of topoisomerase II
prima-1,PRIMA-1,TP53,re-activator of the pro-apoptotic activity of mutant p53
tanespimycin,tanespimycin,HSP90AA1,inhibitor of HSP90
blebbistatin,blebbistatin,MYH1;MYH2,inhibitor of myosin II ATPases
cytochalasin b,cytochalasin B,,inhibitor of actin polymerization
nsc95397,NSC95397,CDC25A;CDC25B;CDC25C,inhibitor of cell division cycle 25 phosphatase (CDC25)
manumycin a,manumycin A,FNTA;FNTB,inhibitor of RAS farnesyltransferase
mitomycin,mitomycin,,DNA crosslinker
tacrolimus,tacrolimus,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2,inhibitor of calcineurin
pifithrin-alpha,pifithrin-alpha,,inhibitor of p53-dependent signaling
sb-431542,SB-431542,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor
staurosporine,staurosporine,,inhibitor of multiple kinases
sb-225002,SB-225002,CXCR2,inhibitor of chemokine receptor 2
pd 153035,PD 153035,EGFR,inhibitor of EGFR
cerulenin,cerulenin,FASN;HMGCS1,inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase
purmorphamine,purmorphamine,SMO,activator of smoothened receptor
gsk-3 inhibitor ix,GSK-3 inhibitor IX,,inhibitor of JAK/STAT signaling
dasatinib,dasatinib,EPHA2;KIT;LCK;SRC;YES1,"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK"
gefitinib,gefitinib,AKT1;EGFR,inhibitor of EGFR and AKT1
erlotinib,erlotinib,EGFR;ERBB2,inhibitor of EGFR and HER2
brd-k94991378,BRD-K94991378,,inducer of ROS
bix-01294,BIX-01294,EHMT2,inhibitor of G9a histone methyltransferase
tacedinaline,tacedinaline,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
lbh-589,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
ic-87114,IC-87114,PIK3CD,inhibitor of PI3K catalytic subunit delta
ciclosporin,ciclosporin,PPID,inhibitor of calcineurin by binding to cyclophilin D
vorinostat,vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
sirolimus,sirolimus,MTOR,inhibitor of mTOR
ku-55933,KU-55933,ATM,inhibitor of ataxia telangiectasia mutated (ATM)
sitagliptin,sitagliptin,DPP4,inhibitor of dipetidyl peptidase-4
am-580,AM-580,RARA,agonist of retinoic acid receptor alpha
pdmp,PDMP,UGCG,inhibitor of ceramide glucosyltransferase
brd-k71935468,BRD-K71935468,,inducer of ROS
mg-132,MG-132,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of the proteosome
entinostat,entinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
belinostat,belinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
bec,BEC,ARG1;ARG2,inhibitor of arginase I and II
apicidin,apicidin,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
merck60,Merck60,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2
brd-a94377914,BRD-A94377914,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"
fgin-1-27,FGIN-1-27,TSPO,activator of peripheral benzodiazepine receptor/translocator protein
compound 1b,compound 1B,,screening hit
vincristine,vincristine,,inhibitor of mictrotubule assembly
cytarabine hydrochloride,cytarabine hydrochloride,,inducer of DNA damage
itraconazole,itraconazole,,anti-fungal agent; inhibitor of hedgehog signaling pathway
erastin,erastin,SLC7A11;VDAC1;VDAC2,modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11
ml031,ML031,S1PR2,inhibitor of sphingosine 1-phosphate receptor 2
cil56,CIL56,,screening hit
fqi-1,FQI-1,,inhibitor of LSF1-mediated transcription
brd-k92856060,BRD-K92856060,,screening hit
b02,B02,RAD51,inhibitor of RAD51
brd-k45681478,BRD-K45681478,,product of diversity oriented synthesis; screening hit
ml050,ML050,GPER1,antagonist of GPR30
ml162,ML162,,selectively kills engineered cells expressing mutant HRAS
cil41,CIL41,,screening hit
nsc30930,NSC30930,SRD5A2,inhibitor of steroid 5-alpha reductase
cil70,CIL70,,screening hit
mi-1,MI-1,MEN1,binder of menin; inhibitor of menin-MLL fusion protein
dbeq,DBeQ,VCP,inhibitor of p97 in cells
mdivi-1,Mdivi-1,DNM1,inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor
ml083,ML083,PKM,activator of muscle pyruvate kinase
cid-5951923,CID-5951923,KLF5,modulator of KLF5 expression
iu1,IU1,USP14,inhibitor of the deubiquitinase activity of USP14
dexamethasone,dexamethasone,NR3C1,agonist of glucocorticoid receptor
ml311,ML311,MCL1,inhibitor of MCL1
vx-680,VX-680,AURKA;AURKB;AURKC,inhibitor of aurora kinases
imatinib,imatinib,ABL1;BCR;KIT,inhibitor of BCR-ABL1 and c-KIT
o-6-benzylguanine,O-6-benzylguanine,MGMT,inhibitor of O(6)-alkylguanine DNA alkyltransferases
decitabine,decitabine,DNMT1,inhibitor of DNA methyltransferase
chir-99021,CHIR-99021,GSK3B,inhibitor of GSK3 beta
bi-2536,BI-2536,PLK1,inhibitor of polo-like kinase 1 (PLK1)
brd-k61166597,BRD-K61166597,,inhibitor of HDAC1 and HDAC2
axitinib,axitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta"
selumetinib,selumetinib,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2
nvp-bez235,NVP-BEZ235,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG,inhibitor of PI3K and mTOR kinase activity
gw-843682x,GW-843682X,PLK1;PLK3,inhibitor of PLK1 and PLK3
vandetanib,vandetanib,EGFR;KDR,inhibitor of VEGFR2 and EGFR
sorafenib,sorafenib,BRAF;FLT3;KDR;RAF1,"inhibitor of BRAF, CRAF, and VEGFR2"
