drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms,targets
(5z)-7-oxozeaenol,,,(5Z)-7-Oxozeaenol,"5Z-7-Oxozeaenol, LL-Z1640-2",TAK1 ,"Other, kinases",,,,5Z-7-Oxozeaenol; LL-Z1640-2; (5Z)-7-Oxozeaenol,TAK1
16-beta-bromoandrosterone,,,,,,,16-beta-bromoandrosterone,,dehydroepiandrosterone (DHEA) analog,16-beta-bromoandrosterone,NaN
"1s,3r-rsl-3",,,,,,,"1S,3R-RSL-3",GPX4,synthetic lethal with HRAS in engineered cells; inhibitor of GPX4,"1S,3R-RSL-3",GPX4
3-cl-ahpc,,,,,,,3-Cl-AHPC,NR0B2,binder of nuclear receptor SHP,3-Cl-AHPC,NR0B2
5-fluorouracil,,,5-Fluorouracil,5-FU,Antimetabolite (DNA & RNA),Other,,,,5-FU; 5-Fluorouracil,Antimetabolite (DNA & RNA)
968,,,,,,,968,GLS,inhibitor of glutaminase,968,GLS
a-443654,,,A-443654,KIN001-139,AKT1; AKT2; AKT3,PI3K/MTOR signaling,,,,A-443654; KIN001-139,AKT2; AKT1; AKT3
a-770041,,,A-770041,KIN001-111,LCK; FYN,"Other, kinases",,,,KIN001-111; A-770041,FYN; LCK
a-804598,,,,,,,A-804598,P2RX7,inhibitor of purinergic receptor P2X,A-804598,P2RX7
aa-cocf3,,,,,,,AA-COCF3,FAAH; PLA2G4A; PLA2G4B; PLA2G4C; PLA2G4D,inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase,AA-COCF3,PLA2G4A; FAAH; PLA2G4C; PLA2G4D; PLA2G4B
abiraterone,,,,,,,abiraterone,CYP17A1,"inhibitor of 17 alpha-hydroxylase and C17,20 lyase",abiraterone,CYP17A1
abt-199,,,,,,,ABT-199,BCL2,inhibitor of BCL2,ABT-199,BCL2
abt-737,,,,,,,ABT-737,BCL2; BCL2L1; BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W",ABT-737,BCL2; BCL2L2; BCL2L1
ac55649,,,,,,,AC55649,RARB,agonist of retinoic acid receptor beta,AC55649,RARB
aew541,AEW541,IGF1R,,,,,,,,AEW541,IGF1R
afatinib,,,Afatinib,"BIBW2992, Tovok, Gilotrif",ERBB2; EGFR,EGFR signaling,afatinib,EGFR; ERBB2,inhibitor of EGFR and HER2,Gilotrif; Afatinib; Tovok; BIBW2992; afatinib,ERBB2; EGFR
agk-2,,,,,,,AGK-2,SIRT2,inhibitor of sirtuin 2,AGK-2,SIRT2
aica ribonucleotide,,,AICA Ribonucleotide,"AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",AMPK agonist,Metabolism,,,,AICA Ribonucleotide; N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide; AICAR,AMPK agonist
akt inhibitor viii,,,AKT inhibitor VIII,Akti-1/2,AKT1; AKT2; AKT3,PI3K/MTOR signaling,,,,Akti-1/2; AKT inhibitor VIII,AKT2; AKT1; AKT3
