drug_name,BT084
TLE3,0.9995
CEP55,0.9995
AIRE,0.9995
KIF14,0.9995
PLOD3,0.9995
DYNLT3,0.9992
DHDDS,0.9989
CLEC16A,0.9989
CEBPZ,0.9987
SCMH1,0.9987
ERF,0.9987
TTR,0.9987
SOD2,0.9987
PRMT3,0.9987
PGBD1,0.9986
CEP72,0.9986
KLF6,0.9986
IMPDH inhibitor,0.9984000000000001
TNKS2,0.9984000000000001
estradiol,0.9982
EIF2C3,0.9982
NTRK1,0.9982
PDIA5,0.9982
LOXL1,0.9982
RAB4A,0.998
ZMYM2,0.9979
CDK4,0.9979
DNA synthesis inhibitor,0.9976999999999999
TMEM110,0.9972
tyrphostin-AG-1295,0.9972
DNM1L,0.9972
FBXO5,0.9972
Ribonucleotide reductase inhibitor,0.9969
SLC25A14,0.9968
PSMG1,0.9963
CD58,0.9963
TFDP1,0.9961
PRKAR2A,0.9961
etoposide,0.9958
DDB2,0.9958
TSN,0.9958
ABCC1,0.9958
ADNP2,0.9956999999999999
JNJ-26854165,0.9954000000000001
PAPSS1,0.9953
ROCK2,0.9953
IFIH1,0.9953
idarubicin,0.9951000000000001
RPS6KL1,0.9951000000000001
TRAK2,0.9948999999999999
mycophenolic-acid,0.9947
PPIG,0.9947
SMC4,0.9947
NIPBL,0.9945
etoposide,0.9944
LIAS,0.9944
CARD9,0.9942
P2RY2,0.9942
RAD51,0.9942
RALBP1,0.9942
ARHGAP1,0.9939
mycophenolate-mofetil,0.9937999999999999
LAMB1,0.9937
CCNB2,0.9934000000000001
CREM,0.9934000000000001
raltitrexed,0.9933
RBM6,0.9932
PPM1L,0.9932
MLH1,0.9929000000000001
TNFSF8,0.9929000000000001
FGFR3,0.9929000000000001
POLA2,0.9928
resveratrol,0.9926999999999999
roscovitine,0.9926
amonafide,0.9926
SCP2,0.9926
TFAP4,0.9925
GPR37,0.9924
cladribine,0.9922
Dihydrofolate reductase inhibitor,0.992
floxuridine,0.9919
GATA3,0.9917
norgestimate,0.9915
ISOC1,0.9913
KIF2C,0.9913
SRC,0.9912000000000001
SLC25A4,0.9911
PCCB,0.991
methotrexate,0.9908
vidarabine,0.9908
ZNF562,0.9906999999999999
Rho GTPase activating proteins LOF,0.9906
mitomycin-c,0.9904999999999999
SLC25A14,0.9904999999999999
POU5F1,0.9903
CDKN1A,0.9903
CISD1,0.9903
DNTTIP2,0.9902
salubrinal,0.9901000000000001
Topoisomerase inhibitor,0.9899
retinol,0.9898
CFD,0.9893000000000001
WARS,0.9892
TRAF1,0.9891
BCL9,0.9889
irinotecan,0.9881
huperzine-a,0.9876999999999999
droxinostat,0.9876
UCK2,0.9876
ME1,0.9875
PLSCR1,0.9873999999999999
MAD2L1BP,0.9873000000000001
teniposide,0.9871
TADA3,0.987
SB-216763,0.9869
Poly ADP ribose polymerases LOF,0.9865999999999999
ARPC1A,0.9865
DENND2D,0.9863
LM-1685,0.9863
EPCAM,0.9862000000000001
SQSTM1,0.9861
TSPAN4,0.9858
SULT1A1,0.9856999999999999
NR0B2,0.9856
SRP14,0.9854
POLD4,0.9853000000000001
MPL,0.9852
2-aminopurine,0.9848
deferiprone,0.9847
FAM20B,0.9847
CDK inhibitor,0.9847
BX-795,0.9845
avrainvillamide-analog-3,0.9845
ZNF398,0.9842
AP2M1,0.9840000000000001
INPP1,0.9839
NNT,0.9833
PAX8,0.983
FBXO11,0.9829000000000001
SOX10,0.9829000000000001
TSPAN8,0.9826
PTPN2,0.9823999999999999
OAT,0.9823999999999999
DSE,0.9823000000000001
Thymidylate synthase inhibitor,0.9819
PPAT,0.9818000000000001
TXN,0.9817
UTP18,0.9815999999999999
KIF9,0.9813
BMS-345541,0.9813
KIAA0528,0.9813
PHYH,0.981
SNX6,0.981
TMCO1,0.9806999999999999
ADAT1,0.9806
WT1,0.9806
IRAK2,0.9804999999999999
gemcitabine,0.9803000000000001
ATP5B,0.9801000000000001
SN-38,0.9795999999999999
phloretin,0.9795999999999999
UTP14A,0.9793000000000001
RBM15,0.9792000000000001
HOXB7,0.9792000000000001
purvalanol-a,0.9792000000000001
topotecan,0.9792000000000001
ANKZF1,0.9790000000000001
MAT2B,0.9789
RHOBTB1,0.9787
ATF4,0.9787
TEK,0.9787
CDKN2C,0.9787
serdemetan,0.9784999999999999
MYL6B,0.9784
CDC45,0.9783
PBX1,0.9782
ZG-10,0.9778
CAPNS2,0.9775
BCKDHA,0.9773999999999999
USP14,0.9773000000000001
PBRM1,0.9771
chlorambucil,0.9771
cytarabine,0.9768000000000001
RCHY1,0.9765
pyrvinium-pamoate,0.9764
P2RY6,0.9761
RRP8,0.9761
amsacrine,0.976
QW-BI-011,0.976
DR1,0.9758
MED15,0.9756999999999999
clofarabine,0.9754
TEAD4,0.9753000000000001
XPO7,0.9753000000000001
PHA-793887,0.9753000000000001
IRF9,0.9752
MEIS2,0.975
TEAD2,0.9747
BRD-K53780220,0.9745999999999999
APEX1,0.9745999999999999
