drug,score,moa
etoposide,0.996,Topo II inhibitor
JNJ-26854165,0.995,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
idarubicin,0.995,"Topo II inhibitor, intercalates into DNA, anthracycline"
etoposide,0.994,Topo II inhibitor
raltitrexed,0.993,"antimetabolite,  inhibitor of thymidylate synthase"
cladribine,0.992,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
floxuridine,0.992,"antimetabolite,  catabolized to 5-fluorouracil"
methotrexate,0.991,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
mitomycin-c,0.990,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
irinotecan,0.988,"aka CPT-11, inhibitor of Topo I"
teniposide,0.987,Topo II inhibitor
gemcitabine,0.980,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
SN-38,0.980,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
topotecan,0.979,Topo I inhibitor
serdemetan,0.978,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
chlorambucil,0.977,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
cytarabine,0.977,"antimetabolite, causes DNA damage,  inhibits both DNA and RNA polymerases and nucleotide reductase enzymes needed for DNA synthesis"
amsacrine,0.976,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
clofarabine,0.975,purine nucleoside antimetabolite
PHA-793887,0.975,"CDK inhibitor, esp CDK2, CDK5 and CDK7"
floxuridine,0.970,"antimetabolite,  catabolized to 5-fluorouracil"
topotecan,0.951,Topo I inhibitor
sorafenib,0.949,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
fulvestrant,0.944,selective estrogen receptor degrader (SERD)
sitagliptin,0.939,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
fludarabine,0.938,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
vorinostat,0.934,HDAC inhibitor (SAHA)
hydrocortisone,0.933,Anti-inflammatory
GSK-461364,0.926,"Plk1 inhibitor, less active against Plk2 and Plk3."
carmofur,0.925,"derivative of fluorouracil, pyrimidine analog"
hydrocortisone,0.922,Anti-inflammatory
tamoxifen,0.918,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
