,BT084,COSMIC ID
cosmic_907170,0.013518189684846787,907170
cosmic_753589,0.008828609458493578,753589
cosmic_688022,-0.001260270092736717,688022
cosmic_753582,-0.011485732357310192,753582
cosmic_753594,-0.014331544598622374,753594
cosmic_688006,-0.01554016085861552,688006
cosmic_687804,-0.015732866491798784,687804
cosmic_908483,-0.02399107229019481,908483
cosmic_713899,-0.027118712459457787,713899
cosmic_908135,-0.035457074942142536,908135
cosmic_688031,-0.03749032195231662,688031
cosmic_910941,-0.0471853248863348,910941
cosmic_688027,-0.05012707153013701,688027
cosmic_949173,-0.05018502745600877,949173
cosmic_713878,-0.053641847324413724,713878
cosmic_687997,-0.058183447014053175,687997
cosmic_753547,-0.05917573360572654,753547
cosmic_1322213,-0.05949578881451202,1322213
cosmic_688023,-0.06340998105580825,688023
cosmic_910937,-0.06429416743432281,910937
cosmic_713885,-0.06430910538354194,713885
cosmic_753588,-0.06572060738686278,753588
cosmic_688014,-0.07640058779754222,688014
cosmic_949175,-0.0793748066640733,949175
cosmic_687985,-0.08072693192599942,687985
cosmic_910780,-0.08164274450501437,910780
cosmic_1240193,-0.08407534703447295,1240193
cosmic_688001,-0.08655559728125267,688001
cosmic_688013,-0.08954926550517836,688013
cosmic_688018,-0.09220279080887624,688018
cosmic_1297438,-0.09712300578064327,1297438
cosmic_687980,-0.09747187969612602,687980
cosmic_910691,-0.09833671885293409,910691
cosmic_753599,-0.09874125505880472,753599
cosmic_753564,-0.10049668192721871,753564
cosmic_753605,-0.1010095339859429,753605
cosmic_908467,-0.10347647331923263,908467
cosmic_1330972,-0.10446736475317184,1330972
cosmic_688026,-0.1069741353384547,688026
cosmic_910567,-0.10699987420333855,910567
cosmic_909194,-0.11220676369846695,909194
cosmic_924241,-0.1142288862050397,924241
cosmic_1322212,-0.11563567566945623,1322212
cosmic_688010,-0.1175119988903006,688010
cosmic_949177,-0.11777159338104433,949177
cosmic_688007,-0.11823782069620467,688007
cosmic_907314,-0.11869633614357623,907314
cosmic_907295,-0.1287539246010682,907295
cosmic_688011,-0.12946527638719646,688011
cosmic_1240181,-0.13097598281610676,1240181
cosmic_906875,-0.131997063485626,906875
cosmic_925341,-0.133938030710466,925341
cosmic_949164,-0.1361012946857372,949164
cosmic_949167,-0.13633780877797613,949167
cosmic_688025,-0.14366052607423166,688025
cosmic_908447,-0.14464564071794236,908447
cosmic_688021,-0.14576162987796776,688021
cosmic_906834,-0.14721725112827438,906834
cosmic_910692,-0.14735407459321204,910692
cosmic_753620,-0.14739761362604167,753620
cosmic_688086,-0.14911807510030825,688086
cosmic_753618,-0.14942594641597515,753618
cosmic_908469,-0.150610107200909,908469
cosmic_753607,-0.1517770039228826,753607
cosmic_684055,-0.15438068438380764,684055
cosmic_1240210,-0.155512532932232,1240210
cosmic_1240189,-0.15632102441399903,1240189
cosmic_907319,-0.1579293719141304,907319
cosmic_909731,-0.15857069797659126,909731
cosmic_909707,-0.15895925927801016,909707
cosmic_753616,-0.15943079583332137,753616
cosmic_687600,-0.1627328390720742,687600
cosmic_910568,-0.16287962254503777,910568
cosmic_906808,-0.16310720382494287,906808
cosmic_949170,-0.16324277359878103,949170
cosmic_908468,-0.16507308594484585,908468
cosmic_713869,-0.16519033403629363,713869
cosmic_949178,-0.16830426603284898,949178
cosmic_688087,-0.17258778776103847,688087
cosmic_684062,-0.17382815607815344,684062
cosmic_684057,-0.17383122009587523,684057
cosmic_908454,-0.17406211602126379,908454
cosmic_949166,-0.17475412319246758,949166
cosmic_949179,-0.1751165129601728,949179
cosmic_687995,-0.17602257044146155,687995
cosmic_909730,-0.176496038178997,909730
cosmic_949155,-0.17693449122574867,949155
cosmic_908129,-0.17882509120700177,908129
cosmic_753534,-0.1814980528308868,753534
cosmic_946360,-0.18818454201102575,946360
cosmic_910899,-0.18843130725626298,910899
cosmic_949168,-0.18904095731679707,949168
cosmic_753565,-0.1906391716507302,753565
cosmic_949171,-0.19389138249091067,949171
cosmic_906833,-0.19392120262669102,906833
cosmic_909779,-0.19410553288648677,909779
cosmic_949172,-0.19418106712403888,949172
cosmic_1297439,-0.19419284277643684,1297439
cosmic_684059,-0.19505983570248064,684059
cosmic_908458,-0.1954127049212018,908458
cosmic_949161,-0.19552801206428339,949161
cosmic_753551,-0.19557850792321058,753551
cosmic_909264,-0.19611522624738892,909264
cosmic_949176,-0.1980290921744307,949176
cosmic_684072,-0.2060758679878419,684072
cosmic_949160,-0.20631831892898925,949160
cosmic_908440,-0.2067878082293792,908440
cosmic_908443,-0.2084366015318682,908443
cosmic_1330973,-0.20965913083142915,1330973
cosmic_971773,-0.21036995328170524,971773
cosmic_724855,-0.21158821427445776,724855
cosmic_1330964,-0.21184717738515985,1330964
cosmic_908481,-0.21231440077228528,908481
cosmic_930299,-0.21279217842091622,930299
cosmic_949157,-0.212803831277723,949157
cosmic_906812,-0.21413990803952057,906812
cosmic_909723,-0.21478691567586905,909723
cosmic_687787,-0.21519307866859552,687787
cosmic_925342,-0.215351108235944,925342
cosmic_909716,-0.21836385460720703,909716
cosmic_910942,-0.218726467610144,910942
cosmic_1240182,-0.21957341484778545,1240182
cosmic_1240174,-0.219708582241601,1240174
cosmic_1240216,-0.22020842459406884,1240216
cosmic_949158,-0.22061026752611482,949158
cosmic_1298350,-0.22152236693326421,1298350
cosmic_1240191,-0.222496238992679,1240191
cosmic_906820,-0.2273587601049666,906820
cosmic_910900,-0.22743602813866362,910900
cosmic_1298534,-0.2275870706110127,1298534
cosmic_949162,-0.22860282674555824,949162
cosmic_908121,-0.22900097256476507,908121
cosmic_1659817,-0.22977808789571144,1659817
cosmic_907055,-0.23045290059238285,907055
cosmic_907791,-0.23069854686975796,907791
cosmic_924100,-0.23103542469181051,924100
cosmic_908138,-0.23240726216392735,908138
