,BT084
NCIH1184,0.363872073975385
NCIH1694,0.3636918919600829
NCIH1155,0.311920167614788
NCIH1092,0.3066366351521775
NCIH810,0.2874503328139255
IMR32,0.28185060722492844
NCIH1341,0.27342370510718494
KMS11,0.27054730042319386
DAOY,0.25899002374080793
DMS114,0.2543533541344492
TC71,0.25349276049399294
5637,0.251976719331807
DU145,0.251219646238666
NCIH1048,0.24895881618145105
NCIH211,0.23893382609595124
KYSE450,0.2362021540022453
HARA,0.23090983806130294
MFE280,0.23070941903273826
SKNDZ,0.22962675131669485
RD,0.2292895762346078
NCIH661,0.22701220324502464
SKES1,0.22515424063323222
KNS62,0.22314335172811015
WM793,0.22027457978018722
FUOV1,0.21949150433731976
NCIH520,0.21906433324700963
IGR37,0.2169612726505006
NCIH727,0.21534592814072687
NCIH1651,0.2141414336362357
G361,0.2140811530932266
QGP1,0.21400698252433678
CAL78,0.21388693507501108
CAL27,0.21387586132014294
NCIH522,0.2106656780058987
NCIH2052,0.20934968600864043
NCIH2286,0.20634454793158508
SW579,0.20578386363150328
WM115,0.20514449377170738
SUIT2,0.20475874229682256
HCC1954,0.20182066331514764
ESS1,0.2008528512489856
WM2664,0.20062949930024723
SIMA,0.20049796125671007
KELLY,0.19971566817061404
ES2,0.19967853976765138
HS852T,0.19952318295652202
NCIH2170,0.19908233656089938
NCIH2444,0.19814152568707083
HOS,0.19759857280868184
NCIH1792,0.19713026903322473
TT2609C02,0.19682380935309227
H4,0.19599308320514444
MPP89,0.19585841925871691
ISTMES1,0.19534294231966756
DKMG,0.19471295271754602
NCIH1299,0.19376445601424874
NCIH23,0.19319036112282098
MDAMB436,0.1930034965622049
MSTO211H,0.19268730566617662
HGC27,0.19206690355297978
NCIH747,0.19118579060699548
NCIH1693,0.19095779978937888
JHOS2,0.189825884044419
VMRCRCW,0.1895337505761059
WM88,0.1884561523732036
T3M10,0.18799680584723374
SKNFI,0.18754050251076704
ACHN,0.18622384633429764
DBTRG05MG,0.18467708756251644
ZR751,0.1844101396564595
SAOS2,0.18436081168787016
NCIH460,0.1834577921399216
HCT15,0.18242830864273982
22RV1,0.18228607287861745
MKN45,0.18179194409654675
NCIH2023,0.18167894869672085
WM983B,0.18158458950341025
SW48,0.18152275920187633
NCIH1581,0.18148377993104728
RERFGC1B,0.1806207073237354
UACC812,0.18048937814392937
MHHES1,0.18022845583572852
IPC298,0.18019344694413253
SW900,0.1792750390991409
SNU475,0.17917597284669826
CHP212,0.17913394825279777
JHOS4,0.17908262352896342
OC314,0.17828635013495314
OE21,0.17826240477969132
A549,0.17781427625555346
HCC1806,0.17719545697599592
ISHIKAWAHERAKLIO02ER,0.17675535474909396
EFE184,0.1765728526654032
SNU182,0.1758781976944602
HMCB,0.17530351598443447
FADU,0.17502208941251815
LU99,0.17443570579659298
SW403,0.17437646438703427
SCC25,0.17340581478978076
A204,0.17295443941800412
KYSE70,0.1725542639738033
A2780,0.17239708445539353
VMRCRCZ,0.1719526190977437
SNU398,0.1716514958439071
LUDLU1,0.1715531420056438
JMSU1,0.171245204416148
HEYA8,0.17108178867409454
HS729,0.16961175300767622
KLE,0.16898411971399416
HS739T,0.1689247884785362
COLO679,0.16875471231228106
U2OS,0.16860455086130097
SKNSH,0.16833033617317275
SKMEL24,0.16779683331981265
TOV112D,0.16619695302812953
SHP77,0.1660809432139288
SKHEP1,0.1659608907353156
KPNSI9S,0.1650365517812583
786O,0.1646779437386133
SKNBE2,0.16456545402277487
SBC5,0.16397577453445752
MEWO,0.16387655539010848
SKOV3,0.16339218271676645
HCC15,0.16321925845624172
A253,0.16316754822710128
KMS26,0.16301997799304138
MESSA,0.16223858968682753
OVCAR8,0.16215521670915
SF126,0.16192235342336786
SW1573,0.16163404250192312
SW1088,0.1616030888805863
BT549,0.1612206366848206
NCIH2085,0.15990465121833977
LP1,0.15986407624680304
A172,0.15979745929087602
KYSE180,0.15970075171910936
HS695T,0.15921327704707455
MKN7,0.15915944125939505
DETROIT562,0.15914356952702088
HCT116,0.15895180885830362
SKMEL5,0.1586890292005213
NCIH1703,0.15861580711815357
TE617T,0.15665929888375746
HCC1187,0.1560521355859042
C2BBE1,0.15601162024351314
K029AX,0.1558829031398282
MDAMB157,0.1556714468567049
NCIH1869,0.1554558237717302
IGR39,0.1546109375022336
HS683,0.15456732420484015
CAS1,0.15394028768438245
UACC257,0.15338002655184282
UACC62,0.15322560262086318
HDMYZ,0.15295665250874257
NCIH28,0.15276800360406242
U87MG,0.15244794867175915
HCC44,0.15202098432954192
NIHOVCAR3,0.1517710693672994
KMS34,0.15163386635189574
NCIH1650,0.15151485794623162
KYSE410,0.1509036012540585
NCIH1568,0.15042299062062006
HCC1395,0.1500694094819357
ISTMES2,0.14972963147063925
GB1,0.14918952888309794
HS936T,0.14887165703317506
HCC1569,0.1487833964711392
8505C,0.14855748058791685
HS895T,0.14818795783184283
NCIH1793,0.1478781435124914
MFE319,0.14781245195396966
SW1353,0.1474197489336586
NCIH2228,0.14667748613127185
SNU16,0.14649132916737462
CALU1,0.14638755665625888
NCIH1563,0.14559123799622126
NCIH2172,0.1455362914450324
RT4,0.1454298340832504
J82,0.14535440556971385
SKLU1,0.14525392009878402
BT474,0.14493109507728208
HS939T,0.14461269141417069
CAKI2,0.14460378515512096
RL952,0.14418227890732982
HT144,0.14412671156032325
JHH7,0.14391465475850335
COLO741,0.14369120885123443
NCIH2030,0.14351617699256886
TE11,0.14321621552047661
FU97,0.14278345722174524
LN18,0.14257978926388024
769P,0.1425398012979809
8MGBA,0.14243834254302373
T24,0.14231758021865243
RKN,0.14219643787777705
A673,0.1415074636806638
SNU423,0.1414286045892727
SW780,0.14135895566590734
NCIH647,0.14121911474373283
SJSA1,0.1408826730647038
MIAPACA2,0.14083785746744434
OPM2,0.14075008801674047
TE9,0.14064437290624368
HMC18,0.14041315421718728
SU8686,0.13994527171516222
TE1,0.13918482082954098
KYSE520,0.13867788961488037
LS411N,0.13844626293241094
IGROV1,0.1375660318723662
NCIH1666,0.13748888250179078
HS944T,0.13708950001723355
NCIH1355,0.136941446192051
42MGBA,0.13630457638405205
HS294T,0.1357466102524777
KNS60,0.13512345997685135
IALM,0.13504078868270614
SW480,0.1347006033428133
NCIH2452,0.13469561822745993
SKMES1,0.1345581328482007
PC3,0.1342737289691273
YKG1,0.13402832338486526
KMRC2,0.1340090209510656
GAMG,0.1338137203852934
HEL9217,0.13374042676070763
ONS76,0.13317836801973665
8305C,0.13311859405296636
NCIH2122,0.132588392713625
NCIH1573,0.13255172227373507
MFE296,0.1319965653620717
UMUC3,0.13184868739233505
KALS1,0.1317780340680112
KP4,0.1312381246850648
MELHO,0.13077450212222577
RERFLCMS,0.13048266407725956
HS840T,0.13047163599459674
MKN74,0.12964835919610798
KNS42,0.129553318194181
HS229T,0.12913036581040602
HUCCT1,0.12850950294203758
CCK81,0.12834603380590973
KMRC1,0.1282872452282687
RVH421,0.12828354056780739
SCABER,0.127984665314323
ONCODG1,0.12732217781623578
SNUC2A,0.12688362998516772
CAL12T,0.1266700136982347
OV90,0.12638265517920683
C32,0.12629952676000775
MOLP8,0.12617997328338088
EN,0.1261276445580274
NCIH2009,0.1250622029233738
NCIH322,0.1244137849309904
OVSAHO,0.12379244614389356
LOXIMVI,0.12362070349614575
NCO2,0.12352709676576959
NCIH1648,0.12297937125738102
MG63,0.12242672978975805
OVCAR4,0.12219260981463198
CALU3,0.12182788342036592
WM1799,0.12139751943250099
T84,0.1212283321959281
OVTOKO,0.12089523545042678
PANC0327,0.12076660509327795
TOV21G,0.12068997877702102
COLO320,0.12066079957694681
CAPAN2,0.12065108326174322
MCAS,0.1204571052421711
RERFLCAI,0.12003322190538024
BXPC3,0.11942586076159627
PANC1005,0.11938864959757813
JURKAT,0.11925409010449503
HS746T,0.11915720406557154
BFTC909,0.11884468808308431
CAL851,0.11872791265617244
SF295,0.11786682801286641
T98G,0.11786539435682261
RT112,0.11735518896817305
LCLC103H,0.11654826374718964
EFO27,0.11603762912189548
CALU6,0.1160169396733506
HCC4006,0.11586977326764235
A375,0.11572778374738939
HUPT4,0.11572718703330967
KYSE510,0.11568194794545499
SUDHL6,0.11561309150461281
L33,0.11442943260027565
SUDHL4,0.11358031758618722
SUDHL10,0.1135242871318418
L428,0.11333832110936243
GMS10,0.11320029410849548
ASPC1,0.11313809091094836
HEC59,0.11304636451618336
NUGC4,0.11276140277720144
OVMANA,0.11263458966330286
GCT,0.11262622695944316
KP3,0.1123196808185711
KNS81,0.11186456490436461
COLO201,0.11179451823844772
HSC2,0.11151689833156632
TE5,0.11125146716291819
MDAMB175VII,0.11112626148481636
