,BT084
gdsc_Navitoclax,0.6926407819936109
gdsc_Linsitinib,0.650486530345473
gdsc_TL-2-105,0.6462802112105027
gdsc_SB52334,0.6218405115112757
gdsc_Tubastatin A,0.6125334355832275
gdsc_GSK1070916,0.6064902435753171
gdsc_QL-XII-61,0.5941548663375716
gdsc_GW-2580,0.5524383597744924
gdsc_GSK429286A,0.5482535781823105
gdsc_Axitinib,0.5362943376372264
gdsc_BX-912,0.5350876738574704
gdsc_VX-702,0.5312752369351843
gdsc_Rucaparib,0.5185295191370838
gdsc_XMD14-99,0.4810321894135182
gdsc_HG-5-88-01,0.4661873763807648
ctrp_tubastatin A,0.4599601602912558
gdsc_Amuvatinib,0.4546892957579235
ctrp_linsitinib,0.4532339824592425
gdsc_XMD13-2,0.4495940030310493
ctrp_indisulam,0.43653930339092845
gdsc_NSC-87877,0.4336139659058775
ctrp_CIL55,0.431755108829489
ctrp_16-beta-bromoandrosterone,0.43048588125150594
ctrp_staurosporine,0.42614517252436307
ctrp_BMS-195614,0.42266009625795636
ctrp_olaparib,0.4219322379499622
ctrp_BRD-K26531177,0.42063737051543065
ctrp_BRD-K99006945,0.42058236032045454
gdsc_Ispinesib Mesylate,0.4174465569055065
ctrp_ML203,0.4167731844831984
ctrp_ABT-737,0.4149462329829039
ctrp_BRD-K51490254,0.4135298049267714
gdsc_Olaparib,0.41253085583906546
ctrp_tretinoin,0.4123736001703152
ctrp_ML239,0.412336504764481
gdsc_GSK319347A,0.41230173596980463
ctrp_BRD-K28456706,0.411958711494418
ctrp_serdemetan,0.4117865393610362
ctrp_dabrafenib,0.4093974142257992
ctrp_chlorambucil,0.4080618137532033
ctrp_belinostat,0.40641451510708165
ctrp_axitinib,0.4048880390599422
ctrp_skepinone-L,0.4030216019948119
ctrp_XL765,0.4013309682516352
ctrp_ML050,0.40130928273796446
ctrp_ABT-199,0.3997122896753508
ctrp_sotrastaurin,0.3996490034428955
ctrp_barasertib,0.39935672963589636
ctrp_tipifarnib-P1,0.3990593178262363
ctrp_BRD-K13999467,0.39897656930289205
gdsc_Talazoparib,0.3965281129897278
ctrp_PRIMA-1-Met,0.39560637168108
ctrp_avrainvillamide,0.394580794654003
ctrp_CCT036477,0.39378341759842506
ctrp_JW-55,0.3908767109489323
ctrp_BRD-K88742110,0.3899349875358712
ctrp_Compound 1541A,0.3888126648198519
gdsc_KIN001-266,0.3878881050729636
ctrp_foretinib,0.3857886470881565
gdsc_SB-505124,0.3844032930591039
ctrp_BRD-K19103580,0.3841436855767596
ctrp_Compound 7d-cis,0.38401665457174367
ctrp_IU1,0.3836327299753211
ctrp_BRD-A71883111,0.3825192659037617
ctrp_BRD1835,0.3822225862896422
ctrp_epigallocatechin-3-monogallate,0.38063703458003684
ctrp_cytarabine hydrochloride,0.3806253839019959
ctrp_BRD-M00053801,0.37997236051722494
ctrp_BRD-K34485477,0.3784181453442688
ctrp_NSC30930,0.37823309106190034
ctrp_compound 1B,0.37738119974399126
ctrp_KW-2449,0.37556815000812716
ctrp_SR1001,0.37511019670850787
ctrp_ELCPK,0.37497396757655177
ctrp_necrostatin-7,0.3744904267282191
ctrp_lenvatinib,0.37418346263095464
ctrp_968,0.3729565394386548
ctrp_alisertib,0.3726826317618733
ctrp_sildenafil,0.3724768206500132
ctrp_RG-108,0.3714186857258716
ctrp_BMS-270394,0.37076578647547814
ctrp_isoliquiritigenin,0.37069038139963084
ctrp_AC55649,0.3698665384121016
ctrp_tacrolimus,0.3695670115696727
ctrp_PDMP,0.3673037454577828
gdsc_UNC1215,0.366824627793153
ctrp_MST-312,0.3644170295146575
ctrp_NVP-ADW742,0.36411718437466395
ctrp_darinaparsin,0.3630813703978978
ctrp_tamoxifen,0.3618076843214128
ctrp_SB-225002,0.36021577191634985
ctrp_BRD-K92856060,0.357181498609768
gdsc_NPK76-II-72-1,0.3568020827887197
ctrp_JW-74,0.3564937782797982
ctrp_SKI-II,0.3561352900099053
ctrp_BIBR-1532,0.35574372570444696
ctrp_BRD-K24690302,0.35567471611490203
ctrp_PF-4800567 hydrochloride,0.3555664121680719
gdsc_Daporinad,0.35525959060418977
ctrp_NSC 74859,0.3551379333460024
ctrp_AZD4547,0.3548546575205919
ctrp_SZ4TA2,0.3541560635219715
ctrp_LBH-589,0.3540368224170668
ctrp_CIL41,0.35365492069982385
ctrp_NSC23766,0.35356965240517635
ctrp_MGCD-265,0.35322402337126935
ctrp_cabozantinib,0.3529435305578847
ctrp_BRD-K02251932,0.3525213679485723
ctrp_BRD-K11533227,0.3518222887101553
ctrp_Repligen 136,0.35136520555702844
ctrp_omacetaxine mepesuccinate,0.35083848545267815
ctrp_GW-843682X,0.34952658638621037
ctrp_PX-12,0.3491942996057801
