,BT084
gdsc_Navitoclax,0.6488668766179544
gdsc_Motesanib,0.6256337372634908
gdsc_Linsitinib,0.6253374331294503
gdsc_TL-2-105,0.5916990965786703
gdsc_SB52334,0.5913674981285076
gdsc_GSK1070916,0.5774391026527458
gdsc_QL-XII-61,0.5546391170163517
gdsc_Tubastatin A,0.5542175403992743
gdsc_GW-2580,0.5540000237357757
gdsc_GSK429286A,0.5303681523923972
gdsc_VX-702,0.5198501036095233
gdsc_Rucaparib,0.5080308358255976
gdsc_BX-912,0.5053524047728399
ctrp_CIL55,0.46499054625763286
gdsc_GSK319347A,0.4525059781145356
ctrp_BRD-K99006945,0.4454955821289027
ctrp_staurosporine,0.4331585362617969
ctrp_tubastatin A,0.43265183290483095
gdsc_NSC-87877,0.4255418683831107
ctrp_BRD-K34485477,0.42548975985019394
gdsc_Amuvatinib,0.4249232145929614
ctrp_linsitinib,0.4189063173165926
gdsc_Olaparib,0.4186644158966805
ctrp_dabrafenib,0.41653162913891195
gdsc_XMD13-2,0.4135763484570881
gdsc_HG-5-88-01,0.4029104303636873
ctrp_skepinone-L,0.3974992864357409
ctrp_O-6-benzylguanine,0.39526252689156316
gdsc_SB-505124,0.39134478099375564
gdsc_Talazoparib,0.38406958786393225
ctrp_olaparib,0.38232649572907107
ctrp_PRIMA-1-Met,0.38041666753133724
gdsc_Selisistat,0.37922639678817216
ctrp_axitinib,0.3778302569011538
ctrp_XL765,0.37697619530186427
ctrp_CCT036477,0.3763380446716581
ctrp_BMS-195614,0.3746784392468562
ctrp_ML203,0.37246852439607275
ctrp_compound 1B,0.37110958879305744
ctrp_Compound 1541A,0.3699837483915317
ctrp_BRD-K88742110,0.36944386610140306
gdsc_UNC1215,0.3691803084511457
ctrp_BRD-K51490254,0.3682998309793433
ctrp_ML050,0.36544898874101384
ctrp_lenvatinib,0.36194810256675275
ctrp_serdemetan,0.36161167246790515
ctrp_16-beta-bromoandrosterone,0.360553311328012
ctrp_ABT-737,0.36014185489340356
ctrp_BRD-M00053801,0.3584618333892969
ctrp_ML239,0.35819328941116735
ctrp_BRD-K49290616,0.35724888149362377
ctrp_nilotinib,0.35683297783735674
ctrp_tretinoin,0.35650456799427965
ctrp_avrainvillamide,0.3548551988630068
ctrp_RG-108,0.35434757777051346
ctrp_isoliquiritigenin,0.3539604269810689
ctrp_chlorambucil,0.3523077259274341
gdsc_Cisplatin,0.3520939874327966
ctrp_PF-4800567 hydrochloride,0.35151228780823374
ctrp_BRD-K28456706,0.35127653529989017
ctrp_BRD-K26531177,0.3484158233950125
ctrp_IU1,0.34738577646187313
ctrp_Compound 7d-cis,0.3452744189679087
ctrp_epigallocatechin-3-monogallate,0.34359869149443945
ctrp_NSC30930,0.3435296958738436
ctrp_BRD-K11533227,0.3428345940782688
ctrp_ELCPK,0.3417392960038869
ctrp_foretinib,0.34082064142290563
ctrp_indisulam,0.34067980683086607
ctrp_CAY10576,0.34043279910097063
ctrp_BMS-270394,0.33922292656784325
ctrp_tipifarnib-P1,0.33909729084222573
ctrp_bendamustine,0.3387218025421386
ctrp_BRD-A71883111,0.3384023527031987
ctrp_BRD-K29086754,0.3383911028337349
ctrp_NSC23766,0.3383256095885313
ctrp_BRD-K84807411,0.3382874227414652
ctrp_fingolimod,0.3373494676036972
ctrp_BRD-K42260513,0.3369189525136036
ctrp_BRD-K13999467,0.33638875058886714
gdsc_NPK76-II-72-1,0.33438820152793886
ctrp_tacrolimus,0.33398107988346354
ctrp_AZD4547,0.33379160207609293
ctrp_cediranib,0.3333573781403632
ctrp_ABT-199,0.33286238379508765
ctrp_barasertib,0.3315566551233623
ctrp_PDMP,0.3306863621728481
ctrp_darinaparsin,0.329859935958713
ctrp_sitagliptin,0.3268632111769417
ctrp_sildenafil,0.3261337989337693
ctrp_BRD-K24690302,0.3258166326472953
gdsc_GSK269962A,0.3254520775960369
ctrp_bexarotene,0.32513752469287033
ctrp_BRD1835,0.3249225859637531
ctrp_TG-100-115,0.3248063960621369
ctrp_NVP-ADW742,0.32442836206529296
ctrp_SZ4TA2,0.3235234553745962
ctrp_SKI-II,0.32325806053450784
ctrp_PLX-4032,0.32310758810218465
ctrp_ML162,0.32225194133803575
ctrp_alisertib,0.3207530752730879
ctrp_JW-55,0.32009256621373805
ctrp_MST-312,0.31815033789995073
ctrp_necrostatin-7,0.31781364473688567
ctrp_CIL41,0.317653033833912
gdsc_KIN001-270,0.31758335872946775
ctrp_elocalcitol,0.31748471552425234
ctrp_BIBR-1532,0.3170568363287321
ctrp_KW-2449,0.31649411497071483
ctrp_PF-184,0.3154427159841238
ctrp_MGCD-265,0.314842087212759
ctrp_PI-103,0.3142301657305459
ctrp_968,0.3140254591532411
ctrp_Mdivi-1,0.31361947241685467
gdsc_SN-38,0.3132801347793269
ctrp_AC55649,0.31320346979618285
ctrp_tamoxifen,0.3127968067993441
gdsc_Daporinad,0.3116695534133285
ctrp_Ki8751,0.311058018601865
ctrp_cytarabine hydrochloride,0.30992336404615783
ctrp_NSC 74859,0.30855088562230926
ctrp_cabozantinib,0.30834661503523225
ctrp_JW-74,0.30819609227628975
ctrp_pazopanib,0.30715786117262467
ctrp_AT-406,0.3062017107632606
ctrp_BRD-K92856060,0.30564724893431316
ctrp_SGX-523,0.3034302410440249
ctrp_BRD-K90370028,0.3032435931728497
ctrp_BMS-754807,0.3027920644085589
ctrp_PYR-41,0.3023040184602327
ctrp_LY-2183240,0.3016707992199235
ctrp_ETP-46464,0.30164242203308855
ctrp_brivanib,0.2995198541235696
ctrp_nintedanib,0.2994710742425885
ctrp_UNC0638,0.2994149411941507
ctrp_etoposide,0.2992862616804976
ctrp_GW-843682X,0.2982476143313863
ctrp_isoevodiamine,0.29752401280609336
