,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.687,,,0.687,,+...,1,175,1.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.988,...+,673,2,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.6629999999999999,,,0.663,,+...,2,176,2.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.63,,,0.63,,+...,3,177,3.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.62,,,0.62,,+...,4,178,4.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.96,...+,674,4,4.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.93,...+,677,6,6.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.5710000000000001,,,0.571,,+...,6,179,6.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.914,...+,678,7,7.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.539,,,0.539,,+...,7,180,7.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.912,...+,679,8,8.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.635,0.43700000000000006,,0.536,,++..,8,181,8.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.905,...+,680,9,9.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.87,...+,681,10,10.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.507,,,0.507,,+...,10,182,10.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.8540000000000001,...+,683,11,11.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.48200000000000004,,0.482,,.+..,12,183,12.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.48100000000000004,,,0.481,,+...,13,184,13.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,0.821,...+,684,14,14.0
nsc-87877,gdsc_NSC-87877,Not Clinically Relevant,0.47100000000000003,,,0.471,,+...,14,185,14.0
