,moa,GDSC,CTRP,CCLE,drug,score,evidence
tl-2-105,Not Clinically Relevant,0.687,,,gdsc_TL-2-105,0.687,+..
sb52334,Not Clinically Relevant,0.6629999999999999,,,gdsc_SB52334,0.663,+..
gsk1070916,Not Clinically Relevant,0.63,,,gdsc_GSK1070916,0.63,+..
gw-2580,Not Clinically Relevant,0.62,,,gdsc_GW-2580,0.62,+..
linsitinib,IGF-1R inhibitor,0.6859999999999999,0.48200000000000004,,ctrp_linsitinib,0.584,++.
vx-702,Not Clinically Relevant,0.5710000000000001,,,gdsc_VX-702,0.571,+..
bx-912,Not Clinically Relevant,0.539,,,gdsc_BX-912,0.539,+..
tubastatin a,Not Clinically Relevant,0.635,0.43700000000000006,,ctrp_tubastatin A,0.536,++.
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.705,0.319,,ctrp_navitoclax,0.512,++.
amuvatinib,Not Clinically Relevant,0.507,,,gdsc_Amuvatinib,0.507,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.498,,,gdsc_Rucaparib,0.498,+..
avrainvillamide,Not Clinically Relevant,,0.48200000000000004,,ctrp_avrainvillamide,0.482,.+.
gsk319347a,Not Clinically Relevant,0.48100000000000004,,,gdsc_GSK319347A,0.481,+..
nsc-87877,Not Clinically Relevant,0.47100000000000003,,,gdsc_NSC-87877,0.471,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.524,0.396,,ctrp_axitinib,0.46,++.
xmd13-2,Not Clinically Relevant,0.456,,,gdsc_XMD13-2,0.456,+..
ml239,Not Clinically Relevant,,0.445,,ctrp_ML239,0.445,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.444,,ctrp_ABT-737,0.444,.+.
brd-k99006945,Not Clinically Relevant,,0.441,,ctrp_BRD-K99006945,0.441,.+.
brd-k51490254,Not Clinically Relevant,,0.439,,ctrp_BRD-K51490254,0.439,.+.
