drug_name,DMB006
AIRE,0.9995
PAPSS1,0.9995
RPS6KA4,0.9995
PRKAR2A,0.9992
DFFA,0.9992
HADHA,0.9991
TMEM174,0.9991
CCNH,0.9989
CISH,0.9989
CNOT4,0.9987
huperzine-a,0.9986
SRPK1,0.9986
SLC29A2,0.9984000000000001
BRD-A38793261,0.9982
ESRRA,0.9982
TFDP1,0.9982
SULT1A1,0.9979
NFIB,0.9976999999999999
EIF2C3,0.9976
O3FAR1,0.9976
deferiprone,0.9975
tyrphostin-AG-1295,0.9975
USP14,0.9974
SRC,0.9972
ATG4A,0.9972
EIF4A2,0.9972
WNT7B,0.9972
UCK2,0.9971
EIF4E,0.9971
VAPB,0.9968
IDH2,0.9967
TSPAN4,0.9963
TCF4,0.9963
vecuronium,0.9962000000000001
SCP2,0.9961
SCMH1,0.9961
ALW-II-49-7,0.9961
AES,0.9961
ATF4,0.9961
KIF14,0.9958
flumazenil,0.9958
COX7B,0.9954999999999999
ARPC1A,0.9954000000000001
betahistine,0.9954000000000001
ZC3H4,0.9953
COASY,0.9953
NTRK1,0.9953
EMD-386088,0.9951000000000001
ATP6V1D,0.9951000000000001
QW-BI-011,0.995
RALA,0.9948999999999999
TRAK2,0.9948999999999999
MELK,0.9947
TES,0.9947
FPL-64176,0.9947
HMOX1,0.9947
DMEOB,0.9947
DNM1L,0.9945999999999999
P2RY2,0.9945
TNKS2,0.9945
PAQR7,0.9945
nomegestrol,0.9944
DYNLT3,0.9942
PSMG1,0.9940000000000001
SALL4,0.9940000000000001
BAMBI,0.9939
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9939
CHAC1,0.9939
OXA1L,0.9939
CLEC16A,0.9939
PCGF2,0.9937
FEZ1,0.9934999999999999
HOXB7,0.9934999999999999
DHFR,0.9934999999999999
TSPAN8,0.9933
NNT,0.9932
RBBP7,0.9931
lenalidomide,0.993
CREM,0.9929000000000001
KLF10,0.9929000000000001
IGF2,0.9926999999999999
PIK3C2A,0.9926
ORM1,0.9924
mupirocin,0.9919
BAS-09104376,0.9919
ITPKA,0.9917
ABCC4,0.9915999999999999
TEAD2,0.9915999999999999
SIAH2,0.9915
TNFSF8,0.9913
CPNE3,0.9913
etodolac,0.9912000000000001
OAT,0.9911
BRD-K73285375,0.991
3-amino-benzamide,0.9909
PPIG,0.9908
MAS1L,0.9906999999999999
KIF9,0.9906999999999999
SOX10,0.9906999999999999
DVL1,0.9904999999999999
finasteride,0.9904999999999999
PAF1,0.9903
ZNF85,0.9903
4-(2-Amino-ethyl)-benzenesulfonamide,0.9901000000000001
zileuton,0.9901000000000001
desoxypeganine,0.99
NR0B2,0.9898
diltiazem,0.9898
BRD-K63784565,0.9897
CISD1,0.9895
GLDC,0.9895
tropisetron,0.9894
triacsin-c,0.9891
esmolol,0.9891
KCTD5,0.9889
PRKAB1,0.9887
epibatidine,0.9887
farnesylthioacetic-acid,0.9887
VU-0400071-3,0.9887
BRD-K16618170,0.9886
L-701324,0.9886
RAB31,0.9884000000000001
INS,0.9884000000000001
LOXL1,0.9884000000000001
BRD-A05680309,0.9884000000000001
CCRN4L,0.9884000000000001
repaglinide,0.9884000000000001
iobenguane,0.9883
PIAS4,0.9882
CRYZ,0.988
DTX2,0.9879000000000001
nikkomycin,0.9878
zolpidem,0.9873000000000001
CRY1,0.9872
danoprevir,0.987
actarit,0.987
MAPK3,0.9868000000000001
NSD1,0.9868000000000001
KIAA0317,0.9865999999999999
NPDC1,0.9863
TADA3,0.9862000000000001
RPL39L,0.9862000000000001
NSC-94258,0.9862000000000001
Poly ADP ribose polymerases LOF,0.9862000000000001
mefenamic-acid,0.9861
memantine,0.9859
RASD1,0.9859
griseofulvin,0.9859
CELSR2,0.9858
mepyramine,0.9856999999999999
GSK-1904529A,0.9856
General transcription factors group 1 LOF,0.9856
BIRC2,0.9854
CERK,0.9853000000000001
COQ3,0.9853000000000001
PFN2,0.9853000000000001
ZNF562,0.9852
RCHY1,0.985
X linked mental retardation group 2 LOF,0.985
Vitamin D receptor agonist,0.985
doxercalciferol,0.9849
ARHGEF6,0.9847
sulfafurazole,0.9845
LRPAP1,0.9845
PPM1L,0.9845
RPS3,0.9843999999999999
TRAF2,0.9842
SH2B3,0.9842
ZNF267,0.9842
SOX4,0.9840000000000001
POLQ,0.9839
etodolac,0.9838
cinalukast,0.9836
LIM class homeoboxes GOF,0.9833
HAL,0.9833
IL12B,0.9832
PTGER4,0.9831
MED28,0.9829000000000001
GNG8,0.9829000000000001
SB-216763,0.9828
danazol,0.9826
IRF9,0.9823999999999999
BRD-K15107389,0.9823999999999999
lapatinib,0.9823999999999999
phenprobamate,0.9819
phensuximide,0.9819
embelin,0.9818000000000001
doxylamine,0.9818000000000001
olanzapine,0.9817
GRPR,0.9817
TAF5L,0.9814
ethisterone,0.9813
IFIH1,0.9812000000000001
LRP4,0.9811
ATF1,0.9811
SCAF8,0.981
SLC7A11,0.9809
STK24,0.9809
QRFPR,0.9808
FGFR2,0.9806999999999999
LHX9,0.9806
SRT-1720,0.9806
MCOLN1,0.9804999999999999
COX4I1,0.9802
FBXO11,0.9801000000000001
AM-404,0.98
GW-843682X,0.9799
aminomethyltransferase,0.9792000000000001
NF-449,0.9792000000000001
OXSR1,0.9790000000000001
ZNF398,0.9790000000000001
IB-MECA,0.9789
BRD-K63954456,0.9789
retinol,0.9788
POU2AF1,0.9788
EMSY complex LOF,0.9788
BRD-K70693222,0.9786
CDK5,0.9782
