drug,score,moa
lenalidomide,0.993,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
iobenguane,0.988,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
lapatinib,0.982,HER2/EGFR inhibitor
sitagliptin,0.973,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
TG100-115,0.960,PI3Kγ/δ inhibitor
hydrocortisone,0.948,Anti-inflammatory
alisertib,0.942,Aurora A kinase inhibitor
vinorelbine,0.937,disrupts microtubule dynamics; natural product
tretinoin,0.935,Retinoid
vincristine,0.935,"binds tubulin, disrupts microtubule dynamics"
idarubicin,0.933,"Topo II inhibitor, intercalates into DNA, anthracycline"
thiotepa,0.930,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
mitotane,0.914,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
sorafenib,0.913,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
GSK-461364,0.912,"Plk1 inhibitor, less active against Plk2 and Plk3."
cladribine,0.905,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
mercaptopurine,0.870,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
exemestane,0.858,"aromatase inhibitor, blocks conversion of androgens to estrogens"
raltitrexed,0.854,"antimetabolite,  inhibitor of thymidylate synthase"
barasertib,0.828,highly selective Aurora B kinase inhibitor
semaxanib,0.821,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia"
hydrocortisone,0.821,Anti-inflammatory
JNJ-26854165,0.818,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
vinorelbine,0.818,disrupts microtubule dynamics; natural product
escitalopram,0.815,Selective Serotonin Reuptake Inhibitor (SSRI)
ON-01910,0.812,"ON-01910, Plk-1 inhibitor"
mitomycin-c,0.803,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
fludarabine,0.798,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
obatoclax,0.793,Bcl-2 antagonist
irinotecan,0.788,"aka CPT-11, inhibitor of Topo I"
tamoxifen,0.776,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
hyperforin,0.776,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
gossypol,0.770,"Natural product, may function to inhibit Bcl2 family members"
etoposide,0.769,Topo II inhibitor
chlorambucil,0.754,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
toremifene,0.742,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
sunitinib,0.737,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
sirolimus,0.726,"rapamycin, mTOR inhibitor"
hydrocortisone,0.706,Anti-inflammatory
axitinib,0.702,"VEGFR, c-KIT and PDGFR inhibitor"
lapatinib,0.698,HER2/EGFR inhibitor
cimetidine,0.695,(Tagamet) Antacid and antihistamine
sirolimus,0.664,"rapamycin, mTOR inhibitor"
anagrelide,0.660,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
