,BT084
NCIH524,0.41137290214578187
DMS273,0.3793872201276702
NCIH1184,0.363872073975385
HCC33,0.3180984601349737
NCIH446,0.3169844517208797
NCIH1155,0.311920167614788
NCIH810,0.2874503328139255
IMR32,0.28185060722492844
NCIH1341,0.27342370510718494
D283MED,0.27118368074527227
KMS11,0.27054730042319386
COLO668,0.2649342372215682
DMS53,0.26369797555807106
DAOY,0.25899002374080793
DMS454,0.2557946553585968
DMS114,0.2543533541344492
G292CLONEA141B1,0.25299933744342873
5637,0.251976719331807
DU145,0.251219646238666
SNU503,0.23976420907272025
NCIH211,0.23893382609595124
TE14,0.2383211114749379
RH41,0.23734983266296308
UBLC1,0.23696888738998595
KYSE450,0.2362021540022453
LK2,0.23430965588294694
BEN,0.23349446504720212
HARA,0.23090983806130294
BICR18,0.23026656185781158
SKNDZ,0.22962675131669485
RD,0.2292895762346078
NCIH661,0.22701220324502464
NCIH2029,0.22576211303746344
SW1463,0.22559557873732922
SKES1,0.22515424063323222
TE4,0.22383958498688178
KNS62,0.22314335172811015
WM793,0.22027457978018722
FUOV1,0.21949150433731976
NCIH520,0.21906433324700963
TE10,0.21829842184907827
IGR37,0.2169612726505006
NCIH727,0.21534592814072687
SF268,0.2148653543193932
MDAMB361,0.2143311634108578
NCIH1651,0.2141414336362357
G361,0.2140811530932266
QGP1,0.21400698252433678
CAL78,0.21388693507501108
CAL27,0.21387586132014294
RH30,0.21298506138339707
YH13,0.21245300451210453
CORL95,0.21208746371640624
NH6,0.21185393775940078
MHHNB11,0.21129329957073195
NCIH522,0.2106656780058987
CHAGOK1,0.210325865116096
TE8,0.21014129192615064
NCIH2052,0.20934968600864043
TE441T,0.20873758945333412
HCC1833,0.2083164478819978
NCIH2286,0.20634454793158508
SW579,0.20578386363150328
NCIH2196,0.20527213275148187
WM115,0.20514449377170738
CAOV3,0.20513124171533176
SUIT2,0.20475874229682256
YD15,0.20359376102490875
SNU878,0.20256861680511018
HCC1954,0.20182066331514764
CADOES1,0.20091423382559281
ESS1,0.2008528512489856
WM2664,0.20062949930024723
SIMA,0.20049796125671007
MKN1,0.20021775578391962
HCC95,0.19990933635988273
KELLY,0.19971566817061404
ES2,0.19967853976765138
HS852T,0.19952318295652202
OV7,0.19942563692858767
NCIH2170,0.19908233656089938
YD10B,0.1989628382538241
NCIH2444,0.19814152568707083
HOS,0.19759857280868184
TUHR4TKB,0.19755318622248044
NCIH1792,0.19713026903322473
TT2609C02,0.19682380935309227
CCFSTTG1,0.19649372771558757
NCIH841,0.19638562702356557
MPP89,0.19585841925871691
ISTMES1,0.19534294231966756
COLO792,0.19514355400332695
DKMG,0.19471295271754602
BICR16,0.1943437791014137
NCIH1299,0.19376445601424874
NCIH23,0.19319036112282098
OAW28,0.19300346813008237
SKMEL3,0.19292974823932532
MSTO211H,0.19268730566617662
HGC27,0.19206690355297978
UMUC1,0.19142757034969568
NCIH747,0.19118579060699548
NCIH1693,0.19095779978937888
SKNMC,0.19042829040961948
JHOS2,0.189825884044419
VMRCRCW,0.1895337505761059
WM88,0.1884561523732036
T3M10,0.18799680584723374
VMCUB1,0.18766787741305851
SKNFI,0.18754050251076704
ACHN,0.18622384633429764
FTC133,0.18621665382142288
ECC12,0.18588388647041088
TE6,0.18581943816149696
TCCPAN2,0.18574582072671167
DBTRG05MG,0.18467708756251644
ZR751,0.1844101396564595
SAOS2,0.18436081168787016
NCIH460,0.1834577921399216
HCT15,0.18242830864273982
22RV1,0.18228607287861745
MKN45,0.18179194409654675
NCIH2023,0.18167894869672085
WM983B,0.18158458950341025
SW48,0.18152275920187633
NCIH1581,0.18148377993104728
VCAP,0.18144136976462313
MHHES1,0.18022845583572852
IPC298,0.18019344694413253
RH18,0.17940313513635653
SNU475,0.17917597284669826
CHP212,0.17913394825279777
PECAPJ34CLONEC12,0.17837185712448786
OC314,0.17828635013495314
OE21,0.17826240477969132
A549,0.17781427625555346
PECAPJ49,0.1773521925196857
JL1,0.1772822045093348
HCC1806,0.17719545697599592
MDST8,0.17717200658235924
ISHIKAWAHERAKLIO02ER,0.17675535474909396
YD38,0.1767543347511415
EFE184,0.1765728526654032
COV644,0.17614419152910735
HCC1171,0.1759464052405564
SNU182,0.1758781976944602
HMCB,0.17530351598443447
FADU,0.17502208941251815
COV434,0.17489350638434134
LU99,0.17443570579659298
SCC25,0.17340581478978076
A204,0.17295443941800412
KYSE70,0.1725542639738033
A2780,0.17239708445539353
TM31,0.17208071319225363
VMRCRCZ,0.1719526190977437
SNU685,0.17191230343315647
SNU398,0.1716514958439071
LUDLU1,0.1715531420056438
JMSU1,0.171245204416148
HEYA8,0.17108178867409454
TUHR10TKB,0.17034680141730454
NCIH196,0.17029979688169777
YAPC,0.1700093196336828
COLO829,0.16973880030027094
SNU46,0.16961496022360617
HS729,0.16961175300767622
SNU81,0.16951769734653482
SNB75,0.1692823899660225
KLE,0.16898411971399416
U2OS,0.16860455086130097
SKNSH,0.16833033617317275
BICR56,0.1679715823858368
HELA,0.1679642487332943
JHUEM3,0.16793306536436167
SKMEL24,0.16779683331981265
HS688AT,0.16766545126008955
SNUC4,0.16708000992915178
YD8,0.1664821023186522
TOV112D,0.16619695302812953
HS839T,0.16613217198484653
SKHEP1,0.1659608907353156
KPNSI9S,0.1650365517812583
647V,0.16503073983042515
SNU119,0.164701942245444
