,DMB006,COSMIC ID
cosmic_688022,-0.03421002731021489,688022
cosmic_688031,-0.06404674934504022,688031
cosmic_713899,-0.09383492752744829,713899
cosmic_908483,-0.09385049995872541,908483
cosmic_753582,-0.10348135650364379,753582
cosmic_910691,-0.11093935418512263,910691
cosmic_924241,-0.12511817518897045,924241
cosmic_687997,-0.12621926747081122,687997
cosmic_753588,-0.1271613951483778,753588
cosmic_688006,-0.1278166899755064,688006
cosmic_949175,-0.12956214143028982,949175
cosmic_909194,-0.1296456991518875,909194
cosmic_753589,-0.13228723815297364,753589
cosmic_688014,-0.14444671659616026,688014
cosmic_688026,-0.15193066854021603,688026
cosmic_688021,-0.1546858947462932,688021
cosmic_687985,-0.15470919007156494,687985
cosmic_688027,-0.15666543802585048,688027
cosmic_688013,-0.16237524825295202,688013
cosmic_713878,-0.16293322211031783,713878
cosmic_688010,-0.16562160308796592,688010
cosmic_907170,-0.16798495189052548,907170
cosmic_910937,-0.1712785823484443,910937
cosmic_753564,-0.17567564267799665,753564
cosmic_713885,-0.17568494700346152,713885
cosmic_688023,-0.177485181259208,688023
cosmic_1330972,-0.17786013289593616,1330972
cosmic_687980,-0.17885445908378592,687980
cosmic_753599,-0.17897685088856943,753599
cosmic_908468,-0.18190815992283718,908468
cosmic_688025,-0.1819781371066607,688025
cosmic_906834,-0.18327065468773476,906834
cosmic_753594,-0.1904592997850502,753594
cosmic_753547,-0.1918717083501537,753547
cosmic_1322213,-0.19222058018875088,1322213
cosmic_908467,-0.19259778092719018,908467
cosmic_949173,-0.1928878169237168,949173
cosmic_910941,-0.19432471931905568,910941
cosmic_1240193,-0.1957966942515098,1240193
cosmic_688001,-0.195815525097313,688001
cosmic_1297438,-0.19607415969029782,1297438
cosmic_1240181,-0.2032664833984579,1240181
cosmic_910568,-0.20553136611763073,910568
cosmic_753605,-0.20673189869854183,753605
cosmic_908135,-0.2068808358044993,908135
cosmic_688011,-0.20764131793234036,688011
cosmic_688018,-0.2081044549778954,688018
cosmic_688007,-0.2086618574953711,688007
cosmic_907295,-0.2099194390734415,907295
cosmic_688087,-0.21240969280066632,688087
cosmic_688086,-0.2155242089998048,688086
cosmic_753618,-0.21939356961087594,753618
cosmic_753607,-0.21960577123734773,753607
cosmic_908469,-0.22144762821187897,908469
cosmic_1297439,-0.22155223636880433,1297439
cosmic_687804,-0.2232016091344481,687804
cosmic_1322212,-0.22397944532247904,1322212
cosmic_910567,-0.2264716874005646,910567
cosmic_687600,-0.22976759747178882,687600
cosmic_910692,-0.23357885417247054,910692
cosmic_909731,-0.23432736354845857,909731
cosmic_908481,-0.2352469309551788,908481
cosmic_949178,-0.23548859297362787,949178
cosmic_906808,-0.2403201587051055,906808
cosmic_907314,-0.24263913083642763,907314
cosmic_753620,-0.24775303490666753,753620
cosmic_1330964,-0.24800969659253336,1330964
cosmic_925341,-0.24875342621285954,925341
cosmic_949166,-0.25056844310873555,949166
cosmic_1240182,-0.25376693764257224,1240182
cosmic_949168,-0.2564824959411953,949168
cosmic_910899,-0.25689850203104814,910899
cosmic_949170,-0.25767505566948923,949170
cosmic_717431,-0.2577831601908317,717431
cosmic_908447,-0.2579101661847699,908447
cosmic_753616,-0.2585531347324109,753616
cosmic_753551,-0.25907272544327264,753551
cosmic_909779,-0.26101082792470826,909779
cosmic_906850,-0.262431501797456,906850
cosmic_1298534,-0.26353188676967204,1298534
cosmic_949179,-0.2635876480080194,949179
cosmic_724872,-0.2643824396146667,724872
cosmic_910780,-0.26581802304629953,910780
cosmic_724828,-0.26635350849807665,724828
cosmic_713869,-0.271368600592016,713869
cosmic_687787,-0.27153425136019604,687787
cosmic_908129,-0.27349921813023653,908129
cosmic_924100,-0.2741217562822474,924100
cosmic_949177,-0.27490627323569466,949177
cosmic_906875,-0.2768003073883608,906875
cosmic_949171,-0.2771943841814462,949171
cosmic_753539,-0.27725966615022474,753539
cosmic_949161,-0.27831717799646916,949161
cosmic_1330973,-0.2783567281462579,1330973
cosmic_753534,-0.28362653397192195,753534
cosmic_906833,-0.2849605239904798,906833
cosmic_946360,-0.28568075880539806,946360
cosmic_1298349,-0.28846559060916993,1298349
cosmic_1299075,-0.288595098757446,1299075
cosmic_687798,-0.2911727862409025,687798
cosmic_908454,-0.29136319554898543,908454
cosmic_908443,-0.2919699433476173,908443
cosmic_687995,-0.2937868463583218,687995
cosmic_1240217,-0.29386774987773073,1240217
cosmic_946357,-0.29469485967517156,946357
cosmic_909707,-0.29546684481086694,909707
cosmic_906849,-0.2954981370479432,906849
