,DMB006
NCIH1184,0.3234231130843538
NCIH1092,0.302924483246017
NCIH1155,0.25561611221542185
NCIH1694,0.23765844483642287
NCIH1341,0.21381541230719173
NCIH810,0.20405851297971161
IMR32,0.19749635038270275
DMS114,0.1907380000529357
DU145,0.18229668127503532
MFE280,0.1575492749730327
KYSE450,0.15751715605721656
KNS62,0.15524752180952092
NCIH2052,0.15490325664812457
NCIH661,0.15439515391767805
SIMA,0.15430291077409544
5637,0.15233322902313745
SKNFI,0.15161993051984138
NCIH522,0.15044234018829744
KELLY,0.15013388011814224
QGP1,0.14673209169316917
SKNDZ,0.14147971749535432
SKNSH,0.1388517972455608
KPNSI9S,0.13758862155290197
SUIT2,0.1337460365189834
NCIH1651,0.1322091685790387
NCIH211,0.13155763408474058
NCIH2170,0.12997503713362055
NCIH1299,0.1286371820035606
DAOY,0.1285758447316388
SKNBE2,0.12813537833603877
SNU475,0.1271935834049797
SNU398,0.12717518165691344
22RV1,0.1262858985594018
NCIH1048,0.12590554230622053
IGR37,0.12550295500486108
TOV112D,0.12515011495594394
TC71,0.1234595221196579
HARA,0.12081837353462804
ESS1,0.12019421492996063
KMS11,0.12005080819025175
SHP77,0.11996118978900072
NCIH520,0.1180091684668645
ISTMES1,0.116265073591023
FUOV1,0.11576939645566815
NCIH747,0.11512470167826522
CAL27,0.11487210721858843
MSTO211H,0.10947754306217772
EM2,0.10867211681716343
EN,0.10780254491128362
U2OS,0.10777176145447055
NIHOVCAR3,0.10761275056385128
CHP212,0.10632794846226151
NCIH727,0.10268057659997464
HCC1954,0.10248567355370386
MKN45,0.10174528067763292
NCIH1581,0.09897676508884637
JHOS2,0.09841626203662822
T3M10,0.09801996140403003
JMSU1,0.0975712508910526
TT2609C02,0.09740836823007
DBTRG05MG,0.09735876403030673
WM983B,0.09712251844464512
KURAMOCHI,0.09703291520922619
SW1088,0.09674777566487372
A172,0.09659101320100913
SAOS2,0.0965787308362538
KYSE180,0.0964697917188285
JHOS4,0.09638772665112232
WM115,0.09563826904114874
HOS,0.09471308453819811
G361,0.09431556568783597
KLE,0.09318664902136681
SKES1,0.09260929753563099
NCIH2444,0.09141030260861267
NCIH1650,0.09140310478313561
ES2,0.09107362142625157
SNU182,0.0909274842564319
SW480,0.09073993195480139
ISHIKAWAHERAKLIO02ER,0.09051604875308013
ONCODG1,0.09040501663749588
DKMG,0.09001451564344867
WM2664,0.08993498416272888
SW579,0.08986548838431489
WM793,0.08941352766940894
ZR751,0.08913495348107317
NCIH2286,0.0886397270943022
8MGBA,0.08792858427520714
A253,0.08766260835903102
CAS1,0.08752108966606674
SBC5,0.08702967320153811
KYSE410,0.08548033495958249
SCC25,0.0848755440386512
OVCAR8,0.0847957848341524
RERFGC1B,0.08456174003747441
FADU,0.08440493968426813
MDAMB157,0.08432355342425875
MDAMB436,0.08384891889313291
SW48,0.08373741187496415
HGC27,0.08331186150429139
HCC1187,0.08280737097181197
NCIH23,0.0826911684325412
DETROIT562,0.08245052528433179
BT549,0.08236091207232958
MKN74,0.08158499618665543
SKMEL5,0.08150265383679271
COV318,0.08105946311840732
A204,0.08087832092204454
IGR39,0.08031379419475969
8305C,0.07995466606575849
A549,0.07983522643093201
UACC812,0.07940043880806519
NCIH1792,0.07887896089958754
HS936T,0.07884830811596842
HCT15,0.07765379189532737
CAL78,0.07760542679150241
H4,0.077299410400314
SW1573,0.07656665627568524
BL70,0.07620622601462437
CALU6,0.07610144656368234
MPP89,0.07608172177714585
ISTMES2,0.07602442624523881
RD,0.07562755958628392
C2BBE1,0.0756111382710385
HEL9217,0.07558880764614127
SW1417,0.07555031822515924
HCT116,0.07512742322429647
BT474,0.0751059028770322
OE21,0.07476246262928424
KYSE70,0.07467401315093634
SW1353,0.07435494832696514
NCIH1666,0.0739154526135683
HS683,0.07387303131112866
RKN,0.07344125613461262
HEYA8,0.07326083538312603
NCIH650,0.07309472769971971
KMRC1,0.07300684864240262
SW900,0.07224935770954494
MKN7,0.0715015607393317
MIAPACA2,0.07149475012340233
SJSA1,0.07138781532385505
KARPAS620,0.07123682895553163
HS729,0.07081589091266999
SF126,0.07017127657927369
ACHN,0.07011900368442943
