,DMB006
NCIH524,0.34526770123609374
NCIH1184,0.3234231130843538
DMS273,0.31181140313064626
HCC33,0.29353895104910044
D283MED,0.25991709789207634
NCIH1155,0.25561611221542185
NCIH446,0.24809564777262944
NCIH2029,0.2336796388656142
CORL95,0.22248543944172147
NCIH1341,0.21381541230719173
NCIH810,0.20405851297971161
DMS53,0.20014601066290094
IMR32,0.19749635038270275
NH6,0.19440106133530013
COLO668,0.19392996096757506
DMS114,0.1907380000529357
NCIH2196,0.19019622310215875
DU145,0.18229668127503532
ECC12,0.1643195083447929
CADOES1,0.16388575078494508
LK2,0.16357815188871816
KYSE450,0.15751715605721656
KNS62,0.15524752180952092
NCIH2052,0.15490325664812457
NCIH661,0.15439515391767805
SIMA,0.15430291077409544
NCIH196,0.1535624536197932
5637,0.15233322902313745
SKNFI,0.15161993051984138
VCAP,0.15151792503963643
NCIH522,0.15044234018829744
KELLY,0.15013388011814224
TE10,0.1491806143741677
TE441T,0.14800642065037528
QGP1,0.14673209169316917
DMS454,0.14523540706377472
SKNDZ,0.14147971749535432
CAOV3,0.14137846897511874
TE8,0.1393658199314904
SKNSH,0.1388517972455608
SW1463,0.13835707101504494
KPNSI9S,0.13758862155290197
BEN,0.13705664926436176
SUIT2,0.1337460365189834
FTC133,0.13357719752069808
NCIH1651,0.1322091685790387
TE4,0.13199288929864808
NCIH211,0.13155763408474058
NCIH2170,0.12997503713362055
BICR18,0.12865911219510584
NCIH1299,0.1286371820035606
DAOY,0.1285758447316388
MHHNB11,0.12847473658110203
SKNBE2,0.12813537833603877
SNU475,0.1271935834049797
SNU398,0.12717518165691344
UBLC1,0.12632579416550418
22RV1,0.1262858985594018
IGR37,0.12550295500486108
TOV112D,0.12515011495594394
ECC10,0.12251127066078982
HARA,0.12081837353462804
HCC1833,0.12038321281295013
ESS1,0.12019421492996063
KMS11,0.12005080819025175
JL1,0.11956380280129673
TE6,0.11929479197027545
NCIH520,0.1180091684668645
ISTMES1,0.116265073591023
FUOV1,0.11576939645566815
NCIH747,0.11512470167826522
CAL27,0.11487210721858843
MSTO211H,0.10947754306217772
SNU503,0.1090890549304861
TUHR4TKB,0.10869861946223018
SF268,0.10791961746252657
EN,0.10780254491128362
U2OS,0.10777176145447055
BICR16,0.10689176405632247
CHP212,0.10632794846226151
COLO792,0.10516975815822444
OV7,0.10506265915757802
CHAGOK1,0.1046884041641541
NCIH727,0.10268057659997464
HCC1954,0.10248567355370386
NCIH841,0.1024578801389016
MKN45,0.10174528067763292
TE14,0.101541387851633
G292CLONEA141B1,0.10084988868966259
SNU81,0.09944210435032767
COV434,0.09920978177361454
SNU878,0.09900531689300236
NCIH1581,0.09897676508884637
JHOS2,0.09841626203662822
T3M10,0.09801996140403003
JMSU1,0.0975712508910526
TT2609C02,0.09740836823007
DBTRG05MG,0.09735876403030673
WM983B,0.09712251844464512
KURAMOCHI,0.09703291520922619
KPNYN,0.09698111644705326
SW1088,0.09674777566487372
A172,0.09659101320100913
SAOS2,0.0965787308362538
KYSE180,0.0964697917188285
RH41,0.09636088976490943
HCC1171,0.09569017234943723
WM115,0.09563826904114874
HOS,0.09471308453819811
COV362,0.09469296431667036
NCIH1755,0.09450449649573135
G361,0.09431556568783597
TCCPAN2,0.09407735926982239
RH18,0.09331990194339843
KLE,0.09318664902136681
EPLC272H,0.09312911564254454
YD10B,0.09296434295559394
HCC95,0.09277329765296649
SKES1,0.09260929753563099
HUH28,0.0919364558501351
HCC1588,0.09183705091064326
SKMEL3,0.09152559289589117
NCIH2444,0.09141030260861267
NCIH1650,0.09140310478313561
ES2,0.09107362142625157
SNU182,0.0909274842564319
ISHIKAWAHERAKLIO02ER,0.09051604875308013
ONCODG1,0.09040501663749588
DKMG,0.09001451564344867
WM2664,0.08993498416272888
SW579,0.08986548838431489
WM793,0.08941352766940894
ZR751,0.08913495348107317
NCIH2286,0.0886397270943022
TM31,0.08863686000225844
8MGBA,0.08792858427520714
A253,0.08766260835903102
CAS1,0.08752108966606674
SBC5,0.08702967320153811
GSS,0.08701421411453468
UMUC1,0.08671404380819907
HCC1438,0.08658832948180485
OAW28,0.08639760378066147
CAL148,0.08630349716855945
CCFSTTG1,0.08603387567316333
OAW42,0.08586183910492501
KYSE410,0.08548033495958249
SCC25,0.0848755440386512
OVCAR8,0.0847957848341524
PECAPJ34CLONEC12,0.08450516300279434
FADU,0.08440493968426813
MDAMB157,0.08432355342425875
COV644,0.0843233883169808
MDAMB361,0.08427090469264728
SNU119,0.08415146187416744
SW48,0.08373741187496415
NMCG1,0.0836297994083248
HGC27,0.08331186150429139
YD38,0.08292926926697257
NCIH23,0.0826911684325412
HSC3,0.08250739422501886
DETROIT562,0.08245052528433179
BT549,0.08236091207232958
JIMT1,0.08163999547367722
MKN74,0.08158499618665543
SKMEL5,0.08150265383679271
COV318,0.08105946311840732
A204,0.08087832092204454
IGR39,0.08031379419475969
8305C,0.07995466606575849
A549,0.07983522643093201
SKMEL28,0.07926095756829614
SNU738,0.07907723463360339
NCIH1792,0.07887896089958754
HS936T,0.07884830811596842
RH30,0.07827317145822074
HCT15,0.07765379189532737
CAL78,0.07760542679150241
BICR6,0.07716415715770394
KG1C,0.07702314346130351
SNU685,0.07695825863936441
OVK18,0.07693786490724114
TUHR10TKB,0.0767081941479923
SW1573,0.07656665627568524
CALU6,0.07610144656368234
MPP89,0.07608172177714585
NCIH1734,0.07598877070674935
RD,0.07562755958628392
C2BBE1,0.0756111382710385
SW1417,0.07555031822515924
HS940T,0.07544472401468988
HCT116,0.07512742322429647
ML1,0.07512047115916419
BT474,0.0751059028770322
OE21,0.07476246262928424
YH13,0.07468153961573641
KYSE70,0.07467401315093634
PATU8988S,0.07446807032628622
SW1353,0.07435494832696514
COLO800,0.07409254465254184
SW1116,0.07399636606016552
NCIH1666,0.0739154526135683
HS683,0.07387303131112866
RKN,0.07344125613461262
HEYA8,0.07326083538312603
NCIH650,0.07309472769971971
KMRC1,0.07300684864240262
SNU489,0.07257702726207209
EFM192A,0.07254724077179005
MKN7,0.0715015607393317
MIAPACA2,0.07149475012340233
SJSA1,0.07138781532385505
COLO829,0.07132730389657235
HS729,0.07081589091266999
HS688AT,0.07060534005805484
SF126,0.07017127657927369
ACHN,0.07011900368442943
HCC44,0.06933772187108213
CW2,0.06927592849689443
KMRC2,0.0690131509876256
NCIH1568,0.06899819010078226
LU99,0.06873000473928298
HCC1195,0.06870036320292185
OVCAR4,0.06863597021914669
253J,0.06791661878746263
SKNAS,0.06743292339362471
SF539,0.0673559676252316
647V,0.06733737215169386
MDST8,0.0671330041393303
CAMA1,0.0670845229547342
HCC15,0.06653315743699383
HT55,0.06612505972499155
MKN1,0.06609454738648006
VMRCRCW,0.06599070557481827
HMCB,0.06594319743199718
RMGI,0.0659186775030355
GAMG,0.06587801530220658
MFE319,0.06544156028390918
JHOC5,0.0653717733479487
A2780,0.06510192850397196
YAPC,0.06477463427684885
VMRCRCZ,0.0646389642480699
SKOV3,0.06441170930770981
SNUC4,0.06404441881079169
HS822T,0.06387406138333294
SKHEP1,0.0638730519096017
SNU626,0.06382489164942491
NCIH460,0.06357858541286614
TE617T,0.06343406468997814
MELJUSO,0.06338415786415985
CALU1,0.06320217398324786
MHHES1,0.06311712356905859
SKMEL24,0.06294245067515114
SNB75,0.06244259861730735
FTC238,0.06205851335391577
42MGBA,0.06175697414183179
KALS1,0.06165211787811035
ECGI10,0.06153136594048747
CAKI2,0.060992968189390366
A673,0.060716173199967416
639V,0.06056588348625074
KNS60,0.060546296312507214
UACC257,0.060514671665957455
NCIH2228,0.06013322758894724
YD15,0.059600727710944844
HCC1143,0.05950075824757194
HT144,0.05946046464644608
HS944T,0.05936694236887636
HEPG2,0.05920342073944924
WM88,0.05892703336907894
SKNMC,0.058780560403172886
TUHR14TKB,0.05844777629101792
BICR31,0.058354177024474756
PECAPJ49,0.058286255132340765
NCIH1693,0.05810672898239107
HCC1500,0.058037816461395955
HS839T,0.05789473958490676
SNU423,0.05789023427488413
HUPT4,0.05787958905589883
NCIH1703,0.057878849343373354
SKMES1,0.057790658850123064
T98G,0.05775521783341169
VMCUB1,0.05749677447622564
JHUEM3,0.05740076033825202
UMUC3,0.057339172324085176
TE1,0.056603114107285246
OVSAHO,0.05644816591365494
EFE184,0.05629966044257468
GB1,0.056016805711901756
SW1710,0.055414050139029045
CAKI1,0.05536563075707146
MG63,0.05502753381428623
A498,0.054682422859281696
SNU46,0.054367556407391555
HCC1569,0.054272356867839364
MELHO,0.05388826152627417
KU1919,0.05314380077471358
NCIH2023,0.05222388930062225
IPC298,0.05218598120637694
OV90,0.052062623842422925
GOS3,0.05193165086716902
CALU3,0.05189004719980365
IGR1,0.05180957235287433
KPL1,0.05170485130008645
HCC1395,0.051529065794020265
U87MG,0.05149039479704836
CAL54,0.05083982588966973
HS934T,0.05050439819268014
HS852T,0.05049710293812097
MDAMB231,0.050493346561878975
YD8,0.05024079832571138
OVTOKO,0.05017384661302003
RCC10RGB,0.05016532415230719
YKG1,0.050051458446037735
G401,0.05002973449386299
NCIH647,0.04994976719510924
PECAPJ41CLONED2,0.04977243767647851
BC3C,0.04967236458416598
UACC62,0.049550783952584644
KMRC3,0.049434160788424455
KP4,0.04940413214729351
FU97,0.049244572045014756
CMLT1,0.048988558535721885
MEWO,0.04898509653280815
NCIH1395,0.04893543163125292
HCC38,0.04823814865802549
JHUEM7,0.04810197117581007
SNU216,0.04780868478589832
8505C,0.04769293667816928
HCC2279,0.047620685325483386
SNU8,0.04748950269550621
2313287,0.047429097981152926
CAL120,0.04733008232995281
EKVX,0.04727307090715396
TCCSUP,0.04712984142931506
NCIH1563,0.04671096545158492
HUCCT1,0.04633722758866389
RERFLCMS,0.04589594836413805
COLO741,0.04575804637512207
JHOM1,0.04570585534389836
LI7,0.04567316906931891
JURKAT,0.04550486510271305
NCIH1355,0.04542237800962861
HCC1806,0.045353321999136664
NCIH1623,0.04528985220925125
MOLP8,0.04523376247763799
KMRC20,0.04515760956991337
RPMI7951,0.045052869615932856
HS888T,0.04486133303648559
SNU201,0.044856508601663195
NCIH2291,0.04471583704775194
PATU8988T,0.04446728993351337
SNU1105,0.04442509120736674
SNU466,0.04440776281993555
A375,0.04437331579528522
HCC4006,0.043988797908962415
GCT,0.043956810631639906
HOP62,0.04356371209725817
LN18,0.04343261012380429
CAL12T,0.04281405891865682
T24,0.0423592509560968
U251MG,0.0423579225773158
PANC0327,0.042208558757954616
RERFLCAI,0.04153606333878264
LUDLU1,0.04118228371952474
KMH2,0.04114220098854744
HCC56,0.04106996028402759
NUGC3,0.04098640827795865
GMS10,0.04073032833976932
LMSU,0.040688084596521734
BFTC905,0.040324344765004065
786O,0.04014465090398714
SW1783,0.04008350538659961
HS294T,0.039714095025591555
LNCAPCLONEFGC,0.03939245530101669
SKMEL30,0.03927423573029046
OV56,0.039264146922265104
SKLU1,0.03907367056982548
KNS42,0.03882763638147521
SNU668,0.03870995258271944
SW1271,0.03805246232767174
SKMEL31,0.037969285512844286
MESSA,0.03746697700209601
SNU1066,0.037434189552637866
SNUC5,0.037239929053032576
M059K,0.03717900360456327
SNU387,0.03701663890889493
OC314,0.03697227823324878
LN229,0.036410135845084145
SNU1214,0.036234136005952905
MCF7,0.03618450552654607
HS746T,0.03617430705381298
CAL51,0.03603759784583827
OVISE,0.03589710998350245
PC3,0.03560457619635636
BCPAP,0.03518282096603367
NCIH2172,0.03468337113750428
NCIH322,0.034387070992029464
AGS,0.03426954476975455
NCIH508,0.034018574526423394
HS578T,0.033535776471537077
CAPAN2,0.033195915875892865
LCLC103H,0.032931840855898196
NCIH2085,0.0329087779165919
SNU886,0.03266348677063221
PECAPJ15,0.0323560281401409
HDMYZ,0.031850078177917684
HSC2,0.0316044919501344
BICR22,0.031545133259876776
