,mean_rank,weight
cervix,10.0,3.0
adrenal gland neuroblastoma,26.0,5.0
small cell lung carcinoma,28.5,88.0
lung carcinoma,35.0,1.0
pancreatic somatostatinoma,35.0,3.0
supraclavicular lymph node,43.0,3.0
adrenal gland,45.0,3.0
neuroblastoma,60.5,52.0
endometrioid stromal sarcoma,64.0,3.0
vertebra,64.5,2.0
lung carcinoid tumor,68.5,6.0
medulloblastoma,74.0,8.0
thyroid gland squamous cell carcinoma,83.0,3.0
right pararenal lymph node,83.0,2.0
gastric small cell neuroendocrine carcinoma,84.0,4.0
prostate carcinoma,88.0,11.0
inguinal lymph node,99.0,3.0
embryonal carcinoma,101.0,1.0
cervical small cell carcinoma,105.0,1.0
right thigh skin,106.0,2.0
right anterior leg,108.0,3.0
hereditary thyroid gland medullary carcinoma,109.0,1.0
multiple endocrine neoplasia type 2,109.0,1.0
brain,113.0,16.0
testicular embryonal carcinoma,121.0,1.0
invasive lobular breast carcinoma,128.0,1.0
neurofibromatosis type 1,135.0,1.0
peritoneal ascites,136.5,2.0
salivary gland squamous cell carcinoma,137.0,3.0
ovarian granulosa cell tumor,139.5,2.0
subserosa of fallopian tube,141.0,1.0
skin nodule,142.0,1.0
high grade ovarian serous adenocarcinoma,149.0,40.0
ewing sarcoma,154.0,31.0
large cell lung carcinoma,155.5,32.0
bronchogenic carcinoma,160.0,2.0
pharyngeal squamous cell carcinoma,162.0,3.0
embryonal rhabdomyosarcoma,165.0,6.0
primitive neuroectodermal tumor,175.5,2.0
bone marrow,176.0,65.0
alveolar rhabdomyosarcoma,176.0,9.0
mediastinal lymph node,178.0,1.0
hypopharyngeal squamous cell carcinoma,179.0,5.0
oligodendroglioma,180.0,5.0
ovarian carcinoma,193.0,6.0
squamous cell lung carcinoma,193.5,48.0
papillary renal cell carcinoma,195.0,5.0
osteosarcoma,198.0,23.0
rhabdomyosarcoma,204.0,4.0
ovarian leiomyosarcoma,204.0,3.0
ovarian adenocarcinoma,206.0,5.0
lung giant cell carcinoma,209.0,4.0
gastric adenosquamous carcinoma,220.5,2.0
adenosquamous lung carcinoma,223.0,9.0
thyroid gland follicular carcinoma,224.0,10.0
liposarcoma,226.0,1.0
"squamous cell breast carcinoma, acantholytic variant",229.0,3.0
lung mucoepidermoid carcinoma,230.0,3.0
minimally invasive lung adenocarcinoma,234.0,16.0
subcutaneous,237.0,7.0
abdominal wall,237.0,2.0
ovarian endometrioid adenocarcinoma,240.0,11.0
erythroleukemia,240.0,3.0
abdomen,240.0,2.0
squamous papilloma,241.0,1.0
ovarian serous cystadenocarcinoma,247.5,4.0
gastric choriocarcinoma,256.0,1.0
endometrial carcinoma,262.0,8.0
pleural epithelioid mesothelioma,266.5,18.0
not specified,270.0,3.0
supra-orbital region,271.0,1.0
endometrial adenosquamous carcinoma,272.0,6.0
ovarian mixed germ cell tumor,274.0,1.0
tonsillar squamous cell carcinoma,277.0,1.0
duodenal adenocarcinoma,285.0,1.0
gestational choriocarcinoma,286.0,2.0
plasma cell myeloma,287.0,30.0
cutaneous melanoma,287.5,26.0
natural killer cell lymphoblastic leukemia/lymphoma,291.0,1.0
groin lymph node,303.0,5.0
cervical squamous cell carcinoma,305.0,1.0
uterine carcinosarcoma,310.0,2.0
spleen,312.0,3.0
pleural sarcomatoid mesothelioma,312.0,8.0
esophageal squamous cell carcinoma,312.0,59.0
rhabdoid tumor of the kidney,315.0,3.0
pleural effusion,316.0,224.0
melanoma,316.5,94.0
ductal breast carcinoma,321.5,32.0
lymph node,324.0,105.0
glioblastoma,324.5,84.0
n/a,325.5,34.0
askin tumor,327.5,2.0
ascites,331.0,103.0
breast carcinoma,333.0,27.0
bladder carcinoma,335.0,51.0
chondrosarcoma,337.0,10.0
ovarian serous adenocarcinoma,339.0,7.0
pelvic wall,339.0,3.0
thigh skin,340.0,1.0
brachialis muscle,343.0,3.0
lymphoma,345.0,1.0
axillary lymph node,348.0,6.0
clear cell renal cell carcinoma,352.0,18.0
cerebrospinal fluid,352.0,3.0
lung adenocarcinoma,356.0,145.0
"invasive ductal carcinoma, not otherwise specified",357.0,30.0
marek disease,360.0,1.0
acute myeloid leukemia,361.0,1.0
gastric fundus carcinoma,361.0,1.0
astrocytoma,362.0,19.0
thyroid gland undifferentiated (anaplastic) carcinoma,366.0,13.0
pleural biphasic mesothelioma,369.0,7.0
gastric adenocarcinoma,373.0,26.0
skin,374.0,3.0
intraperitoneal,376.0,1.0
mucinous gastric adenocarcinoma,376.0,3.0
hodgkin lymphoma,378.0,11.0
hepatocellular carcinoma,379.0,51.0
ovarian mucinous adenocarcinoma,382.0,4.0
uterine corpus sarcoma,383.0,3.0
brca1 syndrome,385.0,1.0
peritoneum,386.0,1.0
colon adenocarcinoma,386.0,61.0
pancreatic carcinoma,389.0,12.0
left leg muscle,392.0,3.0
childhood acute myeloid leukemia with maturation,392.0,1.0
hepatoblastoma,393.0,4.0
celiac axis lymph node,394.0,2.0
omentum,395.0,7.0
left supraclavicular lymph node,395.5,4.0
poorly differentiated thyroid gland carcinoma,396.0,3.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",397.5,2.0
thoracic lymph duct,399.0,1.0
thyroid gland sarcoma,401.0,1.0
laryngeal squamous cell carcinoma,403.0,12.0
pleural malignant mesothelioma,406.0,5.0
ovarian clear cell adenocarcinoma,407.0,13.0
gastric carcinoma,408.0,12.0
breast adenocarcinoma,410.0,23.0
renal cell carcinoma,410.0,37.0
intrahepatic cholangiocarcinoma,417.5,6.0
pelvis; innominate bone,418.0,2.0
brca2 syndrome,418.0,1.0
buttock,419.0,2.0
ovarian cystadenocarcinoma,430.5,6.0
tongue squamous cell carcinoma,432.0,34.0
right axillary lymph node,432.0,1.0
childhood acute myeloid leukemia,433.5,2.0
