drug,score,moa
gdsc_Alectinib,0.715,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Navitoclax,0.692,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GSK1070916,0.652,Not Clinically Relevant
gdsc_Linsitinib,0.651,IGF-1R inhibitor
gdsc_SB52334,0.640,Not Clinically Relevant
gdsc_TL-2-105,0.637,Not Clinically Relevant
gdsc_Tubastatin A,0.609,Not Clinically Relevant
gdsc_QL-XII-61,0.605,Not Clinically Relevant
gdsc_VX-702,0.578,Not Clinically Relevant
gdsc_GSK429286A,0.572,Not Clinically Relevant
gdsc_BX-912,0.549,Not Clinically Relevant
gdsc_GW-2580,0.546,Not Clinically Relevant
gdsc_Axitinib,0.513,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_Rucaparib,0.506,"PARP inhibitor, inhibits DNA repair"
gdsc_HG-5-88-01,0.499,Not Clinically Relevant
ctrp_linsitinib,0.494,IGF-1R inhibitor
gdsc_Amuvatinib,0.489,Not Clinically Relevant
gdsc_XMD14-99,0.487,Not Clinically Relevant
gdsc_XMD13-2,0.466,Not Clinically Relevant
ctrp_avrainvillamide,0.460,Not Clinically Relevant
ctrp_serdemetan,0.456,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
gdsc_Ispinesib Mesylate,0.451,Not Clinically Relevant
gdsc_GSK319347A,0.446,Not Clinically Relevant
ctrp_BRD-K99006945,0.445,Not Clinically Relevant
ctrp_staurosporine,0.445,Not Clinically Relevant
ctrp_barasertib,0.443,highly selective Aurora B kinase inhibitor
ctrp_ML239,0.442,Not Clinically Relevant
ctrp_tretinoin,0.442,Retinoid
ctrp_tubastatin A,0.441,Not Clinically Relevant
gdsc_Talazoparib,0.440,Not Clinically Relevant
ctrp_belinostat,0.439,HDAC inhibitor (PXD101)
ctrp_CCT036477,0.437,Not Clinically Relevant
ctrp_BRD-K26531177,0.437,Not Clinically Relevant
ctrp_indisulam,0.433,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
gdsc_SB-505124,0.432,Not Clinically Relevant
ctrp_BMS-195614,0.432,Not Clinically Relevant
ctrp_sotrastaurin,0.430,pan-PKC inhibitor
gdsc_NSC-87877,0.430,Not Clinically Relevant
ctrp_ABT-737,0.430,Bcl-2/Bcl-xL inhibitor
ctrp_axitinib,0.427,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_BRD-K88742110,0.427,Not Clinically Relevant
ctrp_skepinone-L,0.427,Not Clinically Relevant
ctrp_BRD-K51490254,0.424,Not Clinically Relevant
ctrp_BRD-K34485477,0.422,Not Clinically Relevant
ctrp_BRD-K49290616,0.420,Not Clinically Relevant
ctrp_alisertib,0.415,Aurora A kinase inhibitor
ctrp_olaparib,0.415,PARP Inhibitor
gdsc_Olaparib,0.415,PARP Inhibitor
ctrp_BRD-K28456706,0.412,Not Clinically Relevant
ctrp_CIL55,0.412,Not Clinically Relevant
gdsc_KIN001-266,0.411,Not Clinically Relevant
ctrp_chlorambucil,0.408,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_tipifarnib-P1,0.406,Not Clinically Relevant
ctrp_isoliquiritigenin,0.404,Not Clinically Relevant
gdsc_KIN001-270,0.403,Not Clinically Relevant
ctrp_BRD-M00053801,0.401,Not Clinically Relevant
ctrp_darinaparsin,0.400,organic arsenic compound composed of dimethylated arsenic linked to glutathione
ctrp_Compound 1541A,0.398,Not Clinically Relevant
ctrp_Compound 7d-cis,0.397,Not Clinically Relevant
ctrp_KW-2449,0.395,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;"
ctrp_epigallocatechin-3-monogallate,0.395,Not Clinically Relevant
ctrp_ML050,0.395,Not Clinically Relevant
ctrp_BRD-K92856060,0.393,Not Clinically Relevant
ctrp_SZ4TA2,0.392,Not Clinically Relevant
