,ICB1299,COSMIC ID
cosmic_688031,-0.040577809012508174,688031
cosmic_688022,-0.08143969909964219,688022
cosmic_910691,-0.08764235854450819,910691
cosmic_753582,-0.1142412651264161,753582
cosmic_908483,-0.1395753361986697,908483
cosmic_688023,-0.14064136591480145,688023
cosmic_907170,-0.14483005745850952,907170
cosmic_688006,-0.15513576004980198,688006
cosmic_753589,-0.15627401929199522,753589
cosmic_687997,-0.156514072842661,687997
cosmic_949175,-0.16619895167146626,949175
cosmic_924241,-0.16950390681463398,924241
cosmic_949173,-0.1706883598162678,949173
cosmic_753618,-0.18704065206687515,753618
cosmic_688086,-0.18734895272186364,688086
cosmic_910941,-0.1914238573609506,910941
cosmic_688018,-0.19337353474486074,688018
cosmic_910937,-0.19515784948289944,910937
cosmic_713899,-0.1973879545500398,713899
cosmic_753547,-0.19755713710907627,753547
cosmic_753594,-0.19813696148796453,753594
cosmic_910567,-0.2003828605725157,910567
cosmic_908135,-0.20064185486483174,908135
cosmic_1240181,-0.20103201866765463,1240181
cosmic_907314,-0.20389327582190117,907314
cosmic_1240193,-0.20709804557349834,1240193
cosmic_906834,-0.21363226009297778,906834
cosmic_753599,-0.2151145786784619,753599
cosmic_687804,-0.21590653732113377,687804
cosmic_688010,-0.21715676302539624,688010
cosmic_688021,-0.22555681317453857,688021
cosmic_753588,-0.22626113681015944,753588
cosmic_1322213,-0.22673993153509653,1322213
cosmic_713885,-0.22699138185231446,713885
cosmic_713878,-0.22789122327279257,713878
cosmic_910568,-0.22839988811038764,910568
cosmic_753605,-0.22859435894370178,753605
cosmic_687980,-0.23251510139538872,687980
cosmic_753616,-0.23627915594125729,753616
cosmic_688014,-0.2373940555658786,688014
cosmic_908467,-0.23803357660264726,908467
cosmic_909194,-0.23948906192105965,909194
cosmic_753564,-0.23985055533954597,753564
cosmic_688025,-0.23998824916584063,688025
cosmic_1330972,-0.24043283587180872,1330972
cosmic_688011,-0.24337782028840463,688011
cosmic_688013,-0.24379309360616885,688013
cosmic_1330964,-0.24764253056796295,1330964
cosmic_908447,-0.24804341186287557,908447
cosmic_688026,-0.24828279097618067,688026
cosmic_688027,-0.2546590050920417,688027
cosmic_688001,-0.25529672998089636,688001
cosmic_687985,-0.25761253933415157,687985
cosmic_949177,-0.2576350056089904,949177
cosmic_909731,-0.2603604334516672,909731
cosmic_949178,-0.26083476757534824,949178
cosmic_907295,-0.2625020899075832,907295
cosmic_949170,-0.2640245810553843,949170
cosmic_753620,-0.26545126632141675,753620
cosmic_688007,-0.2667006839307922,688007
cosmic_910780,-0.27011507827260656,910780
cosmic_908481,-0.27514362435419354,908481
cosmic_908468,-0.2757636814336755,908468
cosmic_753607,-0.2775474515687895,753607
cosmic_688087,-0.27911839381457004,688087
cosmic_753534,-0.2795297407804799,753534
cosmic_949166,-0.27968185620824504,949166
cosmic_949155,-0.2825223374753396,949155
cosmic_713869,-0.2858182043108745,713869
cosmic_949167,-0.28922378263541904,949167
cosmic_717431,-0.2903899934263813,717431
cosmic_908454,-0.29147218356735705,908454
cosmic_925341,-0.2922638453618185,925341
cosmic_1297438,-0.2937309012907356,1297438
cosmic_906875,-0.2937449868119083,906875
cosmic_949160,-0.29864772279518037,949160
cosmic_687600,-0.2991205527669756,687600
cosmic_910899,-0.30046777641947275,910899
cosmic_1297439,-0.304217710466641,1297439
cosmic_1322212,-0.3047193726412089,1322212
cosmic_906808,-0.3067296111874245,906808
cosmic_1299075,-0.30779824048222004,1299075
cosmic_684055,-0.30934443168607895,684055
cosmic_949164,-0.3105955526965792,949164
cosmic_1298534,-0.31075167484961114,1298534
cosmic_924100,-0.3119321793586403,924100
cosmic_949176,-0.31254196718862964,949176
cosmic_910692,-0.31329491542685145,910692
cosmic_908469,-0.31534480007626625,908469
cosmic_906833,-0.3178869895911441,906833
cosmic_949179,-0.3195927601838253,949179
cosmic_949168,-0.3198545992477535,949168
cosmic_908440,-0.321321601475587,908440
cosmic_949171,-0.3227180671123099,949171
cosmic_930299,-0.3236485466218882,930299
cosmic_1330973,-0.3254970351415037,1330973
cosmic_1240210,-0.3256872375492099,1240210
