,mean_rank,weight
cervix,12.0,3.0
adrenal gland neuroblastoma,17.0,5.0
adrenal gland,23.0,3.0
pancreatic somatostatinoma,33.0,3.0
lung carcinoma,33.0,1.0
right pararenal lymph node,35.0,2.0
neuroblastoma,39.5,52.0
small cell lung carcinoma,42.5,88.0
supraclavicular lymph node,43.0,3.0
thyroid gland squamous cell carcinoma,54.0,3.0
vertebra,54.5,2.0
supra-orbital region,57.0,1.0
medulloblastoma,58.5,8.0
embryonal carcinoma,72.0,1.0
endometrioid stromal sarcoma,73.0,3.0
lung carcinoid tumor,78.5,6.0
prostate carcinoma,82.0,11.0
multiple endocrine neoplasia type 2,95.0,1.0
hereditary thyroid gland medullary carcinoma,95.0,1.0
cervical small cell carcinoma,100.0,1.0
ewing sarcoma,107.0,31.0
gastric small cell neuroendocrine carcinoma,110.0,4.0
testicular embryonal carcinoma,114.0,1.0
mediastinal lymph node,116.0,1.0
ovarian endometrioid adenocarcinoma,117.0,11.0
rhabdomyosarcoma,117.5,4.0
embryonal rhabdomyosarcoma,121.5,6.0
"squamous cell breast carcinoma, acantholytic variant",133.0,3.0
ovarian granulosa cell tumor,138.0,2.0
subserosa of fallopian tube,144.0,1.0
primitive neuroectodermal tumor,148.0,2.0
abdomen,148.0,2.0
salivary gland squamous cell carcinoma,150.0,3.0
right anterior leg,154.0,3.0
right thigh skin,154.5,2.0
high grade ovarian serous adenocarcinoma,157.5,40.0
osteosarcoma,160.0,23.0
large cell lung carcinoma,161.5,32.0
skin nodule,162.0,1.0
adrenal cortex carcinoma,164.0,1.0
brain,164.5,16.0
duodenal adenocarcinoma,166.0,1.0
gastric adenosquamous carcinoma,170.0,2.0
ovarian leiomyosarcoma,173.0,3.0
bone marrow,190.0,65.0
ovarian mixed germ cell tumor,192.0,1.0
oligodendroglioma,193.0,5.0
papillary renal cell carcinoma,195.0,5.0
biphasic synovial sarcoma,197.0,1.0
ovarian carcinoma,197.0,6.0
adenosquamous lung carcinoma,215.0,9.0
rhabdoid tumor of the kidney,219.0,3.0
uterine carcinosarcoma,227.0,2.0
cerebrospinal fluid,232.0,3.0
pleural epithelioid mesothelioma,232.0,18.0
cervical squamous cell carcinoma,235.0,1.0
squamous cell lung carcinoma,236.5,48.0
plasma cell myeloma,241.0,30.0
askin tumor,241.0,2.0
endometrial carcinoma,242.5,8.0
ovarian adenocarcinoma,246.0,5.0
axillary lymph node,249.5,6.0
thyroid gland follicular carcinoma,252.0,10.0
thyroid gland sarcoma,255.0,1.0
myeloid leukemia associated with down syndrome,256.0,1.0
lung giant cell carcinoma,256.0,4.0
peritoneal ascites,260.0,2.0
liposarcoma,260.0,1.0
chronic lymphocytic leukemia,264.5,2.0
cutaneous melanoma,267.5,26.0
groin lymph node,271.0,5.0
not specified,275.0,3.0
primary effusion lymphoma,275.0,3.0
inguinal lymph node,277.0,3.0
ovarian serous cystadenocarcinoma,282.0,4.0
alveolar rhabdomyosarcoma,284.0,9.0
intraperitoneal,285.0,1.0
mucinous gastric adenocarcinoma,285.0,3.0
breast carcinoma,291.0,27.0
anaplastic large cell lymphoma,292.5,8.0
celiac axis lymph node,299.0,2.0
chondrosarcoma,300.0,10.0
thyroid gland undifferentiated (anaplastic) carcinoma,301.0,13.0
melanoma,305.5,94.0
abdominal wall,307.0,2.0
pharyngeal squamous cell carcinoma,308.0,3.0
neurofibromatosis type 1,314.0,1.0
astrocytoma,314.0,19.0
glioblastoma,317.5,84.0
hypopharyngeal squamous cell carcinoma,320.0,5.0
ascites,321.0,103.0
ovarian serous adenocarcinoma,323.0,7.0
pleural effusion,325.5,224.0
hodgkin lymphoma,326.0,11.0
hepatocellular carcinoma,332.0,51.0
poorly differentiated thyroid gland carcinoma,336.0,3.0
undifferentiated pleomorphic sarcoma,338.5,4.0
spleen,343.0,3.0
minimally invasive lung adenocarcinoma,345.0,16.0
lung mucoepidermoid carcinoma,347.0,3.0
endometrial adenosquamous carcinoma,347.5,6.0
lung adenocarcinoma,348.0,145.0
ovarian cystadenocarcinoma,351.5,6.0
squamous papilloma,353.0,1.0
lymph node,355.0,105.0
bronchogenic carcinoma,356.0,2.0
thoracic lymph duct,357.0,1.0
skin squamous cell carcinoma,359.0,1.0
pleural sarcomatoid mesothelioma,362.5,8.0
amelanotic melanoma,363.0,16.0
b acute lymphoblastic leukemia,364.0,5.0
subcutaneous,372.0,7.0
ovarian mucinous adenocarcinoma,374.0,4.0
pelvic wall,379.0,3.0
vaginal melanoma,380.0,1.0
b-cell non-hodgkin lymphoma,385.0,7.0
"invasive ductal carcinoma, not otherwise specified",386.5,30.0
b-cell prolymphocytic leukemia,387.0,2.0
