,ICB1299
gdsc_Alectinib,0.7148909558011025
gdsc_Navitoclax,0.6916911202584892
gdsc_GSK1070916,0.6524016702127889
gdsc_Linsitinib,0.6508268177257907
gdsc_SB52334,0.6403269943240183
gdsc_TL-2-105,0.6372430492135364
gdsc_Tubastatin A,0.6094107059197006
gdsc_QL-XII-61,0.6050055202825232
gdsc_VX-702,0.5777799971880244
gdsc_GSK429286A,0.571641609423383
gdsc_BX-912,0.5492342855892776
gdsc_GW-2580,0.5461135940679499
gdsc_Axitinib,0.5133718736243063
gdsc_Rucaparib,0.5057897223287507
gdsc_HG-5-88-01,0.4989630390720321
ctrp_linsitinib,0.49403728632163285
gdsc_Amuvatinib,0.48948114361899353
gdsc_XMD14-99,0.48709579416080606
gdsc_XMD13-2,0.4663720951082545
ctrp_avrainvillamide,0.4596404602721274
ctrp_serdemetan,0.4561354099497808
gdsc_Ispinesib Mesylate,0.4506686032684201
gdsc_GSK319347A,0.4457750174788954
ctrp_BRD-K99006945,0.4448684704343721
ctrp_staurosporine,0.4445350292367103
ctrp_barasertib,0.4427700344531449
ctrp_ML239,0.4423426332112038
ctrp_tretinoin,0.4420591030774869
ctrp_tubastatin A,0.4405852986395201
gdsc_Talazoparib,0.43964095780575774
ctrp_belinostat,0.43856810539767804
ctrp_CCT036477,0.43741349021471376
ctrp_BRD-K26531177,0.4365952131894739
ctrp_indisulam,0.4325626567941993
gdsc_SB-505124,0.43247347832787647
ctrp_BMS-195614,0.4318126354722301
ctrp_sotrastaurin,0.43025384964794733
gdsc_NSC-87877,0.4302477090214946
ctrp_ABT-737,0.42986943961939994
ctrp_axitinib,0.42720898120529965
ctrp_BRD-K88742110,0.4266168790567547
ctrp_skepinone-L,0.4265196892426418
ctrp_BRD-K51490254,0.4236747008511487
ctrp_BRD-K34485477,0.42185631620333347
ctrp_BRD-K49290616,0.4200394298792784
ctrp_alisertib,0.415367164319303
ctrp_olaparib,0.41500653283392486
gdsc_Olaparib,0.41470594999111104
ctrp_BRD-K28456706,0.41249243146700887
ctrp_CIL55,0.4116059055314456
gdsc_KIN001-266,0.41081570132086703
ctrp_chlorambucil,0.40793553105373226
ctrp_tipifarnib-P1,0.40605215878997425
ctrp_isoliquiritigenin,0.4039047414705516
gdsc_KIN001-270,0.4026995730668503
ctrp_BRD-M00053801,0.40062332766614134
ctrp_darinaparsin,0.40012585569626413
ctrp_Compound 1541A,0.3979766691829269
ctrp_Compound 7d-cis,0.39662562617647273
ctrp_KW-2449,0.3953319850275162
ctrp_epigallocatechin-3-monogallate,0.39482170918991466
ctrp_ML050,0.3945119840933547
ctrp_BRD-K92856060,0.39258012224449246
ctrp_SZ4TA2,0.3920566178566196
ctrp_PX-12,0.39165374332988806
ctrp_JW-74,0.39117758386321916
ctrp_AZD1480,0.39081612392971854
ctrp_BRD-A71883111,0.3902641679421548
ctrp_foretinib,0.39019391584702795
ctrp_LY-2183240,0.3898023912784224
ctrp_XL765,0.388463626604634
ctrp_ceranib-2,0.3867924545688438
ctrp_PF-4800567 hydrochloride,0.38623020892820115
ctrp_RG-108,0.3861270526222275
ctrp_BRD-K13999467,0.3848292998084942
ctrp_VX-680,0.3846573175220309
ctrp_16-beta-bromoandrosterone,0.38271974344861687
ctrp_IU1,0.382694709794211
ctrp_necrostatin-7,0.380673174079808
ctrp_ML203,0.38062245447359666
gdsc_TPCA-1,0.38037051864752786
ctrp_GMX-1778,0.3795031249800683
ctrp_lenvatinib,0.37945024742746886
ctrp_tacrolimus,0.3788444951102037
ctrp_BRD-K51831558,0.3785295956621119
ctrp_CIL41,0.37690336605569646
ctrp_BRD-K29313308,0.37670767499902164
ctrp_BRD-K24690302,0.3764257840610988
ctrp_cytarabine hydrochloride,0.37482637997353185
ctrp_tacedinaline,0.37469821092404854
ctrp_BMS-270394,0.3745419227815035
ctrp_BMS-754807,0.3734436333644224
ctrp_Repligen 136,0.37286158358351384
ctrp_BRD-K29086754,0.372207326358308
ctrp_Mdivi-1,0.37184042808447915
ctrp_CAY10576,0.37055064130214693
ctrp_NVP-ADW742,0.3702718029494156
ctrp_PRIMA-1-Met,0.3701940414076999
ctrp_BRD-K42260513,0.36908023009453805
gdsc_NPK76-II-72-1,0.3686265393638154
ctrp_sitagliptin,0.3679626551043883
ctrp_SB-225002,0.36795172447230623
ctrp_LBH-589,0.36708501282407796
ctrp_apicidin,0.3662788344559938
ctrp_compound 1B,0.36625839957957196
ctrp_bexarotene,0.366169160393084
ctrp_tivantinib,0.3648689948147689
ctrp_LRRK2-IN-1,0.36469142220401113
ctrp_necrosulfonamide,0.36401830729239815
ctrp_SR1001,0.3633166274932474
ctrp_triazolothiadiazine,0.3626402567447923
ctrp_fingolimod,0.35910251501624624
ctrp_KPT185,0.35901669088165883
ctrp_tamoxifen,0.3589101945255732
ctrp_NSC19630,0.35861596037742527
ctrp_NSC48300,0.3582017353443392
ctrp_NSC30930,0.35817870244420263
ctrp_ML162,0.35713912352995564
ctrp_vorinostat,0.3571058669627379
gdsc_Daporinad,0.3569500866542616
ctrp_968,0.356283304480059
ctrp_MST-312,0.3562696254895262
ctrp_AC55649,0.35592497718998134
ctrp_BRD-K11533227,0.35592301216423905
ctrp_ISOX,0.3558398757255179
ctrp_RITA,0.3557201132328948
ctrp_AZD4547,0.3552004164080833
ctrp_omacetaxine mepesuccinate,0.35514765355257477
ctrp_NSC23766,0.35419578199216084
ctrp_ABT-199,0.3538682498908549
gdsc_Cisplatin,0.35370566693585426
ctrp_parbendazole,0.3536992886607008
ctrp_crizotinib,0.35294595550844937
ctrp_BRD1835,0.35249511034439457
gdsc_YM201636,0.35174800971450876
ctrp_ELCPK,0.35154854918747597
ctrp_Ki8751,0.35108393460508486
ctrp_SKI-II,0.3508019647452048
ctrp_cediranib,0.3501220531352061
ctrp_isoevodiamine,0.34793017599329823
ctrp_PF-184,0.3475919919939403
ctrp_BRD6340,0.3470771660495773
ctrp_QS-11,0.3468755411385095
ctrp_PDMP,0.346614992827757
ctrp_CIL70,0.34638965164396934
ctrp_BRD-K90370028,0.3461884980687147
ctrp_imatinib,0.3459122505832032
ctrp_BIBR-1532,0.3451943541979116
ctrp_BIX-01294,0.3445568100090267
ctrp_GW-843682X,0.3433460421577742
ctrp_NSC 74859,0.3432273195756415
ctrp_FGIN-1-27,0.3430524955004703
ctrp_bendamustine,0.34293201851067356
ctrp_etoposide,0.34268811427341866
gdsc_BMS-754807,0.34153510303228757
ctrp_vincristine,0.3411448091237311
ctrp_PI-103,0.33985253709350827
ctrp_pifithrin-mu,0.33970636313923985
ctrp_Compound 23 citrate,0.33962909893789733
ctrp_BRD-K75293299,0.33960071200497727
gdsc_SN-38,0.33743219754190534
ctrp_NVP-TAE684,0.3373256065235237
ctrp_TG-100-115,0.33726823788776544
ctrp_topotecan,0.3369407719321099
ctrp_MGCD-265,0.3367133845205519
ctrp_NSC95397,0.3367068561893257
ctrp_STF-31,0.3362647758546372
ctrp_cimetidine,0.3360698748648387
ctrp_PL-DI,0.3356473677670753
ctrp_cucurbitacin I,0.3349350706623477
ctrp_BRD-K84807411,0.3346986297493099
ctrp_erastin,0.3343881668056879
ctrp_MG-132,0.33415410966621095
ctrp_BRD-K86535717,0.3340781493424468
ctrp_YK 4-279,0.3336921433522615
ctrp_ETP-46464,0.33257244262488644
gdsc_HG-5-113-01,0.33237602713431935
ctrp_decitabine,0.33219111937269424
ctrp_BRD-K61166597,0.33190532140314877
ctrp_SN-38,0.33186202276932864
ctrp_KX2-391,0.3318282453079427
gdsc_MPS-1-IN-1,0.3315162742004967
ctrp_itraconazole,0.33126685470324463
ctrp_MI-2,0.3305248495082248
ctrp_necrostatin-1,0.3298423612511867
ctrp_SGX-523,0.32953335170169423
gdsc_BMS-345541,0.32777126639449544
ctrp_JW-55,0.3273717482568155
ctrp_BI-2536,0.3268999838889627
ctrp_doxorubicin,0.3259805222627209
ctrp_rigosertib,0.3259389151733351
ctrp_BRD-K02251932,0.3253360517477098
ctrp_BRD-K34222889,0.32532074281337586
ctrp_FQI-2,0.32503580532462173
ctrp_HLI 373,0.32447225052683126
ctrp_ML006,0.32407356819788985
ctrp_BRD-K66532283,0.32317783141870166
ctrp_BRD-K41597374,0.3223415346274301
ctrp_ML031,0.32193213825239236
ctrp_ruxolitinib,0.3217940938159476
