,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.698,,,gdsc_Alectinib,0.698,+..
gsk1070916,Not Clinically Relevant,0.6659999999999999,,,gdsc_GSK1070916,0.666,+..
sb52334,Not Clinically Relevant,0.6629999999999999,,,gdsc_SB52334,0.663,+..
tl-2-105,Not Clinically Relevant,0.6629999999999999,,,gdsc_TL-2-105,0.663,+..
gsk429286a,Not Clinically Relevant,0.607,,,gdsc_GSK429286A,0.607,+..
gw-2580,Not Clinically Relevant,0.5820000000000001,,,gdsc_GW-2580,0.582,+..
linsitinib,IGF-1R inhibitor,0.664,0.45799999999999996,,ctrp_linsitinib,0.561,++.
vx-702,Not Clinically Relevant,0.555,,,gdsc_VX-702,0.555,+..
bx-912,Not Clinically Relevant,0.551,,,gdsc_BX-912,0.551,+..
tubastatin a,Not Clinically Relevant,0.635,0.436,,ctrp_tubastatin A,0.536,++.
xmd14-99,Not Clinically Relevant,0.525,,,gdsc_XMD14-99,0.525,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.515,,,gdsc_Rucaparib,0.515,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.726,0.281,,ctrp_navitoclax,0.504,++.
amuvatinib,Not Clinically Relevant,0.494,,,gdsc_Amuvatinib,0.494,+..
xmd13-2,Not Clinically Relevant,0.47100000000000003,,,gdsc_XMD13-2,0.471,+..
hg-5-88-01,Not Clinically Relevant,0.462,,,gdsc_HG-5-88-01,0.462,+..
nsc-87877,Not Clinically Relevant,0.455,,,gdsc_NSC-87877,0.455,+..
ispinesib mesylate,Not Clinically Relevant,0.452,,,gdsc_Ispinesib Mesylate,0.452,+..
sb-505124,Not Clinically Relevant,0.445,,,gdsc_SB-505124,0.445,+..
gsk319347a,Not Clinically Relevant,0.43799999999999994,,,gdsc_GSK319347A,0.438,+..
brd-k99006945,Not Clinically Relevant,,0.43700000000000006,,ctrp_BRD-K99006945,0.437,.+.
avrainvillamide,Not Clinically Relevant,,0.428,,ctrp_avrainvillamide,0.428,.+.
ml239,Not Clinically Relevant,,0.428,,ctrp_ML239,0.428,.+.
brd-k34485477,Not Clinically Relevant,,0.425,,ctrp_BRD-K34485477,0.425,.+.
talazoparib,Not Clinically Relevant,0.414,,,gdsc_Talazoparib,0.414,+..
brd-k49290616,Not Clinically Relevant,,0.41,,ctrp_BRD-K49290616,0.41,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.41,,ctrp_ABT-737,0.41,.+.
cct036477,Not Clinically Relevant,,0.409,,ctrp_CCT036477,0.409,.+.
staurosporine,Not Clinically Relevant,,0.408,,ctrp_staurosporine,0.408,.+.
cil55,Not Clinically Relevant,,0.402,,ctrp_CIL55,0.402,.+.
sotrastaurin,pan-PKC inhibitor,,0.401,,ctrp_sotrastaurin,0.401,.+.
brd-k88742110,Not Clinically Relevant,,0.4,,ctrp_BRD-K88742110,0.4,.+.
unc1215,Not Clinically Relevant,0.4,,,gdsc_UNC1215,0.4,+..
brd-k28456706,Not Clinically Relevant,,0.4,,ctrp_BRD-K28456706,0.4,.+.
olaparib,PARP Inhibitor,0.42,0.37799999999999995,,ctrp_olaparib,0.399,++.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.396,,ctrp_indisulam,0.396,.+.
brd-k26531177,Not Clinically Relevant,,0.39399999999999996,,ctrp_BRD-K26531177,0.394,.+.
xl765,PI3K/mTOR inhibitor,,0.39299999999999996,,ctrp_XL765,0.393,.+.
brd-m00053801,Not Clinically Relevant,,0.39299999999999996,,ctrp_BRD-M00053801,0.393,.+.
ml050,Not Clinically Relevant,,0.389,,ctrp_ML050,0.389,.+.
brd-k42260513,Not Clinically Relevant,,0.387,,ctrp_BRD-K42260513,0.387,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.385,,ctrp_chlorambucil,0.385,.+.
isoliquiritigenin,Not Clinically Relevant,,0.382,,ctrp_isoliquiritigenin,0.382,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.382,,ctrp_barasertib,0.382,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.38,,ctrp_16-beta-bromoandrosterone,0.38,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.38,,ctrp_VX-680,0.38,.+.
nsc30930,Not Clinically Relevant,,0.377,,ctrp_NSC30930,0.377,.+.
compound 7d-cis,Not Clinically Relevant,,0.377,,ctrp_Compound 7d-cis,0.377,.+.
prima-1-met,Not Clinically Relevant,,0.377,,ctrp_PRIMA-1-Met,0.377,.+.
cay10576,Not Clinically Relevant,,0.376,,ctrp_CAY10576,0.376,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.375,,ctrp_epigallocatechin-3-monogallate,0.375,.+.
npk76-ii-72-1,Not Clinically Relevant,0.375,,,gdsc_NPK76-II-72-1,0.375,+..
skepinone-l,Not Clinically Relevant,,0.375,,ctrp_skepinone-L,0.375,.+.
brd-a71883111,Not Clinically Relevant,,0.375,,ctrp_BRD-A71883111,0.375,.+.
tipifarnib-p1,Not Clinically Relevant,,0.374,,ctrp_tipifarnib-P1,0.374,.+.
