drug_name,ICB1487
CCNH,0.9995
mupirocin,0.9993000000000001
PRKAR2A,0.9992
EIF4E,0.9992
KIF14,0.9992
NFIB,0.9991
ZNF576,0.9991
EIF4A2,0.9991
SRPK1,0.9991
RBBP7,0.9991
AIRE,0.9989
AES,0.9989
PAPSS1,0.9989
finasteride,0.9989
TMEM174,0.9986
ALW-II-49-7,0.9986
TAF5L,0.9984000000000001
EIF2C3,0.9984000000000001
TFDP1,0.9982
guanfacine,0.9982
TCF4,0.9982
LHX9,0.9981
WNT7B,0.9976999999999999
TADA3,0.9976999999999999
CISD1,0.9976
lapatinib,0.9975
BRD-A38793261,0.9975
tyrphostin-AG-1295,0.9975
RALA,0.9973000000000001
DNM1L,0.9972
HADHA,0.9972
TRAF2,0.9971
RBM6,0.9971
SLC25A14,0.9969
MRGPRX4,0.9968
DFFA,0.9968
MLH1,0.9968
KIF9,0.9968
COASY,0.9965999999999999
RCHY1,0.9965999999999999
GNAS,0.9965
DCTD,0.9963
ATP6V1D,0.9963
SCMH1,0.9962000000000001
PBX1,0.9958
ARPC1A,0.9958
BRD-K63784565,0.9956999999999999
griseofulvin,0.9954000000000001
ATG4A,0.9954000000000001
ATF4,0.9953
betahistine,0.9953
PAQR7,0.9952
NSD1,0.9951000000000001
O3FAR1,0.995
MSX1,0.995
DTX2,0.995
cinalukast,0.9947
nomegestrol,0.9947
ADSS,0.9945
repaglinide,0.9944
PGBD1,0.9944
DHFR,0.9944
pravastatin,0.9944
TMEM110,0.9944
COX7B,0.9942
UBP1,0.9941
3-amino-benzamide,0.9940000000000001
FGFR2,0.9940000000000001
HOXB7,0.9940000000000001
BRD-K88742110,0.9940000000000001
BRD-K75430629,0.9940000000000001
BAS-09104376,0.9937
zileuton,0.9937
NR0B2,0.9934999999999999
ZNF449,0.9933
ZNF267,0.9932
CREM,0.9932
DVL1,0.9932
ZNF212,0.9932
FEZ1,0.9931
CUL2,0.9929000000000001
OAT,0.9929000000000001
LIM class homeoboxes GOF,0.9926999999999999
BRD-K27074404,0.9926999999999999
SB-216763,0.9926
PABPC1,0.9926
QW-BI-011,0.9926
DYNLT3,0.9926
PSMG1,0.9924
MYL6B,0.9924
SLC7A11,0.9924
PIK3C2A,0.9924
VAPB,0.9921
TNKS2,0.9921
DMEOB,0.992
BAG6,0.9917
FBXO11,0.9917
LGALS8,0.9917
STK24,0.9917
KLF10,0.9917
PRMT3,0.9915999999999999
EMSY complex LOF,0.9915999999999999
RPS3,0.9915999999999999
TAF13,0.9915999999999999
deferiprone,0.9912000000000001
