drug,score,moa
lapatinib,0.998,HER2/EGFR inhibitor
lenalidomide,0.989,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
TG100-115,0.988,PI3Kγ/δ inhibitor
sitagliptin,0.984,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
hydrocortisone,0.973,Anti-inflammatory
idarubicin,0.964,"Topo II inhibitor, intercalates into DNA, anthracycline"
iobenguane,0.962,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
GSK-461364,0.955,"Plk1 inhibitor, less active against Plk2 and Plk3."
tretinoin,0.953,Retinoid
alisertib,0.953,Aurora A kinase inhibitor
olaparib,0.952,PARP Inhibitor
mercaptopurine,0.951,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
vinorelbine,0.937,disrupts microtubule dynamics; natural product
fludarabine,0.929,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
mitomycin-c,0.896,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
etoposide,0.886,Topo II inhibitor
thiotepa,0.883,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
cladribine,0.868,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
barasertib,0.864,highly selective Aurora B kinase inhibitor
vincristine,0.863,"binds tubulin, disrupts microtubule dynamics"
hydrocortisone,0.860,Anti-inflammatory
raltitrexed,0.855,"antimetabolite,  inhibitor of thymidylate synthase"
altretamine,0.842,alkylating antineoplastic agent
irinotecan,0.838,"aka CPT-11, inhibitor of Topo I"
semaxanib,0.837,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia"
exemestane,0.835,"aromatase inhibitor, blocks conversion of androgens to estrogens"
JNJ-26854165,0.833,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
cimetidine,0.831,(Tagamet) Antacid and antihistamine
escitalopram,0.825,Selective Serotonin Reuptake Inhibitor (SSRI)
ON-01910,0.819,"ON-01910, Plk-1 inhibitor"
mitotane,0.812,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
