,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.619,,,0.619,,+...,1,175,1.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.982,...+,674,2,2.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.618,,,0.618,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.5720000000000001,,,0.572,,+...,3,177,3.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.97,...+,675,4,4.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.536,,,0.536,,+...,4,178,4.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.96,...+,676,5,5.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.953,...+,677,6,6.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.465,,0.465,,.+..,8,179,8.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.486,,,0.486,0.9329999999999999,+..+,6,11,8.5
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.456,,,0.456,,+...,9,180,9.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.934,...+,679,10,10.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.455,,,0.455,,+...,10,181,10.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.44,,,0.44,,+...,11,182,11.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.435,,0.435,,.+..,12,183,12.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.922,...+,680,12,12.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.426,,0.426,,.+..,14,184,14.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.425,,0.425,,.+..,15,185,15.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.904,...+,681,16,16.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.424,,0.424,,.+..,16,186,16.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.42,,0.42,,.+..,17,187,17.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.39799999999999996,,0.398,0.985,.+.+,35,1,18.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.42,,0.42,,.+..,18,188,18.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.882,...+,682,18,18.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.434,,0.434,0.8009999999999999,.+.+,13,26,19.5
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.413,,0.413,,.+..,20,189,20.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.858,...+,684,20,20.0
nsc-87877,gdsc_NSC-87877,Not Clinically Relevant,0.41200000000000003,,,0.412,,+...,21,190,21.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.855,...+,685,21,21.0
olaparib,gdsc_Olaparib,PARP Inhibitor,0.41,0.41600000000000004,,0.413,0.7979999999999999,++.+,19,27,23.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.41,,0.41,,.+..,23,191,23.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.409,,0.409,,.+..,24,192,24.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.8270000000000001,...+,688,24,24.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.405,,0.405,,.+..,25,193,25.0
brd-k29086754,ctrp_BRD-K29086754,Not Clinically Relevant,,0.405,,0.405,,.+..,26,194,26.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.40399999999999997,,0.404,,.+..,27,195,27.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.765,...+,689,28,28.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.40299999999999997,,0.403,,.+..,28,196,28.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.40299999999999997,,0.403,,.+..,29,197,29.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.758,...+,690,29,29.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.402,,0.402,,.+..,30,198,30.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.402,,0.402,,.+..,31,199,31.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.4,,0.4,,.+..,32,200,32.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.39899999999999997,,0.399,,.+..,34,201,34.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.728,...+,691,34,34.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.4,,0.4,0.705,.+.+,33,37,35.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.723,...+,692,35,35.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.371,,0.371,0.948,.+.+,63,7,35.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.397,,0.397,,.+..,36,202,36.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.41200000000000003,,0.412,0.445,.+.+,22,51,36.5
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.397,,,0.397,,+...,37,203,37.0
bms-270394,ctrp_BMS-270394,Not Clinically Relevant,,0.396,,0.396,,.+..,39,204,39.0
flutamide,cmap_flutamide,"nonsteroidal antiandrogen (NSAA), used primarily to treat prostate cancer",,,,,0.598,...+,694,40,40.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.39399999999999996,,0.394,,.+..,40,205,40.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,0.5925,...++,686,41,41.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,41,206,41.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.555,...+,695,42,42.0
rg-108,ctrp_RG-108,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,42,207,42.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.555,...+,696,43,43.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,43,208,43.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.39299999999999996,,,0.393,,+...,44,209,44.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.392,,0.392,,.+..,45,210,45.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.51,...+,698,45,45.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.391,,0.391,,.+..,46,211,46.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.39,,0.39,,.+..,47,212,47.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.48350000000000004,...++,697,47,47.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.389,,0.389,,.+..,48,213,48.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.389,,0.389,,.+..,49,214,49.0
unc1215,gdsc_UNC1215,Not Clinically Relevant,0.38799999999999996,,,0.388,,+...,50,215,50.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.387,,0.387,,.+..,51,216,51.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6679999999999999,0.293,,0.48,-0.218,++.-,7,96,51.5
cil55,ctrp_CIL55,Not Clinically Relevant,,0.386,,0.386,,.+..,52,217,52.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.4,...+,699,52,52.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,53,218,53.0
cay10576,ctrp_CAY10576,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,54,219,54.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.39899999999999997,...+,700,54,54.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.38,,0.38,,.+..,55,220,55.0
necrostatin-7,ctrp_necrostatin-7,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,56,221,56.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.396,,0.396,0.16174999999999998,.+.++-,38,74,56.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,57,222,57.0
cytarabine hydrochloride,ctrp_cytarabine hydrochloride,Not Clinically Relevant,,0.377,,0.377,,.+..,58,223,58.0
foretinib,ctrp_foretinib,c-Met/VEGFR2 inhibitor,,0.375,,0.375,,.+..,59,224,59.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,0.30499999999999994,...++-,687,59,59.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.373,,0.373,,.+..,60,225,60.0
ac55649,ctrp_AC55649,Not Clinically Relevant,,0.373,,0.373,,.+..,61,226,61.0
brd-k19103580,ctrp_BRD-K19103580,Not Clinically Relevant,,0.371,,0.371,,.+..,62,227,62.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,0.254,...+,701,62,62.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.24100000000000002,...+,702,63,63.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.24,...+,703,64,64.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.369,,0.369,,.+..,64,228,64.0
brd-k29313308,ctrp_BRD-K29313308,Not Clinically Relevant,,0.369,,0.369,,.+..,65,229,65.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.369,,0.369,,.+..,66,230,66.0
brd-k84807411,ctrp_BRD-K84807411,Not Clinically Relevant,,0.369,,0.369,,.+..,67,231,67.0
everolimus,cmap_everolimus,mTOR inhibitor (RAD001),,,,,0.22399999999999998,...+,704,67,67.0
belinostat,gdsc_Belinostat,HDAC inhibitor (PXD101),0.299,0.39799999999999996,,0.348,0.534,++.+,91,44,67.5
fingolimod,ctrp_fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.369,,0.369,,.+..,68,232,68.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.212,...+,705,68,68.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.368,,0.368,,.+..,69,233,69.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.20199999999999999,...+,706,69,69.0
brd-k02251932,ctrp_BRD-K02251932,Not Clinically Relevant,,0.368,,0.368,,.+..,70,234,70.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.201,...+,707,70,70.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.366,,0.366,,.+..,71,235,71.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.182,...+,708,71,71.0
lenvatinib,ctrp_lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.365,,0.365,,.+..,72,236,72.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.365,,0.365,,.+..,73,237,73.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.363,,0.363,,.+..,74,238,74.0
mgcd-265,ctrp_MGCD-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.36200000000000004,,0.362,,.+..,75,239,75.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.145,...+,709,75,75.0
fgin-1-27,ctrp_FGIN-1-27,Not Clinically Relevant,,0.361,,0.361,,.+..,76,240,76.0
prednisone,cmap_prednisone,synthetic corticosteroid,,,,,0.138,...+,710,76,76.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.36,,0.36,,.+..,77,241,77.0
idarubicin,cmap_idarubicin,"Topo II inhibitor, intercalates into DNA, anthracycline",,,,,0.0675,...+-,673,78,78.0
brd-k61166597,ctrp_BRD-K61166597,Not Clinically Relevant,,0.359,,0.359,,.+..,78,242,78.0
gossypol,ctrp_gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.336,,0.336,0.607,.+.+,117,39,78.0
px-12,ctrp_PX-12,thioredoxin-1 (Trx-1) inhibitor,,0.359,,0.359,,.+..,79,243,79.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.358,,0.358,,.+..,80,244,80.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.35700000000000004,,0.357,,.+..,81,245,81.0
sildenafil,ctrp_sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.33,,0.33,0.7430000000000001,.+.++,132,30,81.0
apicidin,ctrp_apicidin,Not Clinically Relevant,,0.354,,0.354,,.+..,83,246,83.0
bendamustine,ctrp_bendamustine,alkylating agent,,0.353,,0.353,,.+..,84,247,84.0
sz4ta2,ctrp_SZ4TA2,Not Clinically Relevant,,0.35200000000000004,,0.352,,.+..,85,248,85.0
