,ICB984
NCIH1694,0.30997405668200206
NCIH1092,0.3099601957383869
NCIH1155,0.30382085789043967
IMR32,0.3016115816382478
NCIH1184,0.30159464230233035
NCIH810,0.2642472312377061
NCIH1341,0.2511276596801922
DAOY,0.23565866645220215
KNS62,0.2342655597739586
DU145,0.2310869817241767
KELLY,0.2270920330495421
5637,0.22497630560018994
KPNSI9S,0.22295468314639988
NCIH2052,0.21982182801881386
HARA,0.21499623068879734
QGP1,0.2141887880233255
CHP212,0.21263940278302781
SKNDZ,0.21211999213537155
FUOV1,0.20968004105407106
KYSE450,0.20908529365890413
NCIH1792,0.20893624693896073
IGR37,0.20814969399021008
NCIH211,0.20808307738941534
TC71,0.20668320282188166
CAL27,0.20510339214546452
NCIH1651,0.20326615426365224
NCIH1048,0.19998116320446846
ISTMES1,0.19959381200361315
SKNSH,0.1991957629984657
JHOS2,0.19783509091012408
SIMA,0.19685299594442335
SKNBE2,0.1967737805571311
KMS11,0.1964414926047625
22RV1,0.19227775321346896
NCIH661,0.19073040466338503
WM793,0.18483748133599923
MFE280,0.18115674115013686
H4,0.1804470228282237
HCC1954,0.18004338182100668
DMS114,0.17974502009774498
G361,0.17923681772006966
NCIH2286,0.17910626967717283
NCIH2023,0.17853348729403604
NCIH1299,0.17832037900849515
SHP77,0.17790119433809212
NCIH23,0.17717409684960378
OVCAR8,0.17396985224823117
OE21,0.1736598317964639
SNU475,0.17313216098599502
NCIH460,0.1729320874704797
SW579,0.1723295978228005
HEYA8,0.1719729495072216
NIHOVCAR3,0.17065059715171393
KYSE410,0.17058661742254488
NCIH2170,0.17051954675477318
T3M10,0.17012033661579012
NCIH1650,0.1696064903475801
NCIH522,0.16904104147042692
ESS1,0.16824119044967353
NCIH747,0.16713403858009862
OC314,0.1669914714982586
SKES1,0.16642797411047855
NCIH2444,0.16559171985204582
JHOS4,0.16556574592649043
TT2609C02,0.16536165625688853
HS695T,0.16523671787495664
MSTO211H,0.16510887299074642
NCIH727,0.1649580869398031
SW1088,0.16370046959412937
TOV112D,0.16291212186081483
ACHN,0.1627604626748119
IGR39,0.16235246444823606
VMRCRCZ,0.16231873112107856
EFE184,0.16146669416894613
SW1353,0.1613686008589314
WM115,0.16107770646473002
SKNFI,0.16045715820413228
SKNAS,0.15949918959201065
HCC1395,0.1594723543654233
8305C,0.1589777262527067
SUIT2,0.1586334905793194
HCC1806,0.15766421520182386
HGC27,0.15642743675299486
SAOS2,0.15582051919635106
MPP89,0.15579013188252097
VMRCRCW,0.15566851604312398
JMSU1,0.1555748823108291
ISHIKAWAHERAKLIO02ER,0.1542860658662688
SBC5,0.15425233845090527
COLO741,0.15415299233584623
HCT116,0.15361829897240836
HCC1187,0.15317364845280798
CAKI2,0.15276890269234997
MDAMB436,0.15267761872000835
ES2,0.15161165503984092
HOS,0.15143225589357132
KYSE180,0.15025037771603147
SCC25,0.150231452823564
NCIH1666,0.14985813030060824
NCIH1581,0.14970163367253136
OVSAHO,0.14949847569127084
SW480,0.14943329811675202
SKMES1,0.148636352935156
FADU,0.14853100992306448
ZR751,0.1482985969979722
NCIH520,0.14763155203846967
HT144,0.14741700428191376
BT549,0.14715388121159978
HS683,0.14691069745619212
DBTRG05MG,0.14672686644298422
MKN7,0.146479821518399
MKN45,0.14578560256271483
A673,0.14552109080295214
SW900,0.14533756731246691
KMS34,0.14522056206638304
