,ICB984
NCIH524,0.3700294795741357
NCIH446,0.3488117091999989
NCIH1155,0.30382085789043967
DMS273,0.3022675775793929
IMR32,0.3016115816382478
NCIH1184,0.30159464230233035
HCC33,0.2989114881425059
D283MED,0.2773760291627386
NCIH810,0.2642472312377061
NCIH1341,0.2511276596801922
DMS53,0.24913630260539837
COLO668,0.24212000521328333
DAOY,0.23565866645220215
KNS62,0.2342655597739586
DU145,0.2310869817241767
KELLY,0.2270920330495421
NCIH2029,0.22692232086011777
NH6,0.2265671103378428
5637,0.22497630560018994
KPNSI9S,0.22295468314639988
NCIH2052,0.21982182801881386
HARA,0.21499623068879734
QGP1,0.2141887880233255
CHP212,0.21263940278302781
SKNDZ,0.21211999213537155
TE14,0.21015034875847008
FUOV1,0.20968004105407106
KYSE450,0.20908529365890413
NCIH1792,0.20893624693896073
BICR18,0.20875209193395508
CAOV3,0.2083904978576577
IGR37,0.20814969399021008
NCIH211,0.20808307738941534
CORL95,0.20771936245829214
CAL27,0.20510339214546452
BEN,0.20357558872840717
NCIH1651,0.20326615426365224
MHHNB11,0.2025984866486045
TUHR4TKB,0.20094602645193688
ISTMES1,0.19959381200361315
UBLC1,0.19929580515033496
SKNSH,0.1991957629984657
JHOS2,0.19783509091012408
SIMA,0.19685299594442335
SKNBE2,0.1967737805571311
KMS11,0.1964414926047625
LK2,0.1958898308863422
DMS454,0.1950530420890953
COV362,0.1936782729823984
22RV1,0.19227775321346896
NCIH661,0.19073040466338503
JL1,0.18955831042123367
HCC1171,0.18919986963390706
HCC95,0.1889952981285458
TE8,0.18874923860323278
OV7,0.18811550495810955
SW1463,0.18744735531505655
SNU503,0.18669169521774154
MDAMB361,0.18603891193295374
TE10,0.18525828137926956
COV434,0.18514763862123565
WM793,0.18483748133599923
NCIH2196,0.18070694251994424
HCC1954,0.18004338182100668
SNU119,0.1797518507081396
DMS114,0.17974502009774498
G361,0.17923681772006966
NCIH2286,0.17910626967717283
CADOES1,0.17854199122623793
NCIH2023,0.17853348729403604
NCIH1299,0.17832037900849515
BICR16,0.17764343818119793
NCIH23,0.17717409684960378
NCIH196,0.17653807077990652
ECC12,0.17568979522887435
HCC1833,0.1746077473464266
OVCAR8,0.17396985224823117
HCC2279,0.1736848064387849
KPNYN,0.17367560441790678
OE21,0.1736598317964639
OAW42,0.17316627685824434
SNU475,0.17313216098599502
NCIH460,0.1729320874704797
G292CLONEA141B1,0.17236699704962913
SW579,0.1723295978228005
HEYA8,0.1719729495072216
SKMEL3,0.17131640735722176
KYSE410,0.17058661742254488
NCIH2170,0.17051954675477318
T3M10,0.17012033661579012
NCIH841,0.16986170251943788
YD15,0.16974721886265648
NCIH1650,0.1696064903475801
SF268,0.16925205542276184
TE441T,0.16922738629477946
NCIH522,0.16904104147042692
SNU878,0.16889562332138716
ESS1,0.16824119044967353
MKN1,0.16723767708458542
NCIH747,0.16713403858009862
OC314,0.1669914714982586
SKES1,0.16642797411047855
HCC1438,0.16638322340294343
UMUC1,0.16624586887193968
BC3C,0.16572880542346144
NCIH2444,0.16559171985204582
TT2609C02,0.16536165625688853
MSTO211H,0.16510887299074642
NCIH727,0.1649580869398031
SW1088,0.16370046959412937
SNU46,0.1633705491800645
TOV112D,0.16291212186081483
ACHN,0.1627604626748119
IGR39,0.16235246444823606
VMRCRCZ,0.16231873112107856
NCIH1755,0.16181202156366012
EFE184,0.16146669416894613
SW1353,0.1613686008589314
WM115,0.16107770646473002
COLO792,0.16105599083995836
JHUEM3,0.16058157435236195
SKMEL28,0.16051432130426307
SKNFI,0.16045715820413228
SKNAS,0.15949918959201065
HCC1395,0.1594723543654233
8305C,0.1589777262527067
CAL120,0.15865644854910843
SUIT2,0.1586334905793194
TE4,0.158042542098002
HCC1806,0.15766421520182386
OAW28,0.15732077558713586
HGC27,0.15642743675299486
NCIH1734,0.1563277392835716
A498,0.1562664028521285
FTC133,0.15625524349230815
SAOS2,0.15582051919635106
MPP89,0.15579013188252097
VMRCRCW,0.15566851604312398
JMSU1,0.1555748823108291
ISHIKAWAHERAKLIO02ER,0.1542860658662688
SBC5,0.15425233845090527
COLO741,0.15415299233584623
COV644,0.15372508328341855
HCT116,0.15361829897240836
KMRC3,0.1534238948109523
CAKI2,0.15276890269234997
SKNMC,0.15270939361259933
ML1,0.15259998841464367
VCAP,0.15247008790930913
YH13,0.15201322809971635
ES2,0.15161165503984092
HOS,0.15143225589357132
KYSE180,0.15025037771603147
SCC25,0.150231452823564
HCC38,0.15004951142871256
NCIH1666,0.14985813030060824
NCIH1581,0.14970163367253136
OVSAHO,0.14949847569127084
CHAGOK1,0.149443632227106
EPLC272H,0.14889782813829822
SKMES1,0.148636352935156
FADU,0.14853100992306448
YD10B,0.14843424457068863
ZR751,0.1482985969979722
VMCUB1,0.14819427023915158
HS940T,0.14798060823156536
NCIH520,0.14763155203846967
HT144,0.14741700428191376
BT549,0.14715388121159978
RMGI,0.14712453981447396
TUHR10TKB,0.1470117521672041
HS683,0.14691069745619212
SNB75,0.14679547757799696
TE6,0.14677455763628475
DBTRG05MG,0.14672686644298422
SNU738,0.14661140137497197
MKN7,0.146479821518399
BICR31,0.14646198565233934
MKN45,0.14578560256271483
A673,0.14552109080295214
JHOM1,0.1448671285784619
PECAPJ49,0.14474853751328212
HS852T,0.1446624519533408
HS729,0.14463611173789132
SNU685,0.14440266633088497
DKMG,0.1441809941977344
NCIH1693,0.1436542787023297
MELJUSO,0.14337816640035278
SKOV3,0.14310491382761634
TE11,0.14262067310065332
KLE,0.14250084792107603
COV318,0.14237068821153442
NCIH1395,0.1421737219892574
SNU398,0.1420979694768138
CAL78,0.1416908106443959
CAL54,0.1415090886449043
BT474,0.14137234184076777
RD,0.14112797573153474
