,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7190000000000001,,,gdsc_Alectinib,0.719,+..
gsk1070916,Not Clinically Relevant,0.616,,,gdsc_GSK1070916,0.616,+..
sb52334,Not Clinically Relevant,0.594,,,gdsc_SB52334,0.594,+..
gsk429286a,Not Clinically Relevant,0.593,,,gdsc_GSK429286A,0.593,+..
ql-xii-61,Not Clinically Relevant,0.593,,,gdsc_QL-XII-61,0.593,+..
tl-2-105,Not Clinically Relevant,0.574,,,gdsc_TL-2-105,0.574,+..
vx-702,Not Clinically Relevant,0.5660000000000001,,,gdsc_VX-702,0.566,+..
ql-xi-92,Not Clinically Relevant,0.545,,,gdsc_QL-XI-92,0.545,+..
tubastatin a,Not Clinically Relevant,0.5920000000000001,0.489,,ctrp_tubastatin A,0.54,++.
y-39983,Not Clinically Relevant,0.532,,,gdsc_Y-39983,0.532,+..
linsitinib,IGF-1R inhibitor,0.583,0.461,,ctrp_linsitinib,0.522,++.
ruxolitinib,"JAK1/2 inhibitor, used for myelofibrosis and polycythemia vera",0.6920000000000001,0.335,,ctrp_ruxolitinib,0.514,++.
kin001-260,Not Clinically Relevant,0.514,,,gdsc_KIN001-260,0.514,+..
gw-2580,Not Clinically Relevant,0.512,,,gdsc_GW-2580,0.512,+..
bx-912,Not Clinically Relevant,0.505,,,gdsc_BX-912,0.505,+..
tretinoin,Retinoid,0.551,0.43700000000000006,,ctrp_tretinoin,0.494,++.
hg-5-88-01,Not Clinically Relevant,0.478,,,gdsc_HG-5-88-01,0.478,+..
xmd14-99,Not Clinically Relevant,0.47200000000000003,,,gdsc_XMD14-99,0.472,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.642,0.302,,ctrp_navitoclax,0.472,++.
staurosporine,Not Clinically Relevant,,0.46,,ctrp_staurosporine,0.46,.+.
amuvatinib,Not Clinically Relevant,0.449,,,gdsc_Amuvatinib,0.449,+..
xmd13-2,Not Clinically Relevant,0.449,,,gdsc_XMD13-2,0.449,+..
ispinesib mesylate,Not Clinically Relevant,0.44,,,gdsc_Ispinesib Mesylate,0.44,+..
quizartinib,Flt3 inhibitor,0.585,0.282,,ctrp_quizartinib,0.434,++.
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.489,0.374,,ctrp_axitinib,0.432,++.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.425,,ctrp_indisulam,0.425,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.418,,ctrp_barasertib,0.418,.+.
sb-505124,Not Clinically Relevant,0.418,,,gdsc_SB-505124,0.418,+..
avrainvillamide,Not Clinically Relevant,,0.41600000000000004,,ctrp_avrainvillamide,0.416,.+.
brd-k26531177,Not Clinically Relevant,,0.414,,ctrp_BRD-K26531177,0.414,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.413,,ctrp_chlorambucil,0.413,.+.
skepinone-l,Not Clinically Relevant,,0.41200000000000003,,ctrp_skepinone-L,0.412,.+.
ml050,Not Clinically Relevant,,0.41,,ctrp_ML050,0.41,.+.
sotrastaurin,pan-PKC inhibitor,,0.409,,ctrp_sotrastaurin,0.409,.+.
o-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair",,0.406,,ctrp_O-6-benzylguanine,0.406,.+.
xl765,PI3K/mTOR inhibitor,,0.405,,ctrp_XL765,0.405,.+.
xmd15-27,Not Clinically Relevant,0.402,,,gdsc_XMD15-27,0.402,+..
ml239,Not Clinically Relevant,,0.401,,ctrp_ML239,0.401,.+.
tipifarnib-p1,Not Clinically Relevant,,0.4,,ctrp_tipifarnib-P1,0.4,.+.
iu1,Not Clinically Relevant,,0.39799999999999996,,ctrp_IU1,0.398,.+.
brd-k28456706,Not Clinically Relevant,,0.397,,ctrp_BRD-K28456706,0.397,.+.
brd-k51490254,Not Clinically Relevant,,0.396,,ctrp_BRD-K51490254,0.396,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.395,,ctrp_VX-680,0.395,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.395,,ctrp_16-beta-bromoandrosterone,0.395,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.39399999999999996,,ctrp_epigallocatechin-3-monogallate,0.394,.+.
compound 1b,Not Clinically Relevant,,0.39299999999999996,,ctrp_compound 1B,0.393,.+.
