drug_name,MB002
PABPC1,0.9995
NAA25,0.9995
CISH,0.9995
SHB,0.9995
OXSR1,0.9995
PSMG1,0.9992
PNKP,0.9991
ZBTB24,0.9989
PAPSS1,0.9989
CCNH,0.9989
MAPKAPK2,0.9984000000000001
POU2AF1,0.9984000000000001
STK11,0.9981
PREP,0.9979
SULT1A2,0.9979
metyrapone,0.9975
2-aminopurine,0.9975
AIRE,0.9974
TEAD4,0.9974
CLTB,0.9974
norgestimate,0.9972
KIF9,0.9972
DR1,0.9971
MCM8,0.9971
PBX1,0.9963
TNFRSF10A,0.9961
Mediator complex LOF,0.996
MIF,0.9958
GSTP1,0.9954999999999999
FGFR4,0.9954999999999999
fexaramine,0.9954000000000001
SLC29A1,0.9954000000000001
BRD-A38793261,0.9953
COX7B,0.995
TARBP2,0.9947
CCRN4L,0.9947
CPE,0.9947
RBBP6,0.9945999999999999
NIPBL,0.9942
BCKDHA,0.9939
TPM1,0.9937
MED1,0.993
PRKAR2A,0.9929000000000001
AC-55649,0.9926
TRIM24,0.9925
EIF4E,0.9924
razoxane,0.9922
PPM1L,0.9921
MAPK1,0.9921
MRGPRX4,0.9914000000000001
SPEN,0.9913
CLPX,0.9913
RNF7,0.9911
RRM2,0.9911
tripelennamine,0.991
PTHLH,0.9906
ACD,0.9906
aspirin,0.9904999999999999
diltiazem,0.9904999999999999
CD24,0.9904999999999999
ELK3,0.9903
EIF2C3,0.9898
KCTD5,0.9897
ARHGEF6,0.9897
EIF6,0.9895
STK24,0.9894
PRKAB1,0.9889
actarit,0.9886
CYP1A1,0.9886
NSD1,0.9884000000000001
CPD,0.9884000000000001
zileuton,0.9884000000000001
TTF1,0.9883
GSTT1,0.9882
ATF1,0.988
HEBP1,0.9879000000000001
SIRPG,0.9876
F12,0.9873999999999999
tyrphostin-AG-1295,0.9873000000000001
YBX1,0.9871
amonafide,0.987
HO-013,0.9865
avrainvillamide-analog-3,0.9863
YES1,0.9861
ZM-323881,0.9859
P2RY2,0.9858
ESRRA,0.9858
INS,0.9858
PRKRIR,0.9852
LIF,0.9849
phensuximide,0.9848
RRP8,0.9847
MAPK3,0.9845
POLE3,0.9843999999999999
MGST2,0.9843000000000001
PLK2,0.9843000000000001
LAMB1,0.9840000000000001
FBXO11,0.9839
GW-843682X,0.9838
CPNE3,0.9837
GLOD4,0.9833
LSR,0.9831
TLE3,0.983
SOX10,0.9829000000000001
TACC3,0.9828
EIF3J,0.9823999999999999
formestane,0.9823999999999999
ZNF200,0.9823999999999999
BAY-K8644,0.9823999999999999
DMEOB,0.9821
PLOD2,0.9821
NDUFB1,0.9815999999999999
TOMM34,0.9813
homochlorcyclizine,0.981
MTA3,0.9808
MED7,0.9808
MLH1,0.9804
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9803000000000001
vinorelbine,0.9801000000000001
ZC3H4,0.9795
EIF4A2,0.9793999999999999
SLC35A3,0.9793000000000001
cinalukast,0.9792000000000001
RHOBTB1,0.9789
clofazimine,0.9789
PGRMC1,0.9787
TAF5L,0.9787
SH2B3,0.9784
IL1B,0.9781
CAB39,0.978
MOK,0.9779000000000001
TNKS2,0.9779000000000001
AGPAT2,0.9773000000000001
LHX9,0.9772
MYNN,0.9772
parthenolide,0.9771
griseofulvin,0.9771
etacrynic-acid,0.9771
SMURF2,0.977
Wnt family LOF,0.9769
RPS7,0.9769
OAT,0.9768000000000001
RPS6KA4,0.9767
RPS6KB2,0.9767
MSX2,0.9767
AXIN1,0.9765999999999999
UNC-0321,0.9764
hydroquinidine,0.9761
MEF2A,0.9761
KLRC1,0.976
quinidine,0.9758
NDUFA7,0.9758
ibuprofen,0.9754999999999999
TUBB6,0.9754
DUSP7,0.9754
STAT2,0.9752
RYBP,0.975
etodolac,0.975
sitagliptin,0.9749
ECH1,0.9745999999999999
HSP90AB1,0.9743
ABCG2,0.9742000000000001
FZD6,0.9739
SHMT2,0.9734
PNU-120596,0.9732999999999999
BCL9,0.9732
TM7SF2,0.9731000000000001
RELA,0.973
mepyramine,0.9729000000000001
fillalbin,0.9729000000000001
HAX1,0.9727
PIK3R1,0.9727
EXOSC4,0.9727
BRD-K26947839,0.9725
alisertib,0.9722
rescinnamine,0.9722
GAK,0.9721
Mitogen activated protein kinases LOF,0.9718000000000001
DCXR,0.9712999999999999
HSD17B2,0.9711
UGP2,0.971
farnesylthioacetic-acid,0.9708
flubendazole,0.9708
roxatidine,0.9706999999999999
CEBPB,0.9704999999999999
ipsapirone,0.9704999999999999
BRD-K88742110,0.9703
FZD7,0.9701000000000001
ADAT1,0.97
ADSS,0.97
CTTN,0.9697
ARHGEF2,0.9695999999999999
ABCA5,0.9695
BRD-K87426499,0.9693
VAT1,0.9692000000000001
NMRAL1,0.9689
DHFR,0.9688
PSIP1,0.9687
LGALS1,0.9686
EPB41L4B,0.9682
SUCNR1,0.9681000000000001
FBRS,0.9681000000000001
lenalidomide,0.9678
TPD52L3,0.9677
MED28,0.9673999999999999
nornicotine,0.9673999999999999
Bile acid,0.9672
RBBP7,0.9671
linezolid,0.9669
ZNF277,0.9668000000000001
CFD,0.9662999999999999
oxymetholone,0.9662000000000001
ethisterone,0.9662000000000001
MTSS1,0.9661
MCCC1,0.9661
RPS6KL1,0.9658
WNT9A,0.9658
RBBP4,0.9656
BRD-K21009077,0.9655
PLEKHJ1,0.9655
MEK1-2-inhibitor,0.9655
ANKZF1,0.9655
GLIS3,0.9652
RS-102895,0.9651000000000001
bromocriptine,0.965
naftidrofuryl,0.9648
AHCY,0.9648
RAB4A,0.9648
SPA17,0.9645999999999999
phenprobamate,0.9640000000000001
finasteride,0.9640000000000001
MYCBP2,0.9640000000000001
YWHAZ,0.9634
NTRK1,0.9632999999999999
JNJ-16259685,0.9632
PD-98059,0.9627
felbamate,0.9623999999999999
TPR,0.9623
BUD13,0.9621999999999999
ZNF212,0.9619
PDHB,0.9617
BCKDK,0.9616
CCDC85B,0.9612
NR0B1,0.9606
icariin,0.9605
ZNF672,0.9604
SC-19220,0.9603
PGBD1,0.9601000000000001
lumicolchicine,0.9594
GPR62,0.9593
ZNF677,0.9592
RRS1,0.9592
IRL-2500,0.9591
STK38,0.9591
cholic-acid,0.9588
GTF2A2,0.9588
PRPF4,0.9587
GSK-461364,0.9587
SMC4,0.9581000000000001
diphenoxylate,0.958
ARPC1A,0.9579000000000001
LRPAP1,0.9578
olanzapine,0.9577
GSK-1904529A,0.9576
CDKN1B,0.9575
DNAJC15,0.9570000000000001
ZNF365,0.9565
EIF5,0.9565
tretinoin,0.9564
RIPK2,0.9556999999999999
SATB2,0.955
vecuronium,0.9549
SLC1A1,0.9549
STK24,0.9545999999999999
barasertib,0.9545999999999999
AS-605240,0.9545
YTHDF2,0.9543
physostigmine,0.9541
CDCA8,0.9540000000000001
PRKAR2B,0.9540000000000001
MEK inhibitor,0.9540000000000001
POLA2,0.9537
ROCK2,0.9534999999999999
NR0B2,0.9534
PIAS1,0.9533
tiabendazole,0.9531999999999999
NFE2L1,0.9531999999999999
NVP-AUY922,0.9531000000000001
CDX2,0.9529000000000001
PD-0325901,0.9527
KLF14,0.9525
CGP-7930,0.9523999999999999
BRD-K70693222,0.9521999999999999
BRD-K91485395,0.9521
RND3,0.9519
ZNF354B,0.9518000000000001
testosterone,0.9516
QL-XI-92,0.9516
HSF2,0.9516
TMEM174,0.9515
neurodazine,0.9514
NR2C1,0.9512
sulfasalazine,0.9512
flucytosine,0.9512
TIMP2,0.951
CHMP6,0.9509000000000001
IFIH1,0.9508
tacrolimus,0.9506999999999999
17-hydroxyprogesterone-caproate,0.9506999999999999
CDK5,0.9506
General transcription factors group 1 LOF,0.9505
ALW-II-49-7,0.95
CREM,0.9498000000000001
PTPRF,0.9495999999999999
FGFR inhibitor,0.9495999999999999
deferiprone,0.9495
ZBTB20,0.9495
VDAC1,0.9495
droxinostat,0.9494
EXT2,0.9492
CERK,0.9487000000000001
CEP72,0.9486
EPO,0.9484999999999999
POU5F1,0.9483
RPS6KA5,0.9481999999999999
SOAT1,0.9481
QRFPR,0.948
ICAM3,0.9473999999999999
HEATR1,0.9473
resveratrol,0.9466
ZNF577,0.9465
TBK1,0.9462
LPGAT1,0.946
TRAK2,0.9458
NNT,0.9458
MED26,0.9453
albendazole,0.9451999999999999
PFAS,0.9444
4-(2-Amino-ethyl)-benzenesulfonamide,0.9443
BRD-A05680309,0.9440999999999999
danazol,0.9440000000000001
ALW-II-38-3,0.9440000000000001
ABCC4,0.9439
GNGT2,0.9434999999999999
DICER1,0.9434999999999999
DFFA,0.9434
ZNF267,0.9431
NBI-27914,0.943
ARID3A,0.9429000000000001
USP14,0.9429000000000001
NUP62,0.9423
KIAA1009,0.9423
TFDP1,0.9419
CYP20A1,0.9418000000000001
U0126,0.9418000000000001
CELSR3,0.9414
MED28,0.9403
parthenolide,0.9401999999999999
PD-168077,0.94
ACBD3,0.9396
NFATC2,0.9396
dihydroergocristine,0.9390999999999999
MAP2K1,0.9390999999999999
methylnorlichexanthone,0.9390000000000001
TCS-359,0.9383
ZNF669,0.9383
LIMK2,0.9378
FGIN-1-43,0.9377
ABCG8,0.9375
rilmenidine,0.9373
CDK1-5-inhibitor,0.9370999999999999
ZNF85,0.9370999999999999
naloxone,0.937
CTSD,0.9369
XPO7,0.9368000000000001
RAB11FIP2,0.9365000000000001
etodolac,0.9365000000000001
L-692585,0.9362999999999999
KUC104502N,0.9355
UBR7,0.9353
RAD51C,0.9353
valproic-acid,0.935
ZKSCAN2,0.9349
ON-01910,0.9347
MITF,0.9347
rhodomyrtoxin,0.9344
LRP4,0.9343
sunitinib,0.934
ATG4A,0.9338
SERPINC1,0.9326000000000001
SB-216763,0.9323
STK33,0.9320999999999999
SCH-28080,0.9312999999999999
RABGGTA,0.9312999999999999
NFKB1,0.9308
SLC1A4,0.9306
Rho GTPase activating proteins LOF,0.9306
IL8,0.9301
BRD-K98404142,0.9299
COBL,0.9295
triprolidine,0.9295
HDAC11,0.9295
COASY,0.9287000000000001
CEBPZ,0.9287000000000001
SMYD3,0.9285
VU-0365114-2,0.9283
AS-703026,0.9279999999999999
ZNF398,0.9278
BMI1,0.9276000000000001
noscapine,0.9274
PRMT2,0.9273
BRD-K73285375,0.9273
ziprasidone,0.9272
SLC25A13,0.9272
STXBP1,0.9272
IGF2BP3,0.9270999999999999
NFATC3,0.9270999999999999
SLC25A22,0.9270999999999999
ZM-447439,0.9269
naftopidil,0.9268000000000001
clomifene,0.9264
betamethasone,0.9259999999999999
SLC29A2,0.9259000000000001
BRD-K67258146,0.9258
GW-311616,0.9257
dilazep,0.9257
ADCY3,0.9256
chlormadinone,0.9255
TPMT,0.9248999999999999
EIF2AK1,0.9248999999999999
MBOAT7,0.9248999999999999
PRMT3,0.9247
lithocholic-acid,0.9247
hydrocortisone,0.9244
raltitrexed,0.9243000000000001
RK-682,0.9242
ARHGAP1,0.9239
WNT11,0.9237000000000001
temozolomide,0.9237000000000001
ARAF,0.9236
epibatidine,0.9235
NQO2,0.9233
nomegestrol,0.9229
puromycin,0.9228000000000001
ABCF1,0.9227
MEF2C,0.9222
TMEM154,0.9222
AP4S1,0.9220999999999999
HSD17B10,0.922
SQSTM1,0.922
ingenol,0.9218000000000001
PD-160170,0.9218000000000001
ARL4C,0.9216
TNFRSF6B,0.9216
ABCF3,0.9216
ANKZF1,0.9209999999999999
TRAF1,0.9204000000000001
orantinib,0.9201999999999999
SCAF8,0.9198000000000001
SLC35F2,0.9198000000000001
HADHA,0.9196
ING3,0.9196
HOXC9,0.919
Aromatase inhibitor,0.9183
BUB1B,0.9181999999999999
6-aminochrysene,0.9179999999999999
DENND2D,0.9179
ZSWIM2,0.9177
IB-MECA,0.9176000000000001
PPP2R1A,0.9175
retinol,0.917
MPZL1,0.9168000000000001
PBRM1,0.9168000000000001
PEX19,0.9167000000000001
toremifene,0.9167000000000001
palmitoylethanolamide,0.9165000000000001
prunetin,0.9161
PD-184352,0.9161
LASP1,0.9159
capsaicin,0.9159
GMPR2,0.9157
ZNF24,0.9151
melperone,0.9148999999999999
AP2M1,0.9147
FKBP1A,0.9145
FOXJ2,0.9142
TMEM110,0.914
TAF15,0.9138
SRPK1,0.9138
Tubulin inhibitor,0.9134
MXD4,0.9131999999999999
coumarin,0.9131999999999999
methysergide,0.9131
SOCS4,0.9129
ATP5S,0.9127
CRCP,0.9123
epothilone,0.9122
ABT-737,0.9118999999999999
INHBE,0.9116
IPO13,0.9115000000000001
CSDA,0.9114
BRD-K28680267,0.9114
BCL6B,0.9109
salubrinal,0.9109
BRD-K79511609,0.9107999999999999
ESYT1,0.9107999999999999
IGFBP4,0.9107
ZNF562,0.9105
HOXA5,0.9104000000000001
CD320,0.9102
TNFSF8,0.9102
IRF3,0.9098
BNTX,0.9097
PWP1,0.9096
DCTD,0.9093000000000001
FADS2,0.9091
SCYL3,0.9087999999999999
X linked mental retardation group 2 LOF,0.9086
TCEA2,0.9084
ABCA1,0.9083
EMF-bca1-57,0.9081
liothyronine,0.9074
PIN1,0.9073
ATP6V1D,0.9073
hypericin,0.9067000000000001
phenytoin,0.9066
flecainide,0.9066
altizide,0.9066
ARHGEF11,0.9065000000000001
LY-278584,0.9063
PPARD,0.9057
noreleagnine,0.9053
ADA,0.9048999999999999
PAX8,0.9048
U-0124,0.9046
FOSL2,0.9043000000000001
SCP2,0.9043000000000001
rizatriptan,0.9041
GPR83,0.9041
NDFIP1,0.9041
docetaxel,0.904
immepip,0.904
PU-H71,0.9039
CDIPT,0.9037999999999999
DECR1,0.9033
isoxicam,0.9029
TSPAN8,0.9026000000000001
axitinib,0.9025
SJ-172550,0.9025
CSNK1G3,0.9022
PDS5B,0.9020999999999999
NLK,0.9020999999999999
C2CD2L,0.9020999999999999
UBE2E3,0.902
raltegravir,0.9016
RCHY1,0.9012
UBE2J1,0.9011
EIF2C2,0.9009999999999999
etoposide,0.9005
TOPBP1,0.9002
QW-BI-011,0.8996999999999999
ANAPC5,0.8996
CD320,0.8995000000000001
PD-0325901,0.8991
3-amino-benzamide,0.899
ZNF57,0.8986
cimetidine,0.8985
danoprevir,0.8979
ABCB6,0.8978
PPT1,0.8976999999999999
CCDC92,0.8970999999999999
EED,0.8970999999999999
SULT1A1,0.897
CD81,0.8968
SLC38A2,0.8968
carbamazepine,0.8965000000000001
SOS2,0.8961
GR-55562,0.8954000000000001
Y-27632,0.8953
oxibendazole,0.8951
flupirtine,0.895
UBE2K,0.8948
androstenedione,0.8946999999999999
MDL-11939,0.8946
PIGB,0.8942
HOXB7,0.8941
DVL1,0.8939
PPP2R3A,0.8934000000000001
POLQ,0.8934000000000001
idebenone,0.8931999999999999
ZNF433,0.893
IWR-1-ENDO,0.893
apicidin,0.8929
U-0126,0.8928
spectinomycin,0.8928
proxyfan,0.8925
INPP1,0.8922
HMGA1,0.8915000000000001
GPATCH8,0.8914
HUS1,0.8911
SB-216641,0.8909
CABIN1,0.8904000000000001
pravastatin,0.8904000000000001
PDGFRA,0.8901
metixene,0.89
GSTT1,0.8898
PTGER4,0.8894
spironolactone,0.8887999999999999
VX-745,0.8887
idarubicin,0.8884000000000001
GYKI-52466,0.8881999999999999
PRKAA2,0.8881
ICI-199441,0.8879
KDELR3,0.8878
GIT2,0.8876999999999999
PPP2R2C,0.8876000000000001
CHRAC1,0.8873000000000001
LOXL1,0.8872
FAM120A,0.8870999999999999
ABT-751,0.887
CTSL2,0.887
F10,0.8869
LGALS8,0.8869
PRDM1,0.8865999999999999
PD-173074,0.8865999999999999
Tumor necrosis factor superfamily LOF,0.8864
clofibrate,0.8864
GPR152,0.8863
SMO,0.8855
XMD-885,0.8851
GR-46611,0.8845000000000001
BRD-K16618170,0.8841
SH3GL1,0.8839
RNF14,0.8837999999999999
pseudopelletierine,0.8837999999999999
MK-5108,0.8837
DNAJA3,0.8834000000000001
nocodazole,0.8832
GPR82,0.8832
gliquidone,0.8826
ASF1B,0.8820999999999999
NU-7441,0.8819
ABCC10,0.8817
IFI30,0.8815999999999999
IRF9,0.8812000000000001
ranolazine,0.8812000000000001
LIPH,0.8806999999999999
TG100-115,0.8801000000000001
DLC1,0.88
ERGIC2,0.88
SERPINE1,0.8798
CASK,0.8792
fluocinolone,0.879
MPL,0.8787999999999999
RBMX,0.8787999999999999
TTNPB,0.8787
RAB11FIP2,0.8785
RPL39L,0.8784000000000001
altanserin,0.8783
iobenguane,0.8782
SIAH2,0.8781
IL6,0.8778
ZNF454,0.8776999999999999
trimethobenzamide,0.8773000000000001
BRD-K41143549,0.8772
AKT3,0.8772
RALA,0.877
fenbendazole,0.877
F3,0.8767
ZNF582,0.8765999999999999
dexketoprofen,0.8762000000000001
ARHGDIB,0.8759999999999999
RPS3,0.8759
LAGE3,0.8756999999999999
ZNF32,0.8756999999999999
nikkomycin,0.8756
SPRED2,0.8754000000000001
POLR3D,0.8748999999999999
epoxycholesterol,0.8745999999999999
naltriben,0.8745
PDXK,0.8743000000000001
VEGFC,0.8743000000000001
BARX1,0.8739
doxercalciferol,0.8737
BRPF1,0.8734999999999999
GTF2I,0.8731
PWP1,0.8726
memantine,0.8725
PIK3C2A,0.8725
tranilast,0.8723000000000001
geldanamycin,0.8719
TAF13,0.8718
pirenzepine,0.8717
EPRS,0.8715
ZNF131,0.8713
WNT7B,0.8712000000000001
TCEA1,0.8712000000000001
ergocornine,0.8709
andarine,0.8708
ZNF625,0.8708
TFE3,0.8704000000000001
PCK2,0.8703
WDR61,0.87
TSN,0.87
zacopride,0.8698
KUC103898N,0.8695999999999999
FOS transcription factor family GOF,0.8692
ketoconazole,0.8690000000000001
RHEB,0.8684000000000001
RAMP1,0.8679000000000001
POR,0.8678
POU5F2,0.8676999999999999
IFI30,0.8667
SEC14L1,0.8667
PBXIP1,0.8664000000000001
norepinephrine,0.8663
PTPN2,0.8661
vinorelbine,0.8661
ASAH1,0.8654999999999999
sinensetin,0.8651000000000001
TGFBR1,0.865
HINT1,0.8648
HOOK2,0.8647
rifaximin,0.8643000000000001
VU-0400193-3,0.8642
BRP44,0.8639
ATF3,0.8634000000000001
erythromycin,0.8634000000000001
dexamethasone,0.8632
IRF9,0.8632
farnesol,0.8632
SR-95639A,0.8631
SCMH1,0.8626
lapatinib,0.8622
TSPAN4,0.8618000000000001
FUT1,0.8615999999999999
F11,0.8614
BACH2,0.8613
EPCAM,0.8613
doxapram,0.8613
NPI-2358,0.8611
kinetin-riboside,0.8609
POLR1E,0.8608
fusaric-acid,0.8606
SLC7A11,0.8604
TCF7L2,0.8604
KIF5B,0.86
NDUFA3,0.8598
L-701324,0.8593000000000001
ZNF548,0.8579000000000001
CASK,0.8576999999999999
ZNF521,0.8575
STAMBP,0.8573999999999999
PPP4R1,0.8565999999999999
HMOX1,0.8565
BIBX-1382,0.8563
CDK9,0.856
mirin,0.8559
GLTSCR1,0.8554
CCP110,0.8553000000000001
ISOC1,0.8547
UFM1,0.8545999999999999
IRGM,0.8545
PTPN11,0.8543999999999999
PURA,0.8543000000000001
CDKAL1,0.8541
GTF3C2,0.8541
amylocaine,0.8538
lansoprazole,0.8537
levonorgestrel,0.8536
TIMP4,0.8533
GABPB1,0.8533
E2F6,0.8532
homosalate,0.853
PUS10,0.853
TRAF2,0.8529000000000001
SREBF1,0.8523999999999999
ERCC2,0.8523000000000001
O3FAR1,0.8515999999999999
POLD4,0.8515999999999999
SMAD4,0.8514
KHDRBS1,0.8512000000000001
PKM2,0.851
DUSP2,0.851
ofloxacin,0.8506999999999999
NPDC1,0.8504
pyrimethamine,0.8503000000000001
CD19,0.85
HARS,0.8499
TCF7L1,0.8499
PUF60,0.8495
PI-828,0.8493
INPP1,0.8492000000000001
PYGL,0.8490000000000001
EIF4E,0.8489
PVRL2,0.8488
KIAA0922,0.8487
BIIB021,0.8484
triacsin-c,0.8482999999999999
TIMELESS,0.8482
VEGFA,0.8482
HG-5-88-01,0.8482
sorafenib,0.8479000000000001
AKR1C2,0.8471
STAT4,0.8464
CDH1,0.8461
VU-0420363-1,0.8461
MTERFD1,0.8459
minoxidil,0.8456999999999999
GPR151,0.8456
GNG8,0.8453
megestrol,0.8453
NR1H3,0.8452
PFN2,0.8451000000000001
FAF1,0.8449
tosyl-phenylalanyl-chloromethyl-ketone,0.8445999999999999
GALT,0.8443
CARD9,0.8439
PP-3,0.8439
oxiconazole,0.8439
KLHL21,0.8439
HSD17B8,0.8438
BRD-K63784565,0.8432999999999999
LGR5,0.843
NPM1,0.8423
TSPAN6,0.8422
fluticasone,0.8422
anpirtoline,0.8416
phenoxybenzamine,0.8412999999999999
GABBR1,0.8409
CD99,0.8408
