,MB002,COSMIC ID
cosmic_910691,-0.08076400601744255,910691
cosmic_688031,-0.08954590933587533,688031
cosmic_908483,-0.15684259527115016,908483
cosmic_753582,-0.2239558454681781,753582
cosmic_688006,-0.22974681455658197,688006
cosmic_688022,-0.2326980230822824,688022
cosmic_753594,-0.23534611843088277,753594
cosmic_753547,-0.24294118757935315,753547
cosmic_907170,-0.24473108873140922,907170
cosmic_906834,-0.2503399297131653,906834
cosmic_753589,-0.25560960460176,753589
cosmic_713899,-0.2618203252365732,713899
cosmic_753605,-0.2627316785636552,753605
cosmic_687997,-0.2642856284400242,687997
cosmic_910941,-0.2642915520855146,910941
cosmic_688023,-0.2650116570875758,688023
cosmic_687985,-0.2664375792955712,687985
cosmic_687804,-0.270028665400301,687804
cosmic_910568,-0.273970336334095,910568
cosmic_753618,-0.2741390829914869,753618
cosmic_1322213,-0.2784031085426185,1322213
cosmic_713878,-0.27868390395759346,713878
cosmic_949175,-0.2817832475242428,949175
cosmic_688086,-0.2820910532047491,688086
cosmic_1240193,-0.2830959585039466,1240193
cosmic_909194,-0.2832930475299855,909194
cosmic_753599,-0.2834047824804542,753599
cosmic_688025,-0.2852930704297074,688025
cosmic_688010,-0.2888985451980812,688010
cosmic_1240181,-0.2921489358195827,1240181
cosmic_688014,-0.2945271509601247,688014
cosmic_924241,-0.29744607180967414,924241
cosmic_910937,-0.2987096625120137,910937
cosmic_688013,-0.3008262741592903,688013
cosmic_687980,-0.30321688354801074,687980
cosmic_753588,-0.30354266162037824,753588
cosmic_688001,-0.3047129731158657,688001
cosmic_688027,-0.307329391488129,688027
cosmic_909731,-0.30748956104393704,909731
cosmic_713885,-0.30819300160801394,713885
cosmic_907314,-0.3088953130539389,907314
cosmic_907295,-0.3098676629071802,907295
cosmic_925341,-0.3120805445749999,925341
cosmic_949177,-0.3149640574802629,949177
cosmic_688026,-0.3173631792887148,688026
cosmic_753616,-0.3176963003238736,753616
cosmic_906875,-0.3192845569986795,906875
cosmic_688018,-0.3218168842808982,688018
cosmic_949178,-0.32345929862380846,949178
cosmic_908467,-0.32360807045253864,908467
cosmic_908447,-0.3249817602880059,908447
cosmic_688021,-0.32559401415796324,688021
cosmic_908135,-0.32573503395031705,908135
cosmic_910692,-0.3266300665907348,910692
cosmic_949155,-0.32867056562727975,949155
cosmic_910567,-0.3336295613590035,910567
cosmic_949173,-0.3351913814147294,949173
cosmic_908481,-0.3368514338357471,908481
cosmic_753620,-0.33751923088857216,753620
cosmic_910899,-0.33777643948267294,910899
cosmic_909779,-0.33807754142007646,909779
cosmic_753607,-0.3394659067427181,753607
cosmic_1330972,-0.33954299221522727,1330972
cosmic_1330964,-0.34051716671719345,1330964
cosmic_908454,-0.34076448634678547,908454
cosmic_1240210,-0.3414433077776982,1240210
cosmic_949168,-0.3414785167721594,949168
cosmic_909716,-0.3428525327244922,909716
cosmic_688007,-0.34443913254385977,688007
cosmic_908469,-0.34489204318119837,908469
cosmic_946357,-0.3452847142148445,946357
cosmic_906808,-0.3459392995554958,906808
cosmic_687600,-0.34750888710716343,687600
cosmic_949166,-0.3477575681517921,949166
cosmic_1297438,-0.3486185038225456,1297438
cosmic_724831,-0.3502640064029675,724831
cosmic_910920,-0.35184460222971514,910920
cosmic_909264,-0.3533082067573994,909264
cosmic_1297439,-0.35433787314081955,1297439
cosmic_684055,-0.3547420938041488,684055
cosmic_1299075,-0.35535109529659953,1299075
cosmic_906833,-0.35546213591627673,906833
cosmic_713869,-0.35602334657069984,713869
cosmic_753564,-0.35707731994251024,753564
cosmic_908458,-0.35724435761841145,908458
cosmic_724872,-0.3609136127219183,724872
cosmic_906847,-0.3620441316847801,906847
cosmic_949170,-0.3628673954579178,949170
cosmic_684052,-0.36476818781771275,684052
cosmic_688011,-0.36500844012660255,688011
cosmic_688087,-0.36510281232913283,688087
cosmic_949163,-0.3656707067123846,949163
cosmic_1240189,-0.3675698150904815,1240189
cosmic_684062,-0.36910331141140085,684062
cosmic_1298134,-0.36925711526000693,1298134
cosmic_1299059,-0.37021506805117105,1299059
cosmic_684072,-0.37034716597626494,684072
cosmic_908126,-0.3704250832938735,908126
cosmic_910780,-0.3707760021000439,910780
cosmic_753551,-0.371749764815633,753551
cosmic_949164,-0.37183024625215455,949164
