,MB002
NCIH1694,0.1740388377559568
NCIH1184,0.17053287014191904
NCIH661,0.16615133205870936
NCIH1155,0.16308568312649793
IMR32,0.15361381178091496
NCIH1341,0.14968701175524082
DMS114,0.14642635020227712
DU145,0.14363948205300328
NCIH1092,0.1391414751689167
SNU398,0.13525649562693007
KNS62,0.13271891309883846
FUOV1,0.13090604595436298
TC71,0.1294857638206884
SKNDZ,0.12742188865138415
NCIH211,0.12114768910450434
DAOY,0.11738797318581648
NCIH810,0.11559657575019865
KYSE450,0.11060670202911374
NCIH2286,0.11032913058500475
NCIH1299,0.1083762931438231
NCIH522,0.106299948685663
KELLY,0.10525587217502105
5637,0.10077664138725638
HARA,0.10041647453316675
T3M10,0.09450355004386835
SIMA,0.09359998440794653
NCIH23,0.09324301047793264
NCIH1693,0.09320170479781492
CAL27,0.09238689490670855
OE21,0.08871449865536074
SKNSH,0.0886087142502176
KYSE180,0.08753167911456187
KPNSI9S,0.08722301987404146
RERFGC1B,0.08710953119975665
SKNFI,0.0870235790034927
ESS1,0.08498165728408615
DBTRG05MG,0.08423550979070453
NCIH1792,0.08203940316264198
MSTO211H,0.08154878276116771
SKNBE2,0.08082705111075124
8MGBA,0.07869835817591984
NCIH2170,0.07860675215661898
22RV1,0.07853654477436807
SAOS2,0.07786596586946183
JMSU1,0.07768452030330887
NCIH1703,0.07703117287300118
NCIH1651,0.07646513444114059
ES2,0.07638494551988796
NIHOVCAR3,0.07546163125608436
HOS,0.07482796689685706
OVCAR8,0.07444316536059246
EFE184,0.07435647550770987
GCT,0.07408593339048831
RD,0.07390113801429397
SNU475,0.07255156076993417
SCC25,0.07252386875056704
DETROIT562,0.07168634730102916
IGR37,0.07160620351877686
JHOS2,0.07132704457791283
EM2,0.07068527943746243
NCIH747,0.07018898067137581
HCC1954,0.06956520743430354
NCIH1048,0.06933224092579528
A253,0.06925429786474038
TT2609C02,0.06891217783917061
PANC0327,0.06820803657227695
SBC5,0.06726527707046608
HCC1806,0.06707801233710707
TOV112D,0.06669658752357581
KYSE410,0.06664879420080778
BT549,0.06639340737117838
NCIH1581,0.06639021858365576
MEG01,0.06609833293058025
A204,0.06604162487154042
A673,0.0657910990712716
WM793,0.06551654613226841
SKES1,0.06493691038331643
SNU182,0.06459140213705439
A172,0.06444435254168304
A549,0.0636772668301998
A2780,0.06310452779098129
UACC62,0.06271425766320197
MKN45,0.06245871024777517
ISTMES1,0.06242781309102093
NCIH2052,0.06142616661717984
HMCB,0.06090093903732413
MIAPACA2,0.05982893178262758
MDAMB157,0.05929764161259325
KLE,0.05908572198425154
LU99,0.05865920638587765
NCIH2444,0.057260121727533156
NCIH2023,0.056845897769743386
MFE319,0.05679374293294312
NCIH1666,0.05619389616790113
HEYA8,0.05597906585812653
SW579,0.05594679527997028
SUIT2,0.055419416771443485
CALU3,0.054931591844585306
SW1573,0.054307317560313186
EN,0.05411154596193133
NCIH2122,0.05356702393477416
HCC15,0.05336722503152764
HEL9217,0.05325622295794066
WM115,0.05277428085285715
SW1353,0.05274045309224206
FU97,0.05140043331960561
OV90,0.0513955423532794
8305C,0.05134268297518575
MKN7,0.05113136635455184
SKMEL24,0.05112134014384088
MDAMB436,0.05108976546162958
HCC1569,0.05084656511805809
SHP77,0.0507072948849062
C2BBE1,0.05045991273519293
MKN74,0.04982164197315221
HS936T,0.04904104920531595
G361,0.048584773871782595
COV504,0.04849720604944675
SW900,0.04824101599804171
SIGM5,0.046964364261426784
MPP89,0.04651480100724164
CHP212,0.04587708766380408
HS683,0.045770052234958995
CALU1,0.04524854456988995
KMS11,0.04524632740222771
HCT116,0.044948301997008944
HT144,0.044946527468971376
A2058,0.044860978883225135
COLO679,0.044802106696967096
NCIH1869,0.044757837018620426
BXPC3,0.04440890462376809
ONS76,0.04440205508378995
NCIH647,0.044242545359911296
SNU423,0.04418317334198378
CALU6,0.044134830144905594
WM2664,0.04401699766142979
MFE280,0.04342083157190495
J82,0.04337220489541122
SW1088,0.04331637019977934
PC3,0.043274409099934276
GB1,0.04232866010756322
MFE296,0.04227151825551712
KMRC2,0.04219338462769129
NCIH727,0.041725550011099545
UACC257,0.04167744003464207
42MGBA,0.04153649045386524
SKMEL5,0.04153623192098732
NCIH1339,0.04145313403178193
NCIH1648,0.041245720735314254
HGC27,0.04116331863821908
MESSA,0.04108541260237492
SKMEL31,0.040885607901794914
LUDLU1,0.04057049192678556
WM88,0.04048591693562928
U2OS,0.04000705243233755
MELHO,0.03962773252965255
HSC2,0.03953765960429842
HCC44,0.039033252999925494
RERFLCMS,0.038937405237049805
MG63,0.03863309436457343
SW1271,0.03861029583322743
MDAMB468,0.03859582315576287
HCT15,0.037827814217832365
MHHES1,0.037811292793163025
WM983B,0.03723021650020504
NCIH322,0.03720804373825893
NCIH2030,0.0372063075558808
CAL851,0.037205877552799624
OVTOKO,0.03710520232490599
H4,0.03707014243622318
NCIH2228,0.0369809162623593
HS944T,0.03688652060000005
KARPAS620,0.03677222909750851
KP4,0.03596245219554621
BL70,0.035668315651628264
JHOS4,0.035192877630598654
SCABER,0.03408317989686606
KMRC1,0.03389209440227016
KYSE520,0.03372319982578952
NCIH1568,0.033616858472569455
IPC298,0.03323603619142196
NCIH1573,0.03307861103857396
OVMANA,0.03301212497894785
TCCSUP,0.032850157555124174
SW480,0.032842770756499814
L428,0.032410914604271764
HUPT4,0.032297517648964075
MOLP8,0.03207712441223541
786O,0.0320624243714382
NCIH460,0.031823427243981
OVCAR4,0.03164730626329143
VMRCRCW,0.03158655445506134
SKOV3,0.03144768135993449
TE11,0.03137108464742757
HS294T,0.031231927253997566
BFTC909,0.03103149497993624
ZR751,0.031002882771085028
REH,0.03087679273467677
KALS1,0.030681546101891697
NCIH1650,0.030421166939740306
BL41,0.03035262974095942
RPMI7951,0.030253354352142492
NCIH1563,0.029941568068512975
BCPAP,0.029779544541531512
FADU,0.029582611862692672
HCC1395,0.029413578338607718
EFO27,0.029182680963115867
QGP1,0.02908159602283783
RKN,0.029035927603357527
HS840T,0.028738216509506292
SU8686,0.02868765542610413
CI1,0.02848432798674673
ACHN,0.028019226122346533
KURAMOCHI,0.027924277557911426
HS739T,0.02735685290143563
LN18,0.027337042986917436
SF126,0.02729130202887882
SW1990,0.027134840836874785
HUCCT1,0.026682254716927773
K029AX,0.02654658663829676
OVSAHO,0.026503054975552116
P3HR1,0.026090398000236877
HS729,0.025924453434348262
KNS81,0.02550330331632491
NCO2,0.02548636257483111
MEC1,0.02546895663354994
IGR39,0.025456508214985525
BT474,0.025271585729595755
SF295,0.025232680592595258
NCIH1355,0.024489738458340363
ONCODG1,0.024288875493606227
NCIH2085,0.023949748716593867
GI1,0.023884639199220674
KNS60,0.02380799006202135
KMS34,0.02360908213669188
KYSE70,0.0233499547247448
ISTMES2,0.022953524911452968
NCIH2172,0.022695832814704088
NCIH520,0.022619999201973343
DKMG,0.02239520373619945
DEL,0.022336998100663148
A375,0.02212931549495044
EBC1,0.021650002304092895
GMS10,0.02158964346297688
