,MB002
NCIH524,0.3153593728032269
DMS273,0.22756340951484572
D283MED,0.22539535085369006
HCC33,0.19881008812247308
NCIH1184,0.17053287014191904
NCIH661,0.16615133205870936
NCIH1155,0.16308568312649793
IMR32,0.15361381178091496
NCIH1341,0.14968701175524082
DMS114,0.14642635020227712
DU145,0.14363948205300328
RH41,0.13643514288245237
SNU398,0.13525649562693007
KNS62,0.13271891309883846
FUOV1,0.13090604595436298
FTC133,0.1276393656199582
SKNDZ,0.12742188865138415
NCIH211,0.12114768910450434
COLO668,0.12066824406294788
DAOY,0.11738797318581648
NCIH446,0.11725218283724258
NCIH810,0.11559657575019865
KYSE450,0.11060670202911374
NCIH2286,0.11032913058500475
BICR16,0.1097763128604213
NCIH1299,0.1083762931438231
NCIH522,0.106299948685663
KELLY,0.10525587217502105
5637,0.10077664138725638
TE8,0.10042590280114232
HARA,0.10041647453316675
CORL95,0.09725060711872344
T3M10,0.09450355004386835
RH18,0.0939091948642002
SIMA,0.09359998440794653
NCIH23,0.09324301047793264
NCIH1693,0.09320170479781492
CAL27,0.09238689490670855
HCC1833,0.09149577159342812
NH6,0.09127249982155354
CAOV3,0.09095040029720407
NCIH196,0.09040099063623638
LK2,0.09039508584504695
NCIH2029,0.09023705484755126
SKNMC,0.08980043348021424
OE21,0.08871449865536074
SKNSH,0.0886087142502176
KYSE180,0.08753167911456187
KPNSI9S,0.08722301987404146
SKNFI,0.0870235790034927
ESS1,0.08498165728408615
SW1463,0.08457978954457919
DBTRG05MG,0.08423550979070453
SNU503,0.08421929650967737
TE14,0.08364507852147439
NCIH2196,0.08320220508511918
NCIH1792,0.08203940316264198
ECC12,0.0820244938594604
RH30,0.08177263829602163
MSTO211H,0.08154878276116771
SKNBE2,0.08082705111075124
TE441T,0.07996567028592576
MHHNB11,0.079838310235011
TUHR4TKB,0.07926925951045231
8MGBA,0.07869835817591984
NCIH2170,0.07860675215661898
22RV1,0.07853654477436807
UBLC1,0.07797586931999965
SAOS2,0.07786596586946183
JMSU1,0.07768452030330887
DMS53,0.07762312034765208
CADOES1,0.07748435269864867
PECAPJ34CLONEC12,0.07713973695912459
NCIH1703,0.07703117287300118
TE4,0.07662868330320736
NCIH1651,0.07646513444114059
ES2,0.07638494551988796
OVK18,0.0749684411483953
HOS,0.07482796689685706
BICR6,0.07468021600637859
OVCAR8,0.07444316536059246
EFE184,0.07435647550770987
DMS454,0.07432192914754403
GCT,0.07408593339048831
SNU1077,0.07394856277482555
RD,0.07390113801429397
SNU475,0.07255156076993417
SCC25,0.07252386875056704
UMUC1,0.0719021952786585
DETROIT562,0.07168634730102916
IGR37,0.07160620351877686
JHOS2,0.07132704457791283
YD10B,0.07030110612500454
NCIH747,0.07018898067137581
HCC1954,0.06956520743430354
A253,0.06925429786474038
TT2609C02,0.06891217783917061
JL1,0.06838434495709342
PANC0327,0.06820803657227695
SNU119,0.06807993214941789
BEN,0.06784946260447983
SBC5,0.06726527707046608
HCC95,0.06711579050394845
HCC1806,0.06707801233710707
TOV112D,0.06669658752357581
KYSE410,0.06664879420080778
BT549,0.06639340737117838
NCIH1581,0.06639021858365576
A204,0.06604162487154042
A673,0.0657910990712716
WM793,0.06551654613226841
ECC10,0.06524908580494607
SKES1,0.06493691038331643
SNU182,0.06459140213705439
A172,0.06444435254168304
YD15,0.06415548382250574
SF268,0.06415528299582508
HCC1588,0.06400232658107713
SKMEL3,0.06375279837670443
MDAMB361,0.06374639399400976
A549,0.0636772668301998
A2780,0.06310452779098129
TE6,0.06284304327967662
UACC62,0.06271425766320197
HCC1438,0.06267662132036869
SNU685,0.06260446887536035
MKN45,0.06245871024777517
ISTMES1,0.06242781309102093
OAW42,0.062140125411441906
BFTC905,0.06197340016480299
NCIH2052,0.06142616661717984
HMCB,0.06090093903732413
OV7,0.06040094096184255
ECGI10,0.05997642214343713
SKMEL28,0.059913510580912696
MIAPACA2,0.05982893178262758
BICR18,0.059594651530811026
YH13,0.05953425059055103
SNU1214,0.05934027460682859
MDAMB157,0.05929764161259325
KLE,0.05908572198425154
LU99,0.05865920638587765
OAW28,0.05742580112802582
BICR31,0.057376601315804396
