,mean_rank,weight
cervix,9.0,3.0
lung carcinoma,21.0,1.0
adrenal gland neuroblastoma,40.0,5.0
small cell lung carcinoma,41.0,88.0
supra-orbital region,45.0,1.0
medulloblastoma,51.0,8.0
endometrioid stromal sarcoma,51.0,3.0
adrenal gland,53.0,3.0
neuroblastoma,54.5,52.0
embryonal carcinoma,65.0,1.0
alveolar rhabdomyosarcoma,68.0,9.0
cervical small cell carcinoma,71.0,1.0
pharyngeal squamous cell carcinoma,90.0,3.0
mediastinal lymph node,94.0,1.0
thyroid gland squamous cell carcinoma,96.0,3.0
salivary gland squamous cell carcinoma,96.0,3.0
supraclavicular lymph node,101.0,3.0
prostate carcinoma,102.0,11.0
"squamous cell breast carcinoma, acantholytic variant",104.0,3.0
uterine carcinosarcoma,105.5,2.0
lung carcinoid tumor,108.5,6.0
gastric small cell neuroendocrine carcinoma,112.5,4.0
ewing sarcoma,119.0,31.0
testicular embryonal carcinoma,121.0,1.0
gastric choriocarcinoma,126.0,1.0
bone marrow,129.0,65.0
large cell lung carcinoma,129.0,32.0
right pararenal lymph node,129.5,2.0
vertebra,147.5,2.0
cervical squamous cell carcinoma,150.0,1.0
embryonal rhabdomyosarcoma,154.5,6.0
childhood acute myeloid leukemia with maturation,155.0,1.0
lung mucoepidermoid carcinoma,167.0,3.0
right anterior leg,168.0,3.0
right thigh skin,173.5,2.0
brain,176.0,16.0
primitive neuroectodermal tumor,186.5,2.0
endometrial carcinoma,196.0,8.0
ovarian endometrioid adenocarcinoma,198.0,11.0
gastric adenosquamous carcinoma,207.5,2.0
pancreatic somatostatinoma,208.0,3.0
squamous papilloma,210.0,1.0
mediastinal (thymic) large b-cell lymphoma,211.0,1.0
omentum,216.0,7.0
ovarian carcinoma,223.5,6.0
squamous cell lung carcinoma,223.5,48.0
duodenal adenocarcinoma,224.0,1.0
oral cavity squamous cell carcinoma,224.5,6.0
high grade ovarian serous adenocarcinoma,226.0,40.0
hairy cell leukemia,227.0,3.0
myeloid leukemia associated with down syndrome,230.0,1.0
uterine corpus sarcoma,238.0,3.0
human papillomavirus-related endocervical adenocarcinoma,238.5,4.0
minimally invasive lung adenocarcinoma,241.5,16.0
not specified,242.0,3.0
adenosquamous lung carcinoma,243.0,9.0
hypopharyngeal squamous cell carcinoma,250.0,5.0
cervical lymph node,253.0,5.0
multiple endocrine neoplasia type 2,257.0,1.0
