,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.732,,,0.732,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.664,,,0.664,,+...,2,176,2.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.983,...+,673,3,3.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.635,,,0.635,,+...,3,177,3.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.9640000000000001,...+,674,4,4.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.628,,,0.628,,+...,4,178,4.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.613,,,0.613,,+...,5,179,5.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.9279999999999999,...+,677,6,6.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.61,,,0.61,,+...,6,180,6.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.895,...+,678,7,7.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.594,,,0.594,,+...,7,181,7.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.583,,,0.583,,+...,9,182,9.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.84,...+,679,10,10.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.5820000000000001,,,0.582,,+...,10,183,10.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.8390000000000001,...+,680,11,11.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.5529999999999999,,,0.553,,+...,11,184,11.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.5489999999999999,,,0.549,,+...,12,185,12.0
