drug,score,moa
lenalidomide,0.996,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
sitagliptin,0.995,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
thiotepa,0.983,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
lapatinib,0.973,HER2/EGFR inhibitor
carmofur,0.964,"derivative of fluorouracil, pyrimidine analog"
dexamethasone,0.958,"synthetic corticosteroid, used to reduce inflammation"
temozolomide,0.957,alkylating agent
vinorelbine,0.952,disrupts microtubule dynamics; natural product
hydrocortisone,0.951,Anti-inflammatory
idarubicin,0.946,"Topo II inhibitor, intercalates into DNA, anthracycline"
fulvestrant,0.929,selective estrogen receptor degrader (SERD)
GSK-461364,0.928,"Plk1 inhibitor, less active against Plk2 and Plk3."
mitomycin-c,0.914,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
cimetidine,0.900,(Tagamet) Antacid and antihistamine
cladribine,0.895,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
irinotecan,0.879,"aka CPT-11, inhibitor of Topo I"
sunitinib,0.868,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
tacrolimus,0.857,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
sorafenib,0.849,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
alisertib,0.843,Aurora A kinase inhibitor
raloxifene,0.840," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
streptozotocin,0.839,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells."
etoposide,0.837,Topo II inhibitor
fludarabine,0.828,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
tretinoin,0.817,Retinoid
TG100-115,0.816,PI3Kγ/δ inhibitor
rucaparib,0.810,"PARP inhibitor, inhibits DNA repair"
raltitrexed,0.810,"antimetabolite,  inhibitor of thymidylate synthase"
toremifene,0.796,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
anagrelide,0.784,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
vorinostat,0.777,HDAC inhibitor (SAHA)
hydrocortisone,0.769,Anti-inflammatory
capecitabine,0.769,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis"
dexamethasone,0.768,"synthetic corticosteroid, used to reduce inflammation"
teniposide,0.755,Topo II inhibitor
hydrocortisone,0.755,Anti-inflammatory
