drug,score,moa
gdsc_Alectinib,0.732,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Navitoclax,0.699,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Quizartinib,0.686,Flt3 inhibitor
gdsc_Linsitinib,0.684,IGF-1R inhibitor
gdsc_GSK1070916,0.664,Not Clinically Relevant
gdsc_SB52334,0.635,Not Clinically Relevant
gdsc_TL-2-105,0.628,Not Clinically Relevant
gdsc_Tubastatin A,0.623,Not Clinically Relevant
gdsc_GW-2580,0.613,Not Clinically Relevant
gdsc_QL-XII-61,0.610,Not Clinically Relevant
gdsc_GSK429286A,0.594,Not Clinically Relevant
gdsc_VX-702,0.583,Not Clinically Relevant
gdsc_QL-XI-92,0.582,Not Clinically Relevant
gdsc_Axitinib,0.562,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_BX-912,0.553,Not Clinically Relevant
gdsc_Y-39983,0.549,Not Clinically Relevant
gdsc_XMD14-99,0.539,Not Clinically Relevant
gdsc_KIN001-260,0.525,Not Clinically Relevant
gdsc_Amuvatinib,0.504,Not Clinically Relevant
ctrp_linsitinib,0.500,IGF-1R inhibitor
gdsc_XMD13-2,0.499,Not Clinically Relevant
gdsc_HG-5-88-01,0.498,Not Clinically Relevant
ctrp_dabrafenib,0.464,Braf (V600E) inhibitor
gdsc_GSK319347A,0.463,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.462,Not Clinically Relevant
ctrp_tubastatin A,0.462,Not Clinically Relevant
ctrp_CCT036477,0.442,Not Clinically Relevant
ctrp_BRD-K51490254,0.442,Not Clinically Relevant
ctrp_serdemetan,0.440,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_tretinoin,0.437,Retinoid
ctrp_avrainvillamide,0.437,Not Clinically Relevant
gdsc_SB-505124,0.435,Not Clinically Relevant
ctrp_skepinone-L,0.430,Not Clinically Relevant
ctrp_indisulam,0.428,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_BRD-K99006945,0.427,Not Clinically Relevant
gdsc_Masitinib,0.427,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs"
ctrp_chlorambucil,0.424,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_ML239,0.424,Not Clinically Relevant
ctrp_barasertib,0.424,highly selective Aurora B kinase inhibitor
ctrp_belinostat,0.423,HDAC inhibitor (PXD101)
ctrp_ABT-737,0.422,Bcl-2/Bcl-xL inhibitor
ctrp_CIL55,0.420,Not Clinically Relevant
ctrp_BRD-K28456706,0.418,Not Clinically Relevant
ctrp_sotrastaurin,0.416,pan-PKC inhibitor
ctrp_BMS-195614,0.416,Not Clinically Relevant
gdsc_KIN001-270,0.416,Not Clinically Relevant
ctrp_staurosporine,0.413,Not Clinically Relevant
ctrp_ML050,0.410,Not Clinically Relevant
gdsc_Talazoparib,0.408,Not Clinically Relevant
ctrp_foretinib,0.408,c-Met/VEGFR2 inhibitor
ctrp_BRD-K88742110,0.407,Not Clinically Relevant
ctrp_BRD-K34485477,0.406,Not Clinically Relevant
ctrp_axitinib,0.404,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_olaparib,0.404,PARP Inhibitor
ctrp_tipifarnib-P1,0.403,Not Clinically Relevant
ctrp_KW-2449,0.403,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;"
ctrp_XL765,0.403,PI3K/mTOR inhibitor
ctrp_BRD-K26531177,0.403,Not Clinically Relevant
ctrp_PLX-4720,0.401,Not Clinically Relevant
ctrp_BMS-270394,0.401,Not Clinically Relevant
gdsc_KIN001-266,0.399,Not Clinically Relevant
ctrp_isoliquiritigenin,0.397,Not Clinically Relevant
ctrp_Compound 7d-cis,0.397,Not Clinically Relevant
gdsc_TPCA-1,0.397,Not Clinically Relevant
ctrp_BRD-K24690302,0.396,Not Clinically Relevant
ctrp_BRD-K51831558,0.395,Not Clinically Relevant
ctrp_epigallocatechin-3-monogallate,0.394,Not Clinically Relevant
gdsc_NPK76-II-72-1,0.391,Not Clinically Relevant
ctrp_tacrolimus,0.390,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_SR1001,0.389,Not Clinically Relevant
ctrp_BRD-M00053801,0.388,Not Clinically Relevant
ctrp_PF-4800567 hydrochloride,0.387,Not Clinically Relevant
ctrp_BRD-K13999467,0.386,Not Clinically Relevant
ctrp_PRIMA-1-Met,0.386,Not Clinically Relevant
ctrp_LY-2183240,0.386,Not Clinically Relevant
ctrp_BRD1835,0.386,Not Clinically Relevant
ctrp_RG-108,0.385,Not Clinically Relevant
gdsc_Daporinad,0.384,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells"
ctrp_BRD-K42260513,0.384,Not Clinically Relevant
ctrp_compound 1B,0.383,Not Clinically Relevant
ctrp_bexarotene,0.382,"retinoid that selectively activates retinoid X receptors (RXRs), induces cell differentiation and apoptosis "
ctrp_IU1,0.382,Not Clinically Relevant
ctrp_omacetaxine mepesuccinate,0.381,"natural product, protein translation inhibitor, used for myeloid leukemia"
ctrp_BRD-A71883111,0.381,Not Clinically Relevant
ctrp_MST-312,0.380,Not Clinically Relevant
ctrp_NSC30930,0.380,Not Clinically Relevant
ctrp_AC55649,0.379,Not Clinically Relevant
ctrp_ML203,0.379,Not Clinically Relevant
gdsc_BMS-754807,0.379,Not Clinically Relevant
ctrp_BRD-K92856060,0.378,Not Clinically Relevant
ctrp_JW-55,0.378,Not Clinically Relevant
ctrp_lenvatinib,0.377,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)"
ctrp_alisertib,0.377,Aurora A kinase inhibitor
ctrp_SKI-II,0.374,Not Clinically Relevant
ctrp_BRD-K11533227,0.373,Not Clinically Relevant
ctrp_BRD-K29313308,0.373,Not Clinically Relevant
ctrp_necrostatin-7,0.372,Not Clinically Relevant
ctrp_BRD-K02251932,0.372,Not Clinically Relevant
ctrp_Repligen 136,0.371,Not Clinically Relevant
ctrp_tamoxifen,0.371,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
ctrp_itraconazole,0.370,"Anti-fungal, hedgehog antagonist"
ctrp_16-beta-bromoandrosterone,0.369,Not Clinically Relevant
ctrp_PX-12,0.369,thioredoxin-1 (Trx-1) inhibitor
gdsc_BMS-345541,0.369,Not Clinically Relevant
ctrp_Mdivi-1,0.369,Not Clinically Relevant
ctrp_BIBR-1532,0.368,Not Clinically Relevant
ctrp_AZD1480,0.365,JAK2 inhibitor with some activity against JAK3 and Tyk2
ctrp_ABT-199,0.365,Bcl2 inhibitor
ctrp_BMS-754807,0.365,Not Clinically Relevant
ctrp_imatinib,0.364,"Bcr-abl, c-kit and PDGFR inhibitor"
ctrp_ML162,0.363,Not Clinically Relevant
ctrp_ELCPK,0.363,Not Clinically Relevant
ctrp_topotecan,0.363,Topo I inhibitor
ctrp_KPT185,0.362,Not Clinically Relevant
ctrp_BRD6340,0.362,Not Clinically Relevant
ctrp_apicidin,0.361,Not Clinically Relevant
ctrp_ceranib-2,0.361,Not Clinically Relevant
ctrp_CAY10576,0.360,Not Clinically Relevant
ctrp_cytarabine hydrochloride,0.360,Not Clinically Relevant
ctrp_NSC19630,0.360,Not Clinically Relevant
ctrp_BRD-K49290616,0.358,Not Clinically Relevant
ctrp_NVP-ADW742,0.358,Not Clinically Relevant
ctrp_AZD4547,0.357,"FGFR-1,2 and 3 inhibitor"
ctrp_elocalcitol,0.356,vitamin D receptor agonist
ctrp_SB-225002,0.355,Not Clinically Relevant
ctrp_PLX-4032,0.355,BRAF (V600E) inhibitor
ctrp_ISOX,0.354,Not Clinically Relevant
ctrp_vorinostat,0.354,HDAC inhibitor (SAHA)
ctrp_SZ4TA2,0.354,Not Clinically Relevant
ctrp_tacedinaline,0.353,Not Clinically Relevant
ctrp_fingolimod,0.353,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis"
ctrp_RITA,0.353,Not Clinically Relevant
gdsc_Vorinostat,0.352,HDAC inhibitor (SAHA)
ctrp_IPR-456,0.352,Not Clinically Relevant
ctrp_GMX-1778,0.352,Not Clinically Relevant
ctrp_ML083,0.351,Not Clinically Relevant
ctrp_JW-74,0.351,Not Clinically Relevant
gdsc_YM201636,0.350,Not Clinically Relevant
