drug,score,moa
gdsc_Navitoclax,0.659,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Linsitinib,0.619,IGF-1R inhibitor
gdsc_GW-2580,0.598,Not Clinically Relevant
gdsc_GSK1070916,0.593,Not Clinically Relevant
gdsc_SB52334,0.534,Not Clinically Relevant
gdsc_VX-702,0.509,Not Clinically Relevant
gdsc_Rucaparib,0.486,"PARP inhibitor, inhibits DNA repair"
gdsc_BX-912,0.471,Not Clinically Relevant
gdsc_GSK319347A,0.445,Not Clinically Relevant
ctrp_staurosporine,0.440,Not Clinically Relevant
gdsc_NSC-87877,0.439,Not Clinically Relevant
gdsc_Olaparib,0.425,PARP Inhibitor
ctrp_linsitinib,0.422,IGF-1R inhibitor
gdsc_JNK Inhibitor VIII,0.418,Not Clinically Relevant
ctrp_BRD-K99006945,0.417,Not Clinically Relevant
gdsc_Amuvatinib,0.412,Not Clinically Relevant
gdsc_XMD13-2,0.406,Not Clinically Relevant
ctrp_PRIMA-1-Met,0.406,Not Clinically Relevant
ctrp_BRD-K34485477,0.404,Not Clinically Relevant
ctrp_tubastatin A,0.404,Not Clinically Relevant
gdsc_Talazoparib,0.400,Not Clinically Relevant
ctrp_BMS-195614,0.386,Not Clinically Relevant
ctrp_avrainvillamide,0.385,Not Clinically Relevant
ctrp_BRD-K28456706,0.385,Not Clinically Relevant
gdsc_SB-505124,0.384,Not Clinically Relevant
ctrp_BRD-K13999467,0.382,Not Clinically Relevant
ctrp_XL765,0.379,PI3K/mTOR inhibitor
ctrp_CCT036477,0.377,Not Clinically Relevant
ctrp_ML239,0.376,Not Clinically Relevant
gdsc_HG-5-88-01,0.376,Not Clinically Relevant
ctrp_serdemetan,0.375,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_skepinone-L,0.374,Not Clinically Relevant
ctrp_CIL55,0.374,Not Clinically Relevant
ctrp_ABT-737,0.372,Bcl-2/Bcl-xL inhibitor
ctrp_BRD-M00053801,0.371,Not Clinically Relevant
ctrp_barasertib,0.370,highly selective Aurora B kinase inhibitor
ctrp_chlorambucil,0.367,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_BRD-K26531177,0.365,Not Clinically Relevant
ctrp_indisulam,0.364,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_ML203,0.364,Not Clinically Relevant
ctrp_BRD-K51490254,0.360,Not Clinically Relevant
ctrp_BRD-K42260513,0.355,Not Clinically Relevant
ctrp_compound 1B,0.355,Not Clinically Relevant
ctrp_BRD-K51831558,0.354,Not Clinically Relevant
gdsc_Cisplatin,0.353,Not Clinically Relevant
ctrp_CAY10576,0.353,Not Clinically Relevant
gdsc_UNC1215,0.353,Not Clinically Relevant
ctrp_tretinoin,0.352,Retinoid
ctrp_BRD-K88742110,0.352,Not Clinically Relevant
ctrp_PLX-4720,0.351,Not Clinically Relevant
ctrp_BRD-A71883111,0.351,Not Clinically Relevant
ctrp_ML050,0.350,Not Clinically Relevant
ctrp_IU1,0.350,Not Clinically Relevant
ctrp_BRD-K49290616,0.348,Not Clinically Relevant
ctrp_968,0.348,Not Clinically Relevant
ctrp_JW-74,0.348,Not Clinically Relevant
ctrp_tipifarnib-P1,0.347,Not Clinically Relevant
ctrp_tacrolimus,0.346,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_BRD-K24690302,0.345,Not Clinically Relevant
ctrp_olaparib,0.344,PARP Inhibitor
ctrp_axitinib,0.343,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_foretinib,0.343,c-Met/VEGFR2 inhibitor
ctrp_SR1001,0.343,Not Clinically Relevant
ctrp_BMS-270394,0.343,Not Clinically Relevant
ctrp_lenvatinib,0.342,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)"
ctrp_Compound 7d-cis,0.341,Not Clinically Relevant
ctrp_AC55649,0.339,Not Clinically Relevant
ctrp_bexarotene,0.337,"retinoid that selectively activates retinoid X receptors (RXRs), induces cell differentiation and apoptosis "
ctrp_BRD-K11533227,0.337,Not Clinically Relevant
ctrp_RG-108,0.336,Not Clinically Relevant
ctrp_BRD-K84807411,0.335,Not Clinically Relevant
ctrp_isoliquiritigenin,0.334,Not Clinically Relevant
ctrp_belinostat,0.334,HDAC inhibitor (PXD101)
ctrp_BRD-K29086754,0.332,Not Clinically Relevant
ctrp_BRD1835,0.332,Not Clinically Relevant
ctrp_TG-100-115,0.331,PI3Kγ/δ inhibitor
ctrp_tamoxifen,0.330,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
ctrp_NSC30930,0.330,Not Clinically Relevant
ctrp_SZ4TA2,0.329,Not Clinically Relevant
gdsc_Bleomycin (50 uM),0.329,Not Clinically Relevant
ctrp_NSC 74859,0.328,Not Clinically Relevant
ctrp_Mdivi-1,0.327,Not Clinically Relevant
