,MED211,COSMIC ID
cosmic_688031,-0.10725948268836692,688031
cosmic_910691,-0.15578690715938742,910691
cosmic_688006,-0.15801796422897454,688006
cosmic_688022,-0.19073237468636178,688022
cosmic_753582,-0.19842308796848834,753582
cosmic_908483,-0.19990393487231312,908483
cosmic_687804,-0.20610461682101985,687804
cosmic_753547,-0.21014599547797486,753547
cosmic_753589,-0.21736485375018832,753589
cosmic_910937,-0.2246147312437073,910937
cosmic_906834,-0.2306859565504021,906834
cosmic_753594,-0.2328881406942337,753594
cosmic_688023,-0.23313587904264088,688023
cosmic_713899,-0.23477120854233824,713899
cosmic_687997,-0.23977954688472614,687997
cosmic_1322213,-0.24586341019439625,1322213
cosmic_907170,-0.2461171989937907,907170
cosmic_753618,-0.2549172269783013,753618
cosmic_949175,-0.26221366305395655,949175
cosmic_688027,-0.2658932512884872,688027
cosmic_687985,-0.2661224922920636,687985
cosmic_924241,-0.27162596328329464,924241
cosmic_688013,-0.2733462419973792,688013
cosmic_713885,-0.2741820802831197,713885
cosmic_713878,-0.2768604985267222,713878
cosmic_753599,-0.2770465691479584,753599
cosmic_753588,-0.2784714572183682,753588
cosmic_910941,-0.28483280532847144,910941
cosmic_925341,-0.2854058872058198,925341
cosmic_753605,-0.28595776708907716,753605
cosmic_910568,-0.2867129068631969,910568
cosmic_688018,-0.29026548575647965,688018
cosmic_688014,-0.2927646263262117,688014
cosmic_1240193,-0.29312924561216963,1240193
cosmic_907295,-0.29316088534118084,907295
cosmic_908135,-0.2964438582510578,908135
cosmic_688086,-0.2970437008701741,688086
cosmic_1240181,-0.29744536732362714,1240181
cosmic_688001,-0.2984047180012773,688001
cosmic_908467,-0.299394323842291,908467
cosmic_909731,-0.3003000447165121,909731
cosmic_688025,-0.30122561844114526,688025
cosmic_909194,-0.3120593729057929,909194
cosmic_688021,-0.31414258896163,688021
cosmic_907314,-0.3146049432173261,907314
cosmic_688010,-0.31531151382301903,688010
cosmic_910692,-0.31631244585165635,910692
cosmic_949178,-0.32071866669281496,949178
cosmic_910567,-0.324096478698045,910567
cosmic_687980,-0.3247818088165835,687980
cosmic_949173,-0.32550659918730557,949173
cosmic_688026,-0.3263522449311595,688026
cosmic_688007,-0.32665051241246823,688007
cosmic_753616,-0.3317485097460388,753616
cosmic_753564,-0.33398798928889256,753564
cosmic_909779,-0.3355950102423106,909779
cosmic_1330972,-0.3408337184069365,1330972
cosmic_713869,-0.34275790900339875,713869
cosmic_949177,-0.34349199701351313,949177
cosmic_1297439,-0.3473200457546624,1297439
cosmic_1240182,-0.34736706865953126,1240182
cosmic_753620,-0.3475659391523843,753620
cosmic_908469,-0.3489596102690148,908469
cosmic_687600,-0.34931610571327276,687600
cosmic_949168,-0.3510927988294105,949168
cosmic_908447,-0.3516152775475567,908447
cosmic_1330964,-0.35264766646319734,1330964
cosmic_753607,-0.3545705871115593,753607
cosmic_1297438,-0.3558785961365963,1297438
cosmic_949170,-0.36165817804382605,949170
cosmic_909716,-0.36241039473410447,909716
cosmic_910780,-0.36307132813607473,910780
cosmic_910899,-0.36310509568155036,910899
cosmic_906875,-0.3641011527112336,906875
cosmic_753534,-0.3647277790776828,753534
cosmic_684055,-0.3663228336714863,684055
cosmic_1240210,-0.3673243655013237,1240210
cosmic_688087,-0.3676984455896572,688087
cosmic_906808,-0.36794635652326785,906808
cosmic_906833,-0.3696796075836276,906833
cosmic_908458,-0.3712800339607161,908458
cosmic_1322212,-0.37135424355390556,1322212
cosmic_908468,-0.37249204228964944,908468
cosmic_724872,-0.37385147013253106,724872
cosmic_753551,-0.3746160280383832,753551
cosmic_908454,-0.37647872467475424,908454
cosmic_1299059,-0.37754218120440347,1299059
cosmic_688011,-0.3794457504179917,688011
cosmic_908481,-0.3802374586597504,908481
cosmic_946357,-0.38067210450091626,946357
cosmic_949166,-0.381194972205798,949166
cosmic_930299,-0.38342078470213975,930299
cosmic_909264,-0.38473688025458197,909264
cosmic_1298534,-0.384957662760674,1298534
cosmic_1330973,-0.3857405103704563,1330973
cosmic_949179,-0.3859419909232414,949179
cosmic_908129,-0.3866566801354408,908129
cosmic_907320,-0.3881984956846126,907320
cosmic_906847,-0.38888970836130976,906847
cosmic_946360,-0.38950449042408,946360
cosmic_1503371,-0.390518741365818,1503371
cosmic_687787,-0.3917718807324947,687787
cosmic_687798,-0.39267092411041443,687798
cosmic_1298349,-0.3937080516106606,1298349
cosmic_909707,-0.3942266106015829,909707
cosmic_924100,-0.39510700340763477,924100
cosmic_753559,-0.3965299215817722,753559
cosmic_1240209,-0.3966605333388562,1240209
cosmic_906849,-0.3978640681267255,906849
cosmic_713880,-0.39787362501249973,713880
cosmic_906850,-0.3979187015660757,906850
cosmic_910566,-0.3985199561938827,910566
cosmic_971773,-0.3985485935726064,971773
cosmic_684072,-0.3989336917292807,684072
cosmic_910569,-0.3994170601646582,910569
cosmic_1240189,-0.39979174888051866,1240189
cosmic_908471,-0.4002227578013668,908471
cosmic_1299075,-0.4008264323794037,1299075
cosmic_1240216,-0.403926603911849,1240216
cosmic_949155,-0.40409064164246405,949155
cosmic_717431,-0.40427966793509723,717431
cosmic_949171,-0.40492522892029725,949171
cosmic_910900,-0.4056839177252244,910900
cosmic_907060,-0.40598338095807524,907060
cosmic_1298134,-0.40739716333351045,1298134
cosmic_906693,-0.4083699246730165,906693
cosmic_724855,-0.40912357895701323,724855
cosmic_909718,-0.40924072797317684,909718
cosmic_724831,-0.4108484207554106,724831
cosmic_1290730,-0.4112861724117909,1290730
cosmic_1240129,-0.41204581489314124,1240129
cosmic_1247873,-0.412133079607835,1247873
cosmic_907319,-0.4122219714021904,907319
cosmic_687802,-0.4122349489323228,687802
cosmic_949161,-0.412386495464669,949161
cosmic_910920,-0.41264228891551336,910920
cosmic_684062,-0.41269261887261943,684062
cosmic_1240205,-0.41296936659158723,1240205
cosmic_908440,-0.41341403608302624,908440
cosmic_1659817,-0.41360769621206767,1659817
cosmic_1299070,-0.41383934386576976,1299070
cosmic_925342,-0.4140537827377528,925342
cosmic_684057,-0.4141709221586411,684057
cosmic_908126,-0.4157548643836177,908126
cosmic_906848,-0.41577704642933777,906848
cosmic_908476,-0.4160177648407041,908476
cosmic_925340,-0.41624699304523843,925340
cosmic_908472,-0.4162546835221999,908472
cosmic_687452,-0.416411327176659,687452
cosmic_1480359,-0.41687491842459456,1480359
cosmic_906794,-0.41716661402076427,906794
cosmic_908138,-0.417679463552782,908138
cosmic_684052,-0.41794246081019837,684052
cosmic_724859,-0.41815891822009865,724859
cosmic_949158,-0.41873338972127166,949158
cosmic_1240135,-0.4200683596515785,1240135
cosmic_925345,-0.4207045958553781,925345
cosmic_930082,-0.42074099126892484,930082
cosmic_949172,-0.42086106714728605,949172
cosmic_1331039,-0.4212628996880994,1331039
cosmic_1240168,-0.4213877990441172,1240168
cosmic_1298538,-0.4215049410801249,1298538
cosmic_906837,-0.42199271913919983,906837
cosmic_687995,-0.4226481871296538,687995
cosmic_907055,-0.42330463179979455,907055
cosmic_1298359,-0.423541539831951,1298359
cosmic_907047,-0.4236398726000077,907047
cosmic_722058,-0.42368393106705177,722058
cosmic_949167,-0.4239791229564837,949167
cosmic_946355,-0.42399005608453216,946355
cosmic_753556,-0.4242477267660087,753556
cosmic_1240142,-0.4246293857534809,1240142
cosmic_753539,-0.4250582920712945,753539
cosmic_909976,-0.4253698281163113,909976
cosmic_1287381,-0.42547369795686496,1287381
cosmic_749710,-0.42553171043342847,749710
cosmic_949174,-0.42558599310040257,949174
cosmic_946358,-0.42582914704307323,946358
cosmic_907323,-0.42583606772250215,907323
cosmic_687562,-0.42598305710660006,687562
cosmic_910919,-0.4260092229519898,910919
cosmic_1240217,-0.4263440473887468,1240217
cosmic_749717,-0.42676812796158875,749717
cosmic_909248,-0.42707100179023144,909248
cosmic_1298223,-0.42710144750169654,1298223
cosmic_910904,-0.42749242581807295,910904
cosmic_749713,-0.427726934224735,749713
cosmic_687590,-0.4278418785078854,687590
cosmic_909740,-0.4281519940129361,909740
cosmic_1480361,-0.4283898683154159,1480361
cosmic_909730,-0.42865577258896725,909730
cosmic_907785,-0.4287705529839206,907785
cosmic_906807,-0.4287891270315458,906807
cosmic_908159,-0.4289793618815021,908159
cosmic_1480374,-0.4290391828172443,1480374
cosmic_753555,-0.42916042541087973,753555
cosmic_949176,-0.4292822418965393,949176
cosmic_1327765,-0.4300010640310574,1327765
cosmic_1240192,-0.4307436251212551,1240192
cosmic_949088,-0.43117047000284187,949088
cosmic_753565,-0.4315328370423957,753565
cosmic_1240191,-0.43156649248143625,1240191
cosmic_1297447,-0.43218573152657197,1297447
cosmic_905965,-0.43230745827962286,905965
cosmic_908151,-0.432515055002468,908151
cosmic_1299052,-0.4325522510149936,1299052
cosmic_910911,-0.4326235543695015,910911
cosmic_907048,-0.4329818220494047,907048
cosmic_908473,-0.43309028543888617,908473
cosmic_910706,-0.43344712669479396,910706
cosmic_684681,-0.4336118917128214,684681
