,MED211
gdsc_Navitoclax,0.6562548458596681
gdsc_TL-2-105,0.6238736821105352
gdsc_GSK1070916,0.6144340541919879
gdsc_SB52334,0.6115338353438996
gdsc_Linsitinib,0.6105794526534467
gdsc_QL-XII-61,0.5993400497032348
gdsc_Tubastatin A,0.5751669176926678
gdsc_GW-2580,0.5269298363299054
gdsc_VX-702,0.5220666247801818
ctrp_linsitinib,0.5137979618863324
gdsc_BX-912,0.5100760706364519
gdsc_Axitinib,0.495905195367211
gdsc_GSK319347A,0.4869069529886941
gdsc_Rucaparib,0.481592715970031
ctrp_tubastatin A,0.4737550276740166
gdsc_Amuvatinib,0.4720520894434594
ctrp_indisulam,0.4584345129341399
ctrp_barasertib,0.4572611760117868
ctrp_avrainvillamide,0.4558751234931735
ctrp_ABT-737,0.45347174428795184
gdsc_XMD13-2,0.4514642091170148
ctrp_tretinoin,0.45106013003183115
ctrp_PF-4800567 hydrochloride,0.4502504440831287
ctrp_olaparib,0.4491849556672528
ctrp_belinostat,0.4392902480124979
ctrp_BRD-K26531177,0.4392467336386114
ctrp_BRD-K28456706,0.43909710859905576
ctrp_serdemetan,0.4387115261648651
ctrp_skepinone-L,0.43691875025458804
ctrp_BRD-K88742110,0.43487923895451963
ctrp_sotrastaurin,0.43432062965777535
ctrp_BMS-195614,0.4329609460973197
ctrp_BRD-A71883111,0.43091507252054523
ctrp_CCT036477,0.4308510322638638
gdsc_SB-505124,0.42962770730827043
ctrp_ML239,0.42767026468667096
ctrp_16-beta-bromoandrosterone,0.42738467641623795
ctrp_XL765,0.42669971251992656
gdsc_HG-5-88-01,0.4262492902571382
ctrp_BRD-K51831558,0.42549642151741435
ctrp_CIL55,0.4236837900051881
ctrp_chlorambucil,0.4223788322481461
ctrp_Compound 7d-cis,0.42230251739100755
ctrp_staurosporine,0.42218633436075015
ctrp_BRD-K51490254,0.4205242894340214
ctrp_ML203,0.4178426501316155
ctrp_CIL41,0.41662168223435175
ctrp_alisertib,0.41645414405416487
ctrp_axitinib,0.41499797474216416
ctrp_IU1,0.41350207651070847
ctrp_tacrolimus,0.41307098887940713
ctrp_epigallocatechin-3-monogallate,0.41146020703884617
ctrp_BRD-K24690302,0.40835115832504504
ctrp_BRD-K13999467,0.4064568782307023
ctrp_foretinib,0.40539463550654287
ctrp_BRD-K49290616,0.40454348329842477
ctrp_Compound 1541A,0.40451793447583323
gdsc_Ispinesib Mesylate,0.4045113640144221
ctrp_tipifarnib-P1,0.4044929672485472
ctrp_BRD-M00053801,0.4036756866716632
ctrp_RG-108,0.4032190779088457
ctrp_sitagliptin,0.40284979657974784
ctrp_BMS-270394,0.4026888614208312
ctrp_ML050,0.40194322736083055
ctrp_ceranib-2,0.40141195977914534
ctrp_SZ4TA2,0.4007386015478887
ctrp_isoliquiritigenin,0.4005770238418968
ctrp_cytarabine hydrochloride,0.39930573001006703
ctrp_PRIMA-1-Met,0.39751299162097764
ctrp_BRD-K90370028,0.39675149403286386
ctrp_MST-312,0.3953282589217669
ctrp_AC55649,0.3947704491717525
ctrp_PX-12,0.3942690185519055
ctrp_tamoxifen,0.3941308523927505
ctrp_LY-2183240,0.392864641891172
ctrp_BRD-K29313308,0.392735805037341
ctrp_AZD1480,0.39079357386125174
ctrp_JW-74,0.390453468036221
ctrp_BRD-K42260513,0.3903283017889582
ctrp_SR1001,0.389537870503191
ctrp_BRD-K92856060,0.38870023142643845
ctrp_Repligen 136,0.3874949673535874
ctrp_NVP-ADW742,0.3850691649325477
ctrp_KPT185,0.3844531267834053
ctrp_BMS-754807,0.3837043623835915
ctrp_BRD-K34485477,0.3836772983115189
ctrp_BIBR-1532,0.3836476975081189
ctrp_NSC30930,0.382104343551909
ctrp_CAY10576,0.3806501104659414
ctrp_GMX-1778,0.3787094363758118
ctrp_PF-184,0.3783436731296852
ctrp_tivantinib,0.37719781659618684
ctrp_Ki8751,0.37683704602618473
ctrp_ABT-199,0.376596320307783
ctrp_BRD1835,0.3765201219187512
ctrp_KW-2449,0.376167835993058
ctrp_NSC23766,0.37590283750656717
gdsc_KIN001-270,0.37539152773357826
ctrp_apicidin,0.3751003010565458
ctrp_fingolimod,0.3751000868005271
ctrp_vorinostat,0.3745872719391242
ctrp_FGIN-1-27,0.37445138532401323
ctrp_BRD6340,0.3738692826084887
ctrp_SKI-II,0.3731384643326188
ctrp_omacetaxine mepesuccinate,0.3725634611899706
ctrp_elocalcitol,0.37235296377118027
ctrp_Mdivi-1,0.371870658342767
gdsc_UNC1215,0.37105528275433247
ctrp_lenvatinib,0.3705128231611758
ctrp_968,0.3704692382868842
ctrp_SB-225002,0.37035293822832477
ctrp_necrostatin-7,0.3697343875348535
ctrp_isoevodiamine,0.3686355938886803
ctrp_LBH-589,0.3679713576068018
ctrp_MGCD-265,0.3677083932425259
ctrp_itraconazole,0.36756309705609286
ctrp_BRD-K11533227,0.3668498514294819
ctrp_bexarotene,0.3640015213352333
ctrp_ELCPK,0.3636754394020001
ctrp_NSC19630,0.36278565718622174
ctrp_HC-067047,0.36135118890188006
ctrp_TG-100-115,0.36123273768847086
ctrp_PDMP,0.36077582160722677
ctrp_ISOX,0.36030946345948855
ctrp_NSC48300,0.36008606897885403
ctrp_brivanib,0.36002516237493615
ctrp_topotecan,0.3597845500065015
ctrp_PI-103,0.3594494968892395
ctrp_KU-0063794,0.35920101905620505
ctrp_ML162,0.3590607540604364
ctrp_lomeguatrib,0.3583646683987228
ctrp_crizotinib,0.3581518522396631
ctrp_PF-3758309,0.3581109317686234
ctrp_ruxolitinib,0.35779791789455073
ctrp_GW-843682X,0.3572136024939447
ctrp_NVP-TAE684,0.3565232053362992
ctrp_pandacostat,0.3556543511584861
ctrp_bendamustine,0.3548819928456623
ctrp_LRRK2-IN-1,0.35452539275893974
ctrp_BRD-K29086754,0.3541971605846436
ctrp_SN-38,0.35388133101706615
ctrp_darinaparsin,0.35356724512666227
ctrp_AZD4547,0.35342165219883814
ctrp_PL-DI,0.3533073661355033
ctrp_necrostatin-1,0.3528970098854742
ctrp_BRD-K02251932,0.35261786278408314
ctrp_YK 4-279,0.3525165402300013
ctrp_BRD-K80183349,0.3524227314646558
ctrp_BRD8899,0.352192940325145
ctrp_NSC 74859,0.3519822357010479
gdsc_NPK76-II-72-1,0.35181402516463417
ctrp_HLI 373,0.3514321309024932
ctrp_ML006,0.3505233558180067
ctrp_mitomycin,0.3503937787578397
ctrp_NSC95397,0.34975420123554296
ctrp_triazolothiadiazine,0.349168523000566
ctrp_RO4929097,0.3488313609027382
ctrp_myriocin,0.3486990175805063
ctrp_ML311,0.3485707419004326
ctrp_etoposide,0.3484354122732095
ctrp_thalidomide,0.34825722853191887
ctrp_BRD-K19103580,0.3480693485694555
ctrp_Compound 23 citrate,0.3479429334119394
ctrp_FQI-2,0.34761697912498146
ctrp_manumycin A,0.34715410178525347
ctrp_MI-2,0.3463781815984798
ctrp_decitabine,0.34585728087579565
ctrp_tacedinaline,0.3457872153704617
ctrp_cabozantinib,0.34456171308644284
ctrp_CIL70,0.344492409842799
ctrp_BRD-K61166597,0.34445974756739034
ctrp_BRD-K41597374,0.34392467539869703
ctrp_parbendazole,0.3426933474199583
ctrp_pifithrin-mu,0.34235322644219257
ctrp_VX-680,0.3414322276178188
ctrp_erastin,0.3406745132695764
ctrp_BIX-01294,0.340421462123685
ctrp_tivozanib,0.3401156333360203
ctrp_SGX-523,0.34008924221730147
ctrp_hyperforin,0.33965134894351195
ctrp_cediranib,0.3396144856211672
ctrp_gossypol,0.3395761088984916
ctrp_STF-31,0.3394244688443436
ctrp_vincristine,0.33922575109741554
ctrp_JW-55,0.3386341307902762
ctrp_ML031,0.3379387571540446
ctrp_ciclopirox,0.3374955602065702
ctrp_BRD-K84807411,0.3368029417649072
ctrp_BMS-536924,0.33668515073806743
ctrp_BIRB-796,0.336180484040421
ctrp_cucurbitacin I,0.3360334822571727
ctrp_BRD-K16147474,0.3357817777099246
ctrp_necrosulfonamide,0.3357612125307165
ctrp_AM-580,0.33532812734828626
ctrp_BYL-719,0.3350733941058888
ctrp_BRD-K44224150,0.3350642285062899
ctrp_GSK461364,0.3338423481931224
ctrp_SU11274,0.33306743489512725
ctrp_BRD-K70511574,0.33306574944281364
ccle_LBW242,0.3326542957374304
ctrp_pazopanib,0.33248108879791255
ctrp_FSC231,0.33170704870463485
ctrp_sildenafil,0.3308934162357931
ctrp_BRD-K35604418,0.33076418679378866
ctrp_JW-480,0.3307401139283936
ctrp_BRD-K30019337,0.3304940414824245
ctrp_niclosamide,0.3298227586014752
ctrp_BRD-K34222889,0.3297049516980501
ctrp_BRD-K66532283,0.32961093552597354
ctrp_ML029,0.3293867348885238
ctrp_vorapaxar,0.3281937335431288
ctrp_L-685458,0.32810735021172904
ctrp_GSK1059615,0.3279489353060491
ctrp_BRD-K02492147,0.3279011332578232
ctrp_PYR-41,0.3277922809765544
ctrp_BRD1812,0.3274874613488795
ctrp_AT13387,0.32744864675128016
ctrp_ETP-46464,0.32673685889691334
ctrp_CAY10618,0.3264111950609321
ctrp_ML083,0.3257905791660251
ctrp_tandutinib,0.3257094476470879
ctrp_AT-406,0.32565049004273616
ctrp_ouabain,0.3254046025908773
ctrp_KX2-391,0.3248230415846291
ctrp_BI-2536,0.3246634461429263
ctrp_CD-437,0.3241009066986563
ctrp_sorafenib,0.32390648320983867
ctrp_PLX-4032,0.3235390002860753
ctrp_docetaxel,0.3228069938660661
ctrp_navitoclax,0.3226326291800338
ctrp_bardoxolone methyl,0.32238591833945374
ctrp_nintedanib,0.3222181426683423
ctrp_PIK-93,0.32221152457467594
ctrp_curcumin,0.3221938028467934
ctrp_dacarbazine,0.32190801205609315
ctrp_MK-1775,0.3203304997021709
ctrp_SRT-1720,0.319345725350631
ctrp_KU-55933,0.3193159130527298
ctrp_pitstop2,0.31883006924637525
ctrp_BRD-K66453893,0.31876367996943755
ctrp_MK-2206,0.31864101063639383
ctrp_Ko-143,0.3179130139764386
ctrp_BRD-K86535717,0.3177236664655449
ctrp_BRD-K75293299,0.3174437267554567
ctrp_Ch-55,0.3170747596467518
ctrp_temozolomide,0.3164013799548056
ctrp_cimetidine,0.31616151309534174
ctrp_B02,0.31610375962275106
ctrp_teniposide,0.3157990310320074
ctrp_neuronal differentiation inducer III,0.315704339377803
ctrp_BRD-A86708339,0.31516581323618714
ctrp_tipifarnib-P2,0.3148713262796607
ctrp_entinostat,0.3141716440602268
gdsc_Daporinad,0.31405612607573236
ctrp_Merck60,0.3135491078661476
ctrp_cerulenin,0.3130877368855193
ctrp_BRD-K78574327,0.31292363624880165
ctrp_NSC632839,0.31232705607477923
ctrp_BRD-A94377914,0.312223249935553
ctrp_sunitinib,0.3119281480125896
ctrp_nakiterpiosin,0.3117873564200045
ctrp_CD-1530,0.31168340543157047
gdsc_HG-5-113-01,0.31059924955395135
ctrp_PF-573228,0.3104010138292772
ctrp_fluorouracil,0.3101725063710075
ctrp_3-Cl-AHPC,0.309951211461444
ctrp_UNC0638,0.3096350118937114
ctrp_CIL56,0.3092987296041223
ctrp_OSI-027,0.30916691330022333
ctrp_GSK-3 inhibitor IX,0.30916638364448884
ctrp_CHM-1,0.309105499393826
ctrp_QS-11,0.30902456728236377
ctrp_NVP-BEZ235,0.30864027196325594
ctrp_rigosertib,0.30735277577748626
ctrp_PHA-793887,0.30644898327892106
ctrp_PRL-3 inhibitor I,0.3064096328655464
ctrp_doxorubicin,0.305284326716306
ctrp_BRD-K37390332,0.305221514651246
ctrp_daporinad,0.30355813958636446
ctrp_MG-132,0.3028946775924653
ctrp_nutlin-3,0.3026691754902685
ctrp_BRD-K85133207,0.30253404567796915
ctrp_silmitasertib,0.30246455697789837
ctrp_alvocidib,0.30231905780259927
ctrp_purmorphamine,0.3017290228991619
ctrp_importazole,0.30110154719449195
ctrp_SCH-79797,0.30105468068788516
ctrp_SB-525334,0.300055512956452
ctrp_linifanib,0.2998360270628951
ctrp_PRIMA-1,0.29920748088184485
gdsc_BMS-754807,0.29881623194102935
ctrp_NVP-231,0.29818547776359255
ctrp_bleomycin A2,0.2977277790892946
ctrp_TGX-221,0.2976109691119853
ctrp_cytochalasin B,0.2970344990552947
ctrp_simvastatin,0.29666395565479625
ctrp_N9-isopropylolomoucine,0.2965058821272757
ctrp_KH-CB19,0.29649608880225115
ctrp_fluvastatin,0.29643651237600027
ctrp_salermide,0.29608116757660546
gdsc_ZM447439,0.29585719688791867
gdsc_PHA-793887,0.2955733145977335
ctrp_SR-II-138A,0.2954125803409335
ctrp_tamatinib,0.29517908336446186
ctrp_methylstat,0.29503353162641255
ctrp_momelotinib,0.2949968721175981
ctrp_ZSTK474,0.29490002272184185
ctrp_narciclasine,0.2946800198852599
ctrp_TPCA-1,0.2936669858913891
ctrp_gemcitabine,0.2934191926626311
ctrp_AT7867,0.29273944530285295
ctrp_CR-1-31B,0.2926258271604623
ctrp_BRD-K96431673,0.29250870077407287
ctrp_SB-743921,0.29226119126571243
ctrp_CAL-101,0.2922341061329625
ctrp_AZ-3146,0.2920252338884502
ctrp_CIL55A,0.29177286126714524
ctrp_paclitaxel,0.29156995165340144
ctrp_leptomycin B,0.2908951327522821
ctrp_phloretin,0.2908563440263674
ctrp_AZD7762,0.2900839744633579
ctrp_quizartinib,0.28996245686580274
ctrp_cyanoquinoline 11,0.2892747034889002
ctrp_ifosfamide,0.28922809219353235
gdsc_NSC-207895,0.28894137974236084
ctrp_SMER-3,0.2888858162522349
ctrp_AGK-2,0.2888165755860174
ctrp_GW-405833,0.28880505311587584
ctrp_OSI-930,0.2887623623339954
ctrp_AZD6482,0.2885866726504767
ctrp_KU-60019,0.2875406128323823
ctrp_GDC-0941,0.28715558340979663
ctrp_clofarabine,0.2871344649989655
ctrp_PAC-1,0.2871238070965066
gdsc_YM201636,0.28709145858081514
ctrp_WZ4002,0.28688119958627395
ctrp_MK-0752,0.2866483729175994
ctrp_ML312,0.28661746417813394
ctrp_ML258,0.2864122179525799
ctrp_marinopyrrole A,0.2863208629944104
gdsc_WZ3105,0.28613133596406204
ctrp_piperlongumine,0.2859367944330148
ctrp_JQ-1,0.2854654925477263
ctrp_oligomycin A,0.28471268836415975
ctrp_temsirolimus,0.28384128640322864
ccle_Irinotecan,0.28377179571774197
ctrp_QW-BI-011,0.2828171578448795
ctrp_pifithrin-alpha,0.28258372259833386
ctrp_PF-750,0.28251560690483396
ctrp_FQI-1,0.2821487377191138
ctrp_AZD7545,0.28136357731392986
ctrp_CHIR-99021,0.2812684950471857
ctrp_SCH-529074,0.2800894125985035
ctrp_WP1130,0.2778582569339998
ctrp_dinaciclib,0.2777646579792726
ctrp_tosedostat,0.2774874535428975
ctrp_BRD9876,0.2771378559501136
ctrp_pyrazolanthrone,0.27707056176116196
ctrp_Bax channel blocker,0.276334405790036
ctrp_regorafenib,0.27584324032340646
ctrp_I-BET151,0.27543801416608565
ctrp_BRD-K45681478,0.2753778751478376
gdsc_MPS-1-IN-1,0.27525528749260436
ctrp_semagacestat,0.27489011075096964
ctrp_NVP-BSK805,0.27451709462897905
ctrp_TW-37,0.2739704295686686
ctrp_WZ8040,0.27382676848516485
ctrp_UNC0321,0.2737656649395831
gdsc_Vorinostat,0.27349628898494693
gdsc_ZG-10,0.27336711664184854
ctrp_EX-527,0.2730712946703605
ctrp_CAY10594,0.2721709183007718
ctrp_obatoclax,0.27142191201736005
ctrp_triptolide,0.2711616661327895
ctrp_ciclosporin,0.27112100444285253
ctrp_GANT-61,0.2710762115964871
ctrp_RAF265,0.2703236471614179
ctrp_parthenolide,0.27028308405243845
ctrp_BRD-K34099515,0.2695350494259194
ctrp_BRD-K96970199,0.2690065689743743
ctrp_masitinib,0.26849709938005956
ctrp_GSK525762A,0.2677744825191395
ctrp_prochlorperazine,0.26535836242396643
ctrp_BMS-345541,0.26489551066744144
ctrp_AZD8055,0.26459694621706376
ctrp_LY-2157299,0.26364924203309575
ctrp_BRD-K97651142,0.263270844746885
ctrp_R428,0.263225258850764
ctrp_MLN2238,0.2617517235159949
ctrp_ML210,0.26173053218376047
ctrp_fulvestrant,0.2607499851015988
ctrp_LE-135,0.26069378336388094
ctrp_valdecoxib,0.26059228320858985
gdsc_Methotrexate,0.2602174036971223
ctrp_BRD-A02303741,0.25879558563106697
ctrp_StemRegenin 1,0.2583328343411529
ctrp_GSK2636771,0.2579452768548387
ctrp_BRD-K41334119,0.25792287253236446
ctrp_pevonedistat,0.2578402377481126
ctrp_sirolimus,0.25776637714149336
ctrp_BRD-K48334597,0.2577324851826714
ctrp_TG-101348,0.25671164162058635
ccle_AEW541,0.25606785755214956
"ctrp_1S,3R-RSL-3",0.25601083901312166
ctrp_bortezomib,0.2559995874105203
ctrp_YM-155,0.25388060102862897
ctrp_ML320,0.25352001268959046
ctrp_neopeltolide,0.2528064896363841
ctrp_palmostatin B,0.25209764440685983
ctrp_HBX-41108,0.250711265999237
gdsc_CX-5461,0.25050547721713756
ctrp_SNX-2112,0.2501626274475621
ccle_Topotecan,0.2497596435374615
ctrp_BRD4132,0.24949151561431704
ctrp_KU 0060648,0.24819208748931448
gdsc_AR-42,0.24788464159707657
ctrp_DBeQ,0.24747301928437898
gdsc_Genentech Cpd 10,0.2474454173326151
ctrp_tigecycline,0.24669629489955358
gdsc_UNC0638,0.24611399824080094
ctrp_SID 26681509,0.24566010351142312
gdsc_5-Fluorouracil,0.2455184027835644
ctrp_lovastatin,0.24495182630160878
gdsc_OSI-027,0.24381027235347233
ctrp_MLN2480,0.24372773238108128
ctrp_BRD-K27224038,0.2429808772154737
ctrp_dexamethasone,0.24271032201719261
ctrp_CI-976,0.24211535206988116
gdsc_JW-7-24-1,0.2410988911258533
gdsc_QL-X-138,0.24087328557547233
ctrp_myricetin,0.2405475301590701
ctrp_SNS-032,0.23833460989964927
ctrp_BRD-K01737880,0.233657916363737
ctrp_vandetanib,0.23180714975753927
gdsc_CAY10603,0.2316984494787846
ctrp_blebbistatin,0.23003649569420714
gdsc_CUDC-101,0.2291949040175611
gdsc_Belinostat,0.2253063465252213
gdsc_PI-103,0.21881769986042798
ctrp_methotrexate,0.20148321842050299
ctrp_BRD-K30748066,0.19364959812167806
ctrp_BRD-K09344309,0.1897562741279856
gdsc_THZ-2-102-1,0.18155193551012913
ctrp_BRD-K71935468,-0.17900340990970867
ctrp_bafilomycin A1,-0.1957462528703134
ctrp_BRD-K33514849,-0.19792618617781754
gdsc_Sepantronium bromide,-0.21653894290854822
gdsc_QL-XII-47,-0.21807225066008445
ctrp_BEC,-0.21912578388725495
gdsc_Mitomycin-C,-0.22178057092926998
gdsc_Etoposide,-0.22537856578713644
ctrp_BRD-K63431240,-0.22623729574184512
gdsc_Nilotinib,-0.22914046934268784
gdsc_GSK690693,-0.23366734886572038
ccle_Paclitaxel,-0.23473419746854776
gdsc_IPA-3,-0.2355733923890905
ctrp_brefeldin A,-0.23627685359625475
gdsc_WIKI4,-0.23679607625587426
gdsc_NG-25,-0.23735810010116115
gdsc_TL-1-85,-0.2419413340775969
gdsc_Phenformin,-0.2427566590408958
ctrp_GSK-J4,-0.24450326926791793
gdsc_JQ1,-0.2448233576148068
gdsc_Dacinostat,-0.2480289048232224
ctrp_spautin-1,-0.2503613301948986
ctrp_avicin D,-0.25152028389463915
ccle_RAF265,-0.251736047878371
ctrp_BRD-K14844214,-0.2518583852570622
gdsc_TW 37,-0.2519151782968761
gdsc_Vinorelbine,-0.25275494316771474
ctrp_gefitinib,-0.2535574148712099
ctrp_KHS101,-0.2537172900111858
ctrp_bosutinib,-0.25401113856652013
ccle_17-AAG,-0.2554236996136946
gdsc_SNX-2112,-0.2556948739379856
ctrp_neratinib,-0.2565298885094103
ccle_AZD0530,-0.2568801254119502
ctrp_saracatinib,-0.25870344963486586
ccle_TAE684,-0.2602035468181436
ctrp_selumetinib,-0.26082969558760527
ctrp_tanespimycin,-0.2608631555968567
ctrp_COL-3,-0.2610203371294255
gdsc_Gemcitabine,-0.2614993820397496
gdsc_DMOG,-0.26163855476771236
ctrp_BRD-K94991378,-0.2628202364123003
ccle_Sorafenib,-0.26380441536517185
ctrp_BRD8958,-0.26400701639649893
gdsc_AT-7519,-0.26501648276883594
gdsc_Doxorubicin,-0.2655245792084769
gdsc_THZ-2-49,-0.26695191400035007
ctrp_betulinic acid,-0.26759810628655295
ctrp_abiraterone,-0.2686053337170328
gdsc_CP466722,-0.27031733901254396
ctrp_canertinib,-0.27108822095956
ctrp_austocystin D,-0.2715721926170748
gdsc_Epothilone B,-0.2715972341715916
ctrp_VER-155008,-0.27203290072899167
gdsc_SB590885,-0.2741671046539915
gdsc_AZD7762,-0.2745726649889259
gdsc_Elesclomol,-0.2748854665382975
gdsc_BAY-61-3606,-0.27561506653722706
gdsc_I-BET-762,-0.2757562522163763
gdsc_Camptothecin,-0.27670632582592314
gdsc_Vinblastine,-0.2776729246151689
gdsc_Omipalisib,-0.27921257671275346
gdsc_Lestauritinib,-0.27945475467200015
gdsc_Fedratinib,-0.28003426420990435
ctrp_BRD-K55116708,-0.2817846986079211
ccle_Lapatinib,-0.282627507404402
ctrp_C6-ceramide,-0.2829213458410446
ccle_PD-0332991,-0.2853693276969976
ccle_PD-0325901,-0.28566145034767126
ctrp_fumonisin B1,-0.285986677989675
ccle_ZD-6474,-0.28613033755713824
ctrp_SJ-172550,-0.2872386960265246
gdsc_PFI-1,-0.28764203756515183
gdsc_Imatinib,-0.28845631351772477
ccle_TKI258,-0.2892121008331083
gdsc_GSK650394,-0.28944983330606244
ctrp_SR8278,-0.2903709065964685
ctrp_VAF-347,-0.2920367474766269
ctrp_A-804598,-0.29230666070780387
gdsc_BX796,-0.2948718028430169
ctrp_VU0155056,-0.29496656495658924
ctrp_nelarabine,-0.29595076199407083
gdsc_PIK-93,-0.29632151341564356
ctrp_CID-5951923,-0.29681031502441213
ctrp_veliparib,-0.29704214385316596
gdsc_Lapatinib,-0.2972357201848551
gdsc_Entinostat,-0.29767718331206106
ctrp_PD318088,-0.297927138745825
gdsc_Shikonin,-0.29806306507635505
ctrp_cyclophosphamide,-0.2980909737388099
gdsc_OSU-03012,-0.298991307844893
gdsc_Erlotinib,-0.299220118168413
gdsc_JQ12,-0.3009669636333404
ccle_L-685458,-0.30108987110890756
gdsc_GW843682X,-0.30434718255638077
ctrp_BRD-K48477130,-0.30475953679504136
gdsc_KIN001-244,-0.3055163896169736
gdsc_YK-4-279,-0.30724934440437296
ccle_PHA-665752,-0.30952845110030536
ccle_Erlotinib,-0.31004753533852714
ctrp_BRD-K27986637,-0.31063904359578676
ccle_PF2341066,-0.3113376848304915
gdsc_CCT-018159,-0.31168692866768644
gdsc_Pictilisib,-0.3118899895938897
gdsc_BI-2536,-0.3132573004069235
ctrp_lapatinib,-0.31467976725079533
gdsc_AS605240,-0.3148075939892601
ctrp_BRD-K71781559,-0.31572944846327466
gdsc_Seliciclib,-0.31631941970448985
ctrp_istradefylline,-0.31686355632313434
gdsc_XMD8-92,-0.3173737830803063
gdsc_AICA Ribonucleotide,-0.3174038861570009
gdsc_ZSTK474,-0.31755689312568813
ctrp_NPC-26,-0.3176264118211093
ctrp_dasatinib,-0.317839787376144
gdsc_Docetaxel,-0.31919952087584075
ctrp_ML334 diastereomer,-0.3192213538619122
