,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7190000000000001,,,gdsc_Alectinib,0.719,+..
tl-2-105,Not Clinically Relevant,0.653,,,gdsc_TL-2-105,0.653,+..
gsk1070916,Not Clinically Relevant,0.645,,,gdsc_GSK1070916,0.645,+..
sb52334,Not Clinically Relevant,0.631,,,gdsc_SB52334,0.631,+..
gw-2580,Not Clinically Relevant,0.584,,,gdsc_GW-2580,0.584,+..
ql-xi-92,Not Clinically Relevant,0.569,,,gdsc_QL-XI-92,0.569,+..
gsk429286a,Not Clinically Relevant,0.5670000000000001,,,gdsc_GSK429286A,0.567,+..
y-39983,Not Clinically Relevant,0.564,,,gdsc_Y-39983,0.564,+..
ql-xii-61,Not Clinically Relevant,0.561,,,gdsc_QL-XII-61,0.561,+..
bx-912,Not Clinically Relevant,0.556,,,gdsc_BX-912,0.556,+..
linsitinib,IGF-1R inhibitor,0.645,0.449,,ctrp_linsitinib,0.547,++.
vx-702,Not Clinically Relevant,0.539,,,gdsc_VX-702,0.539,+..
tubastatin a,Not Clinically Relevant,0.62,0.436,,ctrp_tubastatin A,0.528,++.
xmd14-99,Not Clinically Relevant,0.527,,,gdsc_XMD14-99,0.527,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.519,,,gdsc_Rucaparib,0.519,+..
kin001-260,Not Clinically Relevant,0.506,,,gdsc_KIN001-260,0.506,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.71,0.28300000000000003,,ctrp_navitoclax,0.496,++.
tretinoin,Retinoid,0.613,0.376,,ctrp_tretinoin,0.494,++.
amuvatinib,Not Clinically Relevant,0.47100000000000003,,,gdsc_Amuvatinib,0.471,+..
xmd13-2,Not Clinically Relevant,0.465,,,gdsc_XMD13-2,0.465,+..
hg-5-88-01,Not Clinically Relevant,0.45,,,gdsc_HG-5-88-01,0.45,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.523,0.375,,ctrp_axitinib,0.449,++.
gsk319347a,Not Clinically Relevant,0.439,,,gdsc_GSK319347A,0.439,+..
cct036477,Not Clinically Relevant,,0.429,,ctrp_CCT036477,0.429,.+.
brd-k99006945,Not Clinically Relevant,,0.429,,ctrp_BRD-K99006945,0.429,.+.
kin001-236,Not Clinically Relevant,0.42700000000000005,,,gdsc_KIN001-236,0.427,+..
ispinesib mesylate,Not Clinically Relevant,0.424,,,gdsc_Ispinesib Mesylate,0.424,+..
avrainvillamide,Not Clinically Relevant,,0.41600000000000004,,ctrp_avrainvillamide,0.416,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.415,,ctrp_VX-680,0.415,.+.
brd-k34485477,Not Clinically Relevant,,0.414,,ctrp_BRD-K34485477,0.414,.+.
talazoparib,Not Clinically Relevant,0.409,,,gdsc_Talazoparib,0.409,+..
brd-k26531177,Not Clinically Relevant,,0.40299999999999997,,ctrp_BRD-K26531177,0.403,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.40299999999999997,,ctrp_chlorambucil,0.403,.+.
brd-k88742110,Not Clinically Relevant,,0.402,,ctrp_BRD-K88742110,0.402,.+.
kin001-266,Not Clinically Relevant,0.401,,,gdsc_KIN001-266,0.401,+..
olaparib,PARP Inhibitor,0.408,0.39,,ctrp_olaparib,0.399,++.
sotrastaurin,pan-PKC inhibitor,,0.39899999999999997,,ctrp_sotrastaurin,0.399,.+.
kin001-270,Not Clinically Relevant,0.39899999999999997,,,gdsc_KIN001-270,0.399,+..
prima-1-met,Not Clinically Relevant,,0.397,,ctrp_PRIMA-1-Met,0.397,.+.
sb-505124,Not Clinically Relevant,0.397,,,gdsc_SB-505124,0.397,+..
staurosporine,Not Clinically Relevant,,0.397,,ctrp_staurosporine,0.397,.+.
bms-195614,Not Clinically Relevant,,0.39399999999999996,,ctrp_BMS-195614,0.394,.+.
skepinone-l,Not Clinically Relevant,,0.39299999999999996,,ctrp_skepinone-L,0.393,.+.
brd-k28456706,Not Clinically Relevant,,0.392,,ctrp_BRD-K28456706,0.392,.+.
ml239,Not Clinically Relevant,,0.392,,ctrp_ML239,0.392,.+.
brd-m00053801,Not Clinically Relevant,,0.389,,ctrp_BRD-M00053801,0.389,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.384,,ctrp_ABT-737,0.384,.+.
cil55,Not Clinically Relevant,,0.384,,ctrp_CIL55,0.384,.+.
968,Not Clinically Relevant,,0.384,,ctrp_968,0.384,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.38299999999999995,,ctrp_indisulam,0.383,.+.
xl765,PI3K/mTOR inhibitor,,0.38299999999999995,,ctrp_XL765,0.383,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.382,,ctrp_barasertib,0.382,.+.
elcpk,Not Clinically Relevant,,0.379,,ctrp_ELCPK,0.379,.+.
iu1,Not Clinically Relevant,,0.379,,ctrp_IU1,0.379,.+.
brd-k92856060,Not Clinically Relevant,,0.37799999999999995,,ctrp_BRD-K92856060,0.378,.+.
brd-k84807411,Not Clinically Relevant,,0.37799999999999995,,ctrp_BRD-K84807411,0.378,.+.
npk76-ii-72-1,Not Clinically Relevant,0.375,,,gdsc_NPK76-II-72-1,0.375,+..
brd-k13999467,Not Clinically Relevant,,0.374,,ctrp_BRD-K13999467,0.374,.+.
ml050,Not Clinically Relevant,,0.374,,ctrp_ML050,0.374,.+.
brd-k51831558,Not Clinically Relevant,,0.37200000000000005,,ctrp_BRD-K51831558,0.372,.+.
compound 1541a,Not Clinically Relevant,,0.37,,ctrp_Compound 1541A,0.37,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.369,,ctrp_foretinib,0.369,.+.
brd-k42260513,Not Clinically Relevant,,0.36700000000000005,,ctrp_BRD-K42260513,0.367,.+.
rg-108,Not Clinically Relevant,,0.36700000000000005,,ctrp_RG-108,0.367,.+.
brd-k24690302,Not Clinically Relevant,,0.36700000000000005,,ctrp_BRD-K24690302,0.367,.+.
mst-312,Not Clinically Relevant,,0.36700000000000005,,ctrp_MST-312,0.367,.+.
o-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair",,0.364,,ctrp_O-6-benzylguanine,0.364,.+.
sr1001,Not Clinically Relevant,,0.363,,ctrp_SR1001,0.363,.+.
brd-a71883111,Not Clinically Relevant,,0.363,,ctrp_BRD-A71883111,0.363,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.363,,ctrp_16-beta-bromoandrosterone,0.363,.+.
isoliquiritigenin,Not Clinically Relevant,,0.36200000000000004,,ctrp_isoliquiritigenin,0.362,.+.
alisertib,Aurora A kinase inhibitor,,0.361,,ctrp_alisertib,0.361,.+.
ly-2183240,Not Clinically Relevant,,0.361,,ctrp_LY-2183240,0.361,.+.
brd-k51490254,Not Clinically Relevant,,0.359,,ctrp_BRD-K51490254,0.359,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.358,,ctrp_epigallocatechin-3-monogallate,0.358,.+.
ceranib-2,Not Clinically Relevant,,0.35600000000000004,,ctrp_ceranib-2,0.356,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.35600000000000004,,ctrp_tacrolimus,0.356,.+.
compound 7d-cis,Not Clinically Relevant,,0.355,,ctrp_Compound 7d-cis,0.355,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.35200000000000004,,ctrp_darinaparsin,0.352,.+.
jw-55,Not Clinically Relevant,,0.35,,ctrp_JW-55,0.35,.+.
cisplatin,Not Clinically Relevant,0.35,,,gdsc_Cisplatin,0.35,+..
