drug_name,MED2312
PSMG1,0.9995
PAPSS1,0.9995
CPNE3,0.9995
EIF2C3,0.9995
RPS6KL1,0.9992
HADHA,0.9991
POLD4,0.9987
LAMB1,0.9987
TMEM110,0.9986
TSPAN4,0.9984000000000001
LM-1685,0.9984000000000001
CISH,0.9984000000000001
CCNH,0.9982
SPEN,0.9982
PGBD1,0.9981
PBX1,0.9979
BRD-K26947839,0.9979
CRCP,0.9976999999999999
SRPK1,0.9976999999999999
ISOC1,0.9976
SLC38A2,0.9976
TAF5L,0.9974
EIF4E,0.9972
MTERFD1,0.9972
tyrphostin-AG-1295,0.9972
HARS,0.9971
TFDP1,0.9965999999999999
SCP2,0.9963
nomegestrol,0.9961
ESRRA,0.9958
ATF1,0.9954999999999999
GLDC,0.9954999999999999
MPL,0.9954999999999999
AIRE,0.9954000000000001
S1PR3,0.9953
BRD-K91485395,0.9951000000000001
OAT,0.995
TRAK2,0.9948999999999999
SULT1A1,0.9947
RCHY1,0.9947
PFN2,0.9944
SLC29A2,0.9942
HOXC9,0.9939
lumicolchicine,0.9937
DUT,0.9934999999999999
P2RY2,0.9934000000000001
TES,0.9933
sumatriptan,0.9933
PRKAR2A,0.9932
TCF4,0.9931
RRM2,0.9929000000000001
STAT2,0.9924
huperzine-a,0.9922
UGP2,0.9921
IGF2,0.9919
PRMT3,0.9918
DNM1L,0.9917
MIF,0.9915999999999999
SCMH1,0.9914000000000001
RRP8,0.9914000000000001
HSF2,0.9913
PPP1R8,0.9913
FADS2,0.9913
ARPC1A,0.9912000000000001
ANKZF1,0.9911
SREBF1,0.9909
MAPK1,0.9908
MELK,0.9908
GPR160,0.9906999999999999
norgestimate,0.9904999999999999
PIK3C2A,0.9904999999999999
diltiazem,0.9901000000000001
SHB,0.99
COX7B,0.99
EIF5,0.9895
liothyronine,0.9894
BRD-K70693222,0.9894
OXGR1,0.9890000000000001
NSD1,0.9889
SRP14,0.9887999999999999
finasteride,0.9887
ASAH1,0.9886
POLA2,0.9884000000000001
CAB39,0.988
FOXJ2,0.9878
RNH1,0.9876999999999999
AC-55649,0.9871
TSPAN8,0.987
SOX10,0.9865999999999999
deferiprone,0.9865999999999999
TADA3,0.9865999999999999
3-amino-benzamide,0.9865
RPL39L,0.9865
repaglinide,0.9863
capsaicin,0.9861
salubrinal,0.986
CELSR2,0.9859
ZNF57,0.9859
DYNLT3,0.9856
ERCC4,0.985
PREP,0.985
TG100-115,0.9845999999999999
SB-216763,0.9845
PLOD3,0.9845
VU-0400193-3,0.9843000000000001
MIF,0.9843000000000001
GANT-58,0.9842
PPARD,0.9842
GPR151,0.9834
avrainvillamide-analog-3,0.9833
ebelactone-b,0.9833
LPGAT1,0.9832
PLOD2,0.9832
BRD-A05680309,0.9828
ADSS,0.9826999999999999
TEAD4,0.9826
SIN3A,0.9821
GLTSCR1,0.9819
ATP6V1D,0.9819
DUSP7,0.9818000000000001
EBNA1BP2,0.9815999999999999
ALDH1A1,0.9815
DCTD,0.9814
VU-0404997-2,0.9814
ethisterone,0.9813
idarubicin,0.9813
DMEOB,0.9813
ZNF398,0.9811
KIF14,0.9811
AM-404,0.981
CPD,0.9806
MRPS2,0.9804999999999999
DHFR,0.9801000000000001
BAS-09104376,0.9798
BCL9,0.9797
UTP14A,0.9797
CDK5,0.9795999999999999
MGST2,0.9795999999999999
GMPR2,0.9795999999999999
BRD-K16618170,0.9795999999999999
IMPDH inhibitor,0.9795999999999999
CFD,0.9793999999999999
TOPBP1,0.9793999999999999
E2F3,0.9792000000000001
UCK2,0.9791
roxatidine,0.9790000000000001
triacsin-c,0.9789
COX4I1,0.9787
GRPR,0.9787
XPO7,0.9787
TPI1,0.9782
CD24,0.9779000000000001
HOXB7,0.9778
VX-222,0.9778
PIAS1,0.9778
droxinostat,0.9773999999999999
farnesylthioacetic-acid,0.9773999999999999
etodolac,0.9772
rescinnamine,0.9771
ZNF562,0.977
EIF3J,0.9768000000000001
MAPK3,0.9767
toltrazuril,0.9765
VAPB,0.9765
PIK3CD,0.9764
farnesol,0.9763
DVL1,0.9761
bendroflumethiazide,0.976
isocarboxazid,0.9758
tetracycline,0.9756999999999999
YTHDF2,0.9754999999999999
WASF3,0.9754
ATP6V1F,0.9753000000000001
CERK,0.975
olanzapine,0.9745999999999999
DLGAP5,0.9741
alisertib,0.9739
TRAF4,0.9739
GNG8,0.9738
NONO,0.9737
INPP1,0.9737
ZNF672,0.9736
SOD2,0.9732
LONRF2,0.9732
BMI1,0.9731000000000001
MLH1,0.973
idebenone,0.9728
TCEA1,0.9727
ALW-II-49-7,0.9727
GABPB1,0.9726
ZBTB24,0.9725
F12,0.9725
BRD-K15107389,0.9722
TEAD2,0.9717
PTGER4,0.9716
ZNF354B,0.9715
SEC24B,0.9714
pravastatin,0.9712000000000001
RRM2,0.9699
NISCH,0.9699
FEZ1,0.9699
VU-0400195-3,0.9695
USP14,0.9692000000000001
DHX8,0.9691
GNA15,0.9690000000000001
STK33,0.9688
SH2B3,0.9687
etomidate,0.9686
zileuton,0.9684
AS-604850,0.9682999999999999
ZNF449,0.9676
retinol,0.9676
RDH11,0.9675
mycophenolate-mofetil,0.9672
MTSS1,0.9671
clofibrate,0.9669
griseofulvin,0.9668000000000001
SLC6A8,0.9668000000000001
IDH2,0.9668000000000001
DFFA,0.9665
tretinoin,0.9662000000000001
IFIT5,0.9654
FGFR2,0.9653
FKBP14,0.965
JX-401,0.9648
TPR,0.9647
olomoucine,0.9645
parthenolide,0.9643999999999999
2-aminopurine,0.9643999999999999
SPAG4,0.9643
SIRPG,0.9643
celecoxib,0.9641
SU-11274,0.9638
POU2AF1,0.9632
SLC7A11,0.9626
L-368899,0.9625
CTNND1,0.9623999999999999
MYNN,0.9621
PRSS23,0.9620000000000001
androstenedione,0.9619
enalapril,0.9619
DUSP9,0.9616
YES1,0.9616
CTSL2,0.9612999999999999
COASY,0.9611
GPR82,0.9606999999999999
NCF2,0.9605
IL18,0.9601999999999999
lenalidomide,0.9601000000000001
OXSR1,0.9601000000000001
BDKRB2,0.96
L-689560,0.9599
LRP4,0.9597
danazol,0.9594
AS-605240,0.9594
resveratrol,0.9593
ACD,0.9591
RS-67333,0.9591
RPS6KB2,0.9589
resveratrol,0.9588
fluticasone,0.9588
SJ-172550,0.9587
SALL4,0.9587
SYPL1,0.9586
raltitrexed,0.9584
ARHGEF6,0.9581999999999999
PRKCI,0.9581999999999999
zacopride,0.9581000000000001
EIF2AK1,0.9581000000000001
CDK19,0.958
RALA,0.958
ZNF267,0.9579000000000001
zaprinast,0.9578
SCYL3,0.9577
NPDC1,0.9576
QRFPR,0.9576
CRY1,0.9575
CDX2,0.9573999999999999
"3,3'-diindolylmethane",0.9571
AKR1C2,0.9571
etacrynic-acid,0.9564
VDAC1,0.9562999999999999
NOSIP,0.956
NIPBL,0.9556999999999999
apicidin,0.9556
NFKBIE,0.9556
MPDZ,0.9554
acebutolol,0.9553
FKBP4,0.9553
UROD,0.9551000000000001
TER-14687,0.955
CXCL2,0.955
BCKDHA,0.9545999999999999
FRAT2,0.9545999999999999
ACADSB,0.9545999999999999
4-(2-Amino-ethyl)-benzenesulfonamide,0.9545
PAQR7,0.9543
CDKAL1,0.9542
PPIG,0.9534999999999999
phosphodiesterase-V-inhibitor-II,0.9534
ROCK2,0.9534
INS,0.9533
ATF4,0.9533
RBBP7,0.9531999999999999
PRDM1,0.9531000000000001
AURKB,0.9529000000000001
TCF7L2,0.9526
Mitogen activated protein kinases LOF,0.9526
EIF1B,0.9521
PKCbeta-inhibitor,0.9521
BRD-K75430629,0.9520000000000001
UNC-0321,0.9516
gliquidone,0.9514
coumarin,0.9514
BACH2,0.9514
rimexolone,0.9514
EMPTY_VECTOR,0.9512999999999999
triprolidine,0.9512999999999999
ABCF3,0.9511
homosalate,0.951
ALAS1,0.9504
BRD-K88742110,0.9503
DFFB,0.9498000000000001
IFI30,0.9497
actarit,0.9497
fusaric-acid,0.9497
irinotecan,0.9494
IFIH1,0.9494
parthenolide,0.9493
MDM inhibitor,0.9492
GABBR1,0.9486
RPS6KA4,0.9481999999999999
EIF4A2,0.9481999999999999
linezolid,0.948
naftopidil,0.9478
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9476
SULT1A2,0.9475
KIF2C,0.9475
ABCF1,0.9473
sitagliptin,0.9470999999999999
DR1,0.9467
LGALS8,0.9462999999999999
PCK2,0.9462999999999999
BRD-K87426499,0.9462
YBX1,0.9459000000000001
CDCA8,0.9458
PUS10,0.9451999999999999
SRC,0.945
methimazole,0.945
17-hydroxyprogesterone-caproate,0.945
MYCBP,0.9448000000000001
ZNF669,0.9445
ZNF707,0.9444
KDM4B,0.9442
LSM5,0.9440999999999999
bromocriptine,0.9440999999999999
LRPAP1,0.9436
VKORC1,0.9434999999999999
ABCA5,0.9431999999999999
CAY-10577,0.943
RIPK2,0.943
NDUFA3,0.9427
PRAF2,0.9423999999999999
SERPINC1,0.9423999999999999
PJA1,0.9418000000000001
COQ3,0.9416
HMOX1,0.9412
BRD-K67258146,0.9408
MORF4L1,0.9406
IFNGR1,0.9403
NF-449,0.9401999999999999
DTX2,0.9398000000000001
fexaramine,0.9394
perospirone,0.9394
CEACAM6,0.9390999999999999
YWHAZ,0.9390000000000001
febuxostat,0.9388
DUSP3,0.9386
CTTN,0.9379000000000001
TNKS2,0.9379000000000001
BUB1B,0.9379000000000001
mupirocin,0.9376000000000001
CELSR3,0.9375
PD-98059,0.9373999999999999
DBI,0.9367
phensuximide,0.9367
TMEM174,0.9366
SIB-1893,0.9361
KU-C103871,0.9361
ponalrestat,0.9359999999999999
CFTR,0.9356
SMO,0.935
HG-5-88-01,0.9348000000000001
KUC103898N,0.9347
SLC29A1,0.9346
PPP4R1,0.9338
POR,0.9338
CISD1,0.9337000000000001
WARS,0.9337000000000001
AT-9283,0.9334
WNT11,0.9331999999999999
BRD-K41143549,0.9331999999999999
FZD7,0.9331999999999999
nifedipine,0.9331
TCS-359,0.9329000000000001
FGFR1,0.9328
BRD-A93048969,0.9327
S100A13,0.9320999999999999
BCL6,0.932
fluocinonide,0.932
RBM15,0.932
HIBADH,0.9317
SMARCA4,0.9315000000000001
LHX9,0.9315000000000001
FOXN3,0.9314
argatroban,0.9307
Targets of VEGFR inhibitors GOF,0.9301999999999999
epoxycholesterol,0.9301999999999999
ITGA1,0.93
RITA,0.9298000000000001
profenamine,0.9298000000000001
SUCNR1,0.9296
HEATR1,0.929
MSX1,0.929
BTG1,0.9288
GW-311616,0.9287000000000001
VEGFA,0.9281999999999999
TTNPB,0.9281
IRF9,0.9279999999999999
tubastatin-a,0.9278
BRD-A38793261,0.9278
buspirone,0.9277
NR0B2,0.9276000000000001
POLE3,0.9275
CCDC85B,0.9274
DPH2,0.9273
LYRM1,0.9273
NRP1,0.9272
mycophenolic-acid,0.9270999999999999
PEX19,0.9268000000000001
PDXK,0.9267
levocetirizine,0.9266
ATP1A3,0.9265000000000001
AP4S1,0.9264
norepinephrine,0.9262999999999999
UTP18,0.9262
NAA25,0.9259000000000001
NR0B1,0.9259000000000001
TBK1,0.9253
CRYZ,0.9251999999999999
TLE3,0.925
PEBP1,0.9242
BX-795,0.9242
RAB11FIP2,0.924
SIAH2,0.9237000000000001
HAL,0.9235
BAY-K8644,0.9234
LGALS1,0.9231999999999999
betamethasone,0.9231999999999999
TPM1,0.9231999999999999
ZNF134,0.9224
MDH1,0.922
VPS26A,0.9218999999999999
GYS1,0.9218000000000001
FGFR3,0.9217
GSK-1904529A,0.9215000000000001
AP1B1,0.9213
mocimycin,0.9212
PNU-120596,0.9209999999999999
PWP1,0.9209999999999999
ARC-239,0.9209999999999999
NTRK1,0.9209
skatole,0.9208
ATG4A,0.9207
L-692585,0.9206
dicloxacillin,0.9201
PSMA8,0.9198999999999999
IRF3,0.9193000000000001
PAK4,0.9192
ANKZF1,0.9190999999999999
ZNF277,0.919
isoliquiritigenin,0.9187000000000001
DYNLT3,0.9187000000000001
TLE1,0.9185
sinensetin,0.9185
NR1H3,0.9178000000000001
ingenol,0.9178000000000001
PTS,0.9175
EMD-386088,0.9172
AP1S2,0.9168000000000001
aspirin,0.9167000000000001
MEF2C,0.9159999999999999
SLC16A6,0.9159
RPF1,0.9157
ZSCAN29,0.9157
HIST1H2AC,0.9157
MEK1-2-inhibitor,0.9156
PVRL2,0.9152
PD-0325901,0.915
CREM,0.915
LOXL1,0.9148000000000001
EML3,0.9148000000000001
ASF1B,0.9147
SNX11,0.9144
RPL7,0.9140999999999999
MK-212,0.914
SMAD7,0.914
chlormadinone,0.9137000000000001
SN-38,0.9131999999999999
PABPC1,0.9131
CGP-37157,0.9129
RELA,0.9129
GPATCH8,0.9127
MEK inhibitor,0.9125
RHO-kinase-inhibitor-III[rockout],0.9123
flecainide,0.9120999999999999
CRADD,0.9118
GLIS3,0.9116
TNFRSF6B,0.9114
IL8,0.9112
CASK,0.9111
PIK3CB,0.9107
CEP55,0.9107
NNT,0.9106000000000001
PPP2CA,0.9104000000000001
SOX4,0.91
RBBP4,0.91
lapatinib,0.9098
AP2M1,0.9096
SACM1L,0.9091
GPC1,0.9087000000000001
TGFBR2,0.9084
WH-4023,0.9075
SLC22A4,0.9075
cholic-acid,0.9074
P2RY12,0.9074
TPD52L2,0.9073
mitomycin-c,0.9073
FPL-64176,0.9073
PI3K Signaling LOF,0.9065000000000001
BRP44,0.9065000000000001
ENOPH1,0.9064
NET1,0.9063
etoposide,0.9061
ASH2L,0.9061
KIAA0753,0.9059
EIF2B5,0.905
Bile acid,0.9046
SKF-83566,0.9043000000000001
PSIP1,0.9043000000000001
SLC25A14,0.9043000000000001
GBA,0.9042
RIOK2,0.9037000000000001
danoprevir,0.9031999999999999
FBXO11,0.9026000000000001
OAT,0.9025
POU5F2,0.9024
CEP72,0.9024
COPS5,0.9020999999999999
PGRMC1,0.9018999999999999
HIST1H2AC,0.9018999999999999
BTG3,0.9018999999999999
ITPK1,0.9017000000000001
ITPKA,0.9015000000000001
WT-171,0.9013
acitretin,0.9012
FUT1,0.9007
CASK,0.9005
BCKDK,0.9002
TRAF2,0.9001
KIAA0317,0.9001
BRD-K98297262,0.8998999999999999
GSK-429286A,0.8998
PTPRF,0.8998
hydrocortisone,0.8996
TFAP2A,0.8996
RDH14,0.8995000000000001
AES,0.8995000000000001
TFAP2A,0.8995000000000001
F10,0.8992
KDELR3,0.8986
pyroxamide,0.8981
esmolol,0.8981
CALM3,0.898
X linked mental retardation group 2 LOF,0.8978
QW-BI-011,0.8976000000000001
INHBE,0.8976000000000001
vorinostat,0.8972
DCXR,0.8970999999999999
pantoprazole,0.897
hydroquinidine,0.8969
l-erythro-MAPP,0.8968
IP6K2,0.8965000000000001
SOAT1,0.8965000000000001
SCAF8,0.8964
epigallocatechin,0.8964
arecaidine,0.8963
CBR3,0.8961
barasertib,0.8955
epibatidine,0.8953
CSDA,0.8953
ZNF595,0.8952
RAB31,0.8941
SDM25N,0.8941
flumazenil,0.8941
deforolimus,0.8937999999999999
ATP5S,0.8937999999999999
TTNPB,0.8936
ICAM3,0.8933
POLQ,0.8933
SLC3A1,0.893
SPHK2,0.8928
POLG2,0.8926999999999999
ZNF85,0.8926000000000001
oxcarbazepine,0.8925
RPA2,0.8924
ZW10,0.8920999999999999
ZNF436,0.8918
MRGPRX4,0.8915000000000001
ZNF548,0.8914
MYL6B,0.8911
acetyl-geranygeranyl-cysteine,0.8909999999999999
HLF,0.8906999999999999
iopanoic-acid,0.8906000000000001
ABCC4,0.8905
tropisetron,0.8905
HOXA5,0.8903
SPDEF,0.8903
HDAC1-selective,0.8901
PSMA3,0.8898
PD-0325901,0.8896
testosterone,0.8896
MAS1L,0.8894
TNFSF10,0.8894
UBE2N,0.8891
CHRAC1,0.889
JWE-035,0.8886
TRAF1,0.8879
fenpiverinium,0.8876999999999999
LIM class homeoboxes GOF,0.8876999999999999
ZM-323881,0.8876000000000001
PRL-3-inhibitor-I,0.8875
NR2C1,0.887
rilmenidine,0.8868
GLOD4,0.8861
JNJ-26854165,0.8861
SLC1A5,0.8856
Y-27632,0.8855
HC-toxin,0.8853
FBRS,0.8852
methantheline,0.8852
ZKSCAN2,0.8851
clofibric-acid,0.8851
acetohydroxamic-acid,0.8848
CCRL2,0.8845999999999999
guggulsterone,0.8845000000000001
VCAN,0.8842
TM9SF3,0.8837999999999999
BRD-K98404142,0.8837999999999999
valproic-acid,0.8837999999999999
vecuronium,0.8835999999999999
RNF7,0.8835999999999999
lapatinib,0.8835999999999999
ADNP2,0.8835999999999999
IFI30,0.8834000000000001
TATDN2,0.8829
SPA17,0.8825
DYRK3,0.8824
DNAJB6,0.8822
HLF,0.8819
PTDSS1,0.8818
STK24,0.8815999999999999
MVP,0.8815999999999999
DTX3L,0.8815999999999999
O3FAR1,0.8814
SPRY4,0.8814
CCRN4L,0.8813
spectinomycin,0.8813
GATA3,0.8811
MTFR1,0.8811
