drug,score,moa
TG100-115,0.985,PI3Kγ/δ inhibitor
idarubicin,0.981,"Topo II inhibitor, intercalates into DNA, anthracycline"
alisertib,0.974,Aurora A kinase inhibitor
tretinoin,0.966,Retinoid
lenalidomide,0.960,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
raltitrexed,0.958,"antimetabolite,  inhibitor of thymidylate synthase"
irinotecan,0.949,"aka CPT-11, inhibitor of Topo I"
sitagliptin,0.947,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
SN-38,0.913,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
lapatinib,0.910,HER2/EGFR inhibitor
mitomycin-c,0.907,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
etoposide,0.906,Topo II inhibitor
hydrocortisone,0.900,Anti-inflammatory
vorinostat,0.897,HDAC inhibitor (SAHA)
barasertib,0.895,highly selective Aurora B kinase inhibitor
JNJ-26854165,0.886,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
lapatinib,0.884,HER2/EGFR inhibitor
etoposide,0.872,Topo II inhibitor
dexamethasone,0.864,"synthetic corticosteroid, used to reduce inflammation"
thiotepa,0.859,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
tacrolimus,0.855,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
sildenafil,0.850,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
GSK-461364,0.836,"Plk1 inhibitor, less active against Plk2 and Plk3."
cladribine,0.833,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
teniposide,0.832,Topo II inhibitor
sorafenib,0.830,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
dexamethasone,0.826,"synthetic corticosteroid, used to reduce inflammation"
escitalopram,0.820,Selective Serotonin Reuptake Inhibitor (SSRI)
carmofur,0.818,"derivative of fluorouracil, pyrimidine analog"
gemcitabine,0.793,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
toremifene,0.788,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
exemestane,0.788,"aromatase inhibitor, blocks conversion of androgens to estrogens"
dexamethasone,0.784,"synthetic corticosteroid, used to reduce inflammation"
iobenguane,0.780,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
raloxifene,0.777," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
docetaxel,0.775,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
vinorelbine,0.774,disrupts microtubule dynamics; natural product
MK-1775,0.752,Wee1 kinase inhibitor
rucaparib,0.746,"PARP inhibitor, inhibits DNA repair"
axitinib,0.729,"VEGFR, c-KIT and PDGFR inhibitor"
mitotane,0.724,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
dexamethasone,0.700,"synthetic corticosteroid, used to reduce inflammation"
canertinib,0.696,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
cimetidine,0.673,(Tagamet) Antacid and antihistamine
altretamine,0.672,alkylating antineoplastic agent
serdemetan,0.667,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
anagrelide,0.662,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
amsacrine,0.661,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
panobinostat,0.631,HDAC inhibitor
TG-101348,0.608,JAK2 inhibitor
mercaptopurine,0.592,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
chlorambucil,0.586,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
hydrocortisone,0.585,Anti-inflammatory
olaparib,0.547,PARP Inhibitor
exemestane,0.543,"aromatase inhibitor, blocks conversion of androgens to estrogens"
hydrocortisone,0.541,Anti-inflammatory
neratinib,0.535,Her2 and EGFR inhibitor
vincristine,0.525,"binds tubulin, disrupts microtubule dynamics"
fulvestrant,0.514,selective estrogen receptor degrader (SERD)
doxorubicin,0.512,"Topo II inhibitor, DNA intercalator"
CS-1657,0.509,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
hyperforin,0.507,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
topotecan,0.502,Topo I inhibitor
ON-01910,0.489,"ON-01910, Plk-1 inhibitor"
nilutamide,0.488," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer"
