,MED2312
NCIH1184,0.24758064288123488
NCIH1155,0.22162856032612474
NCIH1694,0.1983446308972039
NCIH1092,0.1939111542366108
NCIH1341,0.19386362693102444
KELLY,0.17396024612371858
KPNSI9S,0.1677474521738906
SKNSH,0.16340126065197702
NCIH810,0.16052421633318403
MFE280,0.15395866297968833
DU145,0.15123215399295434
TC71,0.1497900600698217
5637,0.14796708205075199
DAOY,0.14439902977797278
KMS11,0.14379924918649437
WM793,0.1417156534269393
SKES1,0.13965629167731214
KNS62,0.13495436555078386
ES2,0.13286599572999291
CHP212,0.1315287401933785
SHP77,0.1311194034989575
TT2609C02,0.12752461327274134
G361,0.12678439568651098
IGR37,0.12213853812745615
NCIH661,0.12136007962610731
WM115,0.12125471900911691
HARA,0.12113858777561799
SKNFI,0.12065011478951339
DMS114,0.1198302097662341
KYSE450,0.11955980833949054
NCIH2052,0.11778089452248199
22RV1,0.11733619524064197
NCIH1651,0.11671064708680526
SKNDZ,0.11649682573547179
TOV112D,0.11422856048192595
IMR32,0.113508540934971
DBTRG05MG,0.11341463058576882
SNU398,0.11311452594858379
NCIH1048,0.11306798276787741
JMSU1,0.11283870527294293
NCIH2444,0.11244301387688117
MSTO211H,0.11147884416719932
SUIT2,0.11147667381595612
ISTMES1,0.11054219440340907
SKMEL5,0.1091176616574948
FUOV1,0.10911659785846847
H4,0.10798050272483677
A2780,0.10726769768837063
VMRCRCW,0.10721657252151558
SW579,0.10689001731163421
NCIH2170,0.10661538461483747
JHOS2,0.10624583936874138
NCIH1299,0.10541469509802263
CAL78,0.10521285286585215
NIHOVCAR3,0.1050264037471889
SKNBE2,0.10443575649581735
NCIH211,0.10389310258622608
CAL27,0.10369618834622589
TE617T,0.10367530889709105
KLE,0.10254883760244972
KMRC2,0.10196048252335027
MHHES1,0.10155269118756646
SW1088,0.10128813101145219
LU99,0.1005305775336753
SIMA,0.10036426556645865
U2OS,0.09935139953854702
HS683,0.09893084195080759
A172,0.09890314616911884
HOS,0.09876023160157682
OVCAR8,0.09848299945715613
T3M10,0.09804926997869258
A673,0.09785763499877781
SNU475,0.09756316834366249
SAOS2,0.09639623969845959
HCC1954,0.09598088158493123
A375,0.094968500418239
8305C,0.09495489445266551
BT549,0.09444469650726656
ESS1,0.09435403613160036
NCIH727,0.0935608358923907
UMUC3,0.0932036841850443
NCIH23,0.09306063960064828
SNU182,0.09238740158730901
ISHIKAWAHERAKLIO02ER,0.09132633145870689
SKMEL24,0.09111322955553493
ZR751,0.09091021165128248
QGP1,0.08927688677513113
HGC27,0.0890973843380797
NCIH1693,0.08808438724669919
COLO679,0.08784522679026988
SW48,0.08745306412757488
JHH7,0.08733794413964481
KYSE410,0.0872447981693502
HT144,0.08695425197122543
NCIH520,0.08693603089618451
NCIH1581,0.08675853421075483
NCIH522,0.08665549725633631
WM2664,0.08655857775870993
HS852T,0.08618125822132872
RKN,0.0860532443675081
KYSE180,0.0854531414098817
LOXIMVI,0.08538411748718658
SW1573,0.08449475865063047
WM88,0.08446186388441018
NCIH1792,0.0833704080764098
A204,0.08333945801316257
COV318,0.08207631907548157
RD,0.08174783539196923
SBC5,0.0811894891308544
VMRCRCZ,0.07972011454186323
HMCB,0.07954182253283389
HCT116,0.07953767924676626
DKMG,0.07941133213593624
HS729,0.07854320355821029
MKN45,0.07840656225126046
MDAMB436,0.07829999377048609
WM983B,0.07827149375996764
CALU1,0.07792661162351452
COLO741,0.07764385006057822
NCIH460,0.07595708099322254
MFE319,0.07587692160857025
DETROIT562,0.07532655519755618
NCIH747,0.07495722153761354
OC314,0.07472301576776928
KMS34,0.07469640480680927
RERFGC1B,0.07445023668444518
SW1353,0.07425362215514987
HEYA8,0.07391376295772595
SKMES1,0.07370728805443727
HS936T,0.07300442435842922
K029AX,0.07277897528281897
HEL9217,0.07255465661953263
SKOV3,0.07232530622487919
KMRC1,0.0722664998990816
SUDHL10,0.07216296813819417
SW403,0.07203253689402397
ACHN,0.07181250171922024
SW900,0.0717082247442838
CAS1,0.07138183618007
YKG1,0.07097973946059069
NCIH1666,0.0709768591279108
NCIH2023,0.07096557597063402
IGR39,0.07094872942050728
OVSAHO,0.07081250274573624
HCC1187,0.07024209137106023
LP1,0.0698096030425231
LN229,0.06908171143855336
8MGBA,0.06899048995796114
ONCODG1,0.06886199094566751
OVCAR4,0.06868086809798159
UACC812,0.06845132925968112
OE21,0.06791006562195243
EM2,0.06751585237630989
HS746T,0.06748169453917911
FADU,0.06725335674988786
NCIH2286,0.06662373385553425
NCIH1869,0.06654936213929444
HS939T,0.06639903658319453
HCC1395,0.06626563749365194
NCIH1703,0.06593007288900835
GI1,0.06584641546567982
MELHO,0.06562172394611976
NCIH647,0.06524904344877783
DEL,0.06489532454927198
A549,0.06419320697495969
KURAMOCHI,0.0640489087257811
NCIH650,0.06313668526679907
MEWO,0.06295174846383134
HDMYZ,0.06294250693905933
HLF,0.06277884371590242
CALU6,0.0625906704509251
HS944T,0.062202802258103686
KARPAS620,0.062098578737938906
MIAPACA2,0.06209401540387101
CAKI2,0.061338996076884846
ISTMES2,0.060807688890283006
MPP89,0.060805285661528555
CALU3,0.06024211654851669
HS739T,0.05998844160069653
A2058,0.05994852888448734
SKHEP1,0.05972591835028263
MDAMB157,0.0596288523622148
