,MED411
D283MED,0.3369755573404076
NCIH524,0.28556048295972586
DMS273,0.2713025299333909
NCIH1155,0.2244695947938311
NCIH1184,0.22360149997444975
KELLY,0.2064084846336369
IMR32,0.20614786768130666
HCC33,0.20462068514780443
NCIH446,0.198111055379612
NCIH1341,0.1961336479399
DU145,0.186949853968403
KNS62,0.17714583210628446
SKNDZ,0.17495617085048387
SIMA,0.17049655372342074
NH6,0.16733240325207552
ECC12,0.16444545828113694
KPNSI9S,0.16244680260188046
DAOY,0.16031874975007587
DMS114,0.15860901923099827
HARA,0.15719186483110703
MHHNB11,0.15683955060095675
NCIH810,0.1561732009515067
FTC133,0.15400516388912305
CAL27,0.15252758027363925
SKNSH,0.15019198860900565
5637,0.1491844869539068
NCIH1299,0.1477812482778158
SKNFI,0.1470265596562514
COLO668,0.1467748625123899
SKNBE2,0.1459248154262163
BEN,0.1423179991485514
CORL95,0.13684133188304726
CADOES1,0.13665077077305124
NCIH661,0.13620332642489688
TE441T,0.1358557091738793
LK2,0.1348910913284455
FUOV1,0.13376658936875313
KYSE450,0.13339504568687297
NCIH2286,0.13304997350196032
NCIH2029,0.13287255034491507
KPNYN,0.13152916402944717
NCIH196,0.13072622089678002
HCC1954,0.12779875493172915
ESS1,0.1251489522608277
UBLC1,0.12471783234149046
VCAP,0.12458825689102447
22RV1,0.12442566132211459
CHP212,0.1240380812390668
QGP1,0.12376270834812945
HCC1171,0.1235658763047774
SUIT2,0.12328718717607912
NCIH522,0.12259444292297522
HCC1833,0.1216124164227502
BICR16,0.1211381444815591
TE10,0.12092679421031217
DMS53,0.12066651811542416
KYSE180,0.12061548586057833
MDAMB361,0.12049290138215153
ECC10,0.12042349880465662
NCIH211,0.11961102933640205
NCIH747,0.11776846873909368
TE8,0.1175260000535946
DMS454,0.11736448065898746
SKNMC,0.11724551265310525
NCIH841,0.1168533992601487
NCIH2052,0.11672511256206759
A2780,0.11611917428398644
HCC15,0.11565987220855585
SW1573,0.1150602496315999
NCIH2196,0.11407898004327532
A204,0.11385807953234246
TCCPAN2,0.11326327996676505
SNU878,0.11287256729483618
CAOV3,0.11253749731161916
SW1463,0.11229200940458257
HCC1806,0.11180531981983387
KLE,0.11171571224439751
A549,0.11158099161546023
JL1,0.11123260842276776
KMS11,0.11096560650081992
NCIH1651,0.11084302375221873
COV434,0.1106219077055445
LU99,0.11052969067849111
TT2609C02,0.11029437914417929
ISTMES1,0.10971500700132336
T3M10,0.10922407466717206
BICR18,0.10897061974189598
NCIH1755,0.10854187640799894
RH18,0.10788357024156514
NCIH1581,0.10760616315457255
SNU398,0.10671247898049707
EFE184,0.10610295590716164
SNU475,0.10486058070468354
