,RCMB18,COSMIC ID
cosmic_688022,-0.0447801161087629,688022
cosmic_688031,-0.07300701386003672,688031
cosmic_907170,-0.08114171395654857,907170
cosmic_753582,-0.0815799827935782,753582
cosmic_688023,-0.09611600224532839,688023
cosmic_753589,-0.09639593183134984,753589
cosmic_687997,-0.10004173876247355,687997
cosmic_713885,-0.10045412326533401,713885
cosmic_688027,-0.10311785143666893,688027
cosmic_910937,-0.10601591653710188,910937
cosmic_753588,-0.1143536266285348,753588
cosmic_753547,-0.11511293370772392,753547
cosmic_753599,-0.11615983011193148,753599
cosmic_908483,-0.12154383313918565,908483
cosmic_688010,-0.12315038229701632,688010
cosmic_924241,-0.12437712787668971,924241
cosmic_713899,-0.12897133052537374,713899
cosmic_713878,-0.1295092535161393,713878
cosmic_1322213,-0.1318765581797565,1322213
cosmic_1330972,-0.1322126140005532,1330972
cosmic_753594,-0.13282754205373692,753594
cosmic_688006,-0.13355042749553192,688006
cosmic_909194,-0.1388993147214973,909194
cosmic_1322212,-0.13952556636741267,1322212
cosmic_908135,-0.14171460155234347,908135
cosmic_753605,-0.1446674462959884,753605
cosmic_910691,-0.14589188878524367,910691
cosmic_688007,-0.14638813806380624,688007
cosmic_688014,-0.14982364396555717,688014
cosmic_949175,-0.15052389794335108,949175
cosmic_688001,-0.15072157322349036,688001
cosmic_907295,-0.15383068181079781,907295
cosmic_1240193,-0.1606945910270419,1240193
cosmic_753564,-0.1611902565103455,753564
cosmic_1297438,-0.16259640255422322,1297438
cosmic_688011,-0.16521064109131917,688011
cosmic_949173,-0.1677567956983345,949173
cosmic_688013,-0.16835101865306287,688013
cosmic_908467,-0.17158786867879566,908467
cosmic_906808,-0.17216533937660317,906808
cosmic_1240181,-0.17256793764912579,1240181
cosmic_688026,-0.17569590762123574,688026
cosmic_1297439,-0.1772838725618097,1297439
cosmic_753607,-0.18109782386535164,753607
cosmic_687600,-0.18167121342058698,687600
cosmic_687804,-0.1818833596032727,687804
cosmic_910567,-0.18271861795523142,910567
cosmic_688018,-0.18363622513632855,688018
cosmic_1330964,-0.1853065796780956,1330964
cosmic_910941,-0.18756540357811463,910941
cosmic_925341,-0.18824513056039813,925341
cosmic_906834,-0.19011909238990893,906834
cosmic_688025,-0.1922685058501325,688025
cosmic_909731,-0.19423559865504184,909731
cosmic_753616,-0.19769623488737173,753616
cosmic_687980,-0.19862887557647396,687980
cosmic_688086,-0.1986700873501947,688086
cosmic_908447,-0.1988364145994047,908447
cosmic_908468,-0.20026935600072518,908468
cosmic_910692,-0.2012466447416855,910692
cosmic_907314,-0.20195937287500382,907314
cosmic_949177,-0.20263156157359447,949177
cosmic_910568,-0.2030053294614941,910568
cosmic_910780,-0.2039297658538414,910780
cosmic_713869,-0.20629057777999493,713869
cosmic_1240182,-0.20676742160811376,1240182
cosmic_910899,-0.2069531275186749,910899
cosmic_687985,-0.21004983695044238,687985
cosmic_908469,-0.21031341234059467,908469
cosmic_688021,-0.21378416071974157,688021
cosmic_753618,-0.21508854592104817,753618
cosmic_906833,-0.21698303038268282,906833
cosmic_753551,-0.21795846252586226,753551
cosmic_753534,-0.21900333741585054,753534
cosmic_949166,-0.22110704986217258,949166
cosmic_906875,-0.22345878974098934,906875
cosmic_908440,-0.22653445244262968,908440
cosmic_724872,-0.2297282131892362,724872
cosmic_949178,-0.23123091641315258,949178
cosmic_717431,-0.23192442729591656,717431
cosmic_908129,-0.23308375322587205,908129
cosmic_688087,-0.2334476273293229,688087
cosmic_949168,-0.23804498768750473,949168
cosmic_753620,-0.23852418483220386,753620
cosmic_908481,-0.2447640835789527,908481
cosmic_949160,-0.24583512950163905,949160
cosmic_949170,-0.2470810338680111,949170
cosmic_684055,-0.2495480087242115,684055
cosmic_1299070,-0.2505864983367109,1299070
cosmic_909716,-0.25067004381500496,909716
cosmic_1240210,-0.25103129371835725,1240210
cosmic_908454,-0.2515262108241109,908454
cosmic_907055,-0.25156430256662227,907055
cosmic_1330973,-0.25339468464732984,1330973
cosmic_909779,-0.2534852872890771,909779
cosmic_1298349,-0.2548370004602956,1298349
cosmic_684062,-0.25595156624930293,684062
cosmic_949155,-0.2559517231342383,949155
cosmic_924100,-0.25805162226263884,924100
cosmic_687995,-0.2584544617423086,687995
cosmic_753539,-0.2623419685335972,753539
cosmic_910569,-0.262988183323812,910569
cosmic_971773,-0.26306337444765243,971773
cosmic_906844,-0.26435825489919385,906844
cosmic_906850,-0.26535000080832416,906850
cosmic_908150,-0.2657779610913496,908150
cosmic_907060,-0.26695660242500197,907060
cosmic_949172,-0.26705493121576723,949172
cosmic_949179,-0.2671170905536694,949179
cosmic_949161,-0.2673365467931372,949161
cosmic_1290807,-0.2675094175372957,1290807
cosmic_908458,-0.26771151900210494,908458
cosmic_949167,-0.2689825935416541,949167
cosmic_909707,-0.26912314151294864,909707
cosmic_687787,-0.26941523452737864,687787
cosmic_724868,-0.26988714432427313,724868
cosmic_1240189,-0.2704453049041563,1240189
cosmic_906812,-0.2708448539434803,906812
cosmic_1480361,-0.27130374414882175,1480361
cosmic_684059,-0.2720775306237767,684059
cosmic_909759,-0.2723476751084232,909759
cosmic_930299,-0.2724422306850965,930299
cosmic_946360,-0.27401993807258584,946360
cosmic_753565,-0.2745170982911099,753565
cosmic_907319,-0.2749625706176632,907319
cosmic_949158,-0.275345346310611,949158
cosmic_908126,-0.27569727920956455,908126
cosmic_925345,-0.27573425531635126,925345
cosmic_684057,-0.2761932916471103,684057
