,RCMB20
gdsc_Alectinib,0.6844741622955007
gdsc_Navitoclax,0.6740071453473303
gdsc_GSK1070916,0.6440869166913239
gdsc_Linsitinib,0.6252968657536739
gdsc_SB52334,0.6173627064377194
gdsc_Quizartinib,0.6101987921148695
gdsc_QL-XII-61,0.592018167338162
gdsc_Tubastatin A,0.5874873660293898
gdsc_TL-2-105,0.5687780836933783
gdsc_QL-XI-92,0.5675164221336492
gdsc_VX-702,0.5617602807580109
gdsc_GSK429286A,0.5534734026533941
gdsc_Axitinib,0.5513036387604808
gdsc_Y-39983,0.5473672247961491
gdsc_BX-912,0.5456115119201397
gdsc_Tretinoin,0.5443591860408418
gdsc_GW-2580,0.4899105686197584
gdsc_KIN001-260,0.4730370778154173
gdsc_HG-5-88-01,0.4724990218324756
gdsc_Amuvatinib,0.4722231068145922
gdsc_XMD14-99,0.46710573262060523
gdsc_XMD13-2,0.4652546360353228
ctrp_avrainvillamide,0.45951666341081066
gdsc_Ispinesib Mesylate,0.45916679371146024
gdsc_PAC-1,0.4584289846234793
ctrp_linsitinib,0.4508042378823329
gdsc_GSK319347A,0.4482179308082267
ctrp_staurosporine,0.44693826473158027
gdsc_SB-505124,0.43954329978213075
ctrp_tubastatin A,0.4309404590311487
ctrp_barasertib,0.4307833537781613
ctrp_CCT036477,0.42571157829770995
ctrp_chlorambucil,0.42550801778127656
ctrp_tretinoin,0.4244309456645536
ctrp_BMS-195614,0.4229412136619493
ctrp_BRD-K51490254,0.42049467363434884
gdsc_KIN001-270,0.41651741819045784
ctrp_isoliquiritigenin,0.4160571516443992
ctrp_indisulam,0.41500786031686265
gdsc_Masitinib,0.4105018903298066
ctrp_serdemetan,0.410454328272739
ctrp_BRD-K26531177,0.40934488857691687
ctrp_ABT-737,0.4075135497264365
ctrp_ML239,0.40728044273190767
gdsc_NPK76-II-72-1,0.40253005644794526
ctrp_BRD-K88742110,0.39995996431261394
ctrp_BRD-K34485477,0.39901567282109635
gdsc_Daporinad,0.397332359320854
ctrp_ML050,0.3955965276438646
ctrp_SR1001,0.3944514185577829
ctrp_IU1,0.3926586581059249
ctrp_CIL55,0.39158706322540837
ctrp_BRD1835,0.3913173197675277
ctrp_skepinone-L,0.38818877789292966
ctrp_BRD-K99006945,0.38701021298543953
ctrp_XL765,0.3855951451602909
ctrp_compound 1B,0.3840334790508786
ctrp_belinostat,0.3838949856421192
gdsc_TPCA-1,0.38358121827235453
ctrp_olaparib,0.3814142905938879
ctrp_KW-2449,0.38124723253067877
ctrp_BRD-K92856060,0.3804401510201084
ctrp_alisertib,0.38030091913106095
gdsc_Talazoparib,0.37992216762804953
ctrp_JW-74,0.37977735249716726
ctrp_Repligen 136,0.3797582805999761
ctrp_epigallocatechin-3-monogallate,0.37965098487846577
ctrp_BRD-K49290616,0.378161124127823
ctrp_tacrolimus,0.3781122869807856
ctrp_sotrastaurin,0.3776960668946201
ctrp_BRD-K42260513,0.37658822458015945
gdsc_KIN001-266,0.3759281064282688
ctrp_CIL41,0.3750859918925838
ctrp_Compound 7d-cis,0.3744524952785276
ctrp_PF-4800567 hydrochloride,0.3740051680144432
ctrp_tamoxifen,0.37309757924657244
