,RCMB24
NCIH1092,0.26149367568736287
NCIH1184,0.24506363578539672
NCIH1694,0.2358506175570904
NCIH1155,0.20032166368812318
NCIH1341,0.19639695871856847
DAOY,0.18803749973678585
5637,0.18276424722142529
TC71,0.17934864385596128
NCIH1048,0.17708016192153508
NCIH810,0.17496772861802712
DMS114,0.17119950529463904
DU145,0.17073166563036046
NCIH2052,0.16056409277562472
SW579,0.16017976560237365
FUOV1,0.15365129639678393
KMS11,0.15135372063582705
NCIH2286,0.15129009216475833
IMR32,0.15051018958293144
SW1573,0.1493596202645018
UACC812,0.14915257124756445
TT2609C02,0.14781454407401348
WM793,0.1474318378893994
SUIT2,0.14698334621148437
DKMG,0.14513365810933157
KYSE450,0.14327471966306224
MFE280,0.1425274369744014
CAL78,0.14250644488725198
H4,0.14171992800594976
U2OS,0.14110527325625724
KNS62,0.14034871032768864
SKES1,0.13612280782502745
JHOS2,0.13539830684663282
ZR751,0.135176045265692
NCIH1651,0.13515231316569032
SW48,0.13496054282193745
HOS,0.13420412103402546
22RV1,0.13399912834639813
NCIH23,0.13383260263678018
NCIH520,0.13251025971778144
SW403,0.13225905736545027
ISTMES1,0.13164132814824447
T3M10,0.13076766257982006
NCIH661,0.13061618485979676
VMRCRCW,0.13025708124778002
DBTRG05MG,0.130048916465389
SW1353,0.12902327596969312
WM2664,0.12804774517014939
IGR37,0.12771611695790486
SNU423,0.12752069909350003
HARA,0.12714239997486107
JHOS4,0.12703125503846716
ACHN,0.12681116874711598
MDAMB436,0.12677425155491356
SBC5,0.12638846962556208
SW900,0.12617192734633886
HEYA8,0.1252069195341136
NCIH522,0.12369439414220228
ES2,0.12352439969640959
SIMA,0.12299131885095041
SW1088,0.12281999940050159
SKMEL24,0.12219716659536253
NCIH2444,0.12207731012003475
NCIH211,0.12153038382214769
SKNSH,0.1207639153886763
MPP89,0.12060723085294742
A172,0.12017015673290853
GAMG,0.12007801487474824
NCIH1299,0.1198094126133338
NCIH747,0.1193398140901204
ESS1,0.11933066651216064
WM88,0.11881553492576187
SF126,0.1182677987621221
MSTO211H,0.11780783624336992
SNU182,0.11711395677974258
NCIH2170,0.11664217817489057
NIHOVCAR3,0.11624134712846097
NCIH727,0.11615573939417455
KLE,0.1161194410043982
HCC1954,0.1157486190005522
BT549,0.11553836491554985
HS852T,0.11485520435684476
SKHEP1,0.11477918422218945
LP1,0.1143129971472535
SAOS2,0.11352336611744764
8505C,0.11310570479836189
U87MG,0.11234723546759738
NCIH1792,0.11203053116346556
SNU398,0.11202762875347318
LUDLU1,0.11122129825771149
OC314,0.11106704332700597
HGC27,0.11049366273668411
HS739T,0.1099185739071336
JMSU1,0.10955475535984545
SCC25,0.10889089234777101
SUDHL10,0.10862105060524982
SW780,0.10826416553302178
CAL27,0.1079096521375357
HS729,0.10748922829954309
VMRCRCZ,0.1071257077246993
KNS60,0.1067499708203588
NCIH1703,0.10597964431306402
GB1,0.10594896932164348
HUCCT1,0.10503205750592526
RD,0.1048826435776017
WM983B,0.10480682138014549
HCC15,0.10432984525928166
SNU475,0.10405013175468192
NCIH1581,0.10377442752062091
HCT116,0.10299580041019152
QGP1,0.10266818036755586
SW480,0.10245805386450575
KMRC1,0.10235781927146664
A549,0.10217802762385043
G361,0.10185175105089488
MOLP8,0.10131585478085398
PC3,0.10014021639694015
DETROIT562,0.09989504663350161
HCC44,0.09976801586401438
NCIH1563,0.0996171293713343
COLO679,0.09955742043834193
TE617T,0.09950385578024008
IGR39,0.0989176149956924
MIAPACA2,0.09854171315940127
SJSA1,0.09821837794646518
KP4,0.0981917478567505
OE21,0.09786542116879485
SUDHL6,0.09785026550820003
HS229T,0.09746095464412416
OVCAR8,0.09742856292707819
ISTMES2,0.09737115858259736
KPNSI9S,0.0966870857250884
NCIH460,0.09592141809578378
UMUC3,0.09586673406231294
NCIH1568,0.09557049134927949
NCIH2023,0.09412792001378574
CALU1,0.09408196828579825
HS695T,0.09399958429763221
KYSE70,0.09395868783969678
HS936T,0.09385016948435008
HS840T,0.0934531202530649
IPC298,0.0931203010889063
FADU,0.09307845046379795
SHP77,0.09307207775837675
769P,0.09292389857413699
CHP212,0.09273829225738615
K029AX,0.09244426852341305
SUDHL4,0.092390107979064
HMCB,0.09235299562432495
KELLY,0.09225617347434277
KMS34,0.09222109644495682
NCIH1693,0.09178192155916585
MHHES1,0.09171497768513566
NCIH28,0.09159218646643204
KMS26,0.09140992908413688
YKG1,0.09137025670076114
TOV112D,0.09130360549135938
KARPAS620,0.09126964051410279
MFE296,0.09121253795227241
SKNBE2,0.09114905642527699
KALS1,0.09096774941938676
NCIH322,0.09092872722832449
8305C,0.09082439667981455
