,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.995,...+,673,1,1.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.61,,,0.61,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.601,,,0.601,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.584,,,0.584,,+...,3,177,3.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.9690000000000001,...+,674,4,4.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.5720000000000001,,,0.572,,+...,4,178,4.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.546,,,0.546,,+...,5,179,5.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.965,...+,675,5,5.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.603,0.456,,0.53,,++..,7,180,7.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.946,...+,677,8,8.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.521,,,0.521,,+...,8,181,8.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.506,,,0.506,,+...,9,182,9.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.943,...+,678,9,9.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.5529999999999999,0.361,,0.457,0.9490000000000001,++.+,14,6,10.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.469,,,0.469,,+...,11,183,11.0
nsc-87877,gdsc_NSC-87877,Not Clinically Relevant,0.465,,,0.465,,+...,12,184,12.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.8859999999999999,...+,681,13,13.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.455,,,0.455,,+...,15,185,15.0
