,moa,GDSC,CTRP,CCLE,drug,score,evidence
gw-2580,Not Clinically Relevant,0.647,,,gdsc_GW-2580,0.647,+..
tl-2-105,Not Clinically Relevant,0.639,,,gdsc_TL-2-105,0.639,+..
gsk1070916,Not Clinically Relevant,0.633,,,gdsc_GSK1070916,0.633,+..
sb52334,Not Clinically Relevant,0.623,,,gdsc_SB52334,0.623,+..
gsk429286a,Not Clinically Relevant,0.5870000000000001,,,gdsc_GSK429286A,0.587,+..
linsitinib,IGF-1R inhibitor,0.642,0.441,,ctrp_linsitinib,0.542,++.
tubastatin a,Not Clinically Relevant,0.628,0.418,,ctrp_tubastatin A,0.523,++.
vx-702,Not Clinically Relevant,0.522,,,gdsc_VX-702,0.522,+..
bx-912,Not Clinically Relevant,0.519,,,gdsc_BX-912,0.519,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.505,,,gdsc_Rucaparib,0.505,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.7020000000000001,0.297,,ctrp_navitoclax,0.5,++.
amuvatinib,Not Clinically Relevant,0.493,,,gdsc_Amuvatinib,0.493,+..
xmd13-2,Not Clinically Relevant,0.47,,,gdsc_XMD13-2,0.47,+..
gsk319347a,Not Clinically Relevant,0.449,,,gdsc_GSK319347A,0.449,+..
abt-737,Bcl-2/Bcl-xL inhibitor,,0.429,,ctrp_ABT-737,0.429,.+.
sb-505124,Not Clinically Relevant,0.424,,,gdsc_SB-505124,0.424,+..
brd-k28456706,Not Clinically Relevant,,0.414,,ctrp_BRD-K28456706,0.414,.+.
staurosporine,Not Clinically Relevant,,0.41200000000000003,,ctrp_staurosporine,0.412,.+.
cil55,Not Clinically Relevant,,0.41100000000000003,,ctrp_CIL55,0.411,.+.
ml239,Not Clinically Relevant,,0.41,,ctrp_ML239,0.41,.+.
brd-k34485477,Not Clinically Relevant,,0.409,,ctrp_BRD-K34485477,0.409,.+.
avrainvillamide,Not Clinically Relevant,,0.40700000000000003,,ctrp_avrainvillamide,0.407,.+.
brd-k99006945,Not Clinically Relevant,,0.40399999999999997,,ctrp_BRD-K99006945,0.404,.+.
talazoparib,Not Clinically Relevant,0.40399999999999997,,,gdsc_Talazoparib,0.404,+..
brd-k88742110,Not Clinically Relevant,,0.402,,ctrp_BRD-K88742110,0.402,.+.
xl765,PI3K/mTOR inhibitor,,0.395,,ctrp_XL765,0.395,.+.
bms-195614,Not Clinically Relevant,,0.39399999999999996,,ctrp_BMS-195614,0.394,.+.
cct036477,Not Clinically Relevant,,0.39299999999999996,,ctrp_CCT036477,0.393,.+.
sotrastaurin,pan-PKC inhibitor,,0.392,,ctrp_sotrastaurin,0.392,.+.
unc1215,Not Clinically Relevant,0.39,,,gdsc_UNC1215,0.39,+..
brd-k51831558,Not Clinically Relevant,,0.385,,ctrp_BRD-K51831558,0.385,.+.
brd-k49290616,Not Clinically Relevant,,0.38299999999999995,,ctrp_BRD-K49290616,0.383,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.38299999999999995,,ctrp_chlorambucil,0.383,.+.
brd-k26531177,Not Clinically Relevant,,0.38299999999999995,,ctrp_BRD-K26531177,0.383,.+.
brd-a71883111,Not Clinically Relevant,,0.38299999999999995,,ctrp_BRD-A71883111,0.383,.+.
brd-k42260513,Not Clinically Relevant,,0.382,,ctrp_BRD-K42260513,0.382,.+.
compound 1541a,Not Clinically Relevant,,0.379,,ctrp_Compound 1541A,0.379,.+.
isoliquiritigenin,Not Clinically Relevant,,0.379,,ctrp_isoliquiritigenin,0.379,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.37799999999999995,,ctrp_indisulam,0.378,.+.
ml050,Not Clinically Relevant,,0.374,,ctrp_ML050,0.374,.+.
brd-k51490254,Not Clinically Relevant,,0.374,,ctrp_BRD-K51490254,0.374,.+.
compound 7d-cis,Not Clinically Relevant,,0.37200000000000005,,ctrp_Compound 7d-cis,0.372,.+.
tipifarnib-p1,Not Clinically Relevant,,0.371,,ctrp_tipifarnib-P1,0.371,.+.
prima-1-met,Not Clinically Relevant,,0.371,,ctrp_PRIMA-1-Met,0.371,.+.
cay10576,Not Clinically Relevant,,0.37,,ctrp_CAY10576,0.37,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.369,,ctrp_VX-680,0.369,.+.
skepinone-l,Not Clinically Relevant,,0.368,,ctrp_skepinone-L,0.368,.+.
bms-270394,Not Clinically Relevant,,0.36700000000000005,,ctrp_BMS-270394,0.367,.+.
compound 1b,Not Clinically Relevant,,0.36700000000000005,,ctrp_compound 1B,0.367,.+.
