drug,score,moa
gdsc_Alectinib,0.742,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Navitoclax,0.723,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Linsitinib,0.668,IGF-1R inhibitor
gdsc_TL-2-105,0.668,Not Clinically Relevant
gdsc_SB52334,0.658,Not Clinically Relevant
gdsc_GSK1070916,0.645,Not Clinically Relevant
gdsc_GSK429286A,0.632,Not Clinically Relevant
gdsc_Tubastatin A,0.625,Not Clinically Relevant
gdsc_QL-XII-61,0.619,Not Clinically Relevant
gdsc_QL-XI-92,0.578,Not Clinically Relevant
gdsc_VX-702,0.566,Not Clinically Relevant
gdsc_BX-912,0.558,Not Clinically Relevant
gdsc_GW-2580,0.556,Not Clinically Relevant
gdsc_Rucaparib,0.521,"PARP inhibitor, inhibits DNA repair"
gdsc_XMD14-99,0.508,Not Clinically Relevant
gdsc_Amuvatinib,0.502,Not Clinically Relevant
gdsc_Axitinib,0.501,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_HG-5-88-01,0.499,Not Clinically Relevant
ctrp_linsitinib,0.497,IGF-1R inhibitor
gdsc_XMD13-2,0.490,Not Clinically Relevant
ctrp_avrainvillamide,0.480,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.463,Not Clinically Relevant
ctrp_skepinone-L,0.460,Not Clinically Relevant
ctrp_BRD-K26531177,0.460,Not Clinically Relevant
ctrp_indisulam,0.458,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_barasertib,0.458,highly selective Aurora B kinase inhibitor
ctrp_ABT-737,0.457,Bcl-2/Bcl-xL inhibitor
ctrp_tubastatin A,0.452,Not Clinically Relevant
gdsc_GSK319347A,0.451,Not Clinically Relevant
ctrp_tretinoin,0.450,Retinoid
ctrp_CCT036477,0.448,Not Clinically Relevant
ctrp_serdemetan,0.448,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_BRD-K34485477,0.446,Not Clinically Relevant
ctrp_olaparib,0.441,PARP Inhibitor
ctrp_BRD-K28456706,0.434,Not Clinically Relevant
ctrp_BRD-K99006945,0.432,Not Clinically Relevant
gdsc_SB-505124,0.432,Not Clinically Relevant
ctrp_chlorambucil,0.431,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_ML239,0.428,Not Clinically Relevant
ctrp_belinostat,0.426,HDAC inhibitor (PXD101)
gdsc_Olaparib,0.426,PARP Inhibitor
ctrp_staurosporine,0.425,Not Clinically Relevant
