,RCMB40
NCIH524,0.31100594020332023
DMS273,0.2957311887639747
NCIH446,0.27194474345890857
D283MED,0.2634588564816003
NCIH1184,0.24720147668477438
NCIH1155,0.24690806570203894
HCC33,0.242442811438425
IMR32,0.2315388304638557
NCIH1341,0.22088318526320955
NCIH810,0.18192672912530766
DMS114,0.18101727830006284
DU145,0.17824099477302763
NH6,0.17527645887301552
KPNSI9S,0.1740582528777857
COLO668,0.17218719363958093
KELLY,0.1690835876279104
5637,0.1598343679034339
SKNBE2,0.15785317412621608
SKNDZ,0.1566540235867108
CADOES1,0.155594760673392
MHHNB11,0.15498981796521433
FTC133,0.15423705769267704
CORL95,0.15276565492244876
ECC12,0.14907833175323718
LK2,0.148231618293606
KNS62,0.1455481474965083
HCC1954,0.14441640675002548
NCIH2029,0.1429155261898836
SIMA,0.141538908740411
NCIH661,0.140524551832391
DMS454,0.14015171117268166
DMS53,0.13858393521675616
HCC1833,0.13732481222795945
NCIH522,0.13607076178703642
NCIH2196,0.13604400414993217
QGP1,0.1347042721714751
SKNSH,0.1325656158710593
SNU878,0.1322652764203276
HARA,0.13139818612892365
TE441T,0.1303454391713636
DAOY,0.12964312786751844
UBLC1,0.12918905207208223
SNU398,0.12894643554704213
JL1,0.1272459947792866
KYSE450,0.12665470221593142
SW1463,0.12661629586325862
BEN,0.12635689196754077
KMS11,0.12471698394664686
NCIH1299,0.1244826271436874
SKNFI,0.12336680975423006
COV434,0.12286293080638162
TE10,0.12265962935589853
VCAP,0.12166000274748254
CAL27,0.1208182386282697
ISTMES1,0.12068146037111861
FUOV1,0.12059542220196551
HUH28,0.11989734217427743
ESS1,0.11705705903604034
MSTO211H,0.11696215797039944
HCC95,0.11669618701425569
SUIT2,0.1165450236239299
BICR18,0.11641398337888152
A204,0.11601235222964723
NCIH211,0.11563278246949076
SKNMC,0.1153089415329998
SW1573,0.11519730159882234
TE8,0.11468690608716182
ECC10,0.11348581966398905
TOV112D,0.11293471151965137
SKES1,0.11282982520652396
SBC5,0.11279279077534468
A2780,0.11210276584766005
JIMT1,0.1118567352532544
HCC1171,0.11119878545323224
22RV1,0.11109260484257534
U2OS,0.10989316635334392
TT2609C02,0.10905368300121343
NCIH841,0.10904398826740479
HCC1395,0.10793423291083092
JMSU1,0.10744140799573315
CAOV3,0.10741962148617938
KYSE180,0.1065673294714744
G292CLONEA141B1,0.10617667791918803
TCCPAN2,0.10605742763822568
TE617T,0.10468916229144279
RH18,0.10441978704187779
NCIH2052,0.1041600543284674
TE14,0.10410011296449793
NCIH196,0.10390280647550279
MELJUSO,0.1033800698616324
CHP212,0.10307311870630266
T3M10,0.10266908034142433
NCIH1755,0.10254396833349612
HGC27,0.10253438582242909
CALU6,0.10162882770019267
TE4,0.101590943502022
KMRC2,0.1014035874742761
SNU503,0.10083237906491645
TE6,0.10070687819987394
NCIH1581,0.10026476896189387
MDAMB361,0.09995218555042655
ES2,0.0998573935783105
RH41,0.09956110246843375
NCIH2286,0.09937780840051444
KPNYN,0.09924901501120993
YH13,0.09899565286830814
BICR16,0.09856759802176258
MDST8,0.09808947347209991
NCIH727,0.09806506003569283
WM793,0.09777621729818832
OAW42,0.09747383209107705
OVCAR8,0.09732276294141182
SNU475,0.09710154431758859
IGR37,0.0964790506977464
HCC1569,0.09588926365336559
BT549,0.09556935673844098
SW579,0.09547332512820149
SKMEL3,0.09545478832363286
COV362,0.09532017592215329
MKN45,0.09528840741597036
WM88,0.09479418071140834
SW1353,0.09445351862912654
YD38,0.0941720442144204
LU99,0.09373137925872228
RH30,0.09367709941342403
SW1088,0.09295828994280035
DBTRG05MG,0.09179786995804358
OVK18,0.09163784678282774
JHOS2,0.09115453720137849
NCIH23,0.09104306876223568
TUHR4TKB,0.09094556387452522
VMCUB1,0.09079842485695297
KLE,0.09078871758476097
OV7,0.09048428205215936
SF268,0.09035550156243892
OE21,0.09029889045738573
NCIH2444,0.08990075697089389
HMCB,0.08974982037664887
MIAPACA2,0.08927376072982934
TUHR14TKB,0.0885926499825179
NCIH1666,0.08859092604167076
G361,0.08842477752242547
T98G,0.08822758649356248
GSS,0.0882040985293992
NCIH2170,0.08762220183589693
YD15,0.08759016109296429
PECAPJ34CLONEC12,0.08714622048486431
MDAMB157,0.08691045996332335
KP4,0.08650328669603381
UMUC3,0.0861601787879535
HS688AT,0.08605557570800619
HCC15,0.08586184998538096
EPLC272H,0.08570029527281747
SNU182,0.08515761271541619
NCIH1792,0.08493189272276783
JHOM1,0.08432406642650381
253J,0.08427444253014259
KYSE70,0.08426203911050456
OVCAR4,0.08408838512805904
FTC238,0.08405708862230099
KURAMOCHI,0.08397192908365154
SKMEL5,0.08374631316546201
HS936T,0.0833113442399059
WM2664,0.08327326145776905
SNU1077,0.08273921607689992
KG1C,0.08250979115119536
HDMYZ,0.08241899272263682
ACHN,0.08209532929696205
NCIH1651,0.0819224241074352
SNU119,0.08175714997792041
A673,0.08156846994360469
SNU738,0.08135925201706304
COLO792,0.08111142862936582
NCIH747,0.08104937316673105
VMRCRCW,0.08044162238108397
SAOS2,0.08017256890263805
JHUEM3,0.08015326647294253
A498,0.07952755783027564
HCT116,0.07940638296334099
ML1,0.07938203038805397
RKN,0.0786789006868163
HCT15,0.07845435684754248
KMH2,0.07807583710078017
CCFSTTG1,0.07787461377287613
RD,0.07786777021264382
8305C,0.0775407273215526
MELHO,0.07752236277848405
HCC1438,0.0772136446061075
RCC10RGB,0.07718971603594328
OVSAHO,0.07701879126911097
SKOV3,0.07661433153557723
SNU685,0.07620062171083386
SNU466,0.07613930049321295
SH10TC,0.07601231206590181
ISHIKAWAHERAKLIO02ER,0.0757055203855531
