,moa,GDSC,CTRP,CCLE,drug,score,evidence
tl-2-105,Not Clinically Relevant,0.6459999999999999,,,gdsc_TL-2-105,0.646,+..
sb52334,Not Clinically Relevant,0.622,,,gdsc_SB52334,0.622,+..
gsk1070916,Not Clinically Relevant,0.606,,,gdsc_GSK1070916,0.606,+..
ql-xii-61,Not Clinically Relevant,0.594,,,gdsc_QL-XII-61,0.594,+..
linsitinib,IGF-1R inhibitor,0.65,0.45299999999999996,,ctrp_linsitinib,0.552,++.
gw-2580,Not Clinically Relevant,0.552,,,gdsc_GW-2580,0.552,+..
gsk429286a,Not Clinically Relevant,0.5479999999999999,,,gdsc_GSK429286A,0.548,+..
tubastatin a,Not Clinically Relevant,0.613,0.46,,ctrp_tubastatin A,0.536,++.
bx-912,Not Clinically Relevant,0.535,,,gdsc_BX-912,0.535,+..
vx-702,Not Clinically Relevant,0.531,,,gdsc_VX-702,0.531,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.519,,,gdsc_Rucaparib,0.519,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.693,0.326,,ctrp_navitoclax,0.509,++.
xmd14-99,Not Clinically Relevant,0.48100000000000004,,,gdsc_XMD14-99,0.481,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.536,0.405,,ctrp_axitinib,0.471,++.
hg-5-88-01,Not Clinically Relevant,0.466,,,gdsc_HG-5-88-01,0.466,+..
amuvatinib,Not Clinically Relevant,0.455,,,gdsc_Amuvatinib,0.455,+..
xmd13-2,Not Clinically Relevant,0.45,,,gdsc_XMD13-2,0.45,+..
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.43700000000000006,,ctrp_indisulam,0.437,.+.
nsc-87877,Not Clinically Relevant,0.434,,,gdsc_NSC-87877,0.434,+..
cil55,Not Clinically Relevant,,0.43200000000000005,,ctrp_CIL55,0.432,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.43,,ctrp_16-beta-bromoandrosterone,0.43,.+.
staurosporine,Not Clinically Relevant,,0.426,,ctrp_staurosporine,0.426,.+.
bms-195614,Not Clinically Relevant,,0.423,,ctrp_BMS-195614,0.423,.+.
brd-k26531177,Not Clinically Relevant,,0.42100000000000004,,ctrp_BRD-K26531177,0.421,.+.
brd-k99006945,Not Clinically Relevant,,0.42100000000000004,,ctrp_BRD-K99006945,0.421,.+.
olaparib,PARP Inhibitor,0.413,0.42200000000000004,,gdsc_Olaparib,0.418,++.
ispinesib mesylate,Not Clinically Relevant,0.41700000000000004,,,gdsc_Ispinesib Mesylate,0.417,+..
ml203,Not Clinically Relevant,,0.41700000000000004,,ctrp_ML203,0.417,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.415,,ctrp_ABT-737,0.415,.+.
brd-k51490254,Not Clinically Relevant,,0.414,,ctrp_BRD-K51490254,0.414,.+.
gsk319347a,Not Clinically Relevant,0.41200000000000003,,,gdsc_GSK319347A,0.412,+..
brd-k28456706,Not Clinically Relevant,,0.41200000000000003,,ctrp_BRD-K28456706,0.412,.+.
ml239,Not Clinically Relevant,,0.41200000000000003,,ctrp_ML239,0.412,.+.
