drug,score,moa
gdsc_Navitoclax,0.647,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Linsitinib,0.624,IGF-1R inhibitor
gdsc_TL-2-105,0.608,Not Clinically Relevant
gdsc_Tubastatin A,0.585,Not Clinically Relevant
gdsc_SB52334,0.584,Not Clinically Relevant
gdsc_GSK1070916,0.565,Not Clinically Relevant
gdsc_GSK429286A,0.539,Not Clinically Relevant
gdsc_QL-XII-61,0.531,Not Clinically Relevant
gdsc_VX-702,0.527,Not Clinically Relevant
gdsc_GW-2580,0.507,Not Clinically Relevant
gdsc_BX-912,0.498,Not Clinically Relevant
gdsc_Rucaparib,0.496,"PARP inhibitor, inhibits DNA repair"
ctrp_linsitinib,0.449,IGF-1R inhibitor
ctrp_staurosporine,0.445,Not Clinically Relevant
ctrp_BRD-K99006945,0.444,Not Clinically Relevant
ctrp_tubastatin A,0.442,Not Clinically Relevant
ctrp_BRD-K34485477,0.435,Not Clinically Relevant
gdsc_GSK319347A,0.432,Not Clinically Relevant
ctrp_dabrafenib,0.431,Braf (V600E) inhibitor
ctrp_CCT036477,0.430,Not Clinically Relevant
gdsc_Amuvatinib,0.427,Not Clinically Relevant
ctrp_CIL55,0.427,Not Clinically Relevant
gdsc_NSC-87877,0.422,Not Clinically Relevant
ctrp_isoliquiritigenin,0.418,Not Clinically Relevant
gdsc_XMD13-2,0.416,Not Clinically Relevant
ctrp_XL765,0.414,PI3K/mTOR inhibitor
ctrp_avrainvillamide,0.413,Not Clinically Relevant
ctrp_ABT-737,0.413,Bcl-2/Bcl-xL inhibitor
ctrp_ML050,0.406,Not Clinically Relevant
ctrp_ML239,0.406,Not Clinically Relevant
ctrp_serdemetan,0.403,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_BRD-K88742110,0.401,Not Clinically Relevant
ctrp_BRD-K26531177,0.398,Not Clinically Relevant
ctrp_skepinone-L,0.395,Not Clinically Relevant
ctrp_IU1,0.394,Not Clinically Relevant
gdsc_Selisistat,0.393,SIRT1 inhibitor
ctrp_BRD-K51490254,0.393,Not Clinically Relevant
ctrp_BRD-K49290616,0.392,Not Clinically Relevant
ctrp_indisulam,0.391,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_JW-55,0.390,Not Clinically Relevant
gdsc_Olaparib,0.389,PARP Inhibitor
ctrp_BRD-K29313308,0.386,Not Clinically Relevant
ctrp_chlorambucil,0.386,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_PF-4800567 hydrochloride,0.384,Not Clinically Relevant
ctrp_tretinoin,0.384,Retinoid
ctrp_BMS-195614,0.381,Not Clinically Relevant
ctrp_olaparib,0.381,PARP Inhibitor
ctrp_CAY10576,0.381,Not Clinically Relevant
ctrp_PLX-4720,0.379,Not Clinically Relevant
ctrp_16-beta-bromoandrosterone,0.379,Not Clinically Relevant
ctrp_BRD-K28456706,0.378,Not Clinically Relevant
gdsc_HG-5-88-01,0.377,Not Clinically Relevant
ctrp_BRD-K11533227,0.376,Not Clinically Relevant
ctrp_compound 1B,0.375,Not Clinically Relevant
ctrp_tipifarnib-P1,0.374,Not Clinically Relevant
ctrp_NSC30930,0.374,Not Clinically Relevant
gdsc_SB-505124,0.374,Not Clinically Relevant
ctrp_BRD-K29086754,0.373,Not Clinically Relevant
ctrp_ML203,0.372,Not Clinically Relevant
ctrp_barasertib,0.372,highly selective Aurora B kinase inhibitor
ctrp_PRIMA-1-Met,0.371,Not Clinically Relevant
ctrp_SR1001,0.369,Not Clinically Relevant
ctrp_epigallocatechin-3-monogallate,0.367,Not Clinically Relevant
ctrp_Compound 7d-cis,0.367,Not Clinically Relevant
ctrp_BMS-270394,0.365,Not Clinically Relevant
ctrp_foretinib,0.364,c-Met/VEGFR2 inhibitor
gdsc_Talazoparib,0.364,Not Clinically Relevant
ctrp_SZ4TA2,0.362,Not Clinically Relevant
ctrp_RG-108,0.361,Not Clinically Relevant
ctrp_itraconazole,0.361,"Anti-fungal, hedgehog antagonist"
ctrp_BRD-K13999467,0.361,Not Clinically Relevant
ctrp_Repligen 136,0.360,Not Clinically Relevant
ctrp_fingolimod,0.359,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis"
ctrp_PLX-4032,0.359,BRAF (V600E) inhibitor
ctrp_axitinib,0.359,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_BRD-K92856060,0.358,Not Clinically Relevant
ctrp_tacrolimus,0.357,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_BRD1835,0.357,Not Clinically Relevant
ctrp_BRD-K24690302,0.356,Not Clinically Relevant
ctrp_BRD-M00053801,0.355,Not Clinically Relevant
ctrp_belinostat,0.353,HDAC inhibitor (PXD101)
ctrp_CIL41,0.351,Not Clinically Relevant
ctrp_Compound 1541A,0.350,Not Clinically Relevant
ctrp_BRD-A71883111,0.350,Not Clinically Relevant
ctrp_lenvatinib,0.350,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)"
ctrp_BRD-K84807411,0.350,Not Clinically Relevant
ctrp_Mdivi-1,0.348,Not Clinically Relevant
ctrp_BRD6340,0.347,Not Clinically Relevant
ctrp_TG-100-115,0.346,PI3Kγ/δ inhibitor
ctrp_elocalcitol,0.346,vitamin D receptor agonist
ctrp_ML162,0.345,Not Clinically Relevant
ctrp_NSC23766,0.345,Not Clinically Relevant
gdsc_KIN001-270,0.343,Not Clinically Relevant
ctrp_JW-74,0.343,Not Clinically Relevant
ctrp_BRD-K42260513,0.342,Not Clinically Relevant
gdsc_UNC1215,0.341,Not Clinically Relevant
ctrp_darinaparsin,0.341,organic arsenic compound composed of dimethylated arsenic linked to glutathione
ctrp_NSC 74859,0.339,Not Clinically Relevant
ctrp_AC55649,0.339,Not Clinically Relevant
ctrp_NSC95397,0.338,Not Clinically Relevant
ctrp_nilotinib,0.337,"inhibits the kinases BCR-ABL,[26] KIT, LCK, EPHA3, EPHA8, DDR1, DDR2, PDGFRB, MAPK11 and ZAK"
ctrp_bexarotene,0.336,"retinoid that selectively activates retinoid X receptors (RXRs), induces cell differentiation and apoptosis "
ctrp_BRD8899,0.335,Not Clinically Relevant
ctrp_PX-12,0.334,thioredoxin-1 (Trx-1) inhibitor
ctrp_SKI-II,0.334,Not Clinically Relevant
ctrp_UNC0638,0.334,Not Clinically Relevant
ctrp_ABT-199,0.333,Bcl2 inhibitor
ctrp_LY-2183240,0.333,Not Clinically Relevant
ctrp_sitagliptin,0.332,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
ctrp_sildenafil,0.332,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
ctrp_alisertib,0.331,Aurora A kinase inhibitor
ctrp_PF-184,0.331,Not Clinically Relevant
ctrp_BIBR-1532,0.330,Not Clinically Relevant
ctrp_bendamustine,0.329,alkylating agent
ctrp_AT-406,0.327,Not Clinically Relevant
ctrp_PDMP,0.326,Not Clinically Relevant
ctrp_BRD-K44224150,0.326,Not Clinically Relevant
ctrp_ELCPK,0.325,Not Clinically Relevant
ctrp_BRD-K51831558,0.324,Not Clinically Relevant
ctrp_pifithrin-mu,0.323,Not Clinically Relevant
ctrp_ML083,0.323,Not Clinically Relevant
gdsc_NPK76-II-72-1,0.322,Not Clinically Relevant
ctrp_etoposide,0.322,Topo II inhibitor
ctrp_BIX-01294,0.322,Not Clinically Relevant
gdsc_Cisplatin,0.321,Not Clinically Relevant
ctrp_KW-2449,0.320,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;"
ctrp_968,0.319,Not Clinically Relevant
ctrp_ML006,0.319,Not Clinically Relevant
ctrp_tamoxifen,0.319,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
gdsc_Daporinad,0.318,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells"
ctrp_cytarabine hydrochloride,0.318,Not Clinically Relevant
ctrp_MST-312,0.318,Not Clinically Relevant
ctrp_BRD-K37390332,0.317,Not Clinically Relevant
ctrp_ML031,0.317,Not Clinically Relevant
ctrp_BMS-754807,0.317,Not Clinically Relevant
ctrp_NVP-ADW742,0.317,Not Clinically Relevant
ctrp_tacedinaline,0.316,Not Clinically Relevant
ctrp_NSC19630,0.315,Not Clinically Relevant
ctrp_GMX-1778,0.315,Not Clinically Relevant
ctrp_SN-38,0.315,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
ctrp_topotecan,0.315,Topo I inhibitor
ctrp_BRD-K78574327,0.314,Not Clinically Relevant
ccle_LBW242,0.314,Not Clinically Relevant
ctrp_Ki8751,0.314,Not Clinically Relevant
ctrp_ceranib-2,0.314,Not Clinically Relevant
ctrp_NSC48300,0.312,Not Clinically Relevant
ctrp_BRD-K80183349,0.310,Not Clinically Relevant
ctrp_AZD4547,0.310,"FGFR-1,2 and 3 inhibitor"
ctrp_MGCD-265,0.309,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2"
ctrp_cucurbitacin I,0.308,Not Clinically Relevant
ctrp_tandutinib,0.307,"FLT3 antagonist, also inhibits PDGFR and c-Kit, "
