,DMB006
gdsc_Navitoclax,0.6473159866160411
gdsc_Linsitinib,0.6236468968737914
gdsc_TL-2-105,0.6082401305185394
gdsc_Tubastatin A,0.5849723292437519
gdsc_SB52334,0.5843625824652598
gdsc_GSK1070916,0.5653506270426718
gdsc_GSK429286A,0.5387276527829437
gdsc_QL-XII-61,0.531058620188052
gdsc_VX-702,0.526880326216369
gdsc_GW-2580,0.5066262846066922
gdsc_BX-912,0.49755145256173566
gdsc_Rucaparib,0.4958376372694677
ctrp_linsitinib,0.4490364943985327
ctrp_staurosporine,0.4451177963628259
ctrp_BRD-K99006945,0.4441543250465437
ctrp_tubastatin A,0.44249884124200867
ctrp_BRD-K34485477,0.4345201542662391
gdsc_GSK319347A,0.4323451200637693
ctrp_dabrafenib,0.4313775342720109
ctrp_CCT036477,0.4301506394930158
gdsc_Amuvatinib,0.4273983832821476
ctrp_CIL55,0.42705944434527915
gdsc_NSC-87877,0.4224652316714741
ctrp_isoliquiritigenin,0.41806160136412307
gdsc_XMD13-2,0.41603726374492495
ctrp_XL765,0.41401352007184655
ctrp_avrainvillamide,0.4134842145219465
ctrp_ABT-737,0.41297101068716885
ctrp_ML050,0.406182805260214
ctrp_ML239,0.4061287620595016
ctrp_serdemetan,0.4029666172669746
ctrp_BRD-K88742110,0.4011138405951437
ctrp_BRD-K26531177,0.3980232903936545
ctrp_skepinone-L,0.39484476308466493
ctrp_IU1,0.3936711547901296
gdsc_Selisistat,0.39333461064357955
ctrp_BRD-K51490254,0.3930987304008777
ctrp_BRD-K49290616,0.39193196101306343
ctrp_indisulam,0.39099402109032555
ctrp_JW-55,0.3896870899716774
gdsc_Olaparib,0.3890577318827268
ctrp_BRD-K29313308,0.3864124260265219
ctrp_chlorambucil,0.38595559889501413
ctrp_PF-4800567 hydrochloride,0.38383769746190943
ctrp_tretinoin,0.38356910913997105
ctrp_BMS-195614,0.3813075180623007
ctrp_olaparib,0.38111414769752444
ctrp_CAY10576,0.3808515032765349
ctrp_PLX-4720,0.37924085055406176
ctrp_16-beta-bromoandrosterone,0.37875883757199635
ctrp_BRD-K28456706,0.3776777935579056
gdsc_HG-5-88-01,0.37660556998049427
ctrp_BRD-K11533227,0.3758359952266455
ctrp_compound 1B,0.3747010225539968
ctrp_tipifarnib-P1,0.37399409632037955
ctrp_NSC30930,0.37396713856919284
gdsc_SB-505124,0.37383300405643277
ctrp_BRD-K29086754,0.3725447453470104
ctrp_ML203,0.3724668252247768
ctrp_barasertib,0.37235391635755655
ctrp_PRIMA-1-Met,0.371497445928724
ctrp_SR1001,0.36919528335068613
ctrp_epigallocatechin-3-monogallate,0.367369773946096
ctrp_Compound 7d-cis,0.36681771225936527
ctrp_BMS-270394,0.36491579466779045
ctrp_foretinib,0.364474053713274
gdsc_Talazoparib,0.36446816455149517
ctrp_SZ4TA2,0.3623391620222079
ctrp_RG-108,0.3613596935674528
