drug,score,moa
gdsc_Navitoclax,0.649,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Linsitinib,0.625,IGF-1R inhibitor
gdsc_Rucaparib,0.508,"PARP inhibitor, inhibits DNA repair"
ctrp_linsitinib,0.419,IGF-1R inhibitor
gdsc_Olaparib,0.419,PARP Inhibitor
ctrp_dabrafenib,0.417,Braf (V600E) inhibitor
ctrp_O-6-benzylguanine,0.395,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair"
ctrp_olaparib,0.382,PARP Inhibitor
gdsc_Selisistat,0.379,SIRT1 inhibitor
ctrp_axitinib,0.378,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_XL765,0.377,PI3K/mTOR inhibitor
ctrp_lenvatinib,0.362,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)"
ctrp_serdemetan,0.362,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_ABT-737,0.360,Bcl-2/Bcl-xL inhibitor
ctrp_nilotinib,0.357,"inhibits the kinases BCR-ABL,[26] KIT, LCK, EPHA3, EPHA8, DDR1, DDR2, PDGFRB, MAPK11 and ZAK"
ctrp_tretinoin,0.357,Retinoid
ctrp_chlorambucil,0.352,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_foretinib,0.341,c-Met/VEGFR2 inhibitor
ctrp_indisulam,0.341,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_bendamustine,0.339,alkylating agent
ctrp_fingolimod,0.337,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis"
ctrp_tacrolimus,0.334,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_AZD4547,0.334,"FGFR-1,2 and 3 inhibitor"
ctrp_cediranib,0.333,VEGFR inhibitor
ctrp_ABT-199,0.333,Bcl2 inhibitor
ctrp_barasertib,0.332,highly selective Aurora B kinase inhibitor
ctrp_darinaparsin,0.330,organic arsenic compound composed of dimethylated arsenic linked to glutathione
ctrp_sitagliptin,0.327,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
ctrp_sildenafil,0.326,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
ctrp_bexarotene,0.325,"retinoid that selectively activates retinoid X receptors (RXRs), induces cell differentiation and apoptosis "
ctrp_TG-100-115,0.325,PI3Kγ/δ inhibitor
ctrp_PLX-4032,0.323,BRAF (V600E) inhibitor
ctrp_alisertib,0.321,Aurora A kinase inhibitor
ctrp_elocalcitol,0.317,vitamin D receptor agonist
ctrp_KW-2449,0.316,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;"
ctrp_MGCD-265,0.315,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2"
gdsc_SN-38,0.313,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
ctrp_tamoxifen,0.313,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
gdsc_Daporinad,0.312,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells"
ctrp_cabozantinib,0.308,"MET, AXL, VEGFR and RET inhibitor"
ctrp_pazopanib,0.307,"KIT, FGFR, PDGFR and VEGFR inhibitor"
ctrp_SGX-523,0.303, Met inhibitor
ctrp_brivanib,0.300,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR"
ctrp_nintedanib,0.299,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR"
ctrp_etoposide,0.299,Topo II inhibitor
ctrp_AZD1480,0.295,JAK2 inhibitor with some activity against JAK3 and Tyk2
ctrp_tivozanib,0.293,VEGFR inhibitor
ctrp_tandutinib,0.292,"FLT3 antagonist, also inhibits PDGFR and c-Kit, "
ctrp_omacetaxine mepesuccinate,0.292,"natural product, protein translation inhibitor, used for myeloid leukemia"
ctrp_SN-38,0.290,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
ctrp_VX-680,0.290,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
ctrp_itraconazole,0.289,"Anti-fungal, hedgehog antagonist"
ctrp_teniposide,0.288,Topo II inhibitor
ctrp_sunitinib,0.287,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
ctrp_AZD6482,0.286,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ "
ctrp_vorapaxar,0.285," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine"
