,BT084
gdsc_Navitoclax,0.6488668765118597
gdsc_Motesanib,0.6256337370107303
gdsc_Linsitinib,0.62533743238207
gdsc_TL-2-105,0.591699096067458
gdsc_SB52334,0.5913674979097011
gdsc_GSK1070916,0.5774391025415333
gdsc_QL-XII-61,0.5546391172988925
gdsc_Tubastatin A,0.554217540725086
gdsc_GW-2580,0.5540000231815062
gdsc_GSK429286A,0.5303681530131256
gdsc_VX-702,0.519850103310242
gdsc_Rucaparib,0.5080308347148093
gdsc_BX-912,0.5053524050383235
ctrp_CIL55,0.46499054628250536
gdsc_GSK319347A,0.4525059776840616
ctrp_BRD-K99006945,0.4454955821303479
ctrp_staurosporine,0.4331585362491136
ctrp_tubastatin A,0.43265183294536835
gdsc_NSC-87877,0.42554186789905113
ctrp_BRD-K34485477,0.4254897598939996
gdsc_Amuvatinib,0.4249232145382656
ctrp_linsitinib,0.41890631736832057
gdsc_Olaparib,0.4186644158621729
ctrp_dabrafenib,0.41653162914150166
gdsc_XMD13-2,0.4135763485424917
gdsc_HG-5-88-01,0.4029104303000524
ctrp_skepinone-L,0.3974992864983988
ctrp_O-6-benzylguanine,0.3952625268868623
gdsc_SB-505124,0.39134478017659324
gdsc_Talazoparib,0.38406958787200807
ctrp_olaparib,0.3823264956660778
ctrp_PRIMA-1-Met,0.3804166675344893
gdsc_Selisistat,0.3792263969467059
ctrp_axitinib,0.3778302568684289
ctrp_XL765,0.3769761953486441
ctrp_CCT036477,0.376495418006508
ctrp_BMS-195614,0.3746784392878571
ctrp_ML203,0.3724685244092198
ctrp_compound 1B,0.371109588865421
ctrp_Compound 1541A,0.3699837485099231
ctrp_BRD-K88742110,0.36944386607307
gdsc_UNC1215,0.369180309463896
ctrp_BRD-K51490254,0.36829983095353747
ctrp_ML050,0.3654489887169633
ctrp_lenvatinib,0.3619481025427323
ctrp_serdemetan,0.3616116724342781
ctrp_16-beta-bromoandrosterone,0.3605533113506818
ctrp_ABT-737,0.3601418549377995
ctrp_BRD-M00053801,0.35846183342965554
ctrp_ML239,0.35819328941387596
ctrp_BRD-K49290616,0.3572488815517586
ctrp_nilotinib,0.356832977866129
ctrp_tretinoin,0.35650456802973396
ctrp_avrainvillamide,0.3548551987761315
ctrp_RG-108,0.354347577801466
ctrp_isoliquiritigenin,0.3539604269604053
ctrp_chlorambucil,0.35230772592941434
gdsc_Cisplatin,0.35209398750739956
ctrp_PF-4800567 hydrochloride,0.35151228783727667
ctrp_BRD-K28456706,0.3512765353329753
ctrp_BRD-K26531177,0.3484158233811293
ctrp_IU1,0.3473857764402125
ctrp_Compound 7d-cis,0.34527441894689376
ctrp_epigallocatechin-3-monogallate,0.34359869144368754
ctrp_NSC30930,0.34352969588490495
ctrp_BRD-K11533227,0.3428345940573925
ctrp_ELCPK,0.34173929602354153
ctrp_foretinib,0.3408206414061305
ctrp_indisulam,0.3406798067649153
ctrp_CAY10576,0.34043279912309665
ctrp_BMS-270394,0.3392229265455709
ctrp_tipifarnib-P1,0.3390972908345225
ctrp_bendamustine,0.3387218024846506
ctrp_BRD-A71883111,0.33840235275032243
ctrp_BRD-K29086754,0.3383911028407155
ctrp_NSC23766,0.33832560958597613
ctrp_BRD-K84807411,0.338287422780741
ctrp_fingolimod,0.3373494675347999
ctrp_BRD-K42260513,0.3369189524968056
ctrp_BRD-K13999467,0.3363887506266406
gdsc_NPK76-II-72-1,0.3343882015148798
ctrp_tacrolimus,0.33398107986867065
ctrp_AZD4547,0.3337916020668123
ctrp_cediranib,0.3333573781136758
ctrp_ABT-199,0.33286238377004945
ctrp_barasertib,0.331556655101576
ctrp_PDMP,0.3306863621971328
ctrp_darinaparsin,0.32985993598443736
ctrp_sitagliptin,0.32686321110685734
ctrp_sildenafil,0.32613379894144734
ctrp_BRD-K24690302,0.3258166326204419
gdsc_GSK269962A,0.3254520775960369
ctrp_bexarotene,0.325137524690952
ctrp_BRD1835,0.3249225859607056
ctrp_TG-100-115,0.3248063960578373
ctrp_NVP-ADW742,0.3244283620263559
ctrp_SZ4TA2,0.3235234554262748
ctrp_SKI-II,0.32325806051754424
ctrp_PLX-4032,0.32310758808174656
ctrp_ML162,0.3222519412998195
