Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
brd-k71781559		0.08566149226533189	0.001074107142857143	0.7218000000000001	0.5602319338968801
gsk-j4		0.03870256650406103	0.005185565476190476	0.9962971684053651	0.452347369600356
lbw242		0.03638583939446264	0.005199255952380953	0.9962971684053651	0.4522737008733652
ic-87114		0.13204297903183812	0.009170833333333333	0.9952724962630792	0.4227347576447258
brd-k94991378		0.032409900124442205	0.01046577380952381	0.9952724962630792	0.41977979642861224
ipa-3		0.14725479637637975	0.014440476190476191	0.992947676161919	0.41245464582165703
way-362450		0.08509480061982382	0.02212425595238095	0.9866855855855855	0.3826305039263499
azacitidine		0.035951219090122305	0.02957172619047619	0.9806434586466165	0.3576633491286065
trifluoperazine		0.04534197650858345	0.03325446428571428	0.9783932228915662	0.34740444930137687
sid 26681509		0.0254980387968984	0.03521830357142857	0.977878431372549	0.3414771008160717
stemregenin 1			0.038032142857142855	0.9764992447129909	0.3343383180207252
gsk690693			0.03979761904761905	0.9761816944024206	0.3310380888667216
gw-2580			0.04097202380952381	0.9761816944024206	0.32851306086008086
brd-k29313308			0.043477827380952384	0.975391502276176	0.3227062854442579
birinapant			0.04368065476190476	0.975391502276176	0.32233667065380783
nsc-207895			0.04492157738095238	0.975391502276176	0.31906413129150885
erismodegib			0.04531458333333333	0.975391502276176	0.3181137564115087
navitoclax			0.046339285714285715	0.975391502276176	0.3156089321592596
ver-155008			0.0477983630952381	0.975391502276176	0.3123143506107548
vx-680			0.05104464285714286	0.975391502276176	0.3060670984364351
sb52334			0.051542559523809525	0.975391502276176	0.30516816361035787
ci-976			0.055120833333333334	0.9753592933947773	0.29835727184282645
dbeq			0.05688214285714286	0.9750389230769231	0.29526321525334603
piperlongumine			0.060585714285714284	0.9727064714946071	0.2910379858241535
daporinad			0.06333214285714285	0.9713594135802469	0.28846546205840157
etomoxir			0.06438571428571428	0.9713594135802469	0.28750508724831725
gsk525762a			0.06644880952380952	0.9711246130030959	0.2858987716327941
fsc231			0.06703273809523809	0.9711246130030959	0.2854536285878008
sotrastaurin			0.06880193452380952	0.9711246130030959	0.28436991924331173
dabrafenib			0.06945595238095238	0.9711246130030959	0.28407932655803936
amuvatinib			0.07133363095238095	0.9711246130030959	0.28342728283914304
brd-a86708339			0.07578794642857142	0.9689088923556941	0.2805243657069973
niclosamide			0.07607901785714286	0.9689088923556941	0.2802932006456127
nilotinib			0.08165386904761905	0.9657726134585289	0.27529466529628255
pf-4800567 hydrochloride			0.08336651785714286	0.9654824451410658	0.27350089646331655
brd8958			0.08742708333333334	0.9627144427001569	0.26971986724680347
qs-11			0.091684375	0.9597298742138365	0.2651978290784433
kh-cb19			0.09217693452380953	0.9597298742138365	0.2646838686285043
pifithrin-mu			0.09471071428571429	0.9595496845425867	0.26220661583949423
neuronal differentiation inducer iii			0.10008035714285714	0.9553650868878357	0.25817756799658337
brd-k99006945			0.10337708333333333	0.9533713607594937	0.25646191494504533
wz3105			0.1044358630952381	0.9533713607594937	0.25593778013879853
brd-k51831558			0.10513244047619047	0.9533713607594937	0.25556736423316045
rucaparib			0.10673779761904761	0.9533713607594937	0.2546836911279314
motesanib			0.10837276785714285	0.9533713607594937	0.25371315516798415
compound 1b			0.10867916666666666	0.9533713607594937	0.25352220588659174
brd-k85133207			0.1109452380952381	0.9533713607594937	0.252126947039908
compound 1541a			0.11131205357142857	0.9533713607594937	0.25191409060975006
bec			0.11375178571428571	0.9533713607594937	0.25049014869682046
hbx-41108			0.11928943452380952	0.9499800963081861	0.24738881199194393
tivozanib			0.12090446428571429	0.9497625401929259	0.246491111286694
mi-2			0.12156458333333334	0.9497625401929259	0.2461609205710887
sch-529074			0.12186354166666667	0.9497625401929259	0.2460201489399292
merck60			0.12261026785714285	0.9497625401929259	0.245648215887739
vorinostat			0.12546026785714287	0.9497625401929259	0.24414854782763412
sb-743921			0.12645401785714286	0.9497625401929259	0.24357403642409514
cbb-1007			0.12748377976190475	0.9497625401929259	0.24294049284377295
compound 23 citrate			0.12867470238095238	0.9497625401929259	0.24215309539849042
gnf-2			0.12935595238095238	0.9497625401929259	0.24164969794197527
austocystin d			0.12973125	0.9497625401929259	0.24136713311281321
pd-0332991			0.13620595238095237	0.9484799019607844	0.23693980059495123
vu0155056			0.136903125	0.9484799019607844	0.2364715190397693
unc1215			0.14441875	0.9425421311475409	0.2316721106081027
plx-4720			0.14576294642857143	0.9425421311475409	0.2309039759952817
bortezomib			0.15646041666666666	0.9323333881578948	0.22413936954225705
belinostat			0.15819464285714285	0.9319494233937397	0.2229027715342857
ml312			0.16355550595238094	0.9275425742574257	0.21910680737072416
brd-k66532283			0.1643169642857143	0.9275425742574257	0.21860366121216535
elesclomol			0.16486309523809523	0.9275425742574257	0.21822131807704317
crizotinib			0.166878125	0.9275425742574257	0.21688559191349355
cp724714			0.16909434523809524	0.9275227574750831	0.21549206931509357
gsk1070916			0.16957291666666666	0.9275227574750831	0.21520295313624746
brd-k33199242			0.17715714285714285	0.9215841666666665	0.21092831832809267
mg-132			0.1779169642857143	0.9215841666666665	0.21055092213434792
brd-k61166597			0.18128333333333332	0.9200295986622073	0.20900309124244115
mps-1-in-1			0.18371026785714287	0.9188388609715243	0.20801194764631267
brd-k33514849			0.18405238095238094	0.9188388609715243	0.20788174365796216
sb-505124			0.185153125	0.9188388609715243	0.20745365342883232
ciclopirox			0.18768065476190476	0.9188388609715243	0.20651115118538463
ly-2157299			0.19053645833333333	0.9173011804384487	0.20556608703924675
tubastatin a			0.1907342261904762	0.9173011804384487	0.2055026205187103
lomeguatrib			0.19143720238095238	0.9173011804384487	0.20527038831970207
lbh-589			0.1931952380952381	0.9173011804384487	0.20468497587094084
brd-a94377914			0.19443973214285715	0.9173011804384487	0.20428796385138956
gsk4112			0.19567261904761904	0.9173011804384487	0.20390610157474784
ql-x-138			0.19604642857142857	0.9173011804384487	0.20378926469499106
brd-k27224038			0.196378125	0.9173011804384487	0.2036971723280353
alvocidib			0.19950669642857144	0.9173011804384487	0.20276458582046464
cay10594			0.2009327380952381	0.9173011804384487	0.20229579645271095
cr-1-31b			0.20140639880952382	0.9173011804384487	0.20214016515692662
plx-4032			0.20173511904761904	0.9173011804384487	0.2020430147806188
brd-k96431673			0.20353125	0.9173011804384487	0.20150020780420907
tigecycline			0.20356577380952381	0.9173011804384487	0.20149025544694116
pi-103			0.20423839285714285	0.9173011804384487	0.2012557355747103
pandacostat			0.20640520833333334	0.9173011804384487	0.20055913889948235
osi-027			0.20660238095238095	0.9173011804384487	0.20049903203092215
