Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
brd-k71781559		0.0870254795724926	0.003934970238095238	0.9960651785714286	0.5681595825354113
azacitidine		0.048199075814194005	0.006800297619047619	0.9946803278688524	0.5293499876911876
gw-2580		0.059249472198826224	0.009136160714285715	0.9938217910447762	0.5097333974270079
nsc-207895		0.04805399396603467	0.015013690476190476	0.9894053811659194	0.4814064881486154
sb52334		0.04540128700294027	0.01668705357142857	0.9892011976047904	0.47462293618230905
way-362450		0.09455895054439395	0.01753154761904762	0.9892011976047904	0.4713187880332999
birinapant		0.08835013288499972	0.02356517857142857	0.9852322822822822	0.4497772765116512
lbw242		0.043113425359716184	0.023716666666666667	0.9852322822822822	0.44939254072442286
gsk-j4		0.04442929927308394	0.02500386904761905	0.9852322822822822	0.4451336406726516
ic-87114		0.15017959136364062	0.03136532738095238	0.9817841628959275	0.4248408997790614
brd-k94991378			0.03896547619047619	0.9755525679758308	0.4040799061312458
ipa-3			0.04631264880952381	0.9695582450832073	0.3854524955070419
erismodegib			0.04914345238095238	0.968145	0.3788964601323283
vx-680			0.04988973214285714	0.968145	0.37722858456338
qw-bi-011			0.050344791666666666	0.968145	0.3760408353215266
gnf-2			0.0643563988095238	0.9570059360730594	0.3474328671454755
amuvatinib			0.06637127976190477	0.9564007621951219	0.3432336906590136
pd-0332991			0.0754422619047619	0.9485574045801527	0.3254263643446807
trifluoperazine			0.07796026785714286	0.9474194189602446	0.3205975257227914
gsk690693			0.08541116071428571	0.9412009188361409	0.30763531863600446
qs-11			0.08781934523809524	0.9401656441717792	0.3036223911662679
sid 26681509			0.08959866071428571	0.9397712749615975	0.30089762102661005
stemregenin 1			0.09236458333333333	0.9383563076923076	0.2963973631035053
dabrafenib			0.09433720238095238	0.9377588597842835	0.29343702788430365
brd-k33199242			0.09587291666666667	0.9376143518518518	0.2909218290123868
nilotinib			0.09723199404761905	0.9376143518518518	0.2888221151621291
kh-cb19			0.09947157738095239	0.9367767801857585	0.2856335908225821
navitoclax			0.10007217261904762	0.9367767801857585	0.2847475020289233
gsk1070916			0.10182901785714285	0.9367767801857585	0.28225639886244414
brd-k29313308			0.11228571428571428	0.9277513219284602	0.26862348805699754
azd6244			0.11276919642857143	0.9277513219284602	0.2680644986630324
brd8958			0.11383988095238096	0.9277513219284602	0.2666722555284352
gdc-0879			0.11569583333333333	0.9277513219284602	0.26467207177399904
unc1215			0.11637916666666667	0.9277513219284602	0.26378658567641683
bec			0.13468526785714285	0.9114293103448277	0.24634563884048932
ml239			0.13578125	0.9114293103448277	0.2454159883075097
plx-4720			0.13605833333333334	0.9114293103448277	0.2451731399856867
plx-4032			0.13617425595238095	0.9114293103448277	0.24506257127126005
cay10576			0.13890907738095237	0.9114293103448277	0.24260692223660787
brd-k88742110			0.1411747023809524	0.9114293103448277	0.24068317473442055
brd-k99006945			0.14961041666666666	0.9042142405063291	0.2332488723893296
sotrastaurin			0.15161205357142857	0.9035158478605387	0.23141274694823255
vu0155056			0.15274419642857143	0.9035158478605387	0.23056394949043163
fsc231			0.15376175595238095	0.9035158478605387	0.22961899723407433
austocystin d			0.15890208333333333	0.9000288216560509	0.22516075098030094
sch-529074			0.15915104166666666	0.9000288216560509	0.22497629553359727
mg-132			0.15949791666666666	0.9000288216560509	0.22466419048675215
rucaparib			0.16048110119047618	0.9000288216560509	0.22395785255827239
linsitinib			0.16303511904761905	0.9000288216560509	0.22173890543657737
tl-2-105			0.16590029761904762	0.8997040128410915	0.21946757395530805
fingolimod			0.16610208333333334	0.8997040128410915	0.21927909668148562
gsk525762a			0.1672236607142857	0.8997040128410915	0.21839336093372394
brd-k48334597			0.16783928571428572	0.8997040128410915	0.21791186102316978
obatoclax			0.16969806547619048	0.8997040128410915	0.21624264329631634
brd-k33514849			0.1716125	0.8997040128410915	0.2147026393147401
bortezomib			0.17196994047619046	0.8997040128410915	0.21450062238793213
cbb-1007			0.17205550595238095	0.8997040128410915	0.2144318827467329
wz3105			0.17287589285714286	0.8997040128410915	0.21377574021798332
brd-a86708339			0.17566651785714285	0.8997040128410915	0.2117225356389203
tivozanib			0.17574255952380952	0.8997040128410915	0.2116964458949562
brd-k17060750			0.17581130952380952	0.8997040128410915	0.2116577077932782
pf-4800567 hydrochloride			0.1768421130952381	0.8997040128410915	0.21087376932669116
etomoxir			0.18285327380952382	0.8997040128410915	0.20627733556881672
piperlongumine			0.18313467261904762	0.8997040128410915	0.20604498496654547
brd-k66532283			0.18591636904761905	0.8997040128410915	0.20411243112643074
ql-x-138			0.1898470238095238	0.8969075782537068	0.2013289551803736
brd-k01737880			0.1967360119047619	0.890749504950495	0.19645031635790075
cay10594			0.19700714285714285	0.890749504950495	0.1962512723017949
compound 1b			0.19751220238095238	0.890749504950495	0.19589121356122552
mi-2			0.19761071428571428	0.890749504950495	0.19585212976185426
nutlin-3			0.19984300595238094	0.890749504950495	0.1942118505913576
hbx-41108			0.2029436011904762	0.890749504950495	0.19207361348920074
cr-1-31b			0.20816875	0.8868516666666666	0.18837132957372857
pifithrin-mu			0.2086184523809524	0.8868516666666666	0.18800352260588163
brd-m00053801			0.20952708333333334	0.8868516666666666	0.18740550326440678
nsc23766			0.2096470238095238	0.8868516666666666	0.1873073293546073
zm447439			0.21814270833333332	0.8815609060402685	0.1815095472866765
neuronal differentiation inducer iii			0.22250119047619046	0.8781178151260505	0.17836692650356642
brd-k85133207			0.22371860119047618	0.8781178151260505	0.17762693804145754
ly-2157299			0.22424598214285715	0.8781178151260505	0.1773010384838545
fmk			0.22538794642857143	0.8781178151260505	0.1765988712028249
fulvestrant			0.22578229166666666	0.8781178151260505	0.17634181961870904
sb-505124			0.226925	0.8781178151260505	0.1756060694367566
merck60			0.22742395833333334	0.8781178151260505	0.17524887576788506
pd-0325901			0.227484375	0.8781178151260505	0.1752118626470254
pi-103			0.22797619047619047	0.8781178151260505	0.17488501851603575
dinaciclib			0.2301986607142857	0.8781178151260505	0.17337440608483295
alvocidib			0.2303983630952381	0.8781178151260505	0.1732624749813548
tubastatin a			0.23094910714285713	0.8781178151260505	0.17291444371810188
brd-k27224038			0.23109583333333333	0.8781178151260505	0.17283538178869132
cyanoquinoline 11			0.2336516369047619	0.8781178151260505	0.17132394503145196
elesclomol			0.23405565476190476	0.8781178151260505	0.17112684437704
osi-027			0.2361763392857143	0.8781178151260505	0.16983952664321023
ml312			0.23919092261904762	0.8781178151260505	0.16794527931833897
unc0638			0.24451770833333333	0.8781178151260505	0.16498370563865977
brd-k42260513			0.24925744047619047	0.8743493934142116	0.16219079759202795
nsc-87877			0.24939910714285715	0.8743493934142116	0.16211856993693805
brd-k34485477			0.25291071428571427	0.8731219130434783	0.1601898755645528
azd0530			0.25616830357142856	0.8708282229965157	0.15848293540076627
plx4720			0.26114642857142856	0.8665106457242583	0.15581746988124734
cid-5951923			0.2611938988095238	0.8665106457242583	0.15579643425714376
mps-1-in-1			0.2659950892857143	0.8638390542907181	0.15335573007606573
sr-ii-138a			0.2731627976190476	0.8569043859649123	0.14937186301972097
brd-k96431673			0.2749238095238095	0.8563297012302284	0.1484634961275429
pf-543			0.2753672619047619	0.8563297012302284	0.1482664897959445
niclosamide			0.2757443452380952	0.8563297012302284	0.14806743238463002
lomeguatrib			0.2814956845238095	0.8530680212014135	0.1450259586247939
vorinostat			0.2826700892857143	0.8530680212014135	0.14439811474043107
mln2480			0.28567678571428573	0.8511125886524823	0.14271315318780756
ym201636			0.2865099702380952	0.8511125886524823	0.1423040965452303
bx-912			0.2895058035714286	0.8495594306049821	0.1405466804553379
pandacostat			0.2902474702380952	0.8495594306049821	0.1401598005498461
brd-k30748066			0.29374047619047616	0.8475121428571428	0.13831295668460858
ciclosporin			0.2941340773809524	0.8475121428571428	0.13811803767762487
brd-k86535717			0.2995291666666667	0.843581899641577	0.1350767626085461
lbh-589			0.30139002976190477	0.8428482944344704	0.1341125492868614
xmd13-2			0.30187113095238094	0.8428482944344704	0.13378679089434523
genentech cpd 10			0.3035630952380952	0.8428482944344704	0.13284166059355446
ciclopirox			0.3109751488095238	0.8357857400722022	0.12875750243016057
ml029			0.3142592261904762	0.8333065099457505	0.12675067088970968
gsk319347a			0.3142834821428571	0.8333065099457505	0.12672981375838382
ipr-456			0.314321875	0.8333065099457505	0.12668975293653825
compound 23 citrate			0.3213334821428571	0.8292089090909092	0.1227411413095906
bax channel blocker			0.32354553571428574	0.8280105646630238	0.12144822217959758
cucurbitacin i			0.3238748511904762	0.8280105646630238	0.12126730878564089
talazoparib			0.3240142857142857	0.8280105646630238	0.12117530308258181
cil55			0.3253697916666667	0.8280105646630238	0.12033594177432283
brd-k61166597			0.32551309523809524	0.8280105646630238	0.12026450003068004
bcl-lzh-4			0.326456994047619	0.8280105646630238	0.11971005581437962
brd-a94377914			0.3275482142857143	0.8280105646630238	0.11916400415548353
ml083			0.32770372023809524	0.8280105646630238	0.11904814275344659
gw-405833			0.33158333333333334	0.8280105646630238	0.11696201618281861
brd-k84807411			0.3323787202380952	0.8280105646630238	0.11650326613902559
o-6-benzylguanine			0.3361193452380952	0.8276957328385899	0.1142086923652881
marinopyrrole a			0.33931324404761903	0.8252473977695167	0.11243517665320676
iox2			0.3404294642857143	0.8252473977695167	0.11181127278947274
gmx-1778			0.34419002976190477	0.8222102611940297	0.10971815403434802
bx796			0.3450519345238095	0.8222102611940297	0.10917962655703382
cay10603			0.34602827380952383	0.8222102611940297	0.10864806308167657
kin001-244			0.34803377976190475	0.8219913696060038	0.10762390844034139
brd-k45681478			0.3508315476190476	0.8200067669172932	0.1059858293523934
pl-di			0.35110982142857144	0.8200067669172932	0.1057760203552099
itraconazole			0.3542700892857143	0.818738679245283	0.10398774465493256
i-bet151			0.35731964285714285	0.8164134215500946	0.10233652837953575
