Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
bosutinib		0.08564102709927239	0.00029270833333333335	0.1967	0.7002022268530326
betulinic acid		0.10528476024047767	0.0036861607142857143	0.83107125	0.5050933042974717
gefitinib		0.0929869083466315	0.006679910714285715	0.83107125	0.4927019066678806
chir-99021		0.05160572865469222	0.010901488095238096	0.83107125	0.45673034392549244
tgx221		0.03854577850976305	0.011780654761904761	0.83107125	0.4345672633467005
vandetanib		0.04586289315011277	0.012854315476190476	0.83107125	0.4231954296599058
erlotinib		0.03387345532852571	0.013856101190476191	0.83107125	0.41835892952662557
l-685458		0.09644515186656258	0.015610714285714285	0.83107125	0.40267825856407397
bleomycin		0.04940026762156686	0.017835863095238096	0.83107125	0.3904608917638439
pazopanib		0.07024134538307693	0.02053348214285714	0.83107125	0.38235348333492736
gemcitabine			0.021776339285714284	0.83107125	0.3750857241752421
triptolide			0.023369642857142856	0.83107125	0.36768219975173466
eht-1864			0.023922767857142858	0.83107125	0.3660698780677546
ml203			0.023923809523809524	0.83107125	0.36605869497027005
olaparib			0.027346726190476192	0.83107125	0.3575291426549453
pyrazolanthrone			0.03007514880952381	0.83107125	0.35307869032486144
brd-k16147474			0.03009300595238095	0.83107125	0.353043020113199
neratinib			0.030813988095238096	0.83107125	0.351540299208305
tanespimycin			0.03166354166666667	0.83107125	0.3497289489159236
sildenafil			0.03280029761904762	0.83107125	0.34660812551128717
bms-509744			0.0333	0.83107125	0.3452828387428876
jq-1			0.03453154761904762	0.83107125	0.3417797868126215
momelotinib			0.034548363095238094	0.83107125	0.3417145854539396
ml320			0.03509627976190476	0.83107125	0.34014815628838346
vinorelbine			0.036738541666666666	0.83107125	0.3365843778398188
qs11			0.03690669642857143	0.83107125	0.33624354861728745
nvp-tae684			0.04100104166666667	0.83107125	0.3303667611406153
embelin			0.042061458333333336	0.83107125	0.3285855426025028
jw-55			0.0427046130952381	0.83107125	0.32762565370705166
austocystin d			0.04642410714285714	0.83107125	0.3225200466190289
neopeltolide			0.046825	0.83107125	0.3220526604142505
fluorouracil			0.047455505952380954	0.83107125	0.3212793015413944
zibotentan			0.04981860119047619	0.83107125	0.31802404286176517
lapatinib			0.04999880952380952	0.83107125	0.31773768299086025
sb216763			0.05631845238095238	0.83107125	0.30884585265967046
teniposide			0.056405505952380953	0.83107125	0.30873390293423675
fh535			0.05714047619047619	0.83107125	0.3075293916236498
silmitasertib			0.05725997023809524	0.83107125	0.3073360425483943
doxorubicin			0.05799449404761905	0.83107125	0.3061151608522803
wz8040			0.05880431547619048	0.83107125	0.3051054936038216
thapsigargin			0.05951830357142857	0.83107125	0.3042615908477036
pyrimethamine			0.05999107142857143	0.83107125	0.30375286454659317
afatinib			0.060441220238095235	0.83107125	0.3033424243135192
as605240			0.06098705357142857	0.83107125	0.3027349357332883
brd-k52037352			0.061291369047619046	0.83107125	0.3023801262724876
(5z)-7-oxozeaenol			0.061426190476190475	0.83107125	0.3021737974155225
ml312			0.06171681547619048	0.83107125	0.301755457563904
brd-k13999467			0.06212321428571429	0.83107125	0.301088723558025
tipifarnib			0.06383467261904761	0.83107125	0.2986713290990742
gsk269962a			0.06541160714285714	0.83107125	0.2965809828588859
xmd11-85h			0.06635848214285714	0.83107125	0.2951503890759826
stemregenin 1			0.06674538690476191	0.83107125	0.29454613975378596
as601245			0.06676592261904762	0.83107125	0.2945200826233435
brd-k75293299			0.06832976190476191	0.83107125	0.29255052660661107
