Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
bosutinib		0.086056493773188	0.00017857142857142857	0.12000000000000001	0.7002022268671692
betulinic acid		0.1240230738484054	0.0027529761904761907	0.843625	0.5050933042980331
gefitinib		0.09514396783436711	0.0056845238095238095	0.843625	0.49270190670805275
chir-99021		0.04189640412636373	0.009523809523809525	0.843625	0.45673034359644793
tgx221		0.04363811456816661	0.010654761904761905	0.843625	0.4345672635068791
vandetanib		0.045395882637676216	0.011860119047619048	0.843625	0.4231954296555657
erlotinib		0.03273485129807918	0.012619047619047618	0.843625	0.41835892940387814
l-685458		0.0759136601321836	0.014523809523809524	0.843625	0.40267825858216505
bleomycin		0.05495122407164681	0.016741071428571428	0.843625	0.39046089191818734
pazopanib		0.0669835426680852	0.019523809523809523	0.843625	0.38235348313046685
gemcitabine			0.021026785714285713	0.843625	0.375085724492903
triptolide			0.022782738095238095	0.843625	0.36768219975219135
eht-1864			0.0234375	0.843625	0.3660698779386142
ml203			0.0234375	0.843625	0.366058694732695
olaparib			0.027366071428571427	0.843625	0.35752914265974095
pyrazolanthrone			0.03017857142857143	0.843625	0.3530786903246085
brd-k16147474			0.030208333333333334	0.843625	0.3530430201114829
neratinib			0.030952380952380953	0.843625	0.35154029921971086
tanespimycin			0.031875	0.843625	0.3497289491736678
sildenafil			0.03294642857142857	0.843625	0.346608125278629
bms-509744			0.0334375	0.843625	0.34528283888917743
jq-1			0.03461309523809524	0.843625	0.3417797867395614
momelotinib			0.03462797619047619	0.843625	0.3417145857508255
ml320			0.035238095238095235	0.843625	0.34014815629015543
vinorelbine			0.03720238095238095	0.843625	0.33658437769615945
qs11			0.037276785714285714	0.843625	0.33624354848861465
nvp-tae684			0.04144345238095238	0.843625	0.3303667609059423
embelin			0.04255952380952381	0.843625	0.32858554230682274
jw-55			0.04334821428571429	0.843625	0.3276256538890499
austocystin d			0.04693452380952381	0.843625	0.3225200466119485
neopeltolide			0.04739583333333333	0.843625	0.3220526602609696
fluorouracil			0.047961309523809524	0.843625	0.3212793015394724
zibotentan			0.05025297619047619	0.843625	0.3180240430793278
lapatinib			0.050520833333333334	0.843625	0.31773768300228855
sb216763			0.05700892857142857	0.843625	0.308845852811282
teniposide			0.05711309523809524	0.843625	0.3087339028164954
fh535			0.057678571428571426	0.843625	0.3075293916365806
silmitasertib			0.057886904761904764	0.843625	0.307336042477413
doxorubicin			0.05879464285714286	0.843625	0.3061151607450379
wz8040			0.05964285714285714	0.843625	0.3051054936015581
thapsigargin			0.06038690476190476	0.843625	0.3042615909373013
pyrimethamine			0.06074404761904762	0.843625	0.3037528645293555
afatinib			0.06108630952380952	0.843625	0.3033424239193672
as605240			0.06163690476190476	0.843625	0.3027349354223979
brd-k52037352			0.06188988095238095	0.843625	0.3023801263580621
(5z)-7-oxozeaenol			0.061964285714285715	0.843625	0.30217379729827504
ml312			0.06226190476190476	0.843625	0.3017554575943567
brd-k13999467			0.06263392857142858	0.843625	0.30108872328012387
tipifarnib			0.06455357142857143	0.843625	0.29867132880273883
gsk269962a			0.06614583333333333	0.843625	0.29658098295173735
xmd11-85h			0.06724702380952381	0.843625	0.29515038892366147
