Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
erlotinib		0.03319441067362069	0.0007580357142857142	0.14647142857142859	0.5600905987939783
pyrimethamine		0.03287967018556596	0.001215327380952381	0.14647142857142859	0.5209763640979497
sb216763		0.037953614130501016	0.001375297619047619	0.14647142857142859	0.5170921062684085
qs11		0.037345060984580486	0.0014892857142857143	0.14647142857142859	0.5128767245848092
olaparib		0.05302843757856338	0.0014947916666666666	0.14647142857142859	0.5124317773433243
fh535		0.027083173132075006	0.0015069940476190476	0.14647142857142859	0.5109671530276282
eht-1864		0.03776036493479132	0.0015257440476190477	0.14647142857142859	0.5084699937706865
chir-99021		0.04389166159946168	0.002173065476190476	0.17431333333333332	0.49197354704758606
bleomycin		0.0508058778764164	0.002671130952380952	0.17431333333333332	0.48202662240284244
tgx221		0.04196973332550351	0.0027495535714285716	0.17431333333333332	0.4811245485467013
brd-k71935468			0.003172767857142857	0.17431333333333332	0.4750958005288913
bms-509744			0.0033044642857142856	0.17431333333333332	0.4735386105301575
vinorelbine			0.003609077380952381	0.17431333333333332	0.47024369110197567
azd6482			0.003667410714285714	0.17431333333333332	0.46922026545589834
(5z)-7-oxozeaenol			0.003890922619047619	0.17431333333333332	0.4660044904397358
brd-k14844214			0.004313392857142857	0.17643333333333336	0.46374814251761587
saracatinib			0.0047816964285714286	0.17643333333333336	0.45917424239385723
gsk269962a			0.0047830357142857145	0.17643333333333336	0.45911964210009587
dactolisib			0.005028720238095238	0.17643333333333336	0.4533569772667211
brd-k48477130			0.006001190476190476	0.17643333333333336	0.4347906375634452
xmd11-85h			0.006039434523809524	0.17643333333333336	0.4341950035176865
zibotentan			0.006073809523809524	0.17643333333333336	0.43322738887692386
brd-k52037352			0.006352380952380952	0.17643333333333336	0.4284685882796707
bcl-lzh-4			0.007237648809523809	0.17643333333333336	0.41395629389316846
seliciclib			0.007336458333333334	0.17643333333333336	0.41192885877705754
wh-4-023			0.00734360119047619	0.17643333333333336	0.4117548060287488
tanespimycin			0.007381547619047619	0.17643333333333336	0.4108644560961433
nutlin-3a (-)			0.007546875	0.17643333333333336	0.407446164289885
sl0101			0.00810029761904762	0.17643333333333336	0.400913979389809
midostaurin			0.00823392857142857	0.17643333333333336	0.39966124419730326
jnk-9l			0.008501488095238095	0.17643333333333336	0.3978744831252219
pf-562271			0.008551488095238095	0.17643333333333336	0.3976285468604432
nsc-87877			0.008664136904761905	0.17643333333333336	0.3971632496335408
nu7441			0.009734970238095239	0.19113611111111112	0.39281845470224297
vandetanib			0.01006607142857143	0.19113611111111112	0.39183596776955576
ql-viii-58			0.010239434523809524	0.19113611111111112	0.39072285054052863
tipifarnib			0.010977232142857143	0.19937027027027027	0.38434667493765395
selisistat			0.01159375	0.20502631578947367	0.3788481378997539
gw441756			0.01269330357142857	0.2098531914893617	0.37106506345865264
embelin			0.012947619047619048	0.2098531914893617	0.3688923248078751
as601245			0.013439434523809524	0.2098531914893617	0.3650680239478764
pfi-1			0.013661011904761905	0.2098531914893617	0.3634080069972848
zd-6474			0.013700297619047619	0.2098531914893617	0.3631725426990478
cyclopamine			0.013839732142857143	0.2098531914893617	0.36223467986257446
thapsigargin			0.014383184523809524	0.2098531914893617	0.3588010202160284
avagacestat			0.014612053571428571	0.2098531914893617	0.35741984659163323
selumetinib			0.014677232142857143	0.2098531914893617	0.3569547056751818
a-443654			0.015228571428571428	0.2132	0.35356400323846043
a-770041			0.016606994047619048	0.225364	0.3495037068093148
bosutinib			0.016768154761904762	0.225364	0.3488887070810257
cisplatin			0.019673809523809524	0.2592313725490196	0.3426614396756563
az628			0.020170982142857143	0.26067115384615386	0.34189340982273936
cyclophosphamide			0.020804613095238095	0.2637867924528302	0.3411941314275068
sgc0946			0.021327529761904763	0.26540925925925923	0.3407157453447629
jq1			0.022145238095238096	0.2703464285714286	0.34005342601298166
jw-55			0.022528869047619048	0.2703464285714286	0.3397042432495035
lestauritinib			0.02325089285714286	0.2741157894736842	0.3385756375610677
xmd8-85			0.02426205357142857	0.2805770491803279	0.33672676269297075
sb590885			0.025045535714285715	0.2805770491803279	0.3348344604073259
wz-1-84			0.025136904761904763	0.2805770491803279	0.3346107165305548
brd-k17060750			0.02546904761904762	0.2805770491803279	0.3337469073981987
gsk1904529a			0.028876041666666668	0.3129790322580645	0.32644774653591935
681640			0.02953690476190476	0.31338437500000005	0.3254665441623646
jnk inhibitor viii			0.029846130952380954	0.31338437500000005	0.3250180476388909
bryostatin 1			0.030627678571428573	0.3166430769230769	0.3238734707809828
avicin d			0.03160729166666667	0.321819696969697	0.3223542483667235
betulinic acid			0.037884970238095235	0.37621764705882355	0.3150287169013647
luminespib			0.03806964285714286	0.37621764705882355	0.31485796182345394
zebularine			0.041205059523809526	0.39882999999999996	0.3119711920655373
palbociclib			0.041544791666666664	0.39882999999999996	0.3116534162951479
bleomycin (50 um)			0.04496636904761905	0.42559718309859157	0.3086434848144949
brd-k99006945			0.04590074404761905	0.4284069444444445	0.30793249057119093
rucaparib			0.04969032738095238	0.4523635135135135	0.3048589473981791
gefitinib			0.049813839285714284	0.4523635135135135	0.30474797491674127
cgp-082996			0.054439880952380955	0.48778133333333334	0.30016128349548743
compound 1b			0.05590044642857143	0.48933116883116884	0.29861385678837565
tak-715			0.05606919642857143	0.48933116883116884	0.29845836508716883
dasatinib			0.05851607142857143	0.5041384615384615	0.29597373348042966
dmog			0.05979553571428572	0.508640506329114	0.2946320086008237
gw-2580			0.06368244047619048	0.5349325	0.29064070024884453
shikonin			0.06519791666666666	0.5409012345679012	0.2888924796968408
isonicotinohydroxamic acid			0.06806845238095238	0.557829268292683	0.28525770268737183
nelarabine			0.07278705357142858	0.5832905882352941	0.28007640644858633
brd-k16147474			0.07346473214285715	0.5832905882352941	0.27936772864354315
cct007093			0.07377931547619047	0.5832905882352941	0.2790158438471068
cytochalasin b			0.07700699404761904	0.5957275862068965	0.275147207313343
lfm-a13			0.07712544642857143	0.5957275862068965	0.2749839837556446
rapamycin			0.08010610119047619	0.6006588888888889	0.27082275867191
brd-k34099515			0.08016904761904763	0.6006588888888889	0.27073549175236894
procarbazine			0.0804453869047619	0.6006588888888889	0.27035952672273816
trametinib			0.08269627976190476	0.6079945652173913	0.2672763851561844
pd318088			0.08323735119047619	0.6079945652173913	0.2665624805410305
ku-55933			0.08834880952380952	0.6269903846153846	0.26029766955660927
17-aag			0.09235714285714286	0.6269903846153846	0.25605758698831005
brd-k50799972			0.09239375	0.6269903846153846	0.2560210678755276
afatinib			0.09250089285714286	0.6269903846153846	0.2559095237356262
