Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
erlotinib		0.03228334851508149	4.0476190476190474e-05	0.0214625	0.7731372104349726
pyrimethamine		0.035143840388695544	0.00013288690476190477	0.0214625	0.7402645495119513
fh535		0.028125346386831618	0.00017351190476190477	0.0214625	0.7263454600384729
sb216763		0.03768032306927619	0.00017604166666666666	0.0214625	0.7255983165361966
chir-99021		0.04441545144882461	0.00020386904761904762	0.0214625	0.718488051546008
qs11		0.04494932932408781	0.0002407738095238095	0.0214625	0.7102351759068622
bms-509744		0.04896198407944802	0.0002537202380952381	0.0214625	0.7075290989553792
bleomycin		0.050251758297564016	0.00025550595238095237	0.0214625	0.7069372514220993
(5z)-7-oxozeaenol		0.03305569006664585	0.00033913690476190475	0.02286	0.6915319399025914
tgx221		0.04835000159446271	0.0003401785714285714	0.02286	0.6911281562371001
gsk269962a			0.0004386904761904762	0.024466666666666664	0.6775089733887818
saracatinib			0.0005154761904761904	0.024466666666666664	0.6700838091193118
azd6482			0.0005206845238095238	0.024466666666666664	0.6698266257185381
dactolisib			0.0005236607142857142	0.024466666666666664	0.6696422022609227
eht-1864			0.0005461309523809523	0.024466666666666664	0.6682569597821162
vinorelbine			0.0005947916666666666	0.02498125	0.6652235784724314
xmd11-85h			0.0007580357142857142	0.02996470588235294	0.6562652599105421
zibotentan			0.0008066964285714285	0.030116666666666667	0.6540123525258569
brd-k48477130			0.0008766369047619048	0.031005263157894737	0.6508193125630646
midostaurin			0.0012287202380952382	0.041285	0.6363783870766495
bcl-lzh-4			0.0013595238095238096	0.04184090909090909	0.6313360675239317
brd-k52037352			0.0013697916666666667	0.04184090909090909	0.6308249004324
ql-viii-58			0.001556547619047619	0.04547826086956521	0.6241358716565422
tanespimycin			0.0019697916666666666	0.055154166666666664	0.6093973006111641
selisistat			0.002077083333333333	0.05583199999999999	0.6056747393950466
jnk-9l			0.002351934523809524	0.06078846153846154	0.5979569823793734
sl0101			0.002648214285714286	0.06591111111111111	0.5907058711981304
nutlin-3a (-)			0.0030552083333333334	0.07236333333333334	0.5815596189533789
sb590885			0.003202232142857143	0.07236333333333334	0.5785988199244193
cyclopamine			0.0032305059523809526	0.07236333333333334	0.5778693275294263
as601245			0.0033980654761904764	0.07366129032258065	0.5744963658997255
wh-4-023			0.0035282738095238097	0.07409375000000001	0.5722947787091845
thapsigargin			0.004328422619047619	0.08814242424242424	0.5578559721974133
gsk1904529a			0.005283482142857143	0.09492272727272727	0.5438990463323871
seliciclib			0.0053770833333333335	0.09492272727272727	0.542696786906806
sgc0946			0.005424255952380952	0.09492272727272727	0.5421752494228811
681640			0.0054558035714285715	0.09492272727272727	0.5417342929134714
embelin			0.0056988095238095235	0.09492272727272727	0.5389681828241857
xmd8-85			0.0058125	0.09492272727272727	0.5377377868629607
