Name	Score(0.95 MoE)	0.95 MoE	p-value	FDR	Score
brd-k35604418		0.02326505018347579	2.5595238095238097e-05	0.008538461538461538	0.79514183656323
5-fluorouracil		0.03696663021183903	5.758928571428571e-05	0.008538461538461538	0.762281139319316
snx-2112		0.04838700058891434	7.232142857142858e-05	0.008538461538461538	0.7535704251230685
ml031		0.04712511713738009	7.559523809523809e-05	0.008538461538461538	0.7517736349589874
pha-793887		0.03444197160177686	8.720238095238095e-05	0.008538461538461538	0.7472920696130915
ql-xii-61		0.04553135473548754	9.880952380952381e-05	0.008538461538461538	0.742778532863462
erastin		0.03712610568728705	0.00010029761904761905	0.008538461538461538	0.7422026728760995
methotrexate		0.050594685507853614	0.00010967261904761905	0.008538461538461538	0.7390381713446934
smer-3		0.02954260371987633	0.0001244047619047619	0.008538461538461538	0.7354649298157152
ouabain		0.025989947263705713	0.00013422619047619047	0.008538461538461538	0.7332078789649005
marinopyrrole a			0.00014613095238095238	0.008538461538461538	0.7304382483269093
topotecan			0.0001619047619047619	0.008538461538461538	0.7269054075588443
irinotecan			0.00016517857142857144	0.008538461538461538	0.7261961652131703
ku-0063794			0.00022395833333333333	0.010373333333333333	0.7136995003547446
nsc48300			0.00023154761904761904	0.010373333333333333	0.711938101052042
rigosertib			0.0003014880952380952	0.011600000000000001	0.7013533097617916
pitstop2			0.00031220238095238095	0.011600000000000001	0.7000328148073092
manumycin a			0.00033645833333333336	0.011600000000000001	0.6966080392614704
ml311			0.00034032738095238094	0.011600000000000001	0.6959967529558535
bms-345541			0.00034523809523809523	0.011600000000000001	0.6951049960856623
pf-3758309			0.0003650297619047619	0.01168095238095238	0.6926737836418689
barasertib			0.0004023809523809524	0.01229090909090909	0.687912056391285
lrrk2-in-1			0.00043125	0.012599999999999998	0.6840709125239288
bleomycin a2			0.0005035714285714285	0.01312962962962963	0.6754754954602669
cct036477			0.0005178571428571428	0.01312962962962963	0.6743746453943777
phloretin			0.0005226190476190476	0.01312962962962963	0.673764051259031
paclitaxel			0.0005275297619047619	0.01312962962962963	0.673232609185185
ski-ii			0.0005849702380952381	0.014039285714285714	0.668146132105964
serdemetan			0.0006297619047619048	0.014255882352941177	0.6647809124279432
ly-2183240			0.0006452380952380952	0.014255882352941177	0.6634558773016586
kpt185			0.0007038690476190476	0.014255882352941177	0.6591348699730992
hyperforin			0.0007056547619047619	0.014255882352941177	0.6589609665763893
ml050			0.0007110119047619047	0.014255882352941177	0.6584299389723988
brd-k90370028			0.000721279761904762	0.014255882352941177	0.6578257826312686
raf265			0.0007711309523809524	0.014450000000000001	0.6546987936343814
linifanib			0.0007741071428571429	0.014450000000000001	0.6545590319277059
alisertib			0.0008129464285714286	0.014764864864864866	0.6521418435324945
isox			0.0008418154761904761	0.014886842105263157	0.650158079597767
tivantinib			0.0008736607142857143	0.015053846153846154	0.6484632659141852
gdc-0941			0.000994940476190476	0.016530952380952382	0.6420242378222335
prl-3 inhibitor i			0.0010142857142857143	0.016530952380952382	0.6411148104108065
brd-k51490254			0.001033184523809524	0.016530952380952382	0.6401486913151853
ceranib-2			0.001072470238095238	0.016760465116279072	0.6382358913849611
curcumin			0.0011519345238095238	0.016782978723404254	0.6343875283909158
tacrolimus			0.001154315476190476	0.016782978723404254	0.6342952474107071
nvp-bez235			0.0011642857142857143	0.016782978723404254	0.6338262618100248
brd-k37390332			0.0011738095238095238	0.016782978723404254	0.63323145814056
stf-31			0.0012168154761904762	0.016918000000000002	0.6312290170700265
iu1			0.0012348214285714287	0.016918000000000002	0.630572476292987
methylstat			0.001258779761904762	0.016918000000000002	0.6295739411820823
cimetidine			0.0013233630952380953	0.017121153846153845	0.6267183321976884
etp-46464			0.0013248511904761905	0.017121153846153845	0.6266215655581091
tpca-1			0.001394047619047619	0.017675471698113208	0.6241495401715764
thz-2-102-1			0.0014370535714285713	0.01788333333333333	0.6224730889145561
leptomycin b			0.0015117559523809524	0.01847090909090909	0.6198140763274926
i-bet-762			0.0016388392857142858	0.019666071428571432	0.6157689061143211
avrainvillamide			0.0017257440476190476	0.02034561403508772	0.613310922659278
kin001-270			0.0018174107142857143	0.020425	0.6108298479886014
foretinib			0.0018183035714285714	0.020425	0.6108123415279925
nvp-adw742			0.0018236607142857143	0.020425	0.6106872121624872
epigallocatechin-3-monogallate			0.0018686011904761905	0.020428571428571428	0.6097550348660637
cil70			0.001902827380952381	0.020428571428571428	0.6087986224281117
tipifarnib-p1			0.0019151785714285714	0.020428571428571428	0.6084466592855573
bardoxolone methyl			0.0020510416666666667	0.021303076923076925	0.6050378745152382
apicidin			0.0020605654761904763	0.021303076923076925	0.6048837404200511
thalidomide			0.002096577380952381	0.021346969696969698	0.6040153767703331
birb-796			0.0021811011904761903	0.021597101449275364	0.6020067530182056
fedratinib			0.002211309523809524	0.021597101449275364	0.6011195650168223
triazolothiadiazine			0.002217559523809524	0.021597101449275364	0.6009344577939535
tl-1-85			0.002290625	0.021751351351351353	0.5991973136414831
brd-k66453893			0.0023616071428571427	0.021751351351351353	0.5976352945412855
pf2341066			0.0023738095238095237	0.021751351351351353	0.5974044852313574
nsc632839			0.0023894345238095237	0.021751351351351353	0.5970469159938798
gsk461364			0.0023952380952380952	0.021751351351351353	0.5967835819725255
omacetaxine mepesuccinate			0.0024802083333333334	0.02200526315789474	0.5948209454100527
indisulam			0.0024886904761904764	0.02200526315789474	0.5946609959184943
brd-k70511574			0.002698660714285714	0.023431707317073173	0.5896053865803932
kw-2449			0.0027364583333333334	0.023431707317073173	0.5887443010299886
clofarabine			0.002777232142857143	0.023431707317073173	0.5877970804500474
brd8899			0.0028078869047619046	0.023431707317073173	0.5870902452563365
cal-101			0.0028443452380952383	0.023431707317073173	0.5862241119599438
isoevodiamine			0.0028592261904761907	0.023431707317073173	0.5858082351914895
gmx-1778			0.002913095238095238	0.023585542168674697	0.584682268209355
brd-k34222889			0.0029973214285714286	0.02397857142857143	0.5829486604791616
nakiterpiosin			0.003078125	0.024335294117647063	0.5810256352312401
